Entity,Code,Year,"Indicator:Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage Types:Wine (litres pure alcohol)"
Andorra,AND,2010,4.39
Andorra,AND,2011,4.52
Andorra,AND,2012,4.42
Andorra,AND,2013,4.29
Angola,AGO,1961,3.36
Angola,AGO,1962,2.38
Angola,AGO,1963,2.93
Angola,AGO,1964,3.5
Angola,AGO,1965,4.01
Angola,AGO,1966,4.35
Angola,AGO,1967,3.87
Angola,AGO,1968,3.65
Angola,AGO,1969,3.62
Angola,AGO,1970,3.2
Angola,AGO,1971,2.37
Angola,AGO,1972,1.9
Angola,AGO,1973,1.66
Angola,AGO,1974,1.73
Angola,AGO,1975,0.8
Angola,AGO,1976,0.39
Angola,AGO,1977,0.19
Angola,AGO,1978,0.05
Angola,AGO,1979,0.22
Angola,AGO,1980,0.33
Angola,AGO,1981,0.49
Angola,AGO,1982,0.37
Angola,AGO,1983,0.52
Angola,AGO,1984,0.57
Angola,AGO,1985,0.83
Angola,AGO,1986,0.32
Angola,AGO,1987,0.24
Angola,AGO,1988,0.58
Angola,AGO,1989,0.82
Angola,AGO,1990,0.65
Angola,AGO,1991,0.78
Angola,AGO,1992,1.22
Angola,AGO,1993,0.69
Angola,AGO,1994,0.73
Angola,AGO,1995,0.56
Angola,AGO,1996,0.49
Angola,AGO,1997,0.81
Angola,AGO,1998,0.91
Angola,AGO,1999,0.39
Angola,AGO,2000,0.4
Angola,AGO,2001,0.72
Angola,AGO,2002,0.8
Angola,AGO,2003,1.42
Angola,AGO,2004,1.58
Angola,AGO,2005,2.09
Angola,AGO,2006,2.48
Angola,AGO,2007,2.55
Angola,AGO,2008,2.81
Angola,AGO,2009,1.86
Angola,AGO,2010,1.95
Angola,AGO,2011,2.07
Angola,AGO,2012,2.11
Angola,AGO,2013,1.44
Angola,AGO,2014,1.32
Antigua and Barbuda,ATG,1962,0.09
Antigua and Barbuda,ATG,1963,0.1
Antigua and Barbuda,ATG,1964,0.02
Antigua and Barbuda,ATG,1965,0.01
Antigua and Barbuda,ATG,1966,0.02
Antigua and Barbuda,ATG,1967,0.03
Antigua and Barbuda,ATG,1968,0.04
Antigua and Barbuda,ATG,1969,0.03
Antigua and Barbuda,ATG,1970,0.04
Antigua and Barbuda,ATG,1971,0.03
Antigua and Barbuda,ATG,1972,0.03
Antigua and Barbuda,ATG,1973,0.07
Antigua and Barbuda,ATG,1974,0.08
Antigua and Barbuda,ATG,1975,0.05
Antigua and Barbuda,ATG,1976,0.06
Antigua and Barbuda,ATG,1977,0.2
Antigua and Barbuda,ATG,1978,0.23
Antigua and Barbuda,ATG,1979,0.22
Antigua and Barbuda,ATG,1980,0.58
Antigua and Barbuda,ATG,1981,0.85
Antigua and Barbuda,ATG,1982,0.13
Antigua and Barbuda,ATG,1983,0.26
Antigua and Barbuda,ATG,1984,0.65
Antigua and Barbuda,ATG,1985,0.26
Antigua and Barbuda,ATG,1986,0.31
Antigua and Barbuda,ATG,1987,0.34
Antigua and Barbuda,ATG,1988,0.78
Antigua and Barbuda,ATG,1989,1.3
Antigua and Barbuda,ATG,1990,1
Antigua and Barbuda,ATG,1991,1.08
Antigua and Barbuda,ATG,1992,1.12
Antigua and Barbuda,ATG,1993,1.09
Antigua and Barbuda,ATG,1994,0.93
Antigua and Barbuda,ATG,1995,0.51
Antigua and Barbuda,ATG,1996,0.52
Antigua and Barbuda,ATG,1997,0.68
Antigua and Barbuda,ATG,1998,0.64
Antigua and Barbuda,ATG,1999,0.78
Antigua and Barbuda,ATG,2000,1.14
Antigua and Barbuda,ATG,2001,1.42
Antigua and Barbuda,ATG,2002,1.39
Antigua and Barbuda,ATG,2003,1.26
Antigua and Barbuda,ATG,2004,1.43
Antigua and Barbuda,ATG,2005,1.74
Antigua and Barbuda,ATG,2006,2.38
Antigua and Barbuda,ATG,2007,1.8
Antigua and Barbuda,ATG,2008,1.34
Antigua and Barbuda,ATG,2009,1.32
Antigua and Barbuda,ATG,2010,1.43
Antigua and Barbuda,ATG,2011,1.42
Antigua and Barbuda,ATG,2012,1.53
Antigua and Barbuda,ATG,2013,1.7
Antigua and Barbuda,ATG,2014,1.87
Argentina,ARG,1961,13.61
Argentina,ARG,1962,14.03
Argentina,ARG,1963,14.85
Argentina,ARG,1964,14.96
Argentina,ARG,1965,14.75
Argentina,ARG,1966,13.75
Argentina,ARG,1967,14.16
Argentina,ARG,1968,14.93
Argentina,ARG,1969,15.07
Argentina,ARG,1970,15.6
Argentina,ARG,1971,14.42
Argentina,ARG,1972,13.35
Argentina,ARG,1973,12.19
Argentina,ARG,1974,12.95
Argentina,ARG,1975,14.02
Argentina,ARG,1976,14.21
Argentina,ARG,1977,14.91
Argentina,ARG,1978,13.93
Argentina,ARG,1979,13.13
Argentina,ARG,1980,13.18
Argentina,ARG,1981,12.94
Argentina,ARG,1982,12.77
Argentina,ARG,1983,12.35
Argentina,ARG,1984,11.53
Argentina,ARG,1985,10.45
Argentina,ARG,1986,10.3
Argentina,ARG,1987,10.1
Argentina,ARG,1988,9.71
Argentina,ARG,1989,9.32
Argentina,ARG,1990,9.42
Argentina,ARG,1991,9.31
Argentina,ARG,1992,8.61
Argentina,ARG,1993,7.92
Argentina,ARG,1994,7.13
Argentina,ARG,1995,6.76
Argentina,ARG,1996,6.4
Argentina,ARG,1997,6.37
Argentina,ARG,1998,5.87
Argentina,ARG,1999,5.76
Argentina,ARG,2000,5.3
Argentina,ARG,2001,5.32
Argentina,ARG,2002,5.28
Argentina,ARG,2003,5.08
Argentina,ARG,2004,5.03
Argentina,ARG,2005,4.57
Argentina,ARG,2006,4.62
Argentina,ARG,2007,4.65
Argentina,ARG,2008,4.45
Argentina,ARG,2009,4.31
Argentina,ARG,2010,3.91
Argentina,ARG,2011,4.05
Argentina,ARG,2012,4.04
Argentina,ARG,2013,3.51
Argentina,ARG,2014,3.22
Armenia,ARM,1990,2.18
Armenia,ARM,1991,2.13
Armenia,ARM,1992,1.28
Armenia,ARM,1993,1.43
Armenia,ARM,1994,1.26
Armenia,ARM,1995,0.55
Armenia,ARM,1996,0.43
Armenia,ARM,1997,0.24
Armenia,ARM,1998,0.17
Armenia,ARM,1999,0.31
Armenia,ARM,2000,0.2
Armenia,ARM,2001,0.28
Armenia,ARM,2002,0.21
Armenia,ARM,2003,0.16
Armenia,ARM,2004,0.43
Armenia,ARM,2005,0.46
Armenia,ARM,2006,0.27
Armenia,ARM,2007,0.23
Armenia,ARM,2008,0.23
Armenia,ARM,2009,0.27
Armenia,ARM,2010,0.3
Armenia,ARM,2011,0.39
Armenia,ARM,2012,0.32
Armenia,ARM,2013,0.13
Armenia,ARM,2014,0.13
Australia,AUS,1961,0.88
Australia,AUS,1962,0.91
Australia,AUS,1963,0.96
Australia,AUS,1964,0.97
Australia,AUS,1965,1.05
Australia,AUS,1966,1.17
Australia,AUS,1967,1.3
Australia,AUS,1968,1.4
Australia,AUS,1969,1.52
Australia,AUS,1970,1.49
Australia,AUS,1971,1.51
Australia,AUS,1972,1.66
Australia,AUS,1973,1.87
Australia,AUS,1974,2.08
Australia,AUS,1975,2.18
Australia,AUS,1976,2.27
Australia,AUS,1977,2.36
Australia,AUS,1978,2.7
Australia,AUS,1979,2.83
Australia,AUS,1980,2.98
Australia,AUS,1981,3.12
Australia,AUS,1982,3.21
Australia,AUS,1983,3.3
Australia,AUS,1984,3.43
Australia,AUS,1985,3.47
Australia,AUS,1986,3.34
Australia,AUS,1987,3.31
Australia,AUS,1988,3.06
Australia,AUS,1989,2.92
Australia,AUS,1990,2.75
Australia,AUS,1991,2.87
Australia,AUS,1992,2.8
Australia,AUS,1993,2.67
Australia,AUS,1994,2.7
Australia,AUS,1995,2.66
Australia,AUS,1996,2.74
Australia,AUS,1997,2.86
Australia,AUS,1998,2.87
Australia,AUS,1999,2.94
Australia,AUS,2000,2.95
Australia,AUS,2001,2.91
Australia,AUS,2002,3.01
Australia,AUS,2003,3
Australia,AUS,2004,3.13
Australia,AUS,2005,3.53
Australia,AUS,2006,3.53
Australia,AUS,2007,3.7
Australia,AUS,2008,3.71
Australia,AUS,2009,3.78
Australia,AUS,2010,3.87
Australia,AUS,2011,3.79
Australia,AUS,2012,3.78
Australia,AUS,2013,3.7
Australia,AUS,2014,3.64
Austria,AUT,1960,2.81
Austria,AUT,1961,3.01
Austria,AUT,1962,2.9
Austria,AUT,1963,3
Austria,AUT,1964,3.1
Austria,AUT,1965,4
Austria,AUT,1966,4.7
Austria,AUT,1967,4.8
Austria,AUT,1968,5
Austria,AUT,1969,5
Austria,AUT,1970,5.2
Austria,AUT,1971,5.4
Austria,AUT,1972,5.4
Austria,AUT,1973,5.5
Austria,AUT,1974,5.3
Austria,AUT,1975,5.2
Austria,AUT,1976,5.4
Austria,AUT,1977,5.3
Austria,AUT,1978,5.1
Austria,AUT,1979,5.2
Austria,AUT,1980,5.1
Austria,AUT,1981,5
Austria,AUT,1982,5
Austria,AUT,1983,5.3
Austria,AUT,1984,5.1
Austria,AUT,1985,4.8
Austria,AUT,1986,4.6
Austria,AUT,1987,4.7
Austria,AUT,1988,4.8
Austria,AUT,1989,4.9
Austria,AUT,1990,4.8
Austria,AUT,1991,4.7
Austria,AUT,1992,4.6
Austria,AUT,1993,4.5
Austria,AUT,1994,4.3
Austria,AUT,1995,4.5
Austria,AUT,1996,4.4
Austria,AUT,1997,4.2
Austria,AUT,1998,4.3
Austria,AUT,1999,4.2
Austria,AUT,2000,4.3
Austria,AUT,2001,4.3
Austria,AUT,2002,4.4
Austria,AUT,2003,4.1
Austria,AUT,2004,3.8
Austria,AUT,2005,4.1
Austria,AUT,2006,4.2
Austria,AUT,2007,4.4
Austria,AUT,2008,3.9
Austria,AUT,2009,3.4
Austria,AUT,2010,4.3
Austria,AUT,2011,4.25
Austria,AUT,2012,4.3
Austria,AUT,2013,4.09
Austria,AUT,2014,4.37
Azerbaijan,AZE,1990,2.92
Azerbaijan,AZE,1991,2.88
Azerbaijan,AZE,1992,0.13
Azerbaijan,AZE,1993,0.47
Azerbaijan,AZE,1994,0.18
Azerbaijan,AZE,1995,0.13
Azerbaijan,AZE,1996,0.1
Azerbaijan,AZE,1997,0.16
Azerbaijan,AZE,1998,1.35
Azerbaijan,AZE,1999,0.89
Azerbaijan,AZE,2000,0.05
Azerbaijan,AZE,2001,0.05
Azerbaijan,AZE,2002,0.08
Azerbaijan,AZE,2003,0.03
Azerbaijan,AZE,2004,0.02
Azerbaijan,AZE,2005,0.03
Azerbaijan,AZE,2006,0.08
Azerbaijan,AZE,2007,0.17
Azerbaijan,AZE,2008,0.19
Azerbaijan,AZE,2009,0.22
Azerbaijan,AZE,2010,0.22
Azerbaijan,AZE,2011,0.22
Azerbaijan,AZE,2012,0.22
Azerbaijan,AZE,2013,0.23
Bahamas,BHS,1961,1.16
Bahamas,BHS,1962,1.08
Bahamas,BHS,1963,1.14
Bahamas,BHS,1964,1.28
Bahamas,BHS,1965,1.72
Bahamas,BHS,1966,1.62
Bahamas,BHS,1967,1.64
Bahamas,BHS,1968,1.57
Bahamas,BHS,1969,2.25
Bahamas,BHS,1970,2.04
Bahamas,BHS,1971,1.88
Bahamas,BHS,1972,2.08
Bahamas,BHS,1973,2.66
Bahamas,BHS,1974,2.08
Bahamas,BHS,1975,1.95
Bahamas,BHS,1976,2.87
Bahamas,BHS,1977,2.2
Bahamas,BHS,1978,2.24
Bahamas,BHS,1979,2.12
Bahamas,BHS,1980,2.15
Bahamas,BHS,1981,1.68
Bahamas,BHS,1982,3.03
Bahamas,BHS,1983,2.21
Bahamas,BHS,1984,1.92
Bahamas,BHS,1985,1.9
Bahamas,BHS,1986,1.83
Bahamas,BHS,1987,2.16
Bahamas,BHS,1988,1.41
Bahamas,BHS,1989,1.5
Bahamas,BHS,1990,1.98
Bahamas,BHS,1991,1.77
Bahamas,BHS,1992,1.63
Bahamas,BHS,1993,1.51
Bahamas,BHS,1994,1.33
Bahamas,BHS,1995,1.65
Bahamas,BHS,1996,0.81
Bahamas,BHS,1997,0.97
Bahamas,BHS,1998,0.93
Bahamas,BHS,1999,1.14
Bahamas,BHS,2000,1.79
Bahamas,BHS,2001,1.83
Bahamas,BHS,2002,1.46
Bahamas,BHS,2003,1.56
Bahamas,BHS,2004,1.28
Bahamas,BHS,2005,1.51
Bahamas,BHS,2006,2.12
Bahamas,BHS,2007,1.89
Bahamas,BHS,2008,1.66
Bahamas,BHS,2009,1.56
Bahamas,BHS,2010,1.46
Bahamas,BHS,2011,1.54
Bahamas,BHS,2012,1.64
Bahamas,BHS,2013,1.61
Bahamas,BHS,2014,1.6
Bahrain,BHR,1970,0.14
Bahrain,BHR,1971,0.16
Bahrain,BHR,1972,0.14
Bahrain,BHR,1973,0.21
Bahrain,BHR,1974,0.22
Bahrain,BHR,1975,0.36
Bahrain,BHR,1977,0.46
Bahrain,BHR,1979,0.18
Bahrain,BHR,1980,0.21
Bahrain,BHR,1981,0.23
Bahrain,BHR,1982,0.62
Bahrain,BHR,1983,0.56
Bahrain,BHR,1984,0.56
Bahrain,BHR,1985,0.49
Bahrain,BHR,1986,0.24
Bahrain,BHR,1987,0.46
Bahrain,BHR,1988,0.22
Bahrain,BHR,1989,0.22
Bahrain,BHR,1990,0.21
Bahrain,BHR,1991,0.1
Bahrain,BHR,1992,0.17
Bahrain,BHR,1993,0.16
Bahrain,BHR,1994,0.15
Bahrain,BHR,1995,0.12
Bahrain,BHR,1996,0.1
Bahrain,BHR,1997,0.24
Bahrain,BHR,1998,0.12
Bahrain,BHR,1999,0.15
Bahrain,BHR,2000,0.3
Bahrain,BHR,2001,0.15
Bahrain,BHR,2002,0.19
Bahrain,BHR,2003,0.14
Bahrain,BHR,2004,0.21
Bahrain,BHR,2005,0.19
Bahrain,BHR,2006,0.23
Bahrain,BHR,2007,0.26
Bahrain,BHR,2008,0.13
Bahrain,BHR,2009,0.14
Bahrain,BHR,2010,0.11
Bahrain,BHR,2011,0.12
Bahrain,BHR,2012,0.11
Bahrain,BHR,2013,0.12
Bahrain,BHR,2014,0.13
Bangladesh,BGD,1961,0
Bangladesh,BGD,1962,0
Bangladesh,BGD,1963,0
Bangladesh,BGD,1964,0
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0
Bangladesh,BGD,2007,0
Bangladesh,BGD,2008,0
Bangladesh,BGD,2009,0
Bangladesh,BGD,2010,0
Bangladesh,BGD,2011,0
Bangladesh,BGD,2012,0
Bangladesh,BGD,2013,0
Barbados,BRB,1990,0.36
Barbados,BRB,1991,0.38
Barbados,BRB,1992,0.34
Barbados,BRB,1993,0.33
Barbados,BRB,1994,0.43
Barbados,BRB,1995,0.41
Barbados,BRB,1996,0.4
Barbados,BRB,1997,0.46
Barbados,BRB,1998,0.25
Barbados,BRB,1999,0.53
Barbados,BRB,2000,0.61
Barbados,BRB,2001,0.49
Barbados,BRB,2002,0.55
Barbados,BRB,2003,0.72
Barbados,BRB,2004,0.68
Barbados,BRB,2005,0.75
Barbados,BRB,2006,0.92
Barbados,BRB,2007,1.12
Barbados,BRB,2008,1.05
Barbados,BRB,2009,0.89
Barbados,BRB,2010,0.93
Barbados,BRB,2011,0.89
Barbados,BRB,2012,0.79
Barbados,BRB,2013,0.87
Barbados,BRB,2014,0.83
Belarus,BLR,1988,0
Belarus,BLR,1989,1.34
Belarus,BLR,1990,1.28
Belarus,BLR,1991,1.25
Belarus,BLR,1992,0.24
Belarus,BLR,1993,0.48
Belarus,BLR,1994,0.66
Belarus,BLR,1995,0.41
Belarus,BLR,1996,0.28
Belarus,BLR,1997,0.37
Belarus,BLR,1998,0.72
Belarus,BLR,1999,0.83
Belarus,BLR,2000,0.17
Belarus,BLR,2001,0.37
Belarus,BLR,2002,0.41
Belarus,BLR,2003,0.49
Belarus,BLR,2004,0.22
Belarus,BLR,2005,0.62
Belarus,BLR,2006,0.77
Belarus,BLR,2007,0.82
Belarus,BLR,2008,0.72
Belarus,BLR,2009,0.62
Belarus,BLR,2010,0.75
Belarus,BLR,2011,0.35
Belarus,BLR,2012,0.37
Belarus,BLR,2013,0.37
Belarus,BLR,2014,0.37
Belgium,BEL,1963,1.01
Belgium,BEL,1964,1.33
Belgium,BEL,1965,1.62
Belgium,BEL,1966,1.4
Belgium,BEL,1967,1.53
Belgium,BEL,1968,1.72
Belgium,BEL,1969,1.75
Belgium,BEL,1970,2.04
Belgium,BEL,1971,2.08
Belgium,BEL,1972,2.23
Belgium,BEL,1973,2.25
Belgium,BEL,1974,2.32
Belgium,BEL,1975,2.52
Belgium,BEL,1976,2.31
Belgium,BEL,1977,2.52
Belgium,BEL,1978,2.47
Belgium,BEL,1979,2.82
Belgium,BEL,1980,2.83
Belgium,BEL,1981,2.87
Belgium,BEL,1982,2.96
Belgium,BEL,1983,2.95
Belgium,BEL,1984,3.11
Belgium,BEL,1985,3.08
Belgium,BEL,1986,2.93
Belgium,BEL,1987,3.1
Belgium,BEL,1988,3.41
Belgium,BEL,1989,3.09
Belgium,BEL,1990,3.34
Belgium,BEL,1991,3.21
Belgium,BEL,1992,3.33
Belgium,BEL,1993,3.44
Belgium,BEL,1994,3.22
Belgium,BEL,1995,3.35
Belgium,BEL,1996,3.35
Belgium,BEL,1997,3.34
Belgium,BEL,1998,2.59
Belgium,BEL,1999,2.67
Belgium,BEL,2000,4.05
Belgium,BEL,2001,3.99
Belgium,BEL,2002,4.26
Belgium,BEL,2003,4.06
Belgium,BEL,2004,4.26
Belgium,BEL,2005,4.22
Belgium,BEL,2006,4.37
Belgium,BEL,2007,4.27
Belgium,BEL,2008,3.83
Belgium,BEL,2009,3.66
Belgium,BEL,2010,3.71
Belgium,BEL,2011,3.71
Belgium,BEL,2012,3.73
Belgium,BEL,2013,4.26
Belgium,BEL,2014,4.53
Belize,BLZ,1961,0.06
Belize,BLZ,1962,0.06
Belize,BLZ,1963,0.06
Belize,BLZ,1964,0.07
Belize,BLZ,1965,0.05
Belize,BLZ,1966,0.03
Belize,BLZ,1967,0.03
Belize,BLZ,1968,0.07
Belize,BLZ,1969,0.06
Belize,BLZ,1970,0.06
Belize,BLZ,1971,0.06
Belize,BLZ,1972,0.06
Belize,BLZ,1973,0.09
Belize,BLZ,1974,0.13
Belize,BLZ,1975,0.08
Belize,BLZ,1976,0.08
Belize,BLZ,1977,0.05
Belize,BLZ,1978,0.11
Belize,BLZ,1979,0.16
Belize,BLZ,1980,0.14
Belize,BLZ,1981,0.16
Belize,BLZ,1982,0.16
Belize,BLZ,1983,0.14
Belize,BLZ,1984,0.15
Belize,BLZ,1985,0.17
Belize,BLZ,1986,0.21
Belize,BLZ,1987,0.18
Belize,BLZ,1988,0.18
Belize,BLZ,1990,0.12
Belize,BLZ,1991,0.08
Belize,BLZ,1992,0.11
Belize,BLZ,1993,0.12
Belize,BLZ,1994,0.11
Belize,BLZ,1995,0.08
Belize,BLZ,1996,0.1
Belize,BLZ,1997,0.07
Belize,BLZ,1998,0.07
Belize,BLZ,1999,0.06
Belize,BLZ,2000,0.14
Belize,BLZ,2001,0.14
Belize,BLZ,2002,0.11
Belize,BLZ,2003,0.15
Belize,BLZ,2004,0.12
Belize,BLZ,2005,0.14
Belize,BLZ,2006,0.12
Belize,BLZ,2007,0.16
Belize,BLZ,2008,0.14
Belize,BLZ,2009,0.17
Belize,BLZ,2010,0.13
Belize,BLZ,2011,0.14
Belize,BLZ,2012,0.2
Belize,BLZ,2013,0.17
Belize,BLZ,2014,0.2
Benin,BEN,1961,0.2
Benin,BEN,1962,0.22
Benin,BEN,1963,0.26
Benin,BEN,1964,0.23
Benin,BEN,1965,0.19
Benin,BEN,1966,0.19
Benin,BEN,1967,0.17
Benin,BEN,1968,0.21
Benin,BEN,1969,0.17
Benin,BEN,1970,0.17
Benin,BEN,1971,0.2
Benin,BEN,1972,0.18
Benin,BEN,1973,0.16
Benin,BEN,1974,0.13
Benin,BEN,1975,0.21
Benin,BEN,1976,0.21
Benin,BEN,1977,0.24
Benin,BEN,1978,0.19
Benin,BEN,1979,0.18
Benin,BEN,1980,0.11
Benin,BEN,1981,0.18
Benin,BEN,1982,0.15
Benin,BEN,1983,0.09
Benin,BEN,1984,0.08
Benin,BEN,1985,0.07
Benin,BEN,1986,0.12
Benin,BEN,1987,0.11
Benin,BEN,1988,0.1
Benin,BEN,1989,0.09
Benin,BEN,1990,0.07
Benin,BEN,1991,0.05
Benin,BEN,1992,0.08
Benin,BEN,1993,0.11
Benin,BEN,1994,0.04
Benin,BEN,1995,0.06
Benin,BEN,1996,0.09
Benin,BEN,1997,0.1
Benin,BEN,1998,0.12
Benin,BEN,1999,0.12
Benin,BEN,2000,0.12
Benin,BEN,2001,0.12
Benin,BEN,2002,0.1
Benin,BEN,2003,0.12
Benin,BEN,2004,0.12
Benin,BEN,2005,0.14
Benin,BEN,2006,0.17
Benin,BEN,2007,0.17
Benin,BEN,2008,0.16
Benin,BEN,2009,0.2
Benin,BEN,2010,0.25
Benin,BEN,2011,0.22
Bhutan,BTN,1961,0
Bhutan,BTN,1962,0
Bhutan,BTN,1963,0
Bhutan,BTN,1964,0
Bhutan,BTN,1965,0
Bhutan,BTN,1966,0
