Entity,Code,Year,Pesticides Use - Insecticides - 1309 - Agricultural Use - 5157 - tonnes (tonnes)
Austria,AUT,1993,141
Austria,AUT,1994,137
Austria,AUT,1995,123
Austria,AUT,1996,98
Austria,AUT,1997,100
Austria,AUT,1998,87
Austria,AUT,1999,90
Austria,AUT,2000,104.5
Austria,AUT,2001,99
Austria,AUT,2002,97.3
Austria,AUT,2003,108.2
Austria,AUT,2004,119.1
Austria,AUT,2005,144.1
Austria,AUT,2006,130.9
Austria,AUT,2007,188.1
Austria,AUT,2008,145.8
Austria,AUT,2009,164.8
Austria,AUT,2010,155.6
Austria,AUT,2011,293
Austria,AUT,2012,280.3
Austria,AUT,2013,282.5
Austria,AUT,2014,266.9
Austria,AUT,2015,230.3
Austria,AUT,2016,250.6
Austria,AUT,2017,1231.7
Azerbaijan,AZE,2007,43.65
Azerbaijan,AZE,2008,105.5
Azerbaijan,AZE,2009,84.12
Azerbaijan,AZE,2010,77.2
Azerbaijan,AZE,2011,132.14
Azerbaijan,AZE,2012,162.5
Azerbaijan,AZE,2013,148.3
Azerbaijan,AZE,2014,168.8
Azerbaijan,AZE,2015,159.3
Azerbaijan,AZE,2016,169.2
Bahamas,BHS,2000,250.03
Bahamas,BHS,2001,178
Bahamas,BHS,2002,208.86
Bahamas,BHS,2003,191.31
Bahamas,BHS,2004,187.54
Bahamas,BHS,2005,205.43
Bahamas,BHS,2006,178.27
Bahrain,BHR,1993,8
Bahrain,BHR,1994,26
Bahrain,BHR,1995,7
Bahrain,BHR,1996,8
Bahrain,BHR,1997,7
Bahrain,BHR,1998,9
Bahrain,BHR,1999,10
Bahrain,BHR,2000,6.05
Bahrain,BHR,2001,6
Bahrain,BHR,2003,4.52
Bahrain,BHR,2004,9.25
Bahrain,BHR,2005,10.12
Bahrain,BHR,2006,9.09
Bahrain,BHR,2007,10.58
Bahrain,BHR,2008,6
Bahrain,BHR,2009,8.1
Bahrain,BHR,2010,6.72
Bahrain,BHR,2011,5.33
Bangladesh,BGD,1990,955
Bangladesh,BGD,1991,992
Bangladesh,BGD,1992,1102
Bangladesh,BGD,1993,1124
Bangladesh,BGD,1995,1154
Bangladesh,BGD,1996,1300
Bangladesh,BGD,1997,1411
Bangladesh,BGD,1998,1368
Bangladesh,BGD,1999,1651
Bangladesh,BGD,2000,1909
Bangladesh,BGD,2001,963.54
Bangladesh,BGD,2002,832.25
Bangladesh,BGD,2003,955.19
Bangladesh,BGD,2004,1066.71
Bangladesh,BGD,2005,1259.73
Bangladesh,BGD,2006,1470.58
Bangladesh,BGD,2007,1849.7
Bangladesh,BGD,2008,2183.56
Bangladesh,BGD,2009,2475.78
Bangladesh,BGD,2010,2681.68
Bangladesh,BGD,2011,2410.73
Bangladesh,BGD,2012,1907.21
Bangladesh,BGD,2013,1747.4
Bangladesh,BGD,2014,1596.3
Bangladesh,BGD,2015,1616.44
Bangladesh,BGD,2016,1925.38
Bangladesh,BGD,2017,2184.38
Barbados,BRB,1993,188
Barbados,BRB,1994,102
Barbados,BRB,1995,121
Barbados,BRB,1996,120
Barbados,BRB,1997,50.37
Belarus,BLR,2011,78.89
Belarus,BLR,2012,94.52
Belarus,BLR,2013,107.82
Belarus,BLR,2014,104.87
Belarus,BLR,2015,83.98
Belarus,BLR,2016,71.27
Belarus,BLR,2017,69.32
Belgium,BEL,2000,925.5
Belgium,BEL,2001,893.2
Belgium,BEL,2002,806
Belgium,BEL,2003,839
Belgium,BEL,2004,848
Belgium,BEL,2005,930
Belgium,BEL,2007,374.28
Belgium,BEL,2008,460.37
Belgium,BEL,2009,454.47
Belgium,BEL,2010,605.63
Belgium,BEL,2011,658.98
Belgium,BEL,2012,563.31
Belgium,BEL,2013,620.2
Belgium,BEL,2014,556.04
Belgium,BEL,2015,560.53
Belgium,BEL,2016,560.9
Belgium,BEL,2017,550.9
Belgium-Luxembourg,,1993,1210
Belgium-Luxembourg,,1994,1066
Belgium-Luxembourg,,1995,1160
Belgium-Luxembourg,,1996,1222
Belgium-Luxembourg,,1997,1176
Belgium-Luxembourg,,1998,1029.7
Belgium-Luxembourg,,1999,1008
Belize,BLZ,1990,455
Belize,BLZ,1991,360
Belize,BLZ,1992,594
Belize,BLZ,1998,639
Belize,BLZ,1999,629
Belize,BLZ,2000,502
Belize,BLZ,2001,405
Belize,BLZ,2006,46.88
Belize,BLZ,2007,54.82
Belize,BLZ,2008,36.22
Belize,BLZ,2009,17.19
Belize,BLZ,2010,56.26
Belize,BLZ,2011,68.48
Belize,BLZ,2012,74.64
Belize,BLZ,2013,55.67
Belize,BLZ,2014,55.18
Belize,BLZ,2015,60.49
Belize,BLZ,2016,50.14
Belize,BLZ,2017,52.37
Bermuda,BMU,2013,52.58
Bermuda,BMU,2014,42.09
Bermuda,BMU,2015,44.38
Bermuda,BMU,2016,51.75
Bhutan,BTN,1990,2.34
Bhutan,BTN,1991,1.91
Bhutan,BTN,1992,1.01
Bhutan,BTN,1993,0.93
Bhutan,BTN,1994,0.6
Bhutan,BTN,1995,1.17
Bhutan,BTN,1996,1.51
Bhutan,BTN,1997,0.04
Bhutan,BTN,1998,0.01
Bhutan,BTN,1999,0.02
Bhutan,BTN,2000,0.02
Bhutan,BTN,2002,0.2
Bhutan,BTN,2003,0.35
Bhutan,BTN,2004,0.95
Bhutan,BTN,2005,0.22
Bhutan,BTN,2006,0.22
Bhutan,BTN,2007,0.3
Bhutan,BTN,2008,0.28
Bhutan,BTN,2009,0.28
Bhutan,BTN,2010,0.36
Bhutan,BTN,2011,0.53
Bhutan,BTN,2012,0.48
Bhutan,BTN,2013,0.49
Bhutan,BTN,2014,0.51
Bhutan,BTN,2015,0.52
Bhutan,BTN,2016,0.53
Bolivia,BOL,1990,321.78
Bolivia,BOL,1991,360.22
Bolivia,BOL,1992,173.91
Bolivia,BOL,1993,398.04
Bolivia,BOL,2003,1060.73
Bolivia,BOL,2004,1347.11
Bolivia,BOL,2005,1715.85
Bolivia,BOL,2006,1814.4
Bolivia,BOL,2007,1878.29
Bolivia,BOL,2008,1843.69
Bolivia,BOL,2009,2257.14
Bolivia,BOL,2010,3056.29
Bolivia,BOL,2011,2849.21
Bolivia,BOL,2012,2909.66
Bolivia,BOL,2013,2910.99
Bolivia,BOL,2014,2763.34
Bolivia,BOL,2015,2520.26
Bolivia,BOL,2016,2619.45
Botswana,BWA,1990,14
Botswana,BWA,1991,14
Botswana,BWA,1992,13
Brazil,BRA,1990,18388
Brazil,BRA,1999,28907
Brazil,BRA,2000,28382
Brazil,BRA,2001,29799
Brazil,BRA,2002,29208
Brazil,BRA,2003,34049
Brazil,BRA,2004,43192
Brazil,BRA,2005,43763
Brazil,BRA,2006,45435
Brazil,BRA,2007,57421
Brazil,BRA,2008,65642
Brazil,BRA,2009,61180
Brazil,BRA,2010,66471
Brazil,BRA,2011,60614
Brazil,BRA,2012,57170
Brazil,BRA,2013,70424
Brazil,BRA,2014,77043
Brazil,BRA,2015,71663
Brazil,BRA,2016,60607
Brunei,BRN,2005,1.45
Brunei,BRN,2006,3.54
Brunei,BRN,2007,2.17
Brunei,BRN,2008,2.43
Brunei,BRN,2009,3.74
Brunei,BRN,2010,6.16
Brunei,BRN,2011,0.54
Brunei,BRN,2012,0.57
Brunei,BRN,2013,0.26
Brunei,BRN,2014,1.2
Bulgaria,BGR,1992,486
Bulgaria,BGR,2012,83
Bulgaria,BGR,2013,111
Bulgaria,BGR,2014,163
Bulgaria,BGR,2015,286.4
Bulgaria,BGR,2016,702.8
Bulgaria,BGR,2017,373.6
Burkina Faso,BFA,1992,29.1
Burkina Faso,BFA,1993,17
Burkina Faso,BFA,1994,5
Burkina Faso,BFA,1995,1.04
Burkina Faso,BFA,1998,104.55
Burkina Faso,BFA,2003,21.42
Burkina Faso,BFA,2004,0.22
Burkina Faso,BFA,2005,90.63
Burkina Faso,BFA,2006,106.87
Burkina Faso,BFA,2007,271.56
Burkina Faso,BFA,2008,188.66
Burkina Faso,BFA,2009,110.41
Burkina Faso,BFA,2010,109.69
Burkina Faso,BFA,2011,186
Burundi,BDI,1992,74.42
Burundi,BDI,1993,82.66
Burundi,BDI,1994,55.22
Burundi,BDI,1995,101.02
Burundi,BDI,1996,178
Burundi,BDI,1997,85.46
Burundi,BDI,1998,74.34
Burundi,BDI,1999,88.14
Burundi,BDI,2000,30.15
Burundi,BDI,2001,22.43
Burundi,BDI,2002,31.57
Burundi,BDI,2003,18.52
Burundi,BDI,2004,13.98
Burundi,BDI,2005,14.21
Burundi,BDI,2006,103.66
Burundi,BDI,2007,287.33
Burundi,BDI,2008,315.27
Burundi,BDI,2009,38.12
Burundi,BDI,2010,28.96
Burundi,BDI,2011,40.41
Burundi,BDI,2012,41.12
Burundi,BDI,2013,9.07
Burundi,BDI,2014,13.39
Burundi,BDI,2015,18.34
Burundi,BDI,2016,12.49
Cameroon,CMR,1990,298.84
Cameroon,CMR,1991,80.91
Cameroon,CMR,1992,183.83
Cameroon,CMR,1995,0.35
Cameroon,CMR,1996,21.68
Cameroon,CMR,1997,39.07
Cameroon,CMR,1998,59
Cameroon,CMR,1999,89
Cameroon,CMR,2000,85
Cameroon,CMR,2001,113
Cameroon,CMR,2002,137.77
Cameroon,CMR,2003,164.03
Cameroon,CMR,2004,179.68
Cameroon,CMR,2005,133.25
Cameroon,CMR,2006,197.36
Cameroon,CMR,2007,195.95
Cameroon,CMR,2008,162.49
Cameroon,CMR,2009,133.52
Cameroon,CMR,2010,229.15
Cameroon,CMR,2011,242.6
Canada,CAN,1990,2913
Canada,CAN,1994,3426
Canada,CAN,1999,2259
Canada,CAN,2000,2059
Canada,CAN,2001,1923
Canada,CAN,2002,1711
Canada,CAN,2003,2848
Canada,CAN,2004,2168
Canada,CAN,2005,1455
Canada,CAN,2006,1287.6
Canada,CAN,2008,3010.1
Canada,CAN,2009,2525
Canada,CAN,2010,3007.4
Canada,CAN,2011,3164.3
Canada,CAN,2012,3773.4
Canada,CAN,2013,3708.1
Canada,CAN,2014,3455.2
Canada,CAN,2015,3702.96
Canada,CAN,2016,5116.4
Cape Verde,CPV,1993,1
Cape Verde,CPV,1994,2
Cape Verde,CPV,1995,0.66
Cape Verde,CPV,1996,0.43
Cape Verde,CPV,1997,1.51
Cape Verde,CPV,1998,1.89
Cape Verde,CPV,1999,6
Cape Verde,CPV,2000,3
Cape Verde,CPV,2001,4
Central African Republic,CAF,1992,0
Central African Republic,CAF,1993,0.24
Central African Republic,CAF,1994,2.1
Central African Republic,CAF,1995,22.36
Chad,TCD,1990,57
Chad,TCD,1991,49
Chad,TCD,1992,43
Chad,TCD,1993,5
Chad,TCD,1994,15
Chad,TCD,1995,2
Chad,TCD,1996,1
Chad,TCD,1997,42
Chile,CHL,1999,1866
Chile,CHL,2004,1436.32
Colombia,COL,1990,4006
Colombia,COL,1991,3507
Colombia,COL,1992,2682
Colombia,COL,1993,2281
Colombia,COL,1994,2569
Colombia,COL,1995,4240
Colombia,COL,1996,3485
Colombia,COL,1997,2730
Colombia,COL,1998,8420
Colombia,COL,1999,12217
Colombia,COL,2000,12743
Colombia,COL,2001,11521.37
Colombia,COL,2002,9875.16
Colombia,COL,2003,11430.38
Colombia,COL,2004,16181.37
Colombia,COL,2005,36456.59
Colombia,COL,2006,12121.74
Colombia,COL,2007,11714.51
Colombia,COL,2008,8198.92
Colombia,COL,2009,7457.54
Colombia,COL,2010,8717.6
Colombia,COL,2011,12198
Colombia,COL,2012,5115.8
Colombia,COL,2013,9401.38
Colombia,COL,2014,7688.5
Colombia,COL,2015,3624
Colombia,COL,2016,3210
Colombia,COL,2017,4440.5
Comoros,COM,2000,0.05
Comoros,COM,2006,0.07
Comoros,COM,2007,0.05
Comoros,COM,2008,0.04
Comoros,COM,2009,0.01
Congo,COG,1990,25
Congo,COG,1991,28
Congo,COG,1993,28
Congo,COG,1994,7
Congo,COG,1995,8
Congo,COG,1996,10
Congo,COG,2009,1.3
Congo,COG,2010,0.2
Cook Islands,COK,1995,0.18
Cook Islands,COK,1996,0.2
Cook Islands,COK,1997,0.55
Cook Islands,COK,1998,0.53
Cook Islands,COK,1999,0.51
Cook Islands,COK,2000,0.51
Cook Islands,COK,2002,0.64
Cook Islands,COK,2003,0.84
Cook Islands,COK,2004,0.84
Cook Islands,COK,2005,1.04
Cook Islands,COK,2006,1.04
Cook Islands,COK,2007,1.05
Cook Islands,COK,2008,1.06
Cook Islands,COK,2009,1.07
Costa Rica,CRI,1993,686.97
Costa Rica,CRI,1995,253.93
Costa Rica,CRI,1996,831.75
Costa Rica,CRI,1997,1067.62
Costa Rica,CRI,1998,1470
Costa Rica,CRI,1999,1950
Costa Rica,CRI,2000,2359
Costa Rica,CRI,2001,1468
Costa Rica,CRI,2002,1855
Costa Rica,CRI,2003,1700
Costa Rica,CRI,2004,1570
Costa Rica,CRI,2005,1850
Costa Rica,CRI,2006,1858
Costa Rica,CRI,2007,2120.9
Costa Rica,CRI,2008,2097.2
Costa Rica,CRI,2009,1687.9
Costa Rica,CRI,2010,2148.52
Costa Rica,CRI,2011,2101.16
Cote d'Ivoire,CIV,1994,88
Cote d'Ivoire,CIV,1995,88
Cote d'Ivoire,CIV,1996,75
Croatia,HRV,1992,461
Croatia,HRV,1995,204
Croatia,HRV,1996,148
Croatia,HRV,2004,167
Croatia,HRV,2005,114
Croatia,HRV,2006,88
Croatia,HRV,2007,81
Croatia,HRV,2008,96
Croatia,HRV,2009,77
Croatia,HRV,2010,58
Croatia,HRV,2013,74.34
Croatia,HRV,2014,143.1
Croatia,HRV,2015,139.2
Croatia,HRV,2016,136.04
Croatia,HRV,2017,115.25
Cyprus,CYP,1990,333.7
Cyprus,CYP,1991,377
Cyprus,CYP,1992,261
Cyprus,CYP,1993,322.2
Cyprus,CYP,1994,389.03
Cyprus,CYP,1995,306.04
Cyprus,CYP,1996,358.02
Cyprus,CYP,1997,294.08
Cyprus,CYP,2000,234.6
Cyprus,CYP,2001,302
Cyprus,CYP,2002,211
Cyprus,CYP,2003,220
Cyprus,CYP,2004,215
Cyprus,CYP,2005,231
Cyprus,CYP,2006,282
Cyprus,CYP,2007,179
Cyprus,CYP,2008,175
Cyprus,CYP,2009,311
Cyprus,CYP,2010,223
Cyprus,CYP,2011,157.4
Cyprus,CYP,2012,248.82
Cyprus,CYP,2014,180.65
Cyprus,CYP,2015,117.55
Cyprus,CYP,2016,109.8
Cyprus,CYP,2017,156.71
Czech Republic,CZE,1993,120.1
Czech Republic,CZE,1994,123.15
Czech Republic,CZE,1995,101.2
Czech Republic,CZE,1996,95.1
Czech Republic,CZE,1997,91.03
Czech Republic,CZE,1998,118.03
Czech Republic,CZE,1999,112.02
Czech Republic,CZE,2000,147.52
Czech Republic,CZE,2001,156.89
Czech Republic,CZE,2002,171.77
Czech Republic,CZE,2003,139.89
Czech Republic,CZE,2004,165.11
Czech Republic,CZE,2005,159.44
Czech Republic,CZE,2006,171.9
Czech Republic,CZE,2007,211.49
Czech Republic,CZE,2008,359
Czech Republic,CZE,2009,265
Czech Republic,CZE,2010,212
Czech Republic,CZE,2011,241.26
Czech Republic,CZE,2012,235.3
Czech Republic,CZE,2013,268.68
Czech Republic,CZE,2014,283.6
Czech Republic,CZE,2015,252.8
Czech Republic,CZE,2016,251.5
Czech Republic,CZE,2017,220.34
Denmark,DNK,1990,259
Denmark,DNK,1991,146
Denmark,DNK,1992,128
Denmark,DNK,1993,107
Denmark,DNK,1994,95
Denmark,DNK,1995,230
Denmark,DNK,1996,36
Denmark,DNK,1997,51
Denmark,DNK,1998,55
Denmark,DNK,1999,46
Denmark,DNK,2000,53
Denmark,DNK,2001,71
Denmark,DNK,2002,43
Denmark,DNK,2003,46
Denmark,DNK,2004,22
Denmark,DNK,2005,36
Denmark,DNK,2006,57
Denmark,DNK,2007,28
Denmark,DNK,2008,38
Denmark,DNK,2009,40
Denmark,DNK,2010,33
Denmark,DNK,2011,29.91
Denmark,DNK,2012,70
Denmark,DNK,2013,143
Denmark,DNK,2014,18.89
Denmark,DNK,2015,67.78
Denmark,DNK,2016,54.96
Denmark,DNK,2017,42.63
Dominican Republic,DOM,1994,2420
Dominican Republic,DOM,1995,686
Dominican Republic,DOM,1996,712
Dominican Republic,DOM,1997,727
Dominican Republic,DOM,1998,892
Dominican Republic,DOM,1999,913
Dominican Republic,DOM,2000,794
Dominican Republic,DOM,2001,900
Dominican Republic,DOM,2003,108.41
Dominican Republic,DOM,2004,262.74
Dominican Republic,DOM,2005,282.14
Dominican Republic,DOM,2006,288.24
Dominican Republic,DOM,2007,362.16
Dominican Republic,DOM,2008,459.67
Dominican Republic,DOM,2009,551.24
Dominican Republic,DOM,2010,609.43
Dominican Republic,DOM,2014,668.6
Dominican Republic,DOM,2015,734.61
Dominican Republic,DOM,2016,1205.59
Dominican Republic,DOM,2017,653.28
Ecuador,ECU,1990,450
Ecuador,ECU,1991,374
Ecuador,ECU,1992,340
Ecuador,ECU,1993,187
Ecuador,ECU,1994,591
Ecuador,ECU,1995,501
Ecuador,ECU,1996,550
Ecuador,ECU,1997,1026
Ecuador,ECU,1998,1483
Ecuador,ECU,1999,1721
Ecuador,ECU,2000,1842
Ecuador,ECU,2001,1034
Ecuador,ECU,2002,355.54
Ecuador,ECU,2003,2460.75
Ecuador,ECU,2004,9835.53
Ecuador,ECU,2005,14357.2
Ecuador,ECU,2006,5034.29
Ecuador,ECU,2007,7693.99
Ecuador,ECU,2008,1650.19
Ecuador,ECU,2009,1155.29
Ecuador,ECU,2010,7689.61
Ecuador,ECU,2011,4520.58
Ecuador,ECU,2012,1145.83
Ecuador,ECU,2013,1152.82
Ecuador,ECU,2014,6785.05
Ecuador,ECU,2015,5519.2
Ecuador,ECU,2016,4635.91
Ecuador,ECU,2017,4700.84
Egypt,EGY,1990,4233
Egypt,EGY,1991,3891
Egypt,EGY,1992,3667
Egypt,EGY,1993,2415
Egypt,EGY,2005,3477
Egypt,EGY,2006,4905
Egypt,EGY,2007,4777
Egypt,EGY,2008,3603
Egypt,EGY,2009,3304
Egypt,EGY,2010,4390
Egypt,EGY,2011,5148
Egypt,EGY,2012,4808
Egypt,EGY,2013,4226
Egypt,EGY,2014,3113
Egypt,EGY,2015,3199.32
El Salvador,SLV,1990,1517
El Salvador,SLV,1991,2603
El Salvador,SLV,2005,711.31
El Salvador,SLV,2006,228.7
El Salvador,SLV,2007,227.84
El Salvador,SLV,2008,600.8
El Salvador,SLV,2009,908.62
El Salvador,SLV,2010,640.58
El Salvador,SLV,2011,216.39
El Salvador,SLV,2012,282.75
El Salvador,SLV,2013,3372.48
El Salvador,SLV,2014,1679.46
Eritrea,ERI,1996,4.44
Eritrea,ERI,1997,30.92
Eritrea,ERI,1998,19.61
Eritrea,ERI,2001,27.5
Estonia,EST,1992,18
Estonia,EST,1993,4
Estonia,EST,1994,2
Estonia,EST,1995,2
Estonia,EST,1996,1
Estonia,EST,1997,2
Estonia,EST,1998,2
Estonia,EST,1999,3
Estonia,EST,2000,3
Estonia,EST,2001,3
Estonia,EST,2002,6
Estonia,EST,2003,5
Estonia,EST,2004,2
Estonia,EST,2005,7
Estonia,EST,2006,9
Estonia,EST,2007,18
Estonia,EST,2008,22
Estonia,EST,2009,16
Estonia,EST,2010,20
Estonia,EST,2011,21
Estonia,EST,2012,24
Estonia,EST,2013,22
Estonia,EST,2014,28
Estonia,EST,2015,13
Ethiopia,ETH,1995,138
Ethiopia,ETH,1996,79
Ethiopia,ETH,1998,165
Ethiopia,ETH,2000,38
Ethiopia,ETH,2001,153
Ethiopia,ETH,2005,45.9
Ethiopia,ETH,2006,608.9
Ethiopia,ETH,2007,666.4
Ethiopia,ETH,2008,457.8
Ethiopia,ETH,2009,370.9
Ethiopia,ETH,2010,638.4
Fiji,FJI,1990,97.34
Fiji,FJI,1991,126.17
Fiji,FJI,1992,102.3
Fiji,FJI,2008,372.55
Fiji,FJI,2009,353.51
Fiji,FJI,2010,388.5
Fiji,FJI,2011,370.39
Fiji,FJI,2012,310.81
Fiji,FJI,2013,324.63
Finland,FIN,1990,98
Finland,FIN,1991,68
Finland,FIN,1992,86
Finland,FIN,1993,118
Finland,FIN,1994,71
Finland,FIN,1995,51
Finland,FIN,1996,48
Finland,FIN,1997,40
Finland,FIN,1998,40
Finland,FIN,1999,61
Finland,FIN,2000,44.21
Finland,FIN,2001,27.85
Finland,FIN,2002,52.8
Finland,FIN,2003,37.98
Finland,FIN,2004,25.14
Finland,FIN,2005,31.47
Finland,FIN,2006,27.69
Finland,FIN,2007,27.63
Finland,FIN,2008,28.24
Finland,FIN,2009,26.45
Finland,FIN,2010,23.26
Finland,FIN,2011,19.17
Finland,FIN,2012,21.33
Finland,FIN,2013,17.67
Finland,FIN,2014,18.18
Finland,FIN,2015,24.1
Finland,FIN,2016,21.1
Finland,FIN,2017,32.9
France,FRA,1990,11039
France,FRA,1991,10673
France,FRA,1992,6110
France,FRA,1993,5408
France,FRA,1994,4558
France,FRA,1995,8848
France,FRA,1996,7603
France,FRA,1997,6074
France,FRA,1998,4672
France,FRA,1999,3250
France,FRA,2000,3103
France,FRA,2001,2488
France,FRA,2002,2308
France,FRA,2003,2224
France,FRA,2004,2460
France,FRA,2005,2506
France,FRA,2006,2140
France,FRA,2007,2101
France,FRA,2008,1254
France,FRA,2009,1121
France,FRA,2010,1033
France,FRA,2011,2486.3
France,FRA,2012,2897.1
France,FRA,2013,3318.3
France,FRA,2014,3483.9
France,FRA,2015,3324.2
France,FRA,2016,4460.9
France,FRA,2017,4505.9
French Polynesia,PYF,2002,12.08
French Polynesia,PYF,2004,14.8
French Polynesia,PYF,2005,14.75
French Polynesia,PYF,2006,16.06
French Polynesia,PYF,2007,13.9
French Polynesia,PYF,2008,18.47
French Polynesia,PYF,2009,14.88
French Polynesia,PYF,2010,6.65
French Polynesia,PYF,2011,15.67
French Polynesia,PYF,2012,11.53
French Polynesia,PYF,2013,6.24
French Polynesia,PYF,2014,9.65
French Polynesia,PYF,2015,16.59
French Polynesia,PYF,2016,3.99
Gambia,GMB,1992,2
Gambia,GMB,1993,3
Gambia,GMB,1994,2
Gambia,GMB,1995,8.04
Gambia,GMB,1996,7
Gambia,GMB,2000,269
Gambia,GMB,2001,226
Gambia,GMB,2002,244
Gambia,GMB,2003,340
Gambia,GMB,2004,502
Gambia,GMB,2005,629
Gambia,GMB,2006,1170
Gambia,GMB,2007,408
Germany,DEU,1990,1838
Germany,DEU,1991,1477
Germany,DEU,1992,1098
Germany,DEU,1993,1790
Germany,DEU,1994,1439
Germany,DEU,1995,1518
Germany,DEU,1996,1296
Germany,DEU,1997,1311
Germany,DEU,1998,1442
Germany,DEU,1999,1362
Germany,DEU,2000,1380.35
Germany,DEU,2001,1308.7
Germany,DEU,2002,1412.29
Germany,DEU,2003,1038.14
Germany,DEU,2004,1201.66
Germany,DEU,2005,963.31
Germany,DEU,2006,776.24
Germany,DEU,2007,1370.44
Germany,DEU,2008,1175.57
Germany,DEU,2009,1355.56
Germany,DEU,2010,1243.79
Germany,DEU,2011,1109.39
Germany,DEU,2012,1090.47
Germany,DEU,2013,1095.5
Germany,DEU,2014,804.67
Germany,DEU,2015,980.65
Germany,DEU,2016,15344.62
Germany,DEU,2017,14467.1
Ghana,GHA,1995,32.4
Ghana,GHA,1996,1167.5
Ghana,GHA,1997,337
Ghana,GHA,1998,112.78
Ghana,GHA,1999,56.56
Ghana,GHA,2000,47
Ghana,GHA,2001,47
Ghana,GHA,2002,49.03
Ghana,GHA,2004,57.52
Ghana,GHA,2005,120.76
Ghana,GHA,2006,527.59
Ghana,GHA,2007,45.68
Ghana,GHA,2008,163.84
Ghana,GHA,2009,155.14
Greece,GRC,1991,2150
Greece,GRC,1992,2290
Greece,GRC,1993,2362
Greece,GRC,1994,2239
Greece,GRC,1995,1696
Greece,GRC,1996,2120
Greece,GRC,1997,3083
Greece,GRC,1998,2505
Greece,GRC,1999,2835
Greece,GRC,2000,2864
Greece,GRC,2001,2638
Greece,GRC,2002,3056
Greece,GRC,2003,2663
Greece,GRC,2004,2627
Greece,GRC,2005,3108
Greece,GRC,2006,1993
Greece,GRC,2007,2238.6
Greece,GRC,2008,1636.7
Greece,GRC,2009,1016.4
Greece,GRC,2010,1579.4
Greece,GRC,2011,3122.7
Greece,GRC,2012,2892.7
Greece,GRC,2013,3026.33
Greece,GRC,2014,3905.76
Greece,GRC,2015,3178
Greece,GRC,2016,3845.98
Greece,GRC,2017,3954.52
