Entity,Code,Year,Percentage of enrolment in tertiary education in private institutions (%) (%)
Aruba,ABW,2012,21.2132797241211
Aruba,ABW,2013,51.5664710998535
Aruba,ABW,2014,50.4453392028809
Australia,AUS,1998,0.57490998506546
Australia,AUS,1999,0.251170009374619
Australia,AUS,2000,0.251199990510941
Australia,AUS,2001,0.384600013494492
Australia,AUS,2002,0.216059997677803
Australia,AUS,2003,0.412339985370636
Australia,AUS,2004,0.802590012550354
Australia,AUS,2005,1.51982998847961
Australia,AUS,2006,2.194580078125
Australia,AUS,2007,4.28840017318726
Australia,AUS,2008,5.0175199508667
Australia,AUS,2009,5.83699989318848
Australia,AUS,2010,7.54680013656616
Australia,AUS,2011,8.78862953186035
Australia,AUS,2012,8.86913013458252
Australia,AUS,2013,8.47766017913818
Australia,AUS,2014,8.54195022583008
Austria,AUT,1999,6.64074993133545
Austria,AUT,2002,10.7984895706177
Austria,AUT,2004,11.8844404220581
Austria,AUT,2005,12.8047103881836
Austria,AUT,2008,15.9246597290039
Austria,AUT,2009,16.6895999908447
Austria,AUT,2010,16.2733097076416
Austria,AUT,2013,15.8032503128052
Austria,AUT,2014,16.4632396697998
Azerbaijan,AZE,2006,15.0099601745605
Azerbaijan,AZE,2007,14.1741399765015
Azerbaijan,AZE,2008,13.7771902084351
Azerbaijan,AZE,2009,12.4032001495361
Azerbaijan,AZE,2010,13.0135498046875
Azerbaijan,AZE,2011,12.0326700210571
Azerbaijan,AZE,2012,11.385350227356
Azerbaijan,AZE,2013,11.5256700515747
Azerbaijan,AZE,2014,11.0772199630737
Bahrain,BHR,2014,36.2028694152832
Bangladesh,BGD,1999,58.8840789794922
Bangladesh,BGD,2000,62.7043304443359
Bangladesh,BGD,2001,63.5058097839355
Bangladesh,BGD,2002,58.4747085571289
Bangladesh,BGD,2003,58.3070297241211
Bangladesh,BGD,2004,53.2555618286133
Bangladesh,BGD,2005,46.8078117370605
Bangladesh,BGD,2006,48.832160949707
Bangladesh,BGD,2007,49.2313194274902
Bangladesh,BGD,2008,50.1573905944824
Bangladesh,BGD,2009,43.026969909668
Bangladesh,BGD,2011,45.1673698425293
Bangladesh,BGD,2012,43.0269584655762
Bangladesh,BGD,2014,43.0269508361816
Belarus,BLR,1999,10.3403396606445
Belarus,BLR,2000,8.89208030700684
Belarus,BLR,2002,10.4991102218628
Belarus,BLR,2003,11.3596601486206
Belarus,BLR,2004,14.9118995666504
Belarus,BLR,2005,14.0834197998047
Belarus,BLR,2006,13.5646200180054
Belarus,BLR,2007,13.27952003479
Belarus,BLR,2008,13.2541303634644
Belarus,BLR,2009,13.2355699539185
Belarus,BLR,2010,13.2186498641968
Belarus,BLR,2011,13.367790222168
Belarus,BLR,2012,12.6696100234985
Belarus,BLR,2013,11.4680995941162
Belarus,BLR,2014,10.3064699172974
Belgium,BEL,2004,55.387580871582
Belgium,BEL,2005,55.0485610961914
Belgium,BEL,2006,55.3696899414063
Belgium,BEL,2007,55.8225212097168
Belgium,BEL,2008,56.5006484985352
Belgium,BEL,2009,57.0381393432617
Belgium,BEL,2013,57.5881118774414
Belgium,BEL,2014,57.0746688842773
Belize,BLZ,2010,96.8179168701172
Belize,BLZ,2012,96.171501159668
Belize,BLZ,2013,96.151123046875
Benin,BEN,2006,16.2687892913818
Benin,BEN,2007,20.3981895446777
Benin,BEN,2008,25.8130702972412
Benin,BEN,2009,24.8027992248535
Benin,BEN,2010,24.179500579834
Benin,BEN,2011,22.6672496795654
Benin,BEN,2012,21.6415500640869
Benin,BEN,2013,21.9978809356689
Bermuda,BMU,2006,100
Bermuda,BMU,2007,100
Bermuda,BMU,2008,100
Bermuda,BMU,2009,100
Bermuda,BMU,2010,100
Bermuda,BMU,2011,100
Bermuda,BMU,2012,100
Bermuda,BMU,2013,100
Bolivia,BOL,2000,21.3267192840576
Bolivia,BOL,2007,19.5277900695801
Bosnia and Herzegovina,BIH,2010,16.6554107666016
Bosnia and Herzegovina,BIH,2011,18.0254192352295
Bosnia and Herzegovina,BIH,2012,20.2627906799316
Bosnia and Herzegovina,BIH,2013,20.6647891998291
Bosnia and Herzegovina,BIH,2014,20.0785903930664
Botswana,BWA,2008,28.2180595397949
Botswana,BWA,2009,45.4363212585449
Botswana,BWA,2010,41.004581451416
Botswana,BWA,2011,35.249210357666
Botswana,BWA,2013,42.5954093933105
Botswana,BWA,2014,42.6274681091309
Brazil,BRA,1998,60.5669593811035
Brazil,BRA,1999,63.0558204650879
Brazil,BRA,2000,65.4209823608398
Brazil,BRA,2001,67.3610305786133
Brazil,BRA,2002,68.2587509155273
Brazil,BRA,2003,69.3213882446289
Brazil,BRA,2004,70.3137283325195
Brazil,BRA,2005,71.8005218505859
Brazil,BRA,2007,72.9092864990234
Brazil,BRA,2008,71.8667984008789
Brazil,BRA,2009,73.8630828857422
Brazil,BRA,2010,72.7103805541992
Brazil,BRA,2011,72.110107421875
Brazil,BRA,2012,71.4226531982422
Brunei,BRN,2006,0.314099997282028
Brunei,BRN,2007,0.264950007200241
Brunei,BRN,2008,0.659889996051788
Brunei,BRN,2009,0.442119985818863
Brunei,BRN,2010,0.779089987277985
Brunei,BRN,2011,7.25928020477295
Brunei,BRN,2012,10.9045095443726
Brunei,BRN,2013,6.5931601524353
Brunei,BRN,2014,9.47574043273926
Bulgaria,BGR,1999,12.031379699707
Bulgaria,BGR,2000,10.4951400756836
Bulgaria,BGR,2001,11.3110599517822
Bulgaria,BGR,2002,12.5563697814941
Bulgaria,BGR,2003,13.4413204193115
Bulgaria,BGR,2004,14.3573703765869
Bulgaria,BGR,2005,16.434440612793
Bulgaria,BGR,2006,18.5423698425293
Bulgaria,BGR,2007,19.5928001403809
Bulgaria,BGR,2008,20.7840003967285
Bulgaria,BGR,2009,21.2873802185059
Bulgaria,BGR,2010,21.9575290679932
Bulgaria,BGR,2011,20.1020107269287
Bulgaria,BGR,2012,18.50172996521
Bulgaria,BGR,2013,17.5550003051758
Bulgaria,BGR,2014,16.3632106781006
Burkina Faso,BFA,2005,16.5879306793213
Burkina Faso,BFA,2006,14.7348403930664
Burkina Faso,BFA,2007,16.5097599029541
Burkina Faso,BFA,2008,17.2167797088623
Burkina Faso,BFA,2009,17.7737598419189
Burkina Faso,BFA,2010,18.8953609466553
Burkina Faso,BFA,2011,21.9580993652344
Burkina Faso,BFA,2012,21.4750194549561
Burkina Faso,BFA,2013,21.1508407592773
Burundi,BDI,2002,32.8655395507813
Burundi,BDI,2004,31.7267303466797
Burundi,BDI,2009,52.9600715637207
Burundi,BDI,2010,57.6582717895508
Burundi,BDI,2011,59.0173110961914
Burundi,BDI,2012,58.3691482543945
Burundi,BDI,2013,60.8505783081055
Cambodia,KHM,2000,67.7854232788086
Cambodia,KHM,2001,71.6871337890625
Cambodia,KHM,2002,76.2511672973633
Cambodia,KHM,2003,39.3358001708984
Cambodia,KHM,2004,43.3193702697754
Cambodia,KHM,2005,55.8387603759766
Cambodia,KHM,2011,59.9681015014648
Cameroon,CMR,1999,9.51840019226074
Cameroon,CMR,2000,9.76756954193115
Cameroon,CMR,2001,7.82538986206055
Cameroon,CMR,2002,8.51403045654297
Cameroon,CMR,2003,8.87010955810547
Cameroon,CMR,2004,8.59683036804199
Cameroon,CMR,2005,8.5416202545166
Cameroon,CMR,2007,12.4048299789429
Cameroon,CMR,2008,13.587929725647
Cameroon,CMR,2009,13.2999095916748
Cameroon,CMR,2010,13.8659601211548
Cameroon,CMR,2011,14.8816900253296
Cape Verde,CPV,2003,52.6410789489746
Cape Verde,CPV,2004,53.4255599975586
Cape Verde,CPV,2005,52.0716094970703
Cape Verde,CPV,2007,54.9064102172852
Cape Verde,CPV,2008,55.992790222168
Cape Verde,CPV,2009,61.1458892822266
Cape Verde,CPV,2010,60.0749206542969
Cape Verde,CPV,2011,61.3476104736328
Cape Verde,CPV,2012,62.3898315429688
Cape Verde,CPV,2013,60.7131881713867
Cape Verde,CPV,2014,57.0948715209961
Central African Republic,CAF,2008,19.4869594573975
Central African Republic,CAF,2009,8.4588098526001
Central African Republic,CAF,2011,23.8016395568848
Chad,TCD,2000,8.55786991119385
Chad,TCD,2009,31.7887592315674
Chad,TCD,2010,31.7894306182861
Chad,TCD,2011,28.2147102355957
Chad,TCD,2014,27.9984893798828
Chile,CHL,1998,71.1095504760742
Chile,CHL,2000,72.4404373168945
Chile,CHL,2002,72.4939575195313
Chile,CHL,2003,74.2346267700195
Chile,CHL,2004,75.2890319824219
Chile,CHL,2006,76.1089096069336
Chile,CHL,2007,76.5896606445313
Chile,CHL,2008,77.9858169555664
Chile,CHL,2009,79.7058563232422
Chile,CHL,2010,81.9225234985352
Chile,CHL,2011,83.7070617675781
Chile,CHL,2012,84.3953170776367
Chile,CHL,2013,84.3803787231445
Chile,CHL,2014,84.4684219360352
China,CHN,2013,15.4872999191284
China,CHN,2014,13.2975196838379
Colombia,COL,1999,66.4673385620117
Colombia,COL,2000,63.9871101379395
Colombia,COL,2001,62.3319892883301
Colombia,COL,2002,58.1806411743164
Colombia,COL,2004,55.0438919067383
Colombia,COL,2005,49.9999198913574
Colombia,COL,2006,48.6999702453613
Colombia,COL,2007,44.901050567627
Colombia,COL,2008,44.6759910583496
Colombia,COL,2009,43.7696990966797
Colombia,COL,2010,44.619930267334
Colombia,COL,2011,45.1524887084961
Colombia,COL,2012,46.5908584594727
Colombia,COL,2013,47.5527496337891
Colombia,COL,2014,47.9262008666992
Congo,COG,1999,0.392049998044968
Congo,COG,2000,0.396699994802475
Congo,COG,2001,3.79019999504089
Congo,COG,2002,8.39361953735352
Congo,COG,2003,8.390700340271
Congo,COG,2009,30.1577091217041
Congo,COG,2011,35.4456481933594
Congo,COG,2012,32.9262390136719
Congo,COG,2013,35.5779418945313
Costa Rica,CRI,2011,50.7528190612793
Costa Rica,CRI,2012,52.5596199035645
Costa Rica,CRI,2013,51.394660949707
Costa Rica,CRI,2014,51.889030456543
Cote d'Ivoire,CIV,1999,27.1459693908691
Cote d'Ivoire,CIV,2007,36.2992095947266
Cote d'Ivoire,CIV,2008,34.2379188537598
Cote d'Ivoire,CIV,2010,37.8041191101074
Cote d'Ivoire,CIV,2011,76.953742980957
Cote d'Ivoire,CIV,2013,48.532341003418
Cote d'Ivoire,CIV,2014,44.4375190734863
Croatia,HRV,1999,0.780070006847382
Croatia,HRV,2000,0.96696001291275
Croatia,HRV,2001,0.703670024871826
Croatia,HRV,2002,1.65012001991272
Croatia,HRV,2003,2.53363990783691
Croatia,HRV,2005,3.25119996070862
Croatia,HRV,2006,4.00085020065308
Croatia,HRV,2007,5.05514001846313
Croatia,HRV,2008,5.91032981872559
Croatia,HRV,2009,6.90088987350464
Croatia,HRV,2010,6.50770998001099
Croatia,HRV,2011,6.7264199256897
Croatia,HRV,2012,7.07932996749878
Croatia,HRV,2014,7.54481983184814
Cyprus,CYP,2000,56.2223892211914
Cyprus,CYP,2002,62.8850402832031
Cyprus,CYP,2003,68.1534576416016
Cyprus,CYP,2004,70.3582916259766
Cyprus,CYP,2005,67.7756729125977
Cyprus,CYP,2006,66.6051406860352
Cyprus,CYP,2007,67.8229217529297
Cyprus,CYP,2008,69.7134780883789
Cyprus,CYP,2009,71.6775283813477
Cyprus,CYP,2010,70.0772476196289
Cyprus,CYP,2011,66.9935913085938
Cyprus,CYP,2012,62.274959564209
Cyprus,CYP,2013,60.2878112792969
Cyprus,CYP,2014,58.5021095275879
Czech Republic,CZE,2000,4.2968897819519
Czech Republic,CZE,2001,4.60268020629883
Czech Republic,CZE,2003,7.03238010406494
Czech Republic,CZE,2004,7.53000020980835
Czech Republic,CZE,2005,8.91180038452148
Czech Republic,CZE,2007,12.1232595443726
Czech Republic,CZE,2008,13.5239696502686
Czech Republic,CZE,2009,14.4335899353027
Czech Republic,CZE,2010,15.2366304397583
Czech Republic,CZE,2011,15.3490495681763
Czech Republic,CZE,2012,14.148289680481
Czech Republic,CZE,2013,13.3033599853516
Czech Republic,CZE,2014,12.2785596847534
Democratic Republic of Congo,COD,2013,28.225269317627
Denmark,DNK,1999,0.104749999940395
Denmark,DNK,2000,0.158069998025894
Denmark,DNK,2001,0.155190005898476
Denmark,DNK,2002,0.478069990873337
Denmark,DNK,2003,0.632969975471497
Denmark,DNK,2004,1.10117995738983
Denmark,DNK,2005,1.05573999881744
Denmark,DNK,2006,1.90787994861603
Denmark,DNK,2007,2.20247006416321
Denmark,DNK,2008,1.81789004802704
Denmark,DNK,2009,1.73761999607086
Denmark,DNK,2010,1.76812994480133
Denmark,DNK,2011,2.06270003318787
Denmark,DNK,2012,2.15120005607605
Denmark,DNK,2013,2.08828997612
Denmark,DNK,2014,2.28567004203796
Dominican Republic,DOM,2012,57.6404609680176
Dominican Republic,DOM,2014,57.3794212341309
Ecuador,ECU,2008,35.2980804443359
Ecuador,ECU,2012,37.8027000427246
Ecuador,ECU,2013,40.4321784973145
Egypt,EGY,2010,18.8558502197266
Egypt,EGY,2011,18.595890045166
Egypt,EGY,2012,17.5448093414307
Egypt,EGY,2013,18.7854404449463
Egypt,EGY,2014,19.1502208709717
El Salvador,SLV,1999,71.7109298706055
El Salvador,SLV,2000,70.7695693969727
El Salvador,SLV,2002,68.6599197387695
El Salvador,SLV,2005,65.3372116088867
El Salvador,SLV,2006,66.2729263305664
El Salvador,SLV,2007,66.2311096191406
El Salvador,SLV,2008,66.4257125854492
El Salvador,SLV,2009,66.2458572387695
El Salvador,SLV,2010,66.5553436279297
El Salvador,SLV,2011,66.2326812744141
El Salvador,SLV,2012,67.6792678833008
El Salvador,SLV,2013,68.3244094848633
El Salvador,SLV,2014,69.157600402832
Estonia,EST,2001,83.3604507446289
Estonia,EST,2002,83.2228622436523
Estonia,EST,2003,82.7897796630859
Estonia,EST,2004,82.3024978637695
Estonia,EST,2005,82.2166519165039
Estonia,EST,2006,83.598388671875
Estonia,EST,2007,83.7611083984375
Estonia,EST,2008,84.1567916870117
Estonia,EST,2009,84.2176132202148
Estonia,EST,2010,83.8472137451172
Estonia,EST,2011,83.2014236450195
Estonia,EST,2012,82.5935211181641
Estonia,EST,2013,83.8302001953125
Ethiopia,ETH,2000,12.3663902282715
Ethiopia,ETH,2001,17.3862800598145
Ethiopia,ETH,2002,18.7481002807617
Ethiopia,ETH,2003,23.9277095794678
Ethiopia,ETH,2004,22.7324199676514
Ethiopia,ETH,2008,18.4693908691406
Finland,FIN,1998,11.077919960022
Finland,FIN,1999,11.4511804580688
Finland,FIN,2000,10.7944602966309
Finland,FIN,2001,14.9824104309082
Finland,FIN,2002,10.3035497665405
Finland,FIN,2003,10.5971298217773
Finland,FIN,2004,10.5732803344727
Finland,FIN,2005,10.4426202774048
Finland,FIN,2006,10.4843301773071
Finland,FIN,2007,10.6267595291138
Finland,FIN,2008,10.6601696014404
Finland,FIN,2009,16.3109092712402
Finland,FIN,2010,18.7828197479248
Finland,FIN,2011,25.6347007751465
Finland,FIN,2012,25.8099098205566
Finland,FIN,2013,27.794979095459
Finland,FIN,2014,29.1574096679688
France,FRA,1999,13.7074298858643
France,FRA,2000,14.5095300674438
France,FRA,2001,15.250599861145
France,FRA,2002,15.8709001541138
France,FRA,2003,16.0921192169189
France,FRA,2004,16.3582801818848
France,FRA,2005,16.4136791229248
France,FRA,2006,16.57200050354
France,FRA,2007,17.0827808380127
France,FRA,2008,18.1140308380127
France,FRA,2009,18.8254203796387
France,FRA,2010,19.6881904602051
France,FRA,2011,20.0726509094238
France,FRA,2012,20.4734497070313
France,FRA,2013,20.7906303405762
France,FRA,2014,20.7838001251221
Gambia,GMB,2011,50.3546104431152
Gambia,GMB,2012,40.0120010375977
Georgia,GEO,1999,53.1713790893555
Georgia,GEO,2000,54.1599197387695
Georgia,GEO,2001,23.5644607543945
Georgia,GEO,2002,21.3803005218506
Georgia,GEO,2003,20.2408409118652
Georgia,GEO,2004,18.9529094696045
Georgia,GEO,2005,20.3380107879639
Georgia,GEO,2006,20.7447395324707
Georgia,GEO,2007,21.203369140625
Georgia,GEO,2008,29.6892108917236
Georgia,GEO,2009,28.499870300293
Georgia,GEO,2010,27.1098194122314
Georgia,GEO,2011,20.9141006469727
Georgia,GEO,2012,24.7927093505859
Georgia,GEO,2013,26.7832107543945
Georgia,GEO,2014,29.0540294647217
Germany,DEU,2013,7.86357021331787
Germany,DEU,2014,8.30832004547119
Ghana,GHA,2008,16.6455593109131
Ghana,GHA,2009,11.2653398513794
Ghana,GHA,2011,11.2904100418091
Ghana,GHA,2012,20.281099319458
Ghana,GHA,2013,17.4382400512695
Ghana,GHA,2014,18.7642707824707
Grenada,GRD,2009,100
Guatemala,GTM,2007,48.5956802368164
Guatemala,GTM,2013,40.320240020752
Guinea,GIN,2006,5.61681985855103
Guinea,GIN,2008,9.70057964324951
Guinea,GIN,2009,21.1498794555664
Guinea,GIN,2010,22.8645706176758
Guinea,GIN,2011,25.3343296051025
Guinea,GIN,2012,26.8846397399902
Guinea,GIN,2013,35.1161193847656
Honduras,HND,2000,20.9766101837158
Honduras,HND,2003,19.6634902954102
Honduras,HND,2008,33.4973602294922
Honduras,HND,2010,40.1317405700684
Honduras,HND,2012,40.1800689697266
Honduras,HND,2013,37.7799110412598
Honduras,HND,2014,36.3586502075195
Hong Kong,HKG,2003,3.31280994415283
Hong Kong,HKG,2004,3.59657001495361
Hong Kong,HKG,2005,3.80251002311707
Hong Kong,HKG,2006,4.24209976196289
Hong Kong,HKG,2010,16.4563503265381
Hong Kong,HKG,2011,17.1500701904297
Hong Kong,HKG,2012,16.5617904663086
Hong Kong,HKG,2013,16.5828304290771
Hong Kong,HKG,2014,17.615119934082
Hungary,HUN,1998,11.7741804122925
Hungary,HUN,1999,13.1157503128052
Hungary,HUN,2000,12.8839902877808
Hungary,HUN,2001,13.3677597045898
Hungary,HUN,2002,14.2982501983643
Hungary,HUN,2003,15.0243396759033
Hungary,HUN,2004,15.4579696655273
Hungary,HUN,2005,15.0539398193359
Hungary,HUN,2006,15.029109954834
Hungary,HUN,2007,15.4551296234131
Hungary,HUN,2008,15.7990398406982
Hungary,HUN,2009,16.2535591125488
Hungary,HUN,2010,16.5759105682373
Hungary,HUN,2011,16.7848796844482
Hungary,HUN,2012,17.0189895629883
Hungary,HUN,2013,17.1964092254639
Hungary,HUN,2014,14.7743997573853
Iceland,ISL,1998,4.46914005279541
Iceland,ISL,1999,6.06239986419678
Iceland,ISL,2000,8.98935031890869
Iceland,ISL,2001,10.7521600723267
Iceland,ISL,2002,12.7676095962524
Iceland,ISL,2003,13.8458099365234
Iceland,ISL,2004,13.3990497589111
Iceland,ISL,2005,14.1934204101563
Iceland,ISL,2006,19.6933994293213
Iceland,ISL,2007,20.5991992950439
Iceland,ISL,2008,21.0811100006104
Iceland,ISL,2009,21.4551696777344
Iceland,ISL,2010,19.7052803039551
Iceland,ISL,2011,18.7742099761963
Iceland,ISL,2012,17.7653293609619
India,IND,2013,53.879508972168
Indonesia,IDN,2001,62.7864799499512
Indonesia,IDN,2002,62.654369354248
Indonesia,IDN,2003,61.0497589111328
Indonesia,IDN,2004,65.1978912353516
Indonesia,IDN,2005,60.5202713012695
Indonesia,IDN,2009,59.4436492919922
Indonesia,IDN,2010,58.1554718017578
Indonesia,IDN,2011,61.6840515136719
Indonesia,IDN,2012,66.2438278198242
Indonesia,IDN,2013,67.1464996337891
Indonesia,IDN,2014,66.9448623657227
Iran,IRN,2003,54.439510345459
Iran,IRN,2004,54.0652809143066
Iran,IRN,2005,53.7141494750977
Iran,IRN,2006,52.3677406311035
Iran,IRN,2007,48.9477615356445
Iran,IRN,2008,42.5128517150879
Iran,IRN,2009,46.7272491455078
Iran,IRN,2010,44.9125595092773
Iran,IRN,2011,45.1635398864746
Iran,IRN,2012,44.7106781005859
Iran,IRN,2013,44.73876953125
Iran,IRN,2014,41.5207405090332
Iraq,IRQ,1999,39.5137481689453
Ireland,IRL,1998,5.52200984954834
Ireland,IRL,1999,6.47624015808105
Ireland,IRL,2000,5.12106990814209
Ireland,IRL,2001,5.21968984603882
Ireland,IRL,2002,6.25142002105713
Ireland,IRL,2003,6.22614002227783
Ireland,IRL,2004,7.18954992294312
Ireland,IRL,2005,7.52194023132324
Ireland,IRL,2006,7.90403985977173
Ireland,IRL,2007,8.53800010681152
Ireland,IRL,2008,4.67235994338989
Ireland,IRL,2009,3.12964010238647
Ireland,IRL,2010,4.4585599899292
Ireland,IRL,2011,4.70810985565186
Ireland,IRL,2012,2.23101997375488
Ireland,IRL,2013,1.6452100276947
Israel,ISR,1999,69.9111862182617
Israel,ISR,2000,70.3158798217773
Israel,ISR,2001,68.7931518554688
Israel,ISR,2002,86.1375427246094
Israel,ISR,2003,84.2605667114258
Israel,ISR,2004,84.7135162353516
Israel,ISR,2005,84.5142288208008
Israel,ISR,2006,86.5638275146484
Israel,ISR,2007,86.0746307373047
Israel,ISR,2008,86.2049026489258
Israel,ISR,2009,86.2191314697266
Israel,ISR,2010,85.247428894043
Israel,ISR,2011,85.3674774169922
Israel,ISR,2012,85.763298034668
Israel,ISR,2013,84.9724731445313
Israel,ISR,2014,84.5688629150391
Italy,ITA,1999,12.3773002624512
Italy,ITA,2000,6.36676979064941
Italy,ITA,2001,7.07891988754272
Italy,ITA,2002,6.60328006744385
Italy,ITA,2003,6.51516008377075
Italy,ITA,2004,6.3912501335144
Italy,ITA,2005,6.39563989639282
Italy,ITA,2006,7.23480987548828
Italy,ITA,2007,7.71408987045288
Italy,ITA,2008,6.94999980926514
Italy,ITA,2009,7.64283990859985
Italy,ITA,2010,8.51706981658936
Italy,ITA,2011,9.59340953826904
Italy,ITA,2012,9.44114971160889
Italy,ITA,2013,9.09364032745361
Jamaica,JAM,2000,44.478401184082
Jamaica,JAM,2001,25.9187793731689
Jamaica,JAM,2002,25.2191905975342
Jamaica,JAM,2003,22.6930198669434
Jamaica,JAM,2004,22.5583591461182
Jamaica,JAM,2005,28.5753307342529
Jamaica,JAM,2006,24.8571491241455
Jamaica,JAM,2008,38.9669418334961
Jamaica,JAM,2009,39.4804000854492
Jamaica,JAM,2010,95.9973068237305
Jamaica,JAM,2011,40.0463981628418
Jamaica,JAM,2013,36.2364616394043
Japan,JPN,1998,78.837532043457
Japan,JPN,1999,78.5933532714844
Japan,JPN,2000,77.5167083740234
Japan,JPN,2001,77.1253814697266
Japan,JPN,2002,76.9392471313477
Japan,JPN,2003,77.0190963745117
Japan,JPN,2004,76.9954605102539
Japan,JPN,2005,79.737419128418
Japan,JPN,2006,79.9103775024414
Japan,JPN,2007,79.6461563110352
Japan,JPN,2008,79.1900787353516
Japan,JPN,2009,78.8912124633789
Japan,JPN,2010,78.6422576904297
Japan,JPN,2011,78.6588363647461
Japan,JPN,2012,78.703369140625
Japan,JPN,2013,78.70361328125
Jordan,JOR,2000,35.9146194458008
Jordan,JOR,2002,31.5776195526123
Jordan,JOR,2003,37.065559387207
Jordan,JOR,2004,24.6620807647705
Jordan,JOR,2005,25.9357395172119
Jordan,JOR,2006,30.7451496124268
Jordan,JOR,2007,30.5723495483398
Jordan,JOR,2008,28.6498203277588
Jordan,JOR,2009,32.9536399841309
Jordan,JOR,2011,39.0566711425781
Kazakhstan,KAZ,2010,46.3972816467285
Kazakhstan,KAZ,2012,48.7629089355469
Kazakhstan,KAZ,2014,50.2467002868652
Kazakhstan,KAZ,2015,49.2297401428223
Kenya,KEN,2001,30.6576194763184
Kenya,KEN,2004,13.5074300765991
Kenya,KEN,2009,13.2144298553467
Kyrgyzstan,KGZ,1999,6.64979982376099
Kyrgyzstan,KGZ,2002,7.41379976272583
Kyrgyzstan,KGZ,2003,7.08255004882813
Kyrgyzstan,KGZ,2004,7.34904003143311
Kyrgyzstan,KGZ,2005,7.1695499420166
Kyrgyzstan,KGZ,2006,7.48554992675781
Kyrgyzstan,KGZ,2007,8.69036960601807
Kyrgyzstan,KGZ,2008,9.46665954589844
Kyrgyzstan,KGZ,2009,10.1591396331787
Kyrgyzstan,KGZ,2010,10.7712297439575
Kyrgyzstan,KGZ,2011,11.5595102310181
Kyrgyzstan,KGZ,2013,11.6273803710938
Kyrgyzstan,KGZ,2014,11.978949546814
Laos,LAO,1999,27.5587902069092
Laos,LAO,2000,23.3797397613525
Laos,LAO,2001,25.0044803619385
Laos,LAO,2002,23.4207992553711
Laos,LAO,2003,24.3980503082275
Laos,LAO,2004,21.8246402740479
Laos,LAO,2005,30.8577899932861
Laos,LAO,2006,26.6697196960449
Laos,LAO,2007,23.5190601348877
Laos,LAO,2008,34.0565910339355
Laos,LAO,2009,30.4850006103516
Laos,LAO,2010,28.2311191558838
Laos,LAO,2011,25.8372402191162
Laos,LAO,2012,27.752269744873
Laos,LAO,2013,29.1920795440674
Laos,LAO,2014,30.5568809509277
Latvia,LVA,2002,99.2117614746094
Latvia,LVA,2003,98.7985916137695
Latvia,LVA,2004,97.9530868530273
Latvia,LVA,2005,96.5028381347656
Latvia,LVA,2006,96.0915222167969
Latvia,LVA,2007,95.7875518798828
Latvia,LVA,2008,95.1048812866211
Latvia,LVA,2009,94.5891799926758
Latvia,LVA,2010,93.7770385742188
Latvia,LVA,2011,93.3022613525391
Latvia,LVA,2012,92.7041091918945
Latvia,LVA,2013,92.4974136352539
Latvia,LVA,2014,92.2516784667969
Lebanon,LBN,1999,43.421630859375
Lebanon,LBN,2000,42.4060897827148
Lebanon,LBN,2001,42.0898704528809
Lebanon,LBN,2002,45.9458084106445
Lebanon,LBN,2003,47.0572700500488
Lebanon,LBN,2004,49.2870292663574
Lebanon,LBN,2005,49.5438385009766
Lebanon,LBN,2006,51.0284614562988
Lebanon,LBN,2007,53.3575706481934
