Entity,Code,Year,"suicide rate (age-adjusted suicides per 100,000 people)"
Canada,CAN,1969,11.75264
Canada,CAN,1970,12.15343
Canada,CAN,1971,12.61654
Canada,CAN,1972,12.78639
Canada,CAN,1973,13.05484
Canada,CAN,1974,13.28622
Canada,CAN,1975,12.50456
Canada,CAN,1976,12.90813
Canada,CAN,1977,14.12873
Canada,CAN,1978,14.53326
Canada,CAN,1979,13.82573
Canada,CAN,1980,13.54163
Canada,CAN,1981,13.4263
Canada,CAN,1982,13.84684
Canada,CAN,1983,14.30516
Canada,CAN,1984,12.95502
Canada,CAN,1985,12.08838
Canada,CAN,1986,13.58978
Canada,CAN,1987,13.16523
Canada,CAN,1988,12.67723
Canada,CAN,1989,12.47078
Canada,CAN,1990,11.86393
Canada,CAN,1991,12.32333
Canada,CAN,1992,12.22278
Canada,CAN,1993,12.2041
Canada,CAN,1994,11.94806
Canada,CAN,1995,12.46905
Canada,CAN,1996,12.25137
Canada,CAN,1997,11.30162
Canada,CAN,1998,11.27126
Canada,CAN,1999,12.13107
Canada,CAN,2000,10.69649
Canada,CAN,2001,10.76762
Canada,CAN,2002,10.46119
Canada,CAN,2003,10.61292
Canada,CAN,2004,10.10099
Canada,CAN,2005,10.10099
Cape Verde,CPV,2002,3.929598
Cape Verde,CPV,2004,5.633333683
Cape Verde,CPV,2005,5.633333683
Central African Republic,CAF,2002,13.10169
Central African Republic,CAF,2004,13.54841995
Central African Republic,CAF,2005,13.54841995
Chad,TCD,2002,7.292041
Chad,TCD,2004,8.283070564
Chad,TCD,2005,8.283070564
Chile,CHL,1955,5.732178
Chile,CHL,1956,9.149643
Chile,CHL,1957,9.159602
Chile,CHL,1958,8.201006
Chile,CHL,1959,6.93117
Chile,CHL,1960,9.322284
Chile,CHL,1961,9.362956
Chile,CHL,1962,8.013679
Chile,CHL,1963,4.446839
Chile,CHL,1964,3.545123
Chile,CHL,1965,2.473813
Chile,CHL,1966,8.50732
Chile,CHL,1967,2.656462
Chile,CHL,1968,10.47899
Chile,CHL,1969,8.529561
Chile,CHL,1970,7.418612
Chile,CHL,1971,7.009671
Chile,CHL,1972,6.752884
Chile,CHL,1973,6.184073
Chile,CHL,1974,6.592804
Chile,CHL,1975,8.086133
Chile,CHL,1976,6.591233
Chile,CHL,1977,6.894048
Chile,CHL,1978,6.103039
Chile,CHL,1979,6.715106
Chile,CHL,1980,5.364541
Chile,CHL,1981,6.45021
Chile,CHL,1982,6.346614
Chile,CHL,1983,6.285039
Chile,CHL,1984,6.772761
Chile,CHL,1985,6.411797
Chile,CHL,1986,5.869994
Chile,CHL,1987,6.044198
Chile,CHL,1988,5.967246
Chile,CHL,1989,6.044353
Chile,CHL,1990,6.141553
Chile,CHL,1991,6.335704
Chile,CHL,1992,5.133439
Chile,CHL,1993,5.751341
Chile,CHL,1994,6.051927
Chile,CHL,1995,6.892183
Chile,CHL,1996,6.639486
Chile,CHL,1997,6.445821
Chile,CHL,1998,7.180727
Chile,CHL,1999,7.095457
Chile,CHL,2000,9.828766
Chile,CHL,2001,10.61102
Chile,CHL,2002,10.2641
Chile,CHL,2003,10.40894
Chile,CHL,2004,10.68438
Chile,CHL,2005,10.17187
China,CHN,2002,21.20328
China,CHN,2004,16.91324806
China,CHN,2005,16.91324806
Colombia,COL,1953,1.143741
Colombia,COL,1954,1.939235
Colombia,COL,1955,1.592191
Colombia,COL,1956,1.259542
Colombia,COL,1957,0.8708677
Colombia,COL,1958,3.027905
Colombia,COL,1959,3.564371
Colombia,COL,1960,3.647928
Colombia,COL,1961,4.86364
Colombia,COL,1962,5.712422
Colombia,COL,1963,5.711245
Colombia,COL,1964,5.996255
Colombia,COL,1965,7.919828
Colombia,COL,1966,7.37764
Colombia,COL,1967,8.422912
Colombia,COL,1968,5.364674
Colombia,COL,1969,3.950341
Colombia,COL,1972,4.65205
Colombia,COL,1974,4.668807
Colombia,COL,1975,4.353875
Colombia,COL,1976,4.243285
Colombia,COL,1977,3.666697
Colombia,COL,1984,4.271548
Colombia,COL,1985,4.051735
Colombia,COL,1986,3.677213
Colombia,COL,1987,3.164829
Colombia,COL,1988,3.051975
Colombia,COL,1989,2.747055
Colombia,COL,1990,2.785237
Colombia,COL,1991,3.234375
Colombia,COL,1992,3.536186
Colombia,COL,1993,3.530796
Colombia,COL,1994,3.812184
Colombia,COL,1995,3.383617
Colombia,COL,1996,3.485843
Colombia,COL,1997,3.446733
Colombia,COL,1998,5.588333
Colombia,COL,1999,5.658078
Colombia,COL,2000,5.991631
Colombia,COL,2001,6.040267
Colombia,COL,2002,5.728444
Colombia,COL,2004,5.359842
Colombia,COL,2005,4.907702
Comoros,COM,2002,4.377626
Comoros,COM,2004,4.751083851
Comoros,COM,2005,4.751083851
Congo,COG,2002,9.821898
Congo,COG,2004,9.873761177
Congo,COG,2005,9.873761177
Cook Islands,COK,2002,4.565275
Cook Islands,COK,2004,4.373364925
Cook Islands,COK,2005,4.373364925
Costa Rica,CRI,1962,3.191089
Costa Rica,CRI,1963,5.0869
Costa Rica,CRI,1964,4.245873
Costa Rica,CRI,1965,3.307125
Costa Rica,CRI,1966,4.695526
Costa Rica,CRI,1967,4.536897
Costa Rica,CRI,1968,3.973893
Costa Rica,CRI,1969,4.448352
Costa Rica,CRI,1970,3.369493
Costa Rica,CRI,1971,4.513411
Costa Rica,CRI,1972,4.327007
Costa Rica,CRI,1973,3.82232
Costa Rica,CRI,1974,5.254248
Costa Rica,CRI,1975,5.511003
Costa Rica,CRI,1976,7.761082
Costa Rica,CRI,1977,5.392559
Costa Rica,CRI,1978,5.073589
Costa Rica,CRI,1979,4.458363
Costa Rica,CRI,1980,6.46803
Costa Rica,CRI,1981,4.8651
Costa Rica,CRI,1982,5.131508
Costa Rica,CRI,1983,6.441837
Costa Rica,CRI,1984,5.493137
Costa Rica,CRI,1985,5.805995
Costa Rica,CRI,1986,6.317045
Costa Rica,CRI,1987,5.173544
Costa Rica,CRI,1988,6.244262
Costa Rica,CRI,1989,6.56845
Costa Rica,CRI,1990,6.197185
Costa Rica,CRI,1991,4.959392
Costa Rica,CRI,1992,5.57368
Costa Rica,CRI,1993,6.022556
Costa Rica,CRI,1994,5.668564
Costa Rica,CRI,1995,6.598767
Costa Rica,CRI,1996,6.420972
Costa Rica,CRI,1997,5.810333
Costa Rica,CRI,1998,6.536646
Costa Rica,CRI,1999,6.66712
Costa Rica,CRI,2000,6.668331
Costa Rica,CRI,2001,5.569319
Costa Rica,CRI,2002,7.162079
Costa Rica,CRI,2003,8.001172
Costa Rica,CRI,2004,8.127507
Costa Rica,CRI,2005,6.597168
Cote d'Ivoire,CIV,2002,15.30599
Cote d'Ivoire,CIV,2004,20.31793022
Cote d'Ivoire,CIV,2005,20.31793022
Croatia,HRV,1985,19.2657
Croatia,HRV,1986,18.90348
Croatia,HRV,1987,20.36738
Croatia,HRV,1988,20.06863
Croatia,HRV,1989,18.28827
Croatia,HRV,1990,19.85799
Croatia,HRV,1991,19.34206
Croatia,HRV,1992,20.56279
Croatia,HRV,1993,19.38528
Croatia,HRV,1994,19.0867
Croatia,HRV,1995,16.5339
Croatia,HRV,1996,19.20495
Croatia,HRV,1997,17.57784
Croatia,HRV,1998,19.31718
Croatia,HRV,1999,18.57795
Croatia,HRV,2000,18.02292
Croatia,HRV,2001,15.58207
Croatia,HRV,2002,15.20331
Croatia,HRV,2003,14.94755
Croatia,HRV,2004,14.6266
Croatia,HRV,2005,14.77625
Cuba,CUB,1964,12.48559
Cuba,CUB,1968,13.98158
Cuba,CUB,1969,12.12626
Cuba,CUB,1970,14.18285
Cuba,CUB,1971,16.16134
Cuba,CUB,1972,17.42713
Cuba,CUB,1973,19.44759
Cuba,CUB,1974,21.26069
Cuba,CUB,1975,20.65146
Cuba,CUB,1976,21.28447
Cuba,CUB,1977,21.30074
Cuba,CUB,1992,20.67097
Cuba,CUB,1993,21.14372
Cuba,CUB,1994,19.94513
Cuba,CUB,1995,19.15213
Cuba,CUB,1996,17.16899
Cuba,CUB,1997,16.79339
Cuba,CUB,1998,16.73562
Cuba,CUB,1999,16.43439
Cuba,CUB,2000,14.73542
Cuba,CUB,2001,13.03323
Cuba,CUB,2002,12.36816
Cuba,CUB,2003,11.48033
Cuba,CUB,2004,11.55148
Cuba,CUB,2005,10.57191
Cyprus,CYP,1999,0.1312417
Cyprus,CYP,2000,1.085972
Cyprus,CYP,2002,0.6061239
Cyprus,CYP,2004,0.6143094
Cyprus,CYP,2005,2.206169
Czech Republic,CZE,1986,18.34381
Czech Republic,CZE,1987,16.36347
Czech Republic,CZE,1988,16.59023
Czech Republic,CZE,1989,16.07412
Czech Republic,CZE,1990,16.6598
Czech Republic,CZE,1991,16.09865
Czech Republic,CZE,1992,16.63402
Czech Republic,CZE,1993,16.05735
Czech Republic,CZE,1994,15.42972
Czech Republic,CZE,1995,14.45792
Czech Republic,CZE,1996,12.87189
Czech Republic,CZE,1997,13.6167
Czech Republic,CZE,1998,13.16321
Czech Republic,CZE,1999,12.95432
Czech Republic,CZE,2000,13.30353
Czech Republic,CZE,2001,12.96745
Czech Republic,CZE,2002,12.25913
Czech Republic,CZE,2003,13.73023
Czech Republic,CZE,2004,12.57968
Czech Republic,CZE,2005,12.36798
Czechoslovakia,OWID_CZS,1953,18.96523
Czechoslovakia,OWID_CZS,1954,19.44373
Czechoslovakia,OWID_CZS,1955,18.7464
Czechoslovakia,OWID_CZS,1956,19.39845
Czechoslovakia,OWID_CZS,1957,19.76243
Czechoslovakia,OWID_CZS,1958,19.55592
Czechoslovakia,OWID_CZS,1959,20.90478
Czechoslovakia,OWID_CZS,1960,21.57999
Czechoslovakia,OWID_CZS,1961,19.95406
Czechoslovakia,OWID_CZS,1962,19.93304
Czechoslovakia,OWID_CZS,1963,20.5491
Czechoslovakia,OWID_CZS,1964,19.77859
Czechoslovakia,OWID_CZS,1965,20.48941
Czechoslovakia,OWID_CZS,1966,22.1313
Czechoslovakia,OWID_CZS,1967,22.7391
Czechoslovakia,OWID_CZS,1968,23.26697
Czechoslovakia,OWID_CZS,1969,21.77464
Czechoslovakia,OWID_CZS,1970,23.75488
Czechoslovakia,OWID_CZS,1971,22.63649
Czechoslovakia,OWID_CZS,1972,22.7179
Czechoslovakia,OWID_CZS,1973,20.75337
Czechoslovakia,OWID_CZS,1974,21.04074
Czechoslovakia,OWID_CZS,1975,20.32091
Czechoslovakia,OWID_CZS,1976,19.20295
Czechoslovakia,OWID_CZS,1977,19.6305
Czechoslovakia,OWID_CZS,1978,19.72062
Czechoslovakia,OWID_CZS,1979,18.36911
Czechoslovakia,OWID_CZS,1980,18.44104
Czechoslovakia,OWID_CZS,1981,18.38247
Czechoslovakia,OWID_CZS,1982,18.18637
Czechoslovakia,OWID_CZS,1983,17.59199
Czechoslovakia,OWID_CZS,1984,16.84411
Czechoslovakia,OWID_CZS,1985,17.28135
Czechoslovakia,OWID_CZS,1986,17.46858
Czechoslovakia,OWID_CZS,1987,16.19857
Czechoslovakia,OWID_CZS,1988,16.12425
Czechoslovakia,OWID_CZS,1989,16.08007
Czechoslovakia,OWID_CZS,1990,16.05837
Czechoslovakia,OWID_CZS,1991,15.4163
Democratic Republic of Congo,COD,2002,7.346663
Democratic Republic of Congo,COD,2004,14.71302032
Democratic Republic of Congo,COD,2005,14.71302032
Denmark,DNK,1951,22.57001
Denmark,DNK,1952,21.80417
Denmark,DNK,1953,22.97208
Denmark,DNK,1954,22.0815
Denmark,DNK,1955,22.07839
Denmark,DNK,1956,21.21038
Denmark,DNK,1957,20.65602
Denmark,DNK,1958,19.63602
Denmark,DNK,1959,19.808
Denmark,DNK,1960,18.92327
Denmark,DNK,1961,15.55525
Denmark,DNK,1962,17.73354
Denmark,DNK,1963,17.73943
Denmark,DNK,1964,19.29921
Denmark,DNK,1965,17.74087
Denmark,DNK,1966,16.25596
Denmark,DNK,1967,16.13284
Denmark,DNK,1968,18.82345
Denmark,DNK,1969,19.19158
Denmark,DNK,1970,19.6677
Denmark,DNK,1971,22.50454
Denmark,DNK,1972,21.70824
Denmark,DNK,1973,21.58741
Denmark,DNK,1974,23.28661
Denmark,DNK,1975,21.77992
Denmark,DNK,1976,21.44132
Denmark,DNK,1977,21.75448
Denmark,DNK,1978,20.7717
Denmark,DNK,1979,23.39481
Denmark,DNK,1980,28.32473
Denmark,DNK,1981,26.38023
Denmark,DNK,1982,25.89203
Denmark,DNK,1983,24.59875
Denmark,DNK,1984,24.79798
Denmark,DNK,1985,23.78938
Denmark,DNK,1986,23.63775
Denmark,DNK,1987,23.63203
Denmark,DNK,1988,21.78305
Denmark,DNK,1989,22.05911
Denmark,DNK,1990,19.63705
Denmark,DNK,1991,18.29291
Denmark,DNK,1992,17.71487
Denmark,DNK,1993,17.76922
Denmark,DNK,1994,15.14995
Denmark,DNK,1995,14.16143
Denmark,DNK,1996,13.63372
Denmark,DNK,1997,12.45314
Denmark,DNK,1998,11.69358
Denmark,DNK,1999,11.88227
Denmark,DNK,2000,10.9605
Denmark,DNK,2001,10.74545
Denmark,DNK,2002,10.18429
Denmark,DNK,2003,9.329547
Denmark,DNK,2004,10.06166
Denmark,DNK,2005,8.973104
Djibouti,DJI,2002,5.495998
Djibouti,DJI,2004,4.993475914
Djibouti,DJI,2005,4.993475914
Dominica,DMA,2004,5.835250854
Dominica,DMA,2005,5.835250854
Dominican Republic,DOM,2002,3.62026
Dominican Republic,DOM,2004,6.519536972
Dominican Republic,DOM,2005,6.519536972
East Germany,OWID_GDR,1973,28.4586
East Germany,OWID_GDR,1974,29.79765
East Germany,OWID_GDR,1989,20.54407
East Germany,OWID_GDR,1990,19.00906
Ecuador,ECU,2002,6.129993
Ecuador,ECU,2004,8.504684448
Ecuador,ECU,2005,8.504684448
Egypt,EGY,1973,0.108874
Egypt,EGY,1974,0.0632462
Egypt,EGY,1975,0.1390825
Egypt,EGY,1976,0.1197322
