Entity,Code,Year,Borrowed from a private informal lender (% age 15+) [w1] (Percent)
Sudan,SDN,2011,11.10362
Swaziland,SWZ,2011,11.4048
Sweden,SWE,2011,1.451686
Syria,SYR,2011,16.8874
Taiwan,TWN,2011,1.735868
Tajikistan,TJK,2011,3.335758
Tanzania,TZA,2011,6.014401
Thailand,THA,2011,2.3035
Togo,TGO,2011,1.934374
Trinidad and Tobago,TTO,2011,1.329776
Turkey,TUR,2011,0.4496818
Turkmenistan,TKM,2011,2.802617
Uganda,UGA,2011,4.58562
Ukraine,UKR,2011,1.533781
United Arab Emirates,ARE,2011,2.303174
United Kingdom,GBR,2011,2.225823
United States,USA,2011,4.856001
Upper middle income,,2011,1.655505
Uruguay,URY,2011,0.5537781
Uzbekistan,UZB,2011,1.00392
Venezuela,VEN,2011,1.540097
Vietnam,VNM,2011,2.966962
World,OWID_WRL,2011,3.391903
Yemen,YEM,2011,7.766827
Zambia,ZMB,2011,4.268121
Zimbabwe,ZWE,2011,4.162011
