Entity,Code,Year,Government Education Expenditure 1960-2010
High-income countries,,1970,5.6
High-income countries,,1980,5.1
High-income countries,,1990,5
High-income countries,,2000,4.957215
High-income countries,,2010,5.585945
India,IND,1960,2.3
India,IND,1965,2.6
India,IND,1970,2.6
India,IND,1980,3
India,IND,1990,3.9
India,IND,2000,4.27335
India,IND,2010,3.33012
Indonesia,IDN,1970,2.6
Indonesia,IDN,1980,1.7
Indonesia,IDN,1990,1
Indonesia,IDN,2000,2.46003
Indonesia,IDN,2010,2.99923
Iran,IRN,1970,2.87191
Iran,IRN,1980,6.00605
Iran,IRN,1990,3.98886
Iran,IRN,2000,4.38467
Iran,IRN,2010,4.66592
Kenya,KEN,1965,4.6
Kenya,KEN,1970,5
Kenya,KEN,1980,6.8
Kenya,KEN,1990,7.1
Kenya,KEN,2000,5.18673
Kenya,KEN,2010,6.66842
Malaysia,MYS,1970,4.2
Malaysia,MYS,1980,6
Malaysia,MYS,1990,5.5
Malaysia,MYS,2000,5.97161
Malaysia,MYS,2010,6.26342
Mexico,MEX,1960,1.3
Mexico,MEX,1965,1.9
Mexico,MEX,1970,2.3
Mexico,MEX,1980,4.7
Mexico,MEX,1990,3.7
Mexico,MEX,2000,4.86093
Mexico,MEX,2010,5.29197
Morocco,MAR,1970,3.5
Morocco,MAR,1980,6.1
Morocco,MAR,1990,5.5
Morocco,MAR,2000,5.76051
Morocco,MAR,2010,5.3758
Nigeria,NGA,1965,2.3
Nigeria,NGA,1970,3.2
Nigeria,NGA,1980,3.6
Nigeria,NGA,1990,1
Nigeria,NGA,2000,0.7
Nigeria,NGA,2010,...
Pakistan,PAK,1960,0.9
Pakistan,PAK,1965,1.5
Pakistan,PAK,1970,1.7
Pakistan,PAK,1980,2.1
Pakistan,PAK,1990,2.7
Pakistan,PAK,2000,1.83782
Pakistan,PAK,2010,2.37237
Peru,PER,1965,5
Peru,PER,1970,3.3
Peru,PER,1980,3.1
Peru,PER,1990,2.3
Peru,PER,2000,3.14056
Peru,PER,2010,2.74889
Philippines,PHL,1960,2.6
Philippines,PHL,1965,2.7
Philippines,PHL,1970,2.8
Philippines,PHL,1980,1.7
Philippines,PHL,1990,2.9
Philippines,PHL,2000,3.26766
Philippines,PHL,2010,2.65295
South Africa,ZAF,1990,6.5
South Africa,ZAF,2000,5.58454
South Africa,ZAF,2010,5.98304
South Korea,KOR,1960,3.2
South Korea,KOR,1965,1.8
South Korea,KOR,1970,3.4
South Korea,KOR,1980,3.7
South Korea,KOR,1990,3.5
South Korea,KOR,2000,3.94041
South Korea,KOR,2010,5.04985
Sri Lanka,LKA,1970,4
Sri Lanka,LKA,1980,2.7
Sri Lanka,LKA,1990,2.7
Sri Lanka,LKA,2000,3.05142
Sri Lanka,LKA,2010,2.0559
Taiwan,TWN,1990,4.69845214
Taiwan,TWN,2000,3.7
Taiwan,TWN,2010,3.8
Tanzania,TZA,1990,3.4
Tanzania,TZA,2000,2.13
Tanzania,TZA,2010,6.1812
Thailand,THA,1960,2.5
Thailand,THA,1965,3.1
Thailand,THA,1970,3.2
Thailand,THA,1980,3.4
Thailand,THA,1990,3.6
Thailand,THA,2000,5.41043
Thailand,THA,2010,3.75264
Turkey,TUR,1960,2.4
Turkey,TUR,1965,3.5
Turkey,TUR,1970,2.1
Turkey,TUR,1980,2.2
Turkey,TUR,1990,2.1
Turkey,TUR,2000,2.58992
Turkey,TUR,2010,2.86247
Venezuela,VEN,1965,3.9
Venezuela,VEN,1970,4.1
Venezuela,VEN,1980,4.4
Venezuela,VEN,1990,3.1
Venezuela,VEN,2000,...
Venezuela,VEN,2010,3.62732
Zambia,ZMB,1960,1.8
Zambia,ZMB,1965,6
Zambia,ZMB,1970,4.5
Zambia,ZMB,1980,4.5
Zambia,ZMB,1990,2.6
Zambia,ZMB,2000,1.98866
Zambia,ZMB,2010,1.34536
