Entity,Code,Year,10.a.1 - Proportion of tariff lines applied to imports with zero-tariff (%) - TM_TRF_ZERO - All products (%)
Montenegro,MNE,2017,86.78728
Montserrat,MSR,2005,58.89328
Montserrat,MSR,2010,49.32127
Montserrat,MSR,2015,54.11765
Montserrat,MSR,2016,54.27509
Montserrat,MSR,2017,69.38111
Morocco,MAR,2005,53.76202
Morocco,MAR,2010,49.48388
Morocco,MAR,2015,52.65003
Morocco,MAR,2016,43.15486
Morocco,MAR,2017,47.86244
Mozambique,MOZ,2005,52.60078
Mozambique,MOZ,2010,58.2867
Mozambique,MOZ,2015,83.46297
Mozambique,MOZ,2016,82.00087
Mozambique,MOZ,2017,83.71768
Myanmar,MMR,2005,38.54035
Myanmar,MMR,2010,38.29547
Myanmar,MMR,2015,67.99549
Myanmar,MMR,2016,62.31033
Myanmar,MMR,2017,63.44828
Namibia,NAM,2005,58.22522
Namibia,NAM,2010,28.32542
Namibia,NAM,2015,84.2032
Namibia,NAM,2016,59.51297
Namibia,NAM,2017,60.77884
Nauru,NRU,2005,38.55422
Nauru,NRU,2010,65.63877
Nauru,NRU,2015,39.71831
Nauru,NRU,2016,40.07092
Nauru,NRU,2017,42.91262
Nepal,NPL,2005,51.06945
Nepal,NPL,2010,65.595
Nepal,NPL,2015,76.97871
Nepal,NPL,2016,74.84546
Nepal,NPL,2017,77.06
Netherlands,NLD,2005,39.10884
Netherlands,NLD,2010,44.04642
Netherlands,NLD,2015,50.08883
Netherlands,NLD,2017,54.52909
New Caledonia,NCL,2005,69.43867
New Caledonia,NCL,2010,61.7107
New Caledonia,NCL,2015,72.58417
New Caledonia,NCL,2016,49.53052
New Caledonia,NCL,2017,67.10635
New Zealand,NZL,2005,40.09933
New Zealand,NZL,2010,41.37732
New Zealand,NZL,2015,49.11006
New Zealand,NZL,2016,43.88266
New Zealand,NZL,2017,47.76996
Nicaragua,NIC,2005,63.38358
Nicaragua,NIC,2010,70.58392
Nicaragua,NIC,2015,72.11221
Nicaragua,NIC,2016,67.15815
Nicaragua,NIC,2017,70.71061
Niger,NER,2005,51.38023
Niger,NER,2010,56.2028
Niger,NER,2015,77.37828
Niger,NER,2016,76.74216
Niger,NER,2017,84.34377
Nigeria,NGA,2005,34.80925
Nigeria,NGA,2010,31.80191
Nigeria,NGA,2015,55.58921
Nigeria,NGA,2016,52.68432
Nigeria,NGA,2017,58.08195
Niue,NIU,2005,57.14286
Niue,NIU,2010,31.97674
Niue,NIU,2015,49.45455
Niue,NIU,2016,50.7772
Niue,NIU,2017,34.51957
Norfolk Island,NFK,2005,34.09091
Norfolk Island,NFK,2010,31.03448
Norfolk Island,NFK,2015,56.75676
Norfolk Island,NFK,2016,30.26316
Norfolk Island,NFK,2017,47.94521
North Korea,PRK,2005,18.05735
North Korea,PRK,2010,21.23945
North Korea,PRK,2015,28.07361
North Korea,PRK,2016,20.71429
North Korea,PRK,2017,22.27522
Northern Africa,,2005,62.33468
Northern Africa,,2010,58.7205
Northern Africa,,2015,59.29709
Northern Africa,,2016,53.9471
Northern Africa,,2017,57.62691
Northern Africa (exc. Sudan),,2005,62.40523
Northern Africa (exc. Sudan),,2010,58.59844
Northern Africa (exc. Sudan),,2015,59.03362
Northern Africa (exc. Sudan),,2016,53.6391
Northern Africa (exc. Sudan),,2017,57.56658
Northern Africa and Western Asia,,2005,47.4466
Northern Africa and Western Asia,,2010,49.10921
Northern Africa and Western Asia,,2015,50.77776
Northern Africa and Western Asia,,2016,50.06433
Northern Africa and Western Asia,,2017,51.89397
Northern America,,2005,33.69182
Northern America,,2010,38.32475
Northern America,,2015,41.12284
Northern America,,2016,42.15096
Northern America,,2017,43.06857
Northern Europe,,2005,40.72853
Northern Europe,,2010,48.46879
Northern Europe,,2015,54.51845
Northern Europe,,2016,58.51625
Northern Europe,,2017,58.48859
Northern Mariana Islands,MNP,2005,18.30986
Northern Mariana Islands,MNP,2010,22.18543
Northern Mariana Islands,MNP,2015,22.42991
Northern Mariana Islands,MNP,2016,10.98546
Northern Mariana Islands,MNP,2017,52.13675
Norway,NOR,2005,48.30419
Norway,NOR,2010,50.86417
Norway,NOR,2015,60.56299
Norway,NOR,2016,56.77684
Norway,NOR,2017,61.61746
Oceania,,2005,40.68611
Oceania,,2010,41.47311
Oceania,,2015,48.22166
Oceania,,2016,45.44701
Oceania,,2017,49.60971
Oceania (exc. Australia and New Zealand),,2005,48.31352
Oceania (exc. Australia and New Zealand),,2010,45.97932
Oceania (exc. Australia and New Zealand),,2015,53.27593
Oceania (exc. Australia and New Zealand),,2016,44.18363
Oceania (exc. Australia and New Zealand),,2017,48.84387
Oman,OMN,2005,62.49128
Oman,OMN,2010,64.77958
Oman,OMN,2015,60.80402
Oman,OMN,2016,68.39786
Oman,OMN,2017,61.81818
Pakistan,PAK,2005,24.03188
Pakistan,PAK,2010,25.95954
Pakistan,PAK,2015,32.05753
Pakistan,PAK,2016,27.33637
Pakistan,PAK,2017,32.5036
Palau,PLW,2005,41.66667
Palau,PLW,2010,21.875
Palau,PLW,2015,71.00372
Palau,PLW,2016,34.73054
Palau,PLW,2017,57.69231
Palestine,PSE,2005,74.65181
Palestine,PSE,2010,74.75915
Palestine,PSE,2015,85.85434
Palestine,PSE,2016,86.82842
Palestine,PSE,2017,78.07263
Panama,PAN,2005,29.49794
Panama,PAN,2010,39.27773
Panama,PAN,2015,40.61349
Panama,PAN,2016,38.77284
Panama,PAN,2017,43.44789
Papua New Guinea,PNG,2005,66.64196
Papua New Guinea,PNG,2010,57.66374
Papua New Guinea,PNG,2015,74.61774
Papua New Guinea,PNG,2016,72.99449
Papua New Guinea,PNG,2017,72.92398
Paraguay,PRY,2005,63.67332
Paraguay,PRY,2010,68.24561
Paraguay,PRY,2015,75.90397
Paraguay,PRY,2016,71.97167
Paraguay,PRY,2017,70.42051
Peru,PER,2005,60.72413
Peru,PER,2010,62.49554
Peru,PER,2015,76.75309
Peru,PER,2016,72.84874
Peru,PER,2017,74.97293
Philippines,PHL,2005,45.6205
Philippines,PHL,2010,51.69249
Philippines,PHL,2015,60.37911
Philippines,PHL,2016,55.48742
Philippines,PHL,2017,60.17565
Pitcairn,PCN,2005,64
Pitcairn,PCN,2010,39.42308
Pitcairn,PCN,2015,67.56757
Pitcairn,PCN,2016,46
Pitcairn,PCN,2017,47.57282
Poland,POL,2005,37.88221
Poland,POL,2010,48.42586
Poland,POL,2015,54.06582
Poland,POL,2017,58.28157
Polynesia,OWID_PYA,2005,59.88971
Polynesia,OWID_PYA,2010,51.38408
Polynesia,OWID_PYA,2015,61.48527
Polynesia,OWID_PYA,2016,50.23525
Polynesia,OWID_PYA,2017,51.32226
Portugal,PRT,2005,31.29876
Portugal,PRT,2010,38.82446
Portugal,PRT,2015,47.15601
Portugal,PRT,2017,51.8431
Puerto Rico,PRI,2016,0
Puerto Rico,PRI,2017,5.12821
Qatar,QAT,2005,66.20607
Qatar,QAT,2010,59.18446
Qatar,QAT,2015,52.7052
Qatar,QAT,2016,61.47883
Qatar,QAT,2017,51.10902
Romania,ROU,2005,49.99626
Romania,ROU,2010,50.05598
Romania,ROU,2015,58.54226
Romania,ROU,2017,62.00724
Russia,RUS,2005,67.48111
Russia,RUS,2010,68.07269
Russia,RUS,2015,60.01465
Russia,RUS,2016,67.7414
Russia,RUS,2017,61.45209
Rwanda,RWA,2005,41.00486
Rwanda,RWA,2010,63.14465
Rwanda,RWA,2015,91.04829
Rwanda,RWA,2016,86.12245
Rwanda,RWA,2017,86.08777
Saint Helena,SHN,2005,42.44604
Saint Helena,SHN,2010,33.63914
Saint Helena,SHN,2015,66.05505
Saint Helena,SHN,2016,48.94366
Saint Helena,SHN,2017,58.58896
Saint Kitts and Nevis,KNA,2005,60.03617
Saint Kitts and Nevis,KNA,2010,67.34694
Saint Kitts and Nevis,KNA,2015,82.21925
Saint Kitts and Nevis,KNA,2016,80.53571
Saint Kitts and Nevis,KNA,2017,75.13135
Saint Lucia,LCA,2005,84.53838
Saint Lucia,LCA,2010,91.43357
Saint Lucia,LCA,2015,82.34672
Saint Lucia,LCA,2016,93.06418
Saint Lucia,LCA,2017,88.28607
Saint Pierre and Miquelon,SPM,2005,68.14159
Saint Pierre and Miquelon,SPM,2010,75.55556
Saint Pierre and Miquelon,SPM,2015,79.74684
Saint Pierre and Miquelon,SPM,2016,39.21569
Saint Pierre and Miquelon,SPM,2017,74.28571
Saint Vincent and the Grenadines,VCT,2005,89.98273
Saint Vincent and the Grenadines,VCT,2010,64.07369
Saint Vincent and the Grenadines,VCT,2015,78.89908
Saint Vincent and the Grenadines,VCT,2016,52.08141
Saint Vincent and the Grenadines,VCT,2017,49.69559
Samoa,WSM,2005,57.18563
Samoa,WSM,2010,39.41842
Samoa,WSM,2015,76.74419
Samoa,WSM,2016,78.08858
Samoa,WSM,2017,74.45008
San Marino,SMR,2016,22.48062
San Marino,SMR,2017,21.47887
Sao Tome and Principe,STP,2005,39.18367
Sao Tome and Principe,STP,2010,40.63325
Sao Tome and Principe,STP,2015,68.7747
Sao Tome and Principe,STP,2016,47.66355
Sao Tome and Principe,STP,2017,69.87179
Saudi Arabia,SAU,2005,63.85037
Saudi Arabia,SAU,2010,59.02785
Saudi Arabia,SAU,2015,63.19671
Saudi Arabia,SAU,2016,68.11708
Saudi Arabia,SAU,2017,62.94139
Senegal,SEN,2005,41.56176
Senegal,SEN,2010,40.38615
Senegal,SEN,2015,61.98142
Senegal,SEN,2016,53.09218
Senegal,SEN,2017,71.86584
Serbia,SRB,2005,21.29964
Serbia,SRB,2010,81.17835
Serbia,SRB,2015,78.51922
Serbia,SRB,2016,74.95423
Serbia,SRB,2017,77.4393
Seychelles,SYC,2005,56.2724
Seychelles,SYC,2010,57.63359
Seychelles,SYC,2015,59.66851
Seychelles,SYC,2016,47.07602
Seychelles,SYC,2017,58.16327
Sierra Leone,SLE,2005,53.69546
Sierra Leone,SLE,2010,62.60745
Sierra Leone,SLE,2015,69.87315
Sierra Leone,SLE,2016,68.14159
Sierra Leone,SLE,2017,75.94623
Singapore,SGP,2005,37.30921
Singapore,SGP,2010,49.81074
Singapore,SGP,2015,60.58334
Singapore,SGP,2016,62.54451
Singapore,SGP,2017,66.865
Slovakia,SVK,2005,41.1541
Slovakia,SVK,2010,57.22034
Slovakia,SVK,2015,63.16014
Slovakia,SVK,2017,66.27011
Slovenia,SVN,2005,46.45038
Slovenia,SVN,2010,58.85844
Slovenia,SVN,2015,68.29957
Slovenia,SVN,2017,71.66795
Small Island Developing States (SIDS),,2005,46.07053
Small Island Developing States (SIDS),,2010,53.64501
Small Island Developing States (SIDS),,2015,62.38886
Small Island Developing States (SIDS),,2016,62.25229
Small Island Developing States (SIDS),,2017,65.58555
Solomon Islands,SLB,2005,66.66667
Solomon Islands,SLB,2010,65.21739
Solomon Islands,SLB,2015,67.28723
Solomon Islands,SLB,2016,62.03966
Solomon Islands,SLB,2017,67.59657
Somalia,SOM,2005,35.90193
Somalia,SOM,2010,32.05575
Somalia,SOM,2015,56.22688
Somalia,SOM,2016,43.23002
Somalia,SOM,2017,56.26072
South Africa,ZAF,2005,45.65304
South Africa,ZAF,2010,51.4238
South Africa,ZAF,2015,58.86249
South Africa,ZAF,2016,61.4176
South Africa,ZAF,2017,60.59212
South America,,2005,55.31277
South America,,2010,59.29702
South America,,2015,66.75037
South America,,2016,64.688
South America,,2017,64.63339
South Eastern Asia,,2005,37.66855
South Eastern Asia,,2010,44.93883
South Eastern Asia,,2015,53.67017
South Eastern Asia,,2016,52.14311
South Eastern Asia,,2017,56.73915
South Georgia and the South Sandwich Islands,SGS,2016,10
South Georgia and the South Sandwich Islands,SGS,2017,20
South Korea,KOR,2005,28.86157
South Korea,KOR,2010,33.68056
South Korea,KOR,2015,43.5218
South Korea,KOR,2016,43.27501
South Korea,KOR,2017,49.44809
South Sudan,SSD,2016,25
South Sudan,SSD,2017,39.78495
Southern Africa,,2005,45.12575
Southern Africa,,2010,49.33552
Southern Africa,,2015,61.52963
Southern Africa,,2016,62.72481
Southern Africa,,2017,61.92828
Southern Asia,,2005,29.95289
Southern Asia,,2010,33.21275
Southern Asia,,2015,35.10744
Southern Asia,,2016,34.77081
Southern Asia,,2017,37.03518
Southern Europe,,2005,39.55949
Southern Europe,,2010,46.15341
Southern Europe,,2015,53.15853
Southern Europe,,2016,65.22439
Southern Europe,,2017,57.51869
Spain,ESP,2005,34.64001
Spain,ESP,2010,40.12095
Spain,ESP,2015,47.93411
Spain,ESP,2017,52.84237
Sri Lanka,LKA,2005,33.9449
Sri Lanka,LKA,2010,32.88581
Sri Lanka,LKA,2015,29.87013
Sri Lanka,LKA,2016,33.47125
Sri Lanka,LKA,2017,38.60552
Sub-Saharan Africa,,2005,47.84541
Sub-Saharan Africa,,2010,52.62545
Sub-Saharan Africa,,2015,64.96221
Sub-Saharan Africa,,2016,63.8374
Sub-Saharan Africa,,2017,66.53722
Sub-Saharan Africa (inc. Sudan),,2005,47.92563
Sub-Saharan Africa (inc. Sudan),,2010,52.70591
Sub-Saharan Africa (inc. Sudan),,2015,65.01536
Sub-Saharan Africa (inc. Sudan),,2016,63.87987
Sub-Saharan Africa (inc. Sudan),,2017,66.54437
Sudan,SDN,2005,59.37261
Sudan,SDN,2010,64.81862
Sudan,SDN,2015,73.34697
Sudan,SDN,2016,70.45968
Sudan,SDN,2017,70.71429
Suriname,SUR,2005,64.03888
Suriname,SUR,2010,77.34187
Suriname,SUR,2015,78.7594
Suriname,SUR,2016,63.68852
Suriname,SUR,2017,76.1522
Svalbard and Jan Mayen,SJM,2016,0
Swaziland,SWZ,2005,27.55593
Swaziland,SWZ,2010,34.66112
Swaziland,SWZ,2015,60.53818
Swaziland,SWZ,2016,57.46437
Swaziland,SWZ,2017,56.06085
Sweden,SWE,2005,42.07134
Sweden,SWE,2010,48.82936
Sweden,SWE,2015,55.45659
Sweden,SWE,2017,59.48355
Switzerland,CHE,2005,38.88213
Switzerland,CHE,2010,42.37253
Switzerland,CHE,2015,54.95661
Switzerland,CHE,2016,54.72763
Switzerland,CHE,2017,57.48697
Syria,SYR,2005,62.81712
Syria,SYR,2010,69.89392
Syria,SYR,2015,80.73026
Syria,SYR,2016,81.94198
Syria,SYR,2017,80
Tajikistan,TJK,2005,53.01682
Tajikistan,TJK,2010,55.19677
Tajikistan,TJK,2015,52.40066
Tajikistan,TJK,2016,48.83068
Tajikistan,TJK,2017,45.42587
Tanzania,TZA,2005,41.05129
Tanzania,TZA,2010,65.326
Tanzania,TZA,2015,83.26775
Tanzania,TZA,2016,80.44351
Tanzania,TZA,2017,84.85562
Thailand,THA,2005,31.97549
Thailand,THA,2010,38.74632
Thailand,THA,2015,48.39176
Thailand,THA,2016,46.67683
Thailand,THA,2017,52.64344
Timor,TLS,2005,44.54976
Timor,TLS,2010,42.5
Timor,TLS,2015,57.19697
Timor,TLS,2016,55.55556
Timor,TLS,2017,68.26923
Togo,TGO,2005,31.16746
Togo,TGO,2010,30.52109
Togo,TGO,2015,69.59937
Togo,TGO,2016,76.61508
Togo,TGO,2017,84.99403
Tokelau,TKL,2005,40
Tokelau,TKL,2010,36.72316
Tokelau,TKL,2015,36.407
Tokelau,TKL,2016,27.54919
Tokelau,TKL,2017,26.00849
Tonga,TON,2005,65.45455
Tonga,TON,2010,64.36782
Tonga,TON,2015,69.85646
Tonga,TON,2016,63.84977
Tonga,TON,2017,67.85714
Trinidad and Tobago,TTO,2005,87.71952
Trinidad and Tobago,TTO,2010,89.84738
Trinidad and Tobago,TTO,2015,83.75789
Trinidad and Tobago,TTO,2016,91.01293
Trinidad and Tobago,TTO,2017,86.45187
Tunisia,TUN,2005,62.27878
Tunisia,TUN,2010,53.50911
Tunisia,TUN,2015,54.74788
Tunisia,TUN,2016,45.48094
Tunisia,TUN,2017,52.11668
Turkey,TUR,2005,32.25194
Turkey,TUR,2010,36.66455
Turkey,TUR,2015,41.18259
Turkey,TUR,2016,41.78707
Turkey,TUR,2017,43.61384
Turkmenistan,TKM,2005,53.23661
Turkmenistan,TKM,2010,54.65394
Turkmenistan,TKM,2015,50.52431
Turkmenistan,TKM,2016,43.41518
Turkmenistan,TKM,2017,55.60538
Turks and Caicos Islands,TCA,2005,45.89744
Turks and Caicos Islands,TCA,2010,24.85769
Turks and Caicos Islands,TCA,2015,56.18812
Turks and Caicos Islands,TCA,2016,38.31325
Turks and Caicos Islands,TCA,2017,41.47059
Tuvalu,TUV,2005,72.27723
Tuvalu,TUV,2010,68
Tuvalu,TUV,2015,75.86207
Tuvalu,TUV,2016,57.6
Tuvalu,TUV,2017,74.83444
Uganda,UGA,2005,35.53608
Uganda,UGA,2010,71.74954
Uganda,UGA,2015,59.59372
Uganda,UGA,2016,79.81263
Uganda,UGA,2017,85.60681
Ukraine,UKR,2005,62.48184
Ukraine,UKR,2010,64.39385
Ukraine,UKR,2015,69.96142
Ukraine,UKR,2016,65.73754
Ukraine,UKR,2017,67.37952
United Arab Emirates,ARE,2005,33.27312
United Arab Emirates,ARE,2010,38.45585
United Arab Emirates,ARE,2015,38.50559
United Arab Emirates,ARE,2016,41.58614
United Arab Emirates,ARE,2017,41.3952
United Kingdom,GBR,2005,36.56531
United Kingdom,GBR,2010,41.39891
United Kingdom,GBR,2015,47.22208
United Kingdom,GBR,2017,51.30141
United States,USA,2005,31.99948
United States,USA,2010,37.1815
United States,USA,2015,39.84027
United States,USA,2016,41.0735
United States,USA,2017,42.11872
United States Minor Outlying Islands,UMI,2005,27.06124
United States Minor Outlying Islands,UMI,2010,29.24394
United States Minor Outlying Islands,UMI,2015,24.98478
United States Minor Outlying Islands,UMI,2016,22.88037
United States Minor Outlying Islands,UMI,2017,24.66866
United States Virgin Islands,VIR,2017,0
Uruguay,URY,2005,62.39181
Uruguay,URY,2010,68.45865
Uruguay,URY,2015,74.38312
Uruguay,URY,2016,72.83951
Uruguay,URY,2017,68.54053
Uzbekistan,UZB,2005,69.50383
Uzbekistan,UZB,2010,74.12374
Uzbekistan,UZB,2015,78.91411
Uzbekistan,UZB,2016,78.63133
Uzbekistan,UZB,2017,77.52564
Vanuatu,VUT,2005,43.02326
Vanuatu,VUT,2010,71.21662
Vanuatu,VUT,2015,75.10121
Vanuatu,VUT,2016,76.20253
Vanuatu,VUT,2017,77.11538
Venezuela,VEN,2005,64.01908
Venezuela,VEN,2010,59.13269
Venezuela,VEN,2015,48.75477
Venezuela,VEN,2016,51.76849
Venezuela,VEN,2017,51.72541
Vietnam,VNM,2005,38.36311
Vietnam,VNM,2010,43.27835
Vietnam,VNM,2015,51.76259
Vietnam,VNM,2016,48.35064
Vietnam,VNM,2017,54.99876
Wallis and Futuna,WLF,2005,50.96154
Wallis and Futuna,WLF,2010,62.71186
Wallis and Futuna,WLF,2015,58.73016
Wallis and Futuna,WLF,2016,52.94118
Wallis and Futuna,WLF,2017,59.52381
Western Africa,,2005,40.68783
Western Africa,,2010,39.86625
Western Africa,,2015,66.89673
Western Africa,,2016,63.84003
Western Africa,,2017,71.37282
Western Asia,,2005,44.78369
Western Asia,,2010,47.23625
Western Asia,,2015,49.13888
Western Asia,,2016,49.2936
Western Asia,,2017,50.65935
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,43.51552
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,45.27824
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2015,46.54534
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2016,48.15083
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2017,48.18102
Western Sahara,ESH,2005,7.14286
Western Sahara,ESH,2010,4.61538
Western Sahara,ESH,2015,21.9697
Western Sahara,ESH,2016,28.30189
Western Sahara,ESH,2017,43.24324
World,OWID_WRL,2005,39.68604
World,OWID_WRL,2010,44.38949
World,OWID_WRL,2015,50.21292
World,OWID_WRL,2016,48.17751
World,OWID_WRL,2017,53.11477
Yemen,YEM,2005,66.22181
Yemen,YEM,2010,56.43519
Yemen,YEM,2015,78.93951
Yemen,YEM,2016,79.60413
Yemen,YEM,2017,88.64824
Zambia,ZMB,2005,69.79472
Zambia,ZMB,2010,62.84987
Zambia,ZMB,2015,93.0302
Zambia,ZMB,2016,89.64286
Zambia,ZMB,2017,91.27197
Zimbabwe,ZWE,2005,74.43485
Zimbabwe,ZWE,2010,77.26537
Zimbabwe,ZWE,2015,84.0708
Zimbabwe,ZWE,2016,82.93999
Zimbabwe,ZWE,2017,81.27882
