Entity,Code,Year,"Indicator 3.9.2: Age-standardised death rate attributable to unsafe water, sanitation, and hygiene (WaSH) (per 100,000 population) - Past - Unscaled (deaths per 100,000)"
Bhutan,BTN,1990,119.228
Bhutan,BTN,1995,87.759
Bhutan,BTN,2000,56.454
Bhutan,BTN,2005,33.695
Bhutan,BTN,2010,21.558
Bhutan,BTN,2016,14.834
Bolivia,BOL,1990,51.219
Bolivia,BOL,1995,36.085
Bolivia,BOL,2000,28.627
Bolivia,BOL,2005,20.943
Bolivia,BOL,2010,13.369
Bolivia,BOL,2016,8.547
Bosnia and Herzegovina,BIH,1990,0.974
Bosnia and Herzegovina,BIH,1995,0.763
Bosnia and Herzegovina,BIH,2000,0.336
Bosnia and Herzegovina,BIH,2005,0.261
Bosnia and Herzegovina,BIH,2010,0.209
Bosnia and Herzegovina,BIH,2016,0.185
Botswana,BWA,1990,128.181
Botswana,BWA,1995,105.587
Botswana,BWA,2000,93.088
Botswana,BWA,2005,76.64
Botswana,BWA,2010,62.565
Botswana,BWA,2016,46.155
Brazil,BRA,1990,27.571
Brazil,BRA,1995,18.618
Brazil,BRA,2000,11.633
Brazil,BRA,2005,8.088
Brazil,BRA,2010,5.77
Brazil,BRA,2016,4.504
Brunei,BRN,1990,1.076
Brunei,BRN,1995,0.902
Brunei,BRN,2000,0.732
Brunei,BRN,2005,0.679
Brunei,BRN,2010,0.698
Brunei,BRN,2016,0.71
Bulgaria,BGR,1990,0.884
Bulgaria,BGR,1995,0.786
Bulgaria,BGR,2000,0.588
Bulgaria,BGR,2005,0.459
Bulgaria,BGR,2010,0.382
Bulgaria,BGR,2016,0.298
Burkina Faso,BFA,1990,246.516
Burkina Faso,BFA,1995,232.76
Burkina Faso,BFA,2000,211.546
Burkina Faso,BFA,2005,176.67
Burkina Faso,BFA,2010,147.152
Burkina Faso,BFA,2016,127.837
Burundi,BDI,1990,230.297
Burundi,BDI,1995,237.162
Burundi,BDI,2000,236.718
Burundi,BDI,2005,234.349
Burundi,BDI,2010,208.924
Burundi,BDI,2016,180.633
Cambodia,KHM,1990,104.046
Cambodia,KHM,1995,94.186
Cambodia,KHM,2000,78.607
Cambodia,KHM,2005,54.271
Cambodia,KHM,2010,34.893
Cambodia,KHM,2016,21.847
Cameroon,CMR,1990,180.95
Cameroon,CMR,1995,174.332
Cameroon,CMR,2000,159.842
Cameroon,CMR,2005,135.364
Cameroon,CMR,2010,117.083
Cameroon,CMR,2016,88.079
Canada,CAN,1990,0.232
Canada,CAN,1995,0.233
Canada,CAN,2000,0.287
Canada,CAN,2005,0.459
Canada,CAN,2010,0.569
Canada,CAN,2016,0.47
Cape Verde,CPV,1990,73.54
Cape Verde,CPV,1995,89.135
Cape Verde,CPV,2000,33.358
Cape Verde,CPV,2005,25.025
Cape Verde,CPV,2010,19.721
Cape Verde,CPV,2016,15.879
Central African Republic,CAF,1990,202.043
Central African Republic,CAF,1995,199.271
Central African Republic,CAF,2000,215.351
Central African Republic,CAF,2005,230.628
Central African Republic,CAF,2010,233.875
Central African Republic,CAF,2016,223.642
Chad,TCD,1990,276.139
Chad,TCD,1995,252.12
Chad,TCD,2000,227.199
Chad,TCD,2005,209.169
Chad,TCD,2010,191.398
Chad,TCD,2016,160.827
Chile,CHL,1990,4.684
Chile,CHL,1995,3.106
Chile,CHL,2000,1.897
Chile,CHL,2005,1.253
Chile,CHL,2010,1.047
Chile,CHL,2016,0.926
China,CHN,1990,9.915
China,CHN,1995,6.787
China,CHN,2000,4.12
China,CHN,2005,2.373
China,CHN,2010,1.246
China,CHN,2016,0.772
Colombia,COL,1990,11.514
Colombia,COL,1995,9.571
Colombia,COL,2000,6.655
Colombia,COL,2005,4.096
Colombia,COL,2010,2.747
Colombia,COL,2016,1.882
Comoros,COM,1990,160.881
Comoros,COM,1995,155.851
Comoros,COM,2000,192.693
Comoros,COM,2005,162.266
Comoros,COM,2010,140.686
Comoros,COM,2016,119.665
Congo,COG,1990,163.305
Congo,COG,1995,155.264
Congo,COG,2000,160.895
Congo,COG,2005,163.893
Congo,COG,2010,152.07
Congo,COG,2016,124.337
Costa Rica,CRI,1990,6.458
Costa Rica,CRI,1995,5.13
Costa Rica,CRI,2000,3.437
Costa Rica,CRI,2005,2.299
Costa Rica,CRI,2010,1.659
Costa Rica,CRI,2016,1.491
Cote d'Ivoire,CIV,1990,150.444
Cote d'Ivoire,CIV,1995,133.317
Cote d'Ivoire,CIV,2000,113.907
Cote d'Ivoire,CIV,2005,108.756
Cote d'Ivoire,CIV,2010,103.545
Cote d'Ivoire,CIV,2016,90.62
Croatia,HRV,1990,0.537
Croatia,HRV,1995,0.425
Croatia,HRV,2000,0.354
Croatia,HRV,2005,0.302
Croatia,HRV,2010,0.245
Croatia,HRV,2016,0.228
Cuba,CUB,1990,6.257
Cuba,CUB,1995,6.834
Cuba,CUB,2000,4.521
Cuba,CUB,2005,3.516
Cuba,CUB,2010,2.9
Cuba,CUB,2016,2.521
Cyprus,CYP,1990,0.965
Cyprus,CYP,1995,0.718
Cyprus,CYP,2000,0.537
Cyprus,CYP,2005,0.427
Cyprus,CYP,2010,0.365
Cyprus,CYP,2016,0.353
Czech Republic,CZE,1990,0.329
Czech Republic,CZE,1995,0.258
Czech Republic,CZE,2000,0.22
Czech Republic,CZE,2005,0.26
Czech Republic,CZE,2010,0.494
Czech Republic,CZE,2016,0.605
Democratic Republic of Congo,COD,1990,146.126
Democratic Republic of Congo,COD,1995,148.378
Democratic Republic of Congo,COD,2000,150.649
Democratic Republic of Congo,COD,2005,150.728
Democratic Republic of Congo,COD,2010,136.438
Democratic Republic of Congo,COD,2016,112.543
Denmark,DNK,1990,0.293
Denmark,DNK,1995,0.303
Denmark,DNK,2000,0.288
Denmark,DNK,2005,0.415
Denmark,DNK,2010,0.495
Denmark,DNK,2016,0.449
Djibouti,DJI,1990,155.017
Djibouti,DJI,1995,148
Djibouti,DJI,2000,128.681
Djibouti,DJI,2005,104.701
Djibouti,DJI,2010,85.554
Djibouti,DJI,2016,66.591
Dominica,DMA,1990,7.985
Dominica,DMA,1995,7.392
Dominica,DMA,2000,5.343
Dominica,DMA,2005,4.363
Dominica,DMA,2010,3.955
Dominica,DMA,2016,3.564
Dominican Republic,DOM,1990,29.574
Dominican Republic,DOM,1995,20.991
Dominican Republic,DOM,2000,13.762
Dominican Republic,DOM,2005,10.801
Dominican Republic,DOM,2010,8.754
Dominican Republic,DOM,2016,7.135
Ecuador,ECU,1990,28.591
Ecuador,ECU,1995,18.133
Ecuador,ECU,2000,10.198
Ecuador,ECU,2005,6.328
Ecuador,ECU,2010,4.343
Ecuador,ECU,2016,3.187
Egypt,EGY,1990,43.928
Egypt,EGY,1995,28.25
Egypt,EGY,2000,17.203
Egypt,EGY,2005,13.883
Egypt,EGY,2010,12.464
Egypt,EGY,2016,8.64
El Salvador,SLV,1990,43.974
El Salvador,SLV,1995,28.844
El Salvador,SLV,2000,17.668
El Salvador,SLV,2005,11.509
El Salvador,SLV,2010,8.008
El Salvador,SLV,2016,6.298
Equatorial Guinea,GNQ,1990,138.707
Equatorial Guinea,GNQ,1995,121.266
Equatorial Guinea,GNQ,2000,73.699
Equatorial Guinea,GNQ,2005,52.387
Equatorial Guinea,GNQ,2010,40.164
Equatorial Guinea,GNQ,2016,32.077
Eritrea,ERI,1990,310.668
Eritrea,ERI,1995,257.658
Eritrea,ERI,2000,196.763
Eritrea,ERI,2005,172.226
Eritrea,ERI,2010,160.954
Eritrea,ERI,2016,135.373
Estonia,EST,1990,0.561
Estonia,EST,1995,0.631
Estonia,EST,2000,0.428
Estonia,EST,2005,0.262
Estonia,EST,2010,0.202
Estonia,EST,2016,0.163
Ethiopia,ETH,1990,230.481
Ethiopia,ETH,1995,237.719
Ethiopia,ETH,2000,218.375
Ethiopia,ETH,2005,182.21
Ethiopia,ETH,2010,154.026
Ethiopia,ETH,2016,121.092
Fiji,FJI,1990,30.12
Fiji,FJI,1995,23.09
Fiji,FJI,2000,17.84
Fiji,FJI,2005,15.345
Fiji,FJI,2010,14.356
Fiji,FJI,2016,12.054
Finland,FIN,1990,0.466
Finland,FIN,1995,0.391
Finland,FIN,2000,0.296
Finland,FIN,2005,0.183
Finland,FIN,2010,0.138
Finland,FIN,2016,0.102
France,FRA,1990,0.432
France,FRA,1995,0.398
France,FRA,2000,0.386
France,FRA,2005,0.353
France,FRA,2010,0.379
France,FRA,2016,0.343
Gabon,GAB,1990,118.38
Gabon,GAB,1995,104.462
Gabon,GAB,2000,96.761
Gabon,GAB,2005,87.177
Gabon,GAB,2010,72.849
Gabon,GAB,2016,55.753
Gambia,GMB,1990,129.018
Gambia,GMB,1995,111.24
Gambia,GMB,2000,92.616
Gambia,GMB,2005,84.525
Gambia,GMB,2010,75.238
Gambia,GMB,2016,67.024
Georgia,GEO,1990,4.306
Georgia,GEO,1995,4.453
Georgia,GEO,2000,3.077
Georgia,GEO,2005,1.355
Georgia,GEO,2010,0.744
Georgia,GEO,2016,0.572
Germany,DEU,1990,0.184
Germany,DEU,1995,0.155
Germany,DEU,2000,0.16
Germany,DEU,2005,0.238
Germany,DEU,2010,0.365
Germany,DEU,2016,0.344
Ghana,GHA,1990,118.445
Ghana,GHA,1995,102.099
Ghana,GHA,2000,83.511
Ghana,GHA,2005,70.293
Ghana,GHA,2010,59.848
Ghana,GHA,2016,45.45
Greece,GRC,1990,0.117
Greece,GRC,1995,0.104
Greece,GRC,2000,0.11
Greece,GRC,2005,0.1
Greece,GRC,2010,0.082
Greece,GRC,2016,0.086
Grenada,GRD,1990,9.52
Grenada,GRD,1995,7.993
Grenada,GRD,2000,6.323
Grenada,GRD,2005,5.248
Grenada,GRD,2010,4.701
Grenada,GRD,2016,4.497
Guatemala,GTM,1990,128.045
Guatemala,GTM,1995,82.533
Guatemala,GTM,2000,58.29
Guatemala,GTM,2005,41.32
Guatemala,GTM,2010,30.216
Guatemala,GTM,2016,21.556
Guinea,GIN,1990,180.56
Guinea,GIN,1995,181.932
Guinea,GIN,2000,176.769
Guinea,GIN,2005,160.385
Guinea,GIN,2010,124.05
Guinea,GIN,2016,97.505
Guinea-Bissau,GNB,1990,221.32
Guinea-Bissau,GNB,1995,202.803
Guinea-Bissau,GNB,2000,178.164
Guinea-Bissau,GNB,2005,164.535
Guinea-Bissau,GNB,2010,126.166
Guinea-Bissau,GNB,2016,106.166
Guyana,GUY,1990,33.463
Guyana,GUY,1995,31.813
Guyana,GUY,2000,26.722
Guyana,GUY,2005,20.368
Guyana,GUY,2010,18.267
Guyana,GUY,2016,13.779
Haiti,HTI,1990,116.853
Haiti,HTI,1995,99.991
Haiti,HTI,2000,76.625
Haiti,HTI,2005,70.535
Haiti,HTI,2010,91.87
Haiti,HTI,2016,50.575
Honduras,HND,1990,65.993
Honduras,HND,1995,51.013
Honduras,HND,2000,36.602
Honduras,HND,2005,26.906
Honduras,HND,2010,19.925
Honduras,HND,2016,15.123
Hungary,HUN,1990,0.287
Hungary,HUN,1995,0.228
Hungary,HUN,2000,0.182
Hungary,HUN,2005,0.197
Hungary,HUN,2010,0.44
Hungary,HUN,2016,0.636
Iceland,ISL,1990,0.288
Iceland,ISL,1995,0.262
Iceland,ISL,2000,0.227
Iceland,ISL,2005,0.225
Iceland,ISL,2010,0.237
Iceland,ISL,2016,0.221
India,IND,1990,268.587
India,IND,1995,239.719
India,IND,2000,210.642
India,IND,2005,180.757
India,IND,2010,143.453
India,IND,2016,104.202
Indonesia,IDN,1990,132.628
Indonesia,IDN,1995,95.243
Indonesia,IDN,2000,64.485
Indonesia,IDN,2005,48.521
Indonesia,IDN,2010,39.212
Indonesia,IDN,2016,30.168
Iran,IRN,1990,16.973
Iran,IRN,1995,7.77
Iran,IRN,2000,4.14
Iran,IRN,2005,2.815
Iran,IRN,2010,2.142
Iran,IRN,2016,1.827
Iraq,IRQ,1990,17.153
Iraq,IRQ,1995,16.282
Iraq,IRQ,2000,12.662
Iraq,IRQ,2005,10.183
Iraq,IRQ,2010,8.903
Iraq,IRQ,2016,6.671
Ireland,IRL,1990,0.439
Ireland,IRL,1995,0.416
Ireland,IRL,2000,0.372
Ireland,IRL,2005,0.267
Ireland,IRL,2010,0.235
Ireland,IRL,2016,0.205
Israel,ISR,1990,0.46
Israel,ISR,1995,0.337
Israel,ISR,2000,0.486
Israel,ISR,2005,0.524
Israel,ISR,2010,0.601
Israel,ISR,2016,0.56
Italy,ITA,1990,0.142
Italy,ITA,1995,0.098
Italy,ITA,2000,0.083
Italy,ITA,2005,0.102
Italy,ITA,2010,0.131
Italy,ITA,2016,0.114
Jamaica,JAM,1990,12.618
Jamaica,JAM,1995,8.209
Jamaica,JAM,2000,5.648
Jamaica,JAM,2005,4.582
Jamaica,JAM,2010,4.22
Jamaica,JAM,2016,3.884
Japan,JPN,1990,0.88
Japan,JPN,1995,0.754
Japan,JPN,2000,0.59
Japan,JPN,2005,0.548
Japan,JPN,2010,0.523
Japan,JPN,2016,0.477
Jordan,JOR,1990,4.224
Jordan,JOR,1995,2.882
Jordan,JOR,2000,2.347
Jordan,JOR,2005,2.082
Jordan,JOR,2010,1.54
Jordan,JOR,2016,1.224
Kazakhstan,KAZ,1990,8.861
Kazakhstan,KAZ,1995,9.589
Kazakhstan,KAZ,2000,5.201
Kazakhstan,KAZ,2005,2.246
Kazakhstan,KAZ,2010,1.174
Kazakhstan,KAZ,2016,0.746
Kenya,KEN,1990,406.139
Kenya,KEN,1995,381.87
Kenya,KEN,2000,373.386
Kenya,KEN,2005,354.794
Kenya,KEN,2010,318.602
Kenya,KEN,2016,253.049
Kiribati,KIR,1990,164.125
Kiribati,KIR,1995,144.48
Kiribati,KIR,2000,107.088
Kiribati,KIR,2005,83.806
Kiribati,KIR,2010,76.446
Kiribati,KIR,2016,66.046
Kuwait,KWT,1990,1.623
Kuwait,KWT,1995,1.161
Kuwait,KWT,2000,1.115
Kuwait,KWT,2005,1.26
Kuwait,KWT,2010,1.296
Kuwait,KWT,2016,1.163
Kyrgyzstan,KGZ,1990,13.726
Kyrgyzstan,KGZ,1995,11.884
Kyrgyzstan,KGZ,2000,9.264
Kyrgyzstan,KGZ,2005,5.548
Kyrgyzstan,KGZ,2010,4.088
Kyrgyzstan,KGZ,2016,2.723
Laos,LAO,1990,123.071
Laos,LAO,1995,100.755
Laos,LAO,2000,69.833
Laos,LAO,2005,51.147
Laos,LAO,2010,35.933
Laos,LAO,2016,22.373
Latvia,LVA,1990,0.591
Latvia,LVA,1995,0.817
Latvia,LVA,2000,0.492
Latvia,LVA,2005,0.365
Latvia,LVA,2010,0.289
Latvia,LVA,2016,0.237
Lebanon,LBN,1990,4.779
Lebanon,LBN,1995,3.724
Lebanon,LBN,2000,3.015
Lebanon,LBN,2005,2.507
Lebanon,LBN,2010,1.891
Lebanon,LBN,2016,1.414
Lesotho,LSO,1990,237.653
Lesotho,LSO,1995,224.77
Lesotho,LSO,2000,227.586
Lesotho,LSO,2005,212.743
Lesotho,LSO,2010,191.264
Lesotho,LSO,2016,147.401
Liberia,LBR,1990,209.317
Liberia,LBR,1995,255.796
Liberia,LBR,2000,253.484
Liberia,LBR,2005,204.306
Liberia,LBR,2010,178.701
Liberia,LBR,2016,139.915
Libya,LBY,1990,7.21
Libya,LBY,1995,4.685
Libya,LBY,2000,3.373
Libya,LBY,2005,2.574
Libya,LBY,2010,1.96
Libya,LBY,2016,1.757
Lithuania,LTU,1990,0.509
Lithuania,LTU,1995,0.571
Lithuania,LTU,2000,0.361
Lithuania,LTU,2005,0.35
Lithuania,LTU,2010,0.329
Lithuania,LTU,2016,0.296
Luxembourg,LUX,1990,0.261
Luxembourg,LUX,1995,0.225
Luxembourg,LUX,2000,0.239
Luxembourg,LUX,2005,0.288
Luxembourg,LUX,2010,0.316
Luxembourg,LUX,2016,0.294
Macedonia,MKD,1990,5.195
Macedonia,MKD,1995,3.239
Macedonia,MKD,2000,1.3
Macedonia,MKD,2005,0.606
Macedonia,MKD,2010,0.337
Macedonia,MKD,2016,0.301
Madagascar,MDG,1990,192.545
Madagascar,MDG,1995,174.683
Madagascar,MDG,2000,168.077
Madagascar,MDG,2005,152.253
Madagascar,MDG,2010,148.841
Madagascar,MDG,2016,130.565
Malawi,MWI,1990,281.462
Malawi,MWI,1995,254.515
Malawi,MWI,2000,221.911
Malawi,MWI,2005,190.047
Malawi,MWI,2010,163.747
Malawi,MWI,2016,134.853
Malaysia,MYS,1990,6.739
Malaysia,MYS,1995,4.763
Malaysia,MYS,2000,3.513
Malaysia,MYS,2005,3.214
Malaysia,MYS,2010,2.96
Malaysia,MYS,2016,2.526
Maldives,MDV,1990,14.846
Maldives,MDV,1995,8.295
Maldives,MDV,2000,5.061
Maldives,MDV,2005,3.511
Maldives,MDV,2010,2.584
Maldives,MDV,2016,1.873
Mali,MLI,1990,285.913
Mali,MLI,1995,294.755
Mali,MLI,2000,261.606
Mali,MLI,2005,219.623
Mali,MLI,2010,191.596
Mali,MLI,2016,150.661
Malta,MLT,1990,0.244
Malta,MLT,1995,0.242
Malta,MLT,2000,0.257
Malta,MLT,2005,0.221
Malta,MLT,2010,0.201
Malta,MLT,2016,0.173
Marshall Islands,MHL,1990,35.7
Marshall Islands,MHL,1995,25.268
Marshall Islands,MHL,2000,25.503
Marshall Islands,MHL,2005,14.254
Marshall Islands,MHL,2010,10.679
Marshall Islands,MHL,2016,7.734
Mauritania,MRT,1990,218.646
Mauritania,MRT,1995,197.181
Mauritania,MRT,2000,162.601
Mauritania,MRT,2005,121.804
Mauritania,MRT,2010,94.529
Mauritania,MRT,2016,73.865
Mauritius,MUS,1990,7.384
Mauritius,MUS,1995,3.579
Mauritius,MUS,2000,1.998
Mauritius,MUS,2005,1.817
Mauritius,MUS,2010,2.066
Mauritius,MUS,2016,1.756
Mexico,MEX,1990,30.497
Mexico,MEX,1995,15.714
Mexico,MEX,2000,7.737
Mexico,MEX,2005,4.999
Mexico,MEX,2010,3.639
Mexico,MEX,2016,2.981
Micronesia (country),FSM,1990,32.808
Micronesia (country),FSM,1995,24.045
Micronesia (country),FSM,2000,29.312
Micronesia (country),FSM,2005,12.086
Micronesia (country),FSM,2010,9.979
Micronesia (country),FSM,2016,8.602
Moldova,MDA,1990,2.843
Moldova,MDA,1995,2.995
Moldova,MDA,2000,2.707
Moldova,MDA,2005,1.668
Moldova,MDA,2010,1.345
Moldova,MDA,2016,0.83
Mongolia,MNG,1990,10.485
Mongolia,MNG,1995,8.215
Mongolia,MNG,2000,5.587
Mongolia,MNG,2005,3.123
Mongolia,MNG,2010,1.958
Mongolia,MNG,2016,1.244
Montenegro,MNE,1990,0.357
Montenegro,MNE,1995,0.371
Montenegro,MNE,2000,0.322
Montenegro,MNE,2005,0.215
Montenegro,MNE,2010,0.16
Montenegro,MNE,2016,0.131
Morocco,MAR,1990,32.655
Morocco,MAR,1995,23.497
Morocco,MAR,2000,16.744
Morocco,MAR,2005,12.533
Morocco,MAR,2010,9.007
Morocco,MAR,2016,5.829
Mozambique,MOZ,1990,172.131
Mozambique,MOZ,1995,159.103
Mozambique,MOZ,2000,124.671
Mozambique,MOZ,2005,103.764
Mozambique,MOZ,2010,89.843
Mozambique,MOZ,2016,70.933
Myanmar,MMR,1990,121.898
Myanmar,MMR,1995,106.047
Myanmar,MMR,2000,75.713
Myanmar,MMR,2005,53.03
Myanmar,MMR,2010,36.687
Myanmar,MMR,2016,24.065
Namibia,NAM,1990,145.33
Namibia,NAM,1995,118.326
Namibia,NAM,2000,100.964
Namibia,NAM,2005,84.277
Namibia,NAM,2010,74.533
Namibia,NAM,2016,54.407
Nepal,NPL,1990,342.755
Nepal,NPL,1995,304.887
Nepal,NPL,2000,193.98
Nepal,NPL,2005,128.45
Nepal,NPL,2010,105.837
Nepal,NPL,2016,60.742
Netherlands,NLD,1990,0.195
Netherlands,NLD,1995,0.243
Netherlands,NLD,2000,0.307
Netherlands,NLD,2005,0.325
Netherlands,NLD,2010,0.323
Netherlands,NLD,2016,0.345
New Zealand,NZL,1990,0.522
New Zealand,NZL,1995,0.351
New Zealand,NZL,2000,0.225
New Zealand,NZL,2005,0.235
New Zealand,NZL,2010,0.376
New Zealand,NZL,2016,0.366
Nicaragua,NIC,1990,44.626
Nicaragua,NIC,1995,32.796
Nicaragua,NIC,2000,16.716
Nicaragua,NIC,2005,10.413
Nicaragua,NIC,2010,6.792
Nicaragua,NIC,2016,4.851
Niger,NER,1990,262.948
Niger,NER,1995,274.621
Niger,NER,2000,253.812
Niger,NER,2005,218.522
Niger,NER,2010,174.067
Niger,NER,2016,151.206
Nigeria,NGA,1990,171.376
Nigeria,NGA,1995,163.525
Nigeria,NGA,2000,167.98
Nigeria,NGA,2005,167.371
Nigeria,NGA,2010,138.371
Nigeria,NGA,2016,101.907
North Korea,PRK,1990,6.101
North Korea,PRK,1995,6.818
North Korea,PRK,2000,7.501
North Korea,PRK,2005,4.735
North Korea,PRK,2010,3.462
North Korea,PRK,2016,2.955
Norway,NOR,1990,0.413
Norway,NOR,1995,0.374
Norway,NOR,2000,0.359
Norway,NOR,2005,0.432
Norway,NOR,2010,0.52
Norway,NOR,2016,0.451
Oman,OMN,1990,14.129
Oman,OMN,1995,8.505
Oman,OMN,2000,5.659
Oman,OMN,2005,3.813
Oman,OMN,2010,2.615
Oman,OMN,2016,1.867
Pakistan,PAK,1990,151.355
Pakistan,PAK,1995,107.591
Pakistan,PAK,2000,82.088
Pakistan,PAK,2005,66.574
Pakistan,PAK,2010,57.537
Pakistan,PAK,2016,43.146
Palestine,PSE,1990,8.161
Palestine,PSE,1995,6.328
Palestine,PSE,2000,4.939
Palestine,PSE,2005,3.866
Palestine,PSE,2010,4.696
Palestine,PSE,2016,4.366
Panama,PAN,1990,9.439
Panama,PAN,1995,6.593
Panama,PAN,2000,5.501
Panama,PAN,2005,5.803
Panama,PAN,2010,5.659
Panama,PAN,2016,4.173
Papua New Guinea,PNG,1990,170.894
Papua New Guinea,PNG,1995,157.613
Papua New Guinea,PNG,2000,142.586
Papua New Guinea,PNG,2005,130.391
Papua New Guinea,PNG,2010,113.406
Papua New Guinea,PNG,2016,81.918
Paraguay,PRY,1990,19.312
Paraguay,PRY,1995,15.778
Paraguay,PRY,2000,13.479
Paraguay,PRY,2005,9.658
Paraguay,PRY,2010,5.936
Paraguay,PRY,2016,4.246
Peru,PER,1990,27.433
Peru,PER,1995,20.508
Peru,PER,2000,13.286
Peru,PER,2005,9.783
Peru,PER,2010,7.962
Peru,PER,2016,5.806
Philippines,PHL,1990,23.965
Philippines,PHL,1995,18.029
Philippines,PHL,2000,17.27
Philippines,PHL,2005,18.336
Philippines,PHL,2010,17.156
Philippines,PHL,2016,13.809
Poland,POL,1990,0.582
Poland,POL,1995,0.412
Poland,POL,2000,0.308
Poland,POL,2005,0.276
Poland,POL,2010,0.297
Poland,POL,2016,0.283
Portugal,PRT,1990,0.676
Portugal,PRT,1995,0.412
Portugal,PRT,2000,0.358
Portugal,PRT,2005,0.364
Portugal,PRT,2010,0.394
Portugal,PRT,2016,0.368
Qatar,QAT,1990,0.937
Qatar,QAT,1995,0.76
Qatar,QAT,2000,0.765
Qatar,QAT,2005,0.601
Qatar,QAT,2010,0.499
Qatar,QAT,2016,0.456
Romania,ROU,1990,2.991
Romania,ROU,1995,2.284
Romania,ROU,2000,1.951
Romania,ROU,2005,1.112
Romania,ROU,2010,0.734
Romania,ROU,2016,0.532
Russia,RUS,1990,1.406
Russia,RUS,1995,1.572
Russia,RUS,2000,1.37
Russia,RUS,2005,0.935
Russia,RUS,2010,0.609
Russia,RUS,2016,0.502
Rwanda,RWA,1990,180.905
Rwanda,RWA,1995,169.551
Rwanda,RWA,2000,151.758
Rwanda,RWA,2005,136.779
Rwanda,RWA,2010,100.636
Rwanda,RWA,2016,82.399
Saint Lucia,LCA,1990,8.499
