Entity,Code,Year,"Youth literacy rate, population 15-24 years, female (%) (%)"
Azerbaijan,AZE,2010,99.9333267211914
Azerbaijan,AZE,2011,99.9317626953125
Azerbaijan,AZE,2012,99.9176712036133
Azerbaijan,AZE,2013,99.9266967773438
Azerbaijan,AZE,2014,99.9363784790039
Azerbaijan,AZE,2015,99.9346237182617
Bahrain,BHR,1981,82.0774230957031
Bahrain,BHR,1991,96.5787734985352
Bahrain,BHR,2001,97.2506103515625
Bahrain,BHR,2010,97.5823364257813
Bahrain,BHR,2015,99.7437973022461
Bangladesh,BGD,1981,27.1510105133057
Bangladesh,BGD,1991,37.9897499084473
Bangladesh,BGD,2001,60.2562294006348
Bangladesh,BGD,2014,84.635009765625
Bangladesh,BGD,2015,85.8664474487305
Barbados,BRB,1970,99.8000030517578
Belarus,BLR,1989,99.800537109375
Belarus,BLR,1999,99.8282089233398
Belarus,BLR,2009,99.8473892211914
Belarus,BLR,2015,99.8612365722656
Belize,BLZ,1991,79.8089294433594
Belize,BLZ,2015,89.9247817993164
Benin,BEN,1979,18.2551803588867
Benin,BEN,1992,26.6902904510498
Benin,BEN,2002,33.2379989624023
Benin,BEN,2006,30.7865505218506
Benin,BEN,2015,42.501708984375
Bhutan,BTN,2005,67.9642562866211
Bhutan,BTN,2012,84.4877395629883
Bhutan,BTN,2015,90.4475936889648
Bolivia,BOL,1976,75.8401412963867
Bolivia,BOL,1992,91.5659790039063
Bolivia,BOL,2001,96.114616394043
Bolivia,BOL,2007,99.1445770263672
Bolivia,BOL,2008,98.8794097900391
Bolivia,BOL,2009,99.0842971801758
Bolivia,BOL,2011,98.7720184326172
Bolivia,BOL,2012,98.82861328125
Bolivia,BOL,2015,98.8920211791992
Bosnia and Herzegovina,BIH,2000,99.8436279296875
Bosnia and Herzegovina,BIH,2014,99.6599884033203
Bosnia and Herzegovina,BIH,2015,99.6456069946289
Botswana,BWA,1991,92.2518768310547
Botswana,BWA,2003,95.5960235595703
Botswana,BWA,2014,99.4471130371094
Botswana,BWA,2015,99.5066680908203
Brazil,BRA,1980,85.2365493774414
Brazil,BRA,2000,95.7190170288086
Brazil,BRA,2004,97.9038619995117
Brazil,BRA,2006,98.3616561889648
Brazil,BRA,2007,98.5594329833984
Brazil,BRA,2008,98.5311126708984
Brazil,BRA,2009,98.6920394897461
Brazil,BRA,2010,98.3187408447266
Brazil,BRA,2011,99.0731506347656
Brazil,BRA,2012,99.0208206176758
Brazil,BRA,2013,99.2297210693359
Brazil,BRA,2015,99.3574905395508
Brunei,BRN,1981,93.2389221191406
Brunei,BRN,1991,98.0837936401367
Brunei,BRN,2001,98.9121704101563
Brunei,BRN,2011,99.5460586547852
Brunei,BRN,2015,99.7153778076172
Bulgaria,BGR,2001,98.1097717285156
Bulgaria,BGR,2011,97.6510620117188
Bulgaria,BGR,2015,97.78369140625
Burkina Faso,BFA,1975,6.66406011581421
Burkina Faso,BFA,1991,14.1737499237061
Burkina Faso,BFA,1996,13.9853401184082
Burkina Faso,BFA,2003,24.8113708496094
Burkina Faso,BFA,2005,26.4829006195068
Burkina Faso,BFA,2006,26.5341205596924
Burkina Faso,BFA,2007,33.1253204345703
Burkina Faso,BFA,2014,43.9858093261719
Burkina Faso,BFA,2015,46.7119293212891
Burundi,BDI,1979,21.4868602752686
Burundi,BDI,1990,48.0112609863281
Burundi,BDI,2000,70.3653030395508
Burundi,BDI,2008,88.1134490966797
Burundi,BDI,2015,87.8307037353516
Cambodia,KHM,1998,71.0715866088867
Cambodia,KHM,2004,78.8960037231445
Cambodia,KHM,2008,85.5345687866211
Cambodia,KHM,2009,85.8686828613281
Cambodia,KHM,2015,91.9652099609375
Cameroon,CMR,1976,59.0631790161133
Cameroon,CMR,2000,77.9624862670898
Cameroon,CMR,2007,77.482048034668
Cameroon,CMR,2010,76.4209289550781
Cameroon,CMR,2015,80.4466094970703
Cape Verde,CPV,1990,86.4150924682617
Cape Verde,CPV,2004,98.0290298461914
Cape Verde,CPV,2012,98.3981781005859
Cape Verde,CPV,2015,98.5605697631836
Cayman Islands,CYM,2007,98.6233291625977
Central African Republic,CAF,1988,34.851749420166
Central African Republic,CAF,2000,49.0193481445313
Central African Republic,CAF,2010,26.9713306427002
Central African Republic,CAF,2015,26.9713249206543
Chad,TCD,1993,8.94583988189697
Chad,TCD,2000,23.2353992462158
Chad,TCD,2004,30.7749099731445
Chad,TCD,2014,48.3064193725586
Chad,TCD,2015,50.1703414916992
Chile,CHL,1982,97.1165313720703
Chile,CHL,1992,98.7008590698242
Chile,CHL,2002,99.1833419799805
Chile,CHL,2008,99.1958084106445
Chile,CHL,2009,98.890022277832
Chile,CHL,2011,99.6053695678711
Chile,CHL,2013,99.0599136352539
Chile,CHL,2015,99.1634674072266
China,CHN,1982,82.0992202758789
China,CHN,1990,91.4546966552734
China,CHN,2000,98.5048599243164
China,CHN,2010,99.5930404663086
China,CHN,2015,99.7120971679688
Colombia,COL,1993,96.2814407348633
Colombia,COL,1996,97.5667419433594
Colombia,COL,2004,98.4106826782227
Colombia,COL,2005,98.374870300293
Colombia,COL,2006,98.1949081420898
Colombia,COL,2007,98.4189987182617
Colombia,COL,2008,98.426872253418
Colombia,COL,2009,98.4347229003906
Colombia,COL,2010,98.5171966552734
Colombia,COL,2011,98.7243423461914
Colombia,COL,2014,98.9489135742188
Colombia,COL,2015,99.0991134643555
Comoros,COM,1980,54.899040222168
Comoros,COM,2000,77.5576171875
Comoros,COM,2014,87.6051712036133
Comoros,COM,2015,88.1449813842773
Congo,COG,2011,76.9460830688477
Congo,COG,2015,76.9460830688477
Costa Rica,CRI,1984,97.5381317138672
Costa Rica,CRI,2000,98.0384063720703
Costa Rica,CRI,2011,99.2581176757813
Costa Rica,CRI,2015,99.4298934936523
Cote d'Ivoire,CIV,1988,37.8459396362305
Cote d'Ivoire,CIV,1998,39.8490905761719
Cote d'Ivoire,CIV,2000,52.125171661377
Cote d'Ivoire,CIV,2012,38.7500801086426
Cote d'Ivoire,CIV,2015,40.6954689025879
Croatia,HRV,1991,99.6044006347656
Croatia,HRV,2001,99.6532135009766
Croatia,HRV,2011,99.7357177734375
Croatia,HRV,2015,99.7543563842773
Cuba,CUB,2002,99.9536895751953
Cuba,CUB,2012,99.8952026367188
Cuba,CUB,2015,99.9086303710938
Cyprus,CYP,1992,99.6641998291016
Cyprus,CYP,2001,99.8152389526367
Cyprus,CYP,2011,99.8383102416992
Cyprus,CYP,2015,99.8793411254883
Democratic Republic of Congo,COD,2001,63.0906982421875
Democratic Republic of Congo,COD,2007,53.2502212524414
Democratic Republic of Congo,COD,2012,76.6585006713867
Democratic Republic of Congo,COD,2015,80.4944763183594
Dominican Republic,DOM,1981,83.9385299682617
Dominican Republic,DOM,2002,95.4170532226563
Dominican Republic,DOM,2007,96.9307327270508
Dominican Republic,DOM,2010,97.8834915161133
Dominican Republic,DOM,2011,98.0536422729492
Dominican Republic,DOM,2012,97.7692337036133
Dominican Republic,DOM,2013,98.2525177001953
Dominican Republic,DOM,2014,98.0449066162109
Dominican Republic,DOM,2015,98.2139434814453
East Asia & Pacific,,1985,91.0250244140625
East Asia & Pacific,,1986,91.0250244140625
East Asia & Pacific,,1987,91.0250244140625
East Asia & Pacific,,1988,91.0250244140625
East Asia & Pacific,,1989,91.0250244140625
East Asia & Pacific,,1990,91.0250244140625
East Asia & Pacific,,1991,91.0250244140625
East Asia & Pacific,,1992,91.0250244140625
East Asia & Pacific,,1993,91.0250244140625
East Asia & Pacific,,1994,91.0250244140625
East Asia & Pacific,,1995,97.5534286499023
East Asia & Pacific,,1996,97.5534286499023
East Asia & Pacific,,1997,97.5534286499023
East Asia & Pacific,,1998,97.5534286499023
East Asia & Pacific,,1999,97.5534286499023
East Asia & Pacific,,2000,97.5534286499023
East Asia & Pacific,,2001,97.5534286499023
East Asia & Pacific,,2002,97.5534286499023
East Asia & Pacific,,2003,97.5534286499023
East Asia & Pacific,,2004,97.5534286499023
East Asia & Pacific,,2005,98.9101943969727
East Asia & Pacific,,2006,98.9101943969727
East Asia & Pacific,,2007,98.9101943969727
East Asia & Pacific,,2008,98.9101943969727
East Asia & Pacific,,2009,98.9101943969727
East Asia & Pacific,,2010,98.9101943969727
East Asia & Pacific,,2011,98.9101943969727
East Asia & Pacific,,2012,98.9101943969727
East Asia & Pacific,,2013,98.9101943969727
East Asia & Pacific,,2014,98.9101943969727
East Asia & Pacific (all income levels),,1985,91.7246017456055
East Asia & Pacific (all income levels),,1986,91.7246017456055
East Asia & Pacific (all income levels),,1987,91.7246017456055
East Asia & Pacific (all income levels),,1988,91.7246017456055
East Asia & Pacific (all income levels),,1989,91.7246017456055
East Asia & Pacific (all income levels),,1990,91.7246017456055
East Asia & Pacific (all income levels),,1991,91.7246017456055
East Asia & Pacific (all income levels),,1992,91.7246017456055
East Asia & Pacific (all income levels),,1993,91.7246017456055
East Asia & Pacific (all income levels),,1994,91.7246017456055
East Asia & Pacific (all income levels),,1995,97.6994705200195
East Asia & Pacific (all income levels),,1996,97.6994705200195
East Asia & Pacific (all income levels),,1997,97.6994705200195
East Asia & Pacific (all income levels),,1998,97.6994705200195
East Asia & Pacific (all income levels),,1999,97.6994705200195
East Asia & Pacific (all income levels),,2000,97.6994705200195
East Asia & Pacific (all income levels),,2001,97.6994705200195
East Asia & Pacific (all income levels),,2002,97.6994705200195
East Asia & Pacific (all income levels),,2003,97.6994705200195
East Asia & Pacific (all income levels),,2004,97.6994705200195
East Asia & Pacific (all income levels),,2005,98.9460372924805
East Asia & Pacific (all income levels),,2006,98.9460372924805
East Asia & Pacific (all income levels),,2007,98.9460372924805
East Asia & Pacific (all income levels),,2008,98.9460372924805
East Asia & Pacific (all income levels),,2009,98.9460372924805
East Asia & Pacific (all income levels),,2010,98.9460372924805
East Asia & Pacific (all income levels),,2011,98.9460372924805
East Asia & Pacific (all income levels),,2012,98.9460372924805
East Asia & Pacific (all income levels),,2013,98.9460372924805
East Asia & Pacific (all income levels),,2014,98.9460372924805
Ecuador,ECU,1982,92.2789306640625
Ecuador,ECU,1990,95.833251953125
Ecuador,ECU,2001,96.4934463500977
Ecuador,ECU,2007,95.6289291381836
Ecuador,ECU,2009,96.845458984375
Ecuador,ECU,2010,98.8541030883789
Ecuador,ECU,2011,98.8053207397461
Ecuador,ECU,2012,98.8945388793945
Ecuador,ECU,2013,98.6324768066406
Ecuador,ECU,2015,98.8194198608398
Egypt,EGY,1976,38.1226387023926
Egypt,EGY,1986,54.0046615600586
Egypt,EGY,1996,66.9315414428711
Egypt,EGY,2005,78.9499893188477
Egypt,EGY,2006,81.7514495849609
Egypt,EGY,2010,84.3069305419922
Egypt,EGY,2012,86.0515899658203
Egypt,EGY,2013,90.3254013061523
Egypt,EGY,2015,92.0794677734375
El Salvador,SLV,1992,84.9478912353516
El Salvador,SLV,2004,92.3023223876953
El Salvador,SLV,2006,95.4533386230469
El Salvador,SLV,2007,93.8894882202148
El Salvador,SLV,2008,96.4833068847656
El Salvador,SLV,2009,95.3235626220703
El Salvador,SLV,2010,96.3857421875
El Salvador,SLV,2011,96.9458923339844
El Salvador,SLV,2013,97.5001907348633
El Salvador,SLV,2015,97.8934173583984
Equatorial Guinea,GNQ,2000,96.6242370605469
Equatorial Guinea,GNQ,2014,98.7145614624023
Equatorial Guinea,GNQ,2015,98.8029479980469
Eritrea,ERI,2002,69.4833984375
Eritrea,ERI,2014,90.9410400390625
Eritrea,ERI,2015,91.9473114013672
Estonia,EST,1989,99.9045028686523
Estonia,EST,2000,99.813362121582
Estonia,EST,2011,99.9590377807617
Estonia,EST,2015,99.9700469970703
Ethiopia,ETH,1994,28.0801696777344
Ethiopia,ETH,2004,38.5
Ethiopia,ETH,2005,33.2997512817383
Ethiopia,ETH,2007,47.041130065918
Ethiopia,ETH,2015,67.8232498168945
Europe & Central Asia,,1985,97.6612243652344
Europe & Central Asia,,1986,97.6612243652344
Europe & Central Asia,,1987,97.6612243652344
Europe & Central Asia,,1988,97.6612243652344
Europe & Central Asia,,1989,97.6612243652344
Europe & Central Asia,,1990,97.6612243652344
Europe & Central Asia,,1991,97.6612243652344
Europe & Central Asia,,1992,97.6612243652344
Europe & Central Asia,,1993,97.6612243652344
Europe & Central Asia,,1994,97.6612243652344
Europe & Central Asia,,1995,98.411506652832
Europe & Central Asia,,1996,98.411506652832
Europe & Central Asia,,1997,98.411506652832
Europe & Central Asia,,1998,98.411506652832
Europe & Central Asia,,1999,98.411506652832
Europe & Central Asia,,2000,98.411506652832
Europe & Central Asia,,2001,98.411506652832
Europe & Central Asia,,2002,98.411506652832
Europe & Central Asia,,2003,98.411506652832
Europe & Central Asia,,2004,98.411506652832
Europe & Central Asia,,2005,99.5599060058594
Europe & Central Asia,,2006,99.5599060058594
Europe & Central Asia,,2007,99.5599060058594
Europe & Central Asia,,2008,99.5599060058594
Europe & Central Asia,,2009,99.5599060058594
Europe & Central Asia,,2010,99.5599060058594
Europe & Central Asia,,2011,99.5599060058594
Europe & Central Asia,,2012,99.5599060058594
Europe & Central Asia,,2013,99.5599060058594
Europe & Central Asia,,2014,99.5599060058594
Europe & Central Asia (all income levels),,1985,98.7537460327148
Europe & Central Asia (all income levels),,1986,98.7537460327148
Europe & Central Asia (all income levels),,1987,98.7537460327148
Europe & Central Asia (all income levels),,1988,98.7537460327148
Europe & Central Asia (all income levels),,1989,98.7537460327148
Europe & Central Asia (all income levels),,1990,98.7537460327148
Europe & Central Asia (all income levels),,1991,98.7537460327148
Europe & Central Asia (all income levels),,1992,98.7537460327148
Europe & Central Asia (all income levels),,1993,98.7537460327148
Europe & Central Asia (all income levels),,1994,98.7537460327148
Europe & Central Asia (all income levels),,1995,99.0545043945313
Europe & Central Asia (all income levels),,1996,99.0545043945313
Europe & Central Asia (all income levels),,1997,99.0545043945313
Europe & Central Asia (all income levels),,1998,99.0545043945313
Europe & Central Asia (all income levels),,1999,99.0545043945313
Europe & Central Asia (all income levels),,2000,99.0545043945313
Europe & Central Asia (all income levels),,2001,99.0545043945313
Europe & Central Asia (all income levels),,2002,99.0545043945313
Europe & Central Asia (all income levels),,2003,99.0545043945313
Europe & Central Asia (all income levels),,2004,99.0545043945313
Europe & Central Asia (all income levels),,2005,99.6778335571289
Europe & Central Asia (all income levels),,2006,99.6778335571289
Europe & Central Asia (all income levels),,2007,99.6778335571289
Europe & Central Asia (all income levels),,2008,99.6778335571289
Europe & Central Asia (all income levels),,2009,99.6778335571289
Europe & Central Asia (all income levels),,2010,99.6778335571289
Europe & Central Asia (all income levels),,2011,99.6778335571289
Europe & Central Asia (all income levels),,2012,99.6778335571289
Europe & Central Asia (all income levels),,2013,99.6778335571289
Europe & Central Asia (all income levels),,2014,99.6778335571289
Gabon,GAB,1993,92.1140213012695
Gabon,GAB,2004,95.5924224853516
Gabon,GAB,2012,89.4292526245117
Gabon,GAB,2015,90.5091171264648
Gambia,GMB,2000,41.3943405151367
Gambia,GMB,2014,69.1434478759766
Gambia,GMB,2015,70.8519515991211
Georgia,GEO,2002,99.8623580932617
Georgia,GEO,2014,99.8506469726563
Georgia,GEO,2015,99.8495635986328
Ghana,GHA,2000,65.4887084960938
Ghana,GHA,2010,83.2345275878906
Ghana,GHA,2015,89.8540115356445
Greece,GRC,1981,98.8844528198242
Greece,GRC,1991,98.979377746582
Greece,GRC,2001,98.9911575317383
Greece,GRC,2005,99.5248031616211
Greece,GRC,2014,99.3396911621094
Greece,GRC,2015,99.6541290283203
Grenada,GRD,1970,99.0774230957031
Guam,GUM,1980,95.905403137207
Guam,GUM,1990,99.8476181030273
Guam,GUM,2015,99.974967956543
Guatemala,GTM,1994,70.7215118408203
Guatemala,GTM,2002,78.3906784057617
Guatemala,GTM,2012,91.9423675537109
Guatemala,GTM,2013,89.7703704833984
Guatemala,GTM,2014,93.2692489624023
Guatemala,GTM,2015,90.9993133544922
Guinea,GIN,1996,13.4728002548218
Guinea,GIN,2003,34.0690383911133
Guinea,GIN,2010,21.7967300415039
Guinea,GIN,2015,47.5068817138672
Guinea-Bissau,GNB,1979,17.8034706115723
Guinea-Bissau,GNB,2000,45.9036483764648
Guinea-Bissau,GNB,2014,71.9373321533203
Guinea-Bissau,GNB,2015,73.5118179321289
Guyana,GUY,2009,93.6702194213867
Guyana,GUY,2015,94.7340393066406
Haiti,HTI,1982,51.0530204772949
Haiti,HTI,2003,80.689453125
Haiti,HTI,2006,70.4807815551758
Haiti,HTI,2015,81.5703582763672
Heavily indebted poor countries (HIPC),,1985,49.1968002319336
Heavily indebted poor countries (HIPC),,1986,49.1968002319336
Heavily indebted poor countries (HIPC),,1987,49.1968002319336
Heavily indebted poor countries (HIPC),,1988,49.1968002319336
Heavily indebted poor countries (HIPC),,1989,49.1968002319336
Heavily indebted poor countries (HIPC),,1990,49.1968002319336
Heavily indebted poor countries (HIPC),,1991,49.1968002319336
Heavily indebted poor countries (HIPC),,1992,49.1968002319336
Heavily indebted poor countries (HIPC),,1993,49.1968002319336
Heavily indebted poor countries (HIPC),,1994,49.1968002319336
Heavily indebted poor countries (HIPC),,1995,55.7223930358887
Heavily indebted poor countries (HIPC),,1996,55.7223930358887
Heavily indebted poor countries (HIPC),,1997,55.7223930358887
Heavily indebted poor countries (HIPC),,1998,55.7223930358887
Heavily indebted poor countries (HIPC),,1999,55.7223930358887
Heavily indebted poor countries (HIPC),,2000,55.7223930358887
Heavily indebted poor countries (HIPC),,2001,55.7223930358887
Heavily indebted poor countries (HIPC),,2002,55.7223930358887
Heavily indebted poor countries (HIPC),,2003,55.7223930358887
Heavily indebted poor countries (HIPC),,2004,55.7223930358887
Heavily indebted poor countries (HIPC),,2005,63.7256927490234
Heavily indebted poor countries (HIPC),,2006,63.7256927490234
Heavily indebted poor countries (HIPC),,2007,63.7256927490234
Heavily indebted poor countries (HIPC),,2008,63.7256927490234
Heavily indebted poor countries (HIPC),,2009,63.7256927490234
Heavily indebted poor countries (HIPC),,2010,63.7256927490234
Heavily indebted poor countries (HIPC),,2011,63.7256927490234
Heavily indebted poor countries (HIPC),,2012,63.7256927490234
Heavily indebted poor countries (HIPC),,2013,63.7256927490234
Heavily indebted poor countries (HIPC),,2014,63.7256927490234
Honduras,HND,2001,90.9103164672852
Honduras,HND,2007,95.0545272827148
Honduras,HND,2010,95.8775024414063
Honduras,HND,2011,96.9261093139648
Honduras,HND,2012,95.9872131347656
Honduras,HND,2013,96.2985610961914
Honduras,HND,2014,96.2922592163086
Honduras,HND,2015,98.1496124267578
Hungary,HUN,1980,99.3181228637695
Hungary,HUN,1994,99.1821136474609
Hungary,HUN,2004,99.0956420898438
Hungary,HUN,2014,99.00634765625
Hungary,HUN,2015,99.4455871582031
India,IND,1981,40.3215217590332
India,IND,1991,49.3491897583008
India,IND,2001,67.74658203125
India,IND,2006,74.3557281494141
India,IND,2011,81.8498077392578
India,IND,2015,87.2566909790039
Indonesia,IDN,1980,81.6483993530273
Indonesia,IDN,1990,95.0692520141602
Indonesia,IDN,2004,98.5421600341797
Indonesia,IDN,2006,96.2723617553711
Indonesia,IDN,2008,99.3824081420898
Indonesia,IDN,2009,99.3965911865234
Indonesia,IDN,2011,98.7518005371094
Indonesia,IDN,2014,99.6788330078125
Indonesia,IDN,2015,99.7302017211914
Iran,IRN,1976,42.3278007507324
Iran,IRN,1986,65.5926666259766
Iran,IRN,1991,81.2009963989258
Iran,IRN,1996,90.5566101074219
Iran,IRN,2002,95.6608810424805
Iran,IRN,2005,96.737548828125
Iran,IRN,2006,96.1321487426758
Iran,IRN,2008,97.4659729003906
Iran,IRN,2012,97.6617889404297
Iran,IRN,2013,97.4379806518555
Iran,IRN,2015,97.7712783813477
Iraq,IRQ,2000,80.4868316650391
Iraq,IRQ,2014,80.5935287475586
Iraq,IRQ,2015,80.6118927001953
Israel,ISR,1983,98.046028137207
Italy,ITA,1981,99.5874862670898
Italy,ITA,2001,99.8201065063477
Italy,ITA,2011,99.8686981201172
Italy,ITA,2015,99.9228515625
Jamaica,JAM,1999,96.2955169677734
Jamaica,JAM,2014,98.754768371582
Jamaica,JAM,2015,98.837760925293
Jordan,JOR,1979,84.8327865600586
Jordan,JOR,2003,98.9133071899414
Jordan,JOR,2005,99.0234832763672
Jordan,JOR,2007,98.9465713500977
Jordan,JOR,2010,98.7663497924805
Jordan,JOR,2011,99.2532196044922
Jordan,JOR,2012,99.2027282714844
Jordan,JOR,2015,99.3684005737305
Kazakhstan,KAZ,1989,99.7549896240234
Kazakhstan,KAZ,1999,99.8747024536133
Kazakhstan,KAZ,2009,99.8651123046875
Kazakhstan,KAZ,2015,99.8708724975586
Kenya,KEN,2000,91.9425506591797
Kenya,KEN,2007,81.632568359375
Kenya,KEN,2015,86.5902481079102
Kuwait,KWT,1975,66.0107192993164
Kuwait,KWT,1980,76.0303573608398
Kuwait,KWT,1985,84.0936965942383
Kuwait,KWT,1995,90.1848068237305
Kuwait,KWT,2005,99.7875900268555
Kuwait,KWT,2006,98.499267578125
Kuwait,KWT,2007,98.5077896118164
Kuwait,KWT,2008,98.739372253418
Kuwait,KWT,2012,98.8353118896484
Kuwait,KWT,2013,99.0406723022461
Kuwait,KWT,2015,99.3901214599609
Kyrgyzstan,KGZ,1999,99.7412872314453
Kyrgyzstan,KGZ,2009,99.7995910644531
Kyrgyzstan,KGZ,2015,99.804801940918
Laos,LAO,1995,64.0543518066406
Laos,LAO,2000,73.5605773925781
Laos,LAO,2001,74.6824264526367
Laos,LAO,2005,78.7398376464844
Laos,LAO,2015,87.2883224487305
Latin America & Caribbean,,1985,93.9834671020508
Latin America & Caribbean,,1986,93.9834671020508
Latin America & Caribbean,,1987,93.9834671020508
Latin America & Caribbean,,1988,93.9834671020508
Latin America & Caribbean,,1989,93.9834671020508
Latin America & Caribbean,,1990,93.9834671020508
Latin America & Caribbean,,1991,93.9834671020508
Latin America & Caribbean,,1992,93.9834671020508
Latin America & Caribbean,,1993,93.9834671020508
Latin America & Caribbean,,1994,93.9834671020508
Latin America & Caribbean,,1995,96.6273193359375
Latin America & Caribbean,,1996,96.6273193359375
Latin America & Caribbean,,1997,96.6273193359375
Latin America & Caribbean,,1998,96.6273193359375
Latin America & Caribbean,,1999,96.6273193359375
Latin America & Caribbean,,2000,96.6273193359375
Latin America & Caribbean,,2001,96.6273193359375
Latin America & Caribbean,,2002,96.6273193359375
Latin America & Caribbean,,2003,96.6273193359375
Latin America & Caribbean,,2004,96.6273193359375
Latin America & Caribbean,,2005,98.0936889648438
Latin America & Caribbean,,2006,98.0936889648438
Latin America & Caribbean,,2007,98.0936889648438
Latin America & Caribbean,,2008,98.0936889648438
Latin America & Caribbean,,2009,98.0936889648438
Latin America & Caribbean,,2010,98.0936889648438
Latin America & Caribbean,,2011,98.0936889648438
Latin America & Caribbean,,2012,98.0936889648438
Latin America & Caribbean,,2013,98.0936889648438
Latin America & Caribbean,,2014,98.0936889648438
Latin America & Caribbean (all income levels),,1985,94.1573638916016
Latin America & Caribbean (all income levels),,1986,94.1573638916016
Latin America & Caribbean (all income levels),,1987,94.1573638916016
Latin America & Caribbean (all income levels),,1988,94.1573638916016
Latin America & Caribbean (all income levels),,1989,94.1573638916016
Latin America & Caribbean (all income levels),,1990,94.1573638916016
Latin America & Caribbean (all income levels),,1991,94.1573638916016
Latin America & Caribbean (all income levels),,1992,94.1573638916016
Latin America & Caribbean (all income levels),,1993,94.1573638916016
Latin America & Caribbean (all income levels),,1994,94.1573638916016
Latin America & Caribbean (all income levels),,1995,96.6695938110352
Latin America & Caribbean (all income levels),,1996,96.6695938110352
Latin America & Caribbean (all income levels),,1997,96.6695938110352
Latin America & Caribbean (all income levels),,1998,96.6695938110352
Latin America & Caribbean (all income levels),,1999,96.6695938110352
Latin America & Caribbean (all income levels),,2000,96.6695938110352
Latin America & Caribbean (all income levels),,2001,96.6695938110352
Latin America & Caribbean (all income levels),,2002,96.6695938110352
Latin America & Caribbean (all income levels),,2003,96.6695938110352
Latin America & Caribbean (all income levels),,2004,96.6695938110352
Latin America & Caribbean (all income levels),,2005,98.1314392089844
Latin America & Caribbean (all income levels),,2006,98.1314392089844
Latin America & Caribbean (all income levels),,2007,98.1314392089844
Latin America & Caribbean (all income levels),,2008,98.1314392089844
Latin America & Caribbean (all income levels),,2009,98.1314392089844
Latin America & Caribbean (all income levels),,2010,98.1314392089844
Latin America & Caribbean (all income levels),,2011,98.1314392089844
Latin America & Caribbean (all income levels),,2012,98.1314392089844
Latin America & Caribbean (all income levels),,2013,98.1314392089844
Latin America & Caribbean (all income levels),,2014,98.1314392089844
Latvia,LVA,1989,99.8209228515625
Latvia,LVA,2000,99.7833099365234
Latvia,LVA,2011,99.8701095581055
Latvia,LVA,2015,99.8657608032227
Least developed countries: UN classification,,1985,48.2068557739258
Least developed countries: UN classification,,1986,48.2068557739258
Least developed countries: UN classification,,1987,48.2068557739258
Least developed countries: UN classification,,1988,48.2068557739258
Least developed countries: UN classification,,1989,48.2068557739258
Least developed countries: UN classification,,1990,48.2068557739258
Least developed countries: UN classification,,1991,48.2068557739258
Least developed countries: UN classification,,1992,48.2068557739258
Least developed countries: UN classification,,1993,48.2068557739258
Least developed countries: UN classification,,1994,48.2068557739258
Least developed countries: UN classification,,1995,58.4480781555176
Least developed countries: UN classification,,1996,58.4480781555176
Least developed countries: UN classification,,1997,58.4480781555176
Least developed countries: UN classification,,1998,58.4480781555176
Least developed countries: UN classification,,1999,58.4480781555176
