Entity,Code,Year,HAQ Index (IHME (2017))
Bulgaria,BGR,2005,66.7
Bulgaria,BGR,2010,67.9
Bulgaria,BGR,2015,71.4
Burkina Faso,BFA,1990,32.9
Burkina Faso,BFA,1995,34.1
Burkina Faso,BFA,2000,36
Burkina Faso,BFA,2005,40.3
Burkina Faso,BFA,2010,42.7
Burkina Faso,BFA,2015,42.9
Burundi,BDI,1990,23.5
Burundi,BDI,1995,23.4
Burundi,BDI,2000,27
Burundi,BDI,2005,35.5
Burundi,BDI,2010,40.5
Burundi,BDI,2015,40.4
Cambodia,KHM,1990,30
Cambodia,KHM,1995,31.3
Cambodia,KHM,2000,34.1
Cambodia,KHM,2005,40.7
Cambodia,KHM,2010,45.5
Cambodia,KHM,2015,50.7
Cameroon,CMR,1990,38.3
Cameroon,CMR,1995,37.7
Cameroon,CMR,2000,37.2
Cameroon,CMR,2005,41
Cameroon,CMR,2010,42.5
Cameroon,CMR,2015,44.4
Canada,CAN,1990,78.9
Canada,CAN,1995,80.7
Canada,CAN,2000,83.2
Canada,CAN,2005,84.7
Canada,CAN,2010,86.3
Canada,CAN,2015,87.6
Cape Verde,CPV,1990,50.1
Cape Verde,CPV,1995,49.3
Cape Verde,CPV,2000,50.8
Cape Verde,CPV,2005,53.7
Cape Verde,CPV,2010,57.9
Cape Verde,CPV,2015,61.7
Caribbean,,1990,42.4
Caribbean,,1995,45.9
Caribbean,,2000,48.8
Caribbean,,2005,50.8
Caribbean,,2010,52.3
Caribbean,,2015,54.5
Central African Republic,CAF,1990,25.5
Central African Republic,CAF,1995,25.8
Central African Republic,CAF,2000,26.7
Central African Republic,CAF,2005,28
Central African Republic,CAF,2010,28.8
Central African Republic,CAF,2015,28.6
Central Asia,,1990,50.7
Central Asia,,1995,49.2
Central Asia,,2000,50.7
Central Asia,,2005,52.4
Central Asia,,2010,56.6
Central Asia,,2015,59.9
Central Europe,,1990,60.6
Central Europe,,1995,63.4
Central Europe,,2000,67.5
Central Europe,,2005,70.5
Central Europe,,2010,73.8
Central Europe,,2015,77.1
"Central Europe, Eastern Europe, and Central Asia",,1990,57.5
"Central Europe, Eastern Europe, and Central Asia",,1995,55.9
"Central Europe, Eastern Europe, and Central Asia",,2000,58.4
"Central Europe, Eastern Europe, and Central Asia",,2005,60.8
"Central Europe, Eastern Europe, and Central Asia",,2010,65.4
"Central Europe, Eastern Europe, and Central Asia",,2015,68.5
Central Latin America,,1990,47.6
Central Latin America,,1995,52.2
Central Latin America,,2000,55.8
Central Latin America,,2005,58.3
Central Latin America,,2010,60.2
Central Latin America,,2015,62.4
Central Sub-Saharan Africa,,1990,31.1
Central Sub-Saharan Africa,,1995,32.1
Central Sub-Saharan Africa,,2000,33
Central Sub-Saharan Africa,,2005,35.7
Central Sub-Saharan Africa,,2010,37.2
Central Sub-Saharan Africa,,2015,38.6
Chad,TCD,1990,35.6
Chad,TCD,1995,35.2
Chad,TCD,2000,32.1
Chad,TCD,2005,34.1
Chad,TCD,2010,36.3
Chad,TCD,2015,37.7
Chile,CHL,1990,58.8
Chile,CHL,1995,64.2
Chile,CHL,2000,69.2
Chile,CHL,2005,72
Chile,CHL,2010,73.9
Chile,CHL,2015,76
China,CHN,1990,49.5
China,CHN,1995,53.7
China,CHN,2000,57.8
China,CHN,2005,63.7
China,CHN,2010,69.9
China,CHN,2015,74.2
Colombia,COL,1990,51.1
Colombia,COL,1995,54.9
Colombia,COL,2000,58.4
Colombia,COL,2005,61.6
Colombia,COL,2010,64.4
Colombia,COL,2015,67.8
Comoros,COM,1990,32.7
Comoros,COM,1995,34.3
Comoros,COM,2000,38.4
Comoros,COM,2005,44.1
Comoros,COM,2010,47.2
Comoros,COM,2015,47.7
Congo,COG,1990,32.2
Congo,COG,1995,31.4
Congo,COG,2000,33.3
Congo,COG,2005,39.3
Congo,COG,2010,41.2
Congo,COG,2015,43.5
Costa Rica,CRI,1990,62.1
Costa Rica,CRI,1995,62.8
Costa Rica,CRI,2000,65.4
Costa Rica,CRI,2005,68.6
Costa Rica,CRI,2010,70.8
Costa Rica,CRI,2015,72.9
Cote d'Ivoire,CIV,1990,35.5
Cote d'Ivoire,CIV,1995,33.2
Cote d'Ivoire,CIV,2000,34.4
Cote d'Ivoire,CIV,2005,37.6
Cote d'Ivoire,CIV,2010,40.7
Cote d'Ivoire,CIV,2015,42.4
Croatia,HRV,1990,68.8
Croatia,HRV,1995,70.4
Croatia,HRV,2000,73.4
Croatia,HRV,2005,76.8
Croatia,HRV,2010,78.9
Croatia,HRV,2015,81.6
Cuba,CUB,1990,64.1
Cuba,CUB,1995,65.2
Cuba,CUB,2000,67.7
Cuba,CUB,2005,70.5
Cuba,CUB,2010,72.1
Cuba,CUB,2015,73.5
Cyprus,CYP,1990,72
Cyprus,CYP,1995,73.4
Cyprus,CYP,2000,76.4
Cyprus,CYP,2005,79.2
Cyprus,CYP,2010,82.6
Cyprus,CYP,2015,85.3
Czech Republic,CZE,1990,68.3
Czech Republic,CZE,1995,73.2
Czech Republic,CZE,2000,77.1
Czech Republic,CZE,2005,79.2
Czech Republic,CZE,2010,81.8
Czech Republic,CZE,2015,84.8
Democratic Republic of Congo,COD,1990,35.6
Democratic Republic of Congo,COD,1995,36.1
Democratic Republic of Congo,COD,2000,36.2
Democratic Republic of Congo,COD,2005,38.1
Democratic Republic of Congo,COD,2010,39.3
Democratic Republic of Congo,COD,2015,40.4
Denmark,DNK,1990,76.6
Denmark,DNK,1995,77.2
Denmark,DNK,2000,79.5
Denmark,DNK,2005,81.9
Denmark,DNK,2010,83.6
Denmark,DNK,2015,85.7
Djibouti,DJI,1990,38.9
Djibouti,DJI,1995,38.8
Djibouti,DJI,2000,39.4
Djibouti,DJI,2005,40.9
Djibouti,DJI,2010,43.2
Djibouti,DJI,2015,44.7
Dominica,DMA,1990,53
Dominica,DMA,1995,54.6
Dominica,DMA,2000,57.7
Dominica,DMA,2005,59
Dominica,DMA,2010,58.5
Dominica,DMA,2015,58.1
Dominican Republic,DOM,1990,47.9
Dominican Republic,DOM,1995,52.2
Dominican Republic,DOM,2000,56.6
Dominican Republic,DOM,2005,58.6
Dominican Republic,DOM,2010,60.8
Dominican Republic,DOM,2015,62.5
East Asia,,1990,49.5
East Asia,,1995,53.8
East Asia,,2000,57.8
East Asia,,2005,63.6
East Asia,,2010,69.7
East Asia,,2015,73.8
Eastern Europe,,1990,61.7
Eastern Europe,,1995,58.2
Eastern Europe,,2000,60.4
Eastern Europe,,2005,63.4
Eastern Europe,,2010,68.9
Eastern Europe,,2015,71.9
Eastern Sub-Saharan Africa,,1990,29.6
Eastern Sub-Saharan Africa,,1995,31.2
Eastern Sub-Saharan Africa,,2000,33.8
Eastern Sub-Saharan Africa,,2005,37.5
Eastern Sub-Saharan Africa,,2010,40.5
Eastern Sub-Saharan Africa,,2015,42.4
Ecuador,ECU,1990,45.4
Ecuador,ECU,1995,48.7
Ecuador,ECU,2000,53.5
Ecuador,ECU,2005,56.1
Ecuador,ECU,2010,58.6
Ecuador,ECU,2015,61.2
Egypt,EGY,1990,45
Egypt,EGY,1995,49.3
Egypt,EGY,2000,54.4
Egypt,EGY,2005,56.9
Egypt,EGY,2010,58.2
Egypt,EGY,2015,61
El Salvador,SLV,1990,44.3
El Salvador,SLV,1995,49
El Salvador,SLV,2000,55.3
El Salvador,SLV,2005,59.6
El Salvador,SLV,2010,62.2
El Salvador,SLV,2015,64.4
Equatorial Guinea,GNQ,1990,26.1
Equatorial Guinea,GNQ,1995,27.5
Equatorial Guinea,GNQ,2000,35.4
Equatorial Guinea,GNQ,2005,42.9
Equatorial Guinea,GNQ,2010,45.6
Equatorial Guinea,GNQ,2015,48.4
Eritrea,ERI,1990,28.9
Eritrea,ERI,1995,35.3
Eritrea,ERI,2000,38
Eritrea,ERI,2005,38.8
Eritrea,ERI,2010,37.8
Eritrea,ERI,2015,38.1
Estonia,EST,1990,65.8
Estonia,EST,1995,62.5
Estonia,EST,2000,67.4
Estonia,EST,2005,71.4
Estonia,EST,2010,77.5
Estonia,EST,2015,81.4
Ethiopia,ETH,1990,23.1
Ethiopia,ETH,1995,26.8
Ethiopia,ETH,2000,30.6
Ethiopia,ETH,2005,34.9
Ethiopia,ETH,2010,40.4
Ethiopia,ETH,2015,44.2
Fiji,FJI,1990,43.9
Fiji,FJI,1995,44.1
Fiji,FJI,2000,44.7
Fiji,FJI,2005,45
Fiji,FJI,2010,45.4
Fiji,FJI,2015,46.6
Finland,FIN,1990,75.4
Finland,FIN,1995,78.8
Finland,FIN,2000,82
Finland,FIN,2005,84.5
Finland,FIN,2010,87.2
Finland,FIN,2015,89.6
France,FRA,1990,74.3
France,FRA,1995,77.5
France,FRA,2000,80.3
France,FRA,2005,84.2
France,FRA,2010,85.7
France,FRA,2015,87.9
Gabon,GAB,1990,39.1
Gabon,GAB,1995,40.1
Gabon,GAB,2000,41.8
Gabon,GAB,2005,44.1
Gabon,GAB,2010,48.4
Gabon,GAB,2015,51.4
Gambia,GMB,1990,41.3
Gambia,GMB,1995,42.4
Gambia,GMB,2000,43.3
Gambia,GMB,2005,45.6
Gambia,GMB,2010,47.7
Gambia,GMB,2015,49.7
Georgia,GEO,1990,58.4
Georgia,GEO,1995,60.2
Georgia,GEO,2000,60.9
Georgia,GEO,2005,60.7
Georgia,GEO,2010,60.8
Georgia,GEO,2015,62.1
Germany,DEU,1990,73.1
Germany,DEU,1995,77.1
Germany,DEU,2000,80.6
Germany,DEU,2005,83.2
Germany,DEU,2010,84.9
Germany,DEU,2015,86.4
Ghana,GHA,1990,34.8
Ghana,GHA,1995,38.5
Ghana,GHA,2000,40.3
Ghana,GHA,2005,44.2
Ghana,GHA,2010,47.3
Ghana,GHA,2015,49.7
Greece,GRC,1990,76.5
Greece,GRC,1995,79.5
Greece,GRC,2000,82.2
Greece,GRC,2005,84.4
Greece,GRC,2010,85.2
Greece,GRC,2015,87
Greenland,GRL,1990,59
Greenland,GRL,1995,62.3
Greenland,GRL,2000,64.3
Greenland,GRL,2005,65.8
Greenland,GRL,2010,68.1
Greenland,GRL,2015,71
Grenada,GRD,1990,49.4
Grenada,GRD,1995,52.8
Grenada,GRD,2000,54
Grenada,GRD,2005,55.1
Grenada,GRD,2010,57
Grenada,GRD,2015,58.3
Guam,GUM,1990,61.5
Guam,GUM,1995,63.6
Guam,GUM,2000,67
Guam,GUM,2005,66.4
Guam,GUM,2010,63.7
Guam,GUM,2015,63.4
Guatemala,GTM,1990,40.1
Guatemala,GTM,1995,44.4
Guatemala,GTM,2000,48.7
Guatemala,GTM,2005,51.3
Guatemala,GTM,2010,53.2
Guatemala,GTM,2015,55.7
Guinea,GIN,1990,32.6
Guinea,GIN,1995,33.6
Guinea,GIN,2000,34
Guinea,GIN,2005,37
Guinea,GIN,2010,37.6
Guinea,GIN,2015,38.6
Guinea-Bissau,GNB,1990,32.7
Guinea-Bissau,GNB,1995,33.1
Guinea-Bissau,GNB,2000,33.6
Guinea-Bissau,GNB,2005,33.3
Guinea-Bissau,GNB,2010,35.1
Guinea-Bissau,GNB,2015,36.3
Guyana,GUY,1990,39.3
Guyana,GUY,1995,41.3
Guyana,GUY,2000,42.5
Guyana,GUY,2005,44.7
Guyana,GUY,2010,47
Guyana,GUY,2015,49.8
Haiti,HTI,1990,24.9
Haiti,HTI,1995,29.2
Haiti,HTI,2000,32.7
Haiti,HTI,2005,34.8
Haiti,HTI,2010,35.9
Haiti,HTI,2015,38.5
High-income,,1990,71.1
High-income,,1995,74.6
High-income,,2000,77.2
High-income,,2005,79.6
High-income,,2010,81.6
High-income,,2015,83.1
High-income Asia Pacific,,1990,72.6
High-income Asia Pacific,,1995,77.2
High-income Asia Pacific,,2000,79.8
High-income Asia Pacific,,2005,83.3
High-income Asia Pacific,,2010,86
High-income Asia Pacific,,2015,87.4
High-income North America,,1990,74
High-income North America,,1995,76.3
High-income North America,,2000,78.1
High-income North America,,2005,79.2
High-income North America,,2010,80.9
High-income North America,,2015,81.8
Honduras,HND,1990,42.3
Honduras,HND,1995,45.7
Honduras,HND,2000,47.6
Honduras,HND,2005,49.5
Honduras,HND,2010,51.8
Honduras,HND,2015,53.9
Hungary,HUN,1990,64.6
Hungary,HUN,1995,67.2
Hungary,HUN,2000,71
Hungary,HUN,2005,73.7
Hungary,HUN,2010,76.1
Hungary,HUN,2015,79.6
Iceland,ISL,1990,81.9
Iceland,ISL,1995,84.2
Iceland,ISL,2000,87.1
Iceland,ISL,2005,89.8
Iceland,ISL,2010,92.1
Iceland,ISL,2015,93.6
India,IND,1990,30.7
India,IND,1995,33.1
India,IND,2000,35.3
India,IND,2005,38.2
India,IND,2010,41.2
India,IND,2015,44.8
Indonesia,IDN,1990,37.2
Indonesia,IDN,1995,39.7
Indonesia,IDN,2000,41.3
Indonesia,IDN,2005,43.8
Indonesia,IDN,2010,46.8
Indonesia,IDN,2015,49.2
Iran,IRN,1990,54.6
Iran,IRN,1995,59.6
Iran,IRN,2000,63.5
Iran,IRN,2005,65.7
Iran,IRN,2010,68.9
Iran,IRN,2015,71.1
Iraq,IRQ,1990,51.1
Iraq,IRQ,1995,50.7
Iraq,IRQ,2000,51.8
Iraq,IRQ,2005,54.4
Iraq,IRQ,2010,57.2
Iraq,IRQ,2015,60.1
Ireland,IRL,1990,75.6
Ireland,IRL,1995,78.4
Ireland,IRL,2000,79.6
Ireland,IRL,2005,83.5
Ireland,IRL,2010,86
Ireland,IRL,2015,88.4
Israel,ISR,1990,71.3
Israel,ISR,1995,74.3
Israel,ISR,2000,77.5
Israel,ISR,2005,80.3
Israel,ISR,2010,83.7
Israel,ISR,2015,85.5
Italy,ITA,1990,76.2
Italy,ITA,1995,79.1
Italy,ITA,2000,82.5
Italy,ITA,2005,85.5
Italy,ITA,2010,87.5
Italy,ITA,2015,88.7
Jamaica,JAM,1990,55
Jamaica,JAM,1995,58
Jamaica,JAM,2000,59.5
Jamaica,JAM,2005,62.2
Jamaica,JAM,2010,62.9
Jamaica,JAM,2015,63.7
Japan,JPN,1990,78.3
Japan,JPN,1995,80.7
Japan,JPN,2000,82.9
Japan,JPN,2005,85.6
Japan,JPN,2010,87.8
Japan,JPN,2015,89
Jordan,JOR,1990,59.1
Jordan,JOR,1995,62
Jordan,JOR,2000,65
Jordan,JOR,2005,68.4
Jordan,JOR,2010,74.3
Jordan,JOR,2015,76.5
Kazakhstan,KAZ,1990,55.1
Kazakhstan,KAZ,1995,49.9
Kazakhstan,KAZ,2000,51.3
Kazakhstan,KAZ,2005,51.9
Kazakhstan,KAZ,2010,57.9
Kazakhstan,KAZ,2015,61.1
Kenya,KEN,1990,42.6
Kenya,KEN,1995,42.3
Kenya,KEN,2000,44
Kenya,KEN,2005,46.4
Kenya,KEN,2010,47.5
Kenya,KEN,2015,48.7
Kiribati,KIR,1990,35.4
Kiribati,KIR,1995,36.5
Kiribati,KIR,2000,39.7
Kiribati,KIR,2005,41.1
Kiribati,KIR,2010,43.6
Kiribati,KIR,2015,44.9
Kuwait,KWT,1990,71.7
Kuwait,KWT,1995,71.4
Kuwait,KWT,2000,74.9
Kuwait,KWT,2005,75.7
Kuwait,KWT,2010,77.7
Kuwait,KWT,2015,82
Kyrgyzstan,KGZ,1990,52.5
Kyrgyzstan,KGZ,1995,51.7
Kyrgyzstan,KGZ,2000,52.4
Kyrgyzstan,KGZ,2005,54.6
Kyrgyzstan,KGZ,2010,57.7
Kyrgyzstan,KGZ,2015,60.4
Laos,LAO,1990,23.8
Laos,LAO,1995,25.7
Laos,LAO,2000,28.7
Laos,LAO,2005,33.6
Laos,LAO,2010,39.6
Laos,LAO,2015,44.9
Latin America and Caribbean,,1990,46.5
Latin America and Caribbean,,1995,50.8
Latin America and Caribbean,,2000,54.6
Latin America and Caribbean,,2005,57.4
Latin America and Caribbean,,2010,59.6
Latin America and Caribbean,,2015,61.9
Latvia,LVA,1990,65.7
Latvia,LVA,1995,62.4
Latvia,LVA,2000,68.7
Latvia,LVA,2005,70.7
Latvia,LVA,2010,74.4
Latvia,LVA,2015,77.7
Lebanon,LBN,1990,58.7
Lebanon,LBN,1995,63.4
Lebanon,LBN,2000,68.5
Lebanon,LBN,2005,73.1
Lebanon,LBN,2010,77
Lebanon,LBN,2015,80
Lesotho,LSO,1990,40.8
Lesotho,LSO,1995,41.8
Lesotho,LSO,2000,39.4
Lesotho,LSO,2005,33.2
Lesotho,LSO,2010,34.4
Lesotho,LSO,2015,35.7
Liberia,LBR,1990,34.7
Liberia,LBR,1995,37.1
Liberia,LBR,2000,39.5
Liberia,LBR,2005,41.7
Liberia,LBR,2010,43.2
Liberia,LBR,2015,45.4
Libya,LBY,1990,60
Libya,LBY,1995,63.7
Libya,LBY,2000,65.4
Libya,LBY,2005,67.1
Libya,LBY,2010,69.7
Libya,LBY,2015,69.9
Lithuania,LTU,1990,67
Lithuania,LTU,1995,64.2
Lithuania,LTU,2000,69.6
Lithuania,LTU,2005,70.2
Lithuania,LTU,2010,73.6
Lithuania,LTU,2015,76.6
Luxembourg,LUX,1990,74.5
Luxembourg,LUX,1995,78.8
Luxembourg,LUX,2000,82.2
Luxembourg,LUX,2005,84.9
Luxembourg,LUX,2010,87.5
Luxembourg,LUX,2015,89.3
Macedonia,MKD,1990,61.9
Macedonia,MKD,1995,63.4
Macedonia,MKD,2000,67
Macedonia,MKD,2005,69.9
Macedonia,MKD,2010,74.2
Macedonia,MKD,2015,76
Madagascar,MDG,1990,34.8
Madagascar,MDG,1995,36.5
Madagascar,MDG,2000,38.7
Madagascar,MDG,2005,41.6
Madagascar,MDG,2010,42.5
Madagascar,MDG,2015,43.7
Malawi,MWI,1990,34.7
Malawi,MWI,1995,35.4
Malawi,MWI,2000,36.5
Malawi,MWI,2005,40.6
Malawi,MWI,2010,44.3
Malawi,MWI,2015,47
Malaysia,MYS,1990,54.2
Malaysia,MYS,1995,57.2
Malaysia,MYS,2000,60.3
Malaysia,MYS,2005,63.2
Malaysia,MYS,2010,63.9
Malaysia,MYS,2015,66.6
Maldives,MDV,1990,45.9
Maldives,MDV,1995,51.6
Maldives,MDV,2000,59.3
Maldives,MDV,2005,67.1
Maldives,MDV,2010,72.9
Maldives,MDV,2015,75.5
Mali,MLI,1990,32.7
Mali,MLI,1995,33.8
Mali,MLI,2000,37.7
Mali,MLI,2005,43.5
Mali,MLI,2010,44.4
Mali,MLI,2015,45.6
Malta,MLT,1990,74.7
Malta,MLT,1995,76.8
Malta,MLT,2000,78.9
Malta,MLT,2005,81.4
Malta,MLT,2010,82.9
Malta,MLT,2015,85.1
Marshall Islands,MHL,1990,41.2
Marshall Islands,MHL,1995,43.2
Marshall Islands,MHL,2000,43.2
Marshall Islands,MHL,2005,44.3
Marshall Islands,MHL,2010,46.8
Marshall Islands,MHL,2015,49.8
Mauritania,MRT,1990,37.3
Mauritania,MRT,1995,38.9
Mauritania,MRT,2000,42.9
Mauritania,MRT,2005,46.9
Mauritania,MRT,2010,49.6
Mauritania,MRT,2015,52
Mauritius,MUS,1990,53.6
Mauritius,MUS,1995,57.3
Mauritius,MUS,2000,59.8
Mauritius,MUS,2005,61.8
Mauritius,MUS,2010,63.3
Mauritius,MUS,2015,65.7
Mexico,MEX,1990,49.2
Mexico,MEX,1995,54.1
Mexico,MEX,2000,57.4
Mexico,MEX,2005,59.1
Mexico,MEX,2010,60.5
Mexico,MEX,2015,62.6
Micronesia (country),FSM,1990,41.1
Micronesia (country),FSM,1995,43.6
Micronesia (country),FSM,2000,46.8
Micronesia (country),FSM,2005,49.8
Micronesia (country),FSM,2010,51.5
Micronesia (country),FSM,2015,53.8
Moldova,MDA,1990,59.6
Moldova,MDA,1995,56
Moldova,MDA,2000,60.8
Moldova,MDA,2005,64.8
Moldova,MDA,2010,66.8
Moldova,MDA,2015,73.1
Mongolia,MNG,1990,42.3
Mongolia,MNG,1995,42.1
Mongolia,MNG,2000,44.7
Mongolia,MNG,2005,50.9
Mongolia,MNG,2010,54.9
Mongolia,MNG,2015,58.5
Montenegro,MNE,1990,70.2
Montenegro,MNE,1995,70.2
Montenegro,MNE,2000,69.9
Montenegro,MNE,2005,74.4
Montenegro,MNE,2010,78.2
Montenegro,MNE,2015,80.7
Morocco,MAR,1990,44
Morocco,MAR,1995,47.8
Morocco,MAR,2000,52.6
Morocco,MAR,2005,55.6
Morocco,MAR,2010,58.7
Morocco,MAR,2015,61.3
Mozambique,MOZ,1990,33.2
Mozambique,MOZ,1995,35.1
Mozambique,MOZ,2000,36.4
Mozambique,MOZ,2005,39.6
Mozambique,MOZ,2010,40.9
Mozambique,MOZ,2015,43
Myanmar,MMR,1990,29.7
Myanmar,MMR,1995,31.6
Myanmar,MMR,2000,34.7
Myanmar,MMR,2005,39.5
Myanmar,MMR,2010,44.4
Myanmar,MMR,2015,48.4
Namibia,NAM,1990,41.8
Namibia,NAM,1995,41.9
Namibia,NAM,2000,39.9
Namibia,NAM,2005,43.5
Namibia,NAM,2010,50.4
Namibia,NAM,2015,53.7
Nepal,NPL,1990,34
Nepal,NPL,1995,37.1
Nepal,NPL,2000,41.6
Nepal,NPL,2005,45.7
Nepal,NPL,2010,48.2
Nepal,NPL,2015,50.8
Netherlands,NLD,1990,79.2
Netherlands,NLD,1995,80.8
Netherlands,NLD,2000,82.1
Netherlands,NLD,2005,85.1
Netherlands,NLD,2010,88.2
Netherlands,NLD,2015,89.5
New Zealand,NZL,1990,74.2
New Zealand,NZL,1995,77.6
New Zealand,NZL,2000,80
New Zealand,NZL,2005,82.5
New Zealand,NZL,2010,84.2
New Zealand,NZL,2015,86.2
Nicaragua,NIC,1990,49.7
Nicaragua,NIC,1995,51.7
Nicaragua,NIC,2000,55.5
Nicaragua,NIC,2005,58.8
Nicaragua,NIC,2010,61.8
Nicaragua,NIC,2015,64.3
Niger,NER,1990,31.8
Niger,NER,1995,33.1
Niger,NER,2000,34.6
Niger,NER,2005,37.7
Niger,NER,2010,40.3
Niger,NER,2015,41
Nigeria,NGA,1990,38.3
Nigeria,NGA,1995,39.7
Nigeria,NGA,2000,40.6
Nigeria,NGA,2005,43.1
Nigeria,NGA,2010,48.8
