Entity,Code,Year,12.c.1 - Fossil-fuel pre-tax subsidies (consumption and production) as a proportion of total GDP (%) - ER_FFS_PRTSPR (%)
Djibouti,DJI,2015,0.39724
Dominica,DMA,2013,0.1
Dominica,DMA,2015,0.09611
Dominican Republic,DOM,2013,1.9
Dominican Republic,DOM,2015,1.87117
Eastern Africa,,2013,3.23414
Eastern Africa,,2015,2.98252
Eastern Asia,,2013,0.04119
Eastern Asia,,2015,0.001
Eastern Europe,,2013,1.40414
Eastern Europe,,2015,1.33243
Eastern and South-Eastern Asia,,2013,0.3478
Eastern and South-Eastern Asia,,2015,0.06304
Ecuador,ECU,2013,4.79555
Ecuador,ECU,2015,1.53015
Egypt,EGY,2013,10.88748
Egypt,EGY,2015,4.83141
El Salvador,SLV,2013,2.05531
El Salvador,SLV,2015,1.9538
Equatorial Guinea,GNQ,2013,0
Equatorial Guinea,GNQ,2015,0
Estonia,EST,2013,0
Estonia,EST,2015,0
Ethiopia,ETH,2013,1.60549
Ethiopia,ETH,2015,1.21066
Europe,,2013,0.25077
Europe,,2015,0.2331
Europe and Northern America,,2013,0.16507
Europe and Northern America,,2015,0.15804
"Europe, Western",,2013,0.07207
"Europe, Western",,2015,0.06953
Finland,FIN,2013,0
Finland,FIN,2015,0
France,FRA,2013,0.0052
France,FRA,2015,0.00504
Gabon,GAB,2013,0.19181
Gabon,GAB,2015,0
Georgia,GEO,2013,0
Georgia,GEO,2015,0
Germany,DEU,2013,0.08718
Germany,DEU,2015,0.08342
Ghana,GHA,2013,0.07048
Ghana,GHA,2015,0
Greece,GRC,2013,0.09843
Greece,GRC,2015,0.09758
Grenada,GRD,2013,0.5
Grenada,GRD,2015,0.48066
Guatemala,GTM,2013,0.4
Guatemala,GTM,2015,0.2445
Guyana,GUY,2013,1.3
Guyana,GUY,2015,1.25119
Haiti,HTI,2013,2.7
Haiti,HTI,2015,2.24416
Honduras,HND,2013,0.9
Honduras,HND,2015,0
Hong Kong,HKG,2013,0
Hong Kong,HKG,2015,0
Hungary,HUN,2013,0.00003
Hungary,HUN,2015,0.00003
Iceland,ISL,2013,0
Iceland,ISL,2015,0
India,IND,2013,1.7043
India,IND,2015,0.5018
Indonesia,IDN,2013,5.29969
Indonesia,IDN,2015,1.04954
Iran,IRN,2013,20.76387
Iran,IRN,2015,14.93619
Iraq,IRQ,2013,0.64352
Iraq,IRQ,2015,0.17259
Ireland,IRL,2013,0.04572
Ireland,IRL,2015,0.04486
Israel,ISR,2013,0.00297
Israel,ISR,2015,0.00283
Italy,ITA,2013,0
Italy,ITA,2015,0
Jamaica,JAM,2013,0.1
Jamaica,JAM,2015,0
Japan,JPN,2013,0.00269
Japan,JPN,2015,0.00274
Jordan,JOR,2013,3.74719
Jordan,JOR,2015,1.21211
Kazakhstan,KAZ,2013,0.81613
Kazakhstan,KAZ,2015,0.79577
Kenya,KEN,2013,0.26271
Kenya,KEN,2015,0.23088
Kuwait,KWT,2013,5.69822
Kuwait,KWT,2015,1.8137
Kyrgyzstan,KGZ,2013,14.76476
Kyrgyzstan,KGZ,2015,8.15866
Landlocked developing countries,,2013,4.22117
Landlocked developing countries,,2015,3.0637
Latin America and the Caribbean	,,2013,1.78628
Latin America and the Caribbean	,,2015,0.98107
Latvia,LVA,2013,0
Latvia,LVA,2015,0
Least Developed Countries (LDCs),,2015,1.22123
Lebanon,LBN,2013,5.06237
Lebanon,LBN,2015,4.47978
Lesotho,LSO,2013,1.45476
Lesotho,LSO,2015,1.35265
Libya,LBY,2013,10.24072
Libya,LBY,2015,4.26739
Lithuania,LTU,2013,0
Lithuania,LTU,2015,0
Luxembourg,LUX,2013,0
Luxembourg,LUX,2015,0
Macedonia,MKD,2013,0
Macedonia,MKD,2015,0
Madagascar,MDG,2013,0.99099
Madagascar,MDG,2015,0.95595
Malawi,MWI,2013,2.80593
Malawi,MWI,2015,2.41156
Malaysia,MYS,2013,1.13343
Malaysia,MYS,2015,0
Mali,MLI,2013,1.10071
Mali,MLI,2015,1.01691
Malta,MLT,2013,0
Malta,MLT,2015,0
Mauritania,MRT,2013,0.95699
Mauritania,MRT,2015,1.02501
Mexico,MEX,2013,0.90159
Mexico,MEX,2015,0
Middle Africa,,2013,2.74941
Middle Africa,,2015,1.2576
Moldova,MDA,2013,0
Moldova,MDA,2015,0
Mongolia,MNG,2013,0
Mongolia,MNG,2015,0
Montenegro,MNE,2013,0
Montenegro,MNE,2015,0
Morocco,MAR,2013,0.3457
Morocco,MAR,2015,0.20653
Mozambique,MOZ,2013,5.8581
Mozambique,MOZ,2015,5.63466
Myanmar,MMR,2013,0.01006
Myanmar,MMR,2015,0.1365
Namibia,NAM,2013,0.85367
Namibia,NAM,2015,0.85431
Nepal,NPL,2013,0
Nepal,NPL,2015,0
Netherlands,NLD,2013,0
Netherlands,NLD,2015,0
New Zealand,NZL,2013,0
New Zealand,NZL,2015,0
Nicaragua,NIC,2013,2.1
Nicaragua,NIC,2015,1.9291
Nigeria,NGA,2013,0.70089
Nigeria,NGA,2015,0.14017
Northern Africa,,2013,6.74034
Northern Africa,,2015,3.16981
Northern Africa and Western Asia,,2013,3.84965
Northern Africa and Western Asia,,2015,1.92193
Northern America,,2013,0.06603
Northern America,,2015,0.07287
Northern Europe,,2013,0.01534
Northern Europe,,2015,0.01467
Norway,NOR,2013,0.02385
Norway,NOR,2015,0.02423
Oceania,,2013,0.04576
Oceania,,2015,0.0474
Oman,OMN,2013,4.47598
Oman,OMN,2015,1.14936
Other non-specified areas,,2013,0.06438
Other non-specified areas,,2015,0.06285
Pakistan,PAK,2013,3.66267
Pakistan,PAK,2015,0
Panama,PAN,2013,0.5
Panama,PAN,2015,0.34316
Papua New Guinea,PNG,2013,0
Papua New Guinea,PNG,2015,0
Paraguay,PRY,2013,0.1
Paraguay,PRY,2015,0.0906
Peru,PER,2013,0
Peru,PER,2015,0
Philippines,PHL,2013,0
Philippines,PHL,2015,0
Poland,POL,2013,0.13929
Poland,POL,2015,0.12955
Portugal,PRT,2013,0.00351
Portugal,PRT,2015,0.00341
Qatar,QAT,2013,3.37508
Qatar,QAT,2015,1.64115
Romania,ROU,2013,0
Romania,ROU,2015,0
Russia,RUS,2013,2.08388
Russia,RUS,2015,2.04014
Rwanda,RWA,2013,0.34073
Rwanda,RWA,2015,0.33414
Saint Kitts and Nevis,KNA,2013,0.5
Saint Kitts and Nevis,KNA,2015,0.48638
Saudi Arabia,SAU,2013,8.73857
Saudi Arabia,SAU,2015,4.61889
Senegal,SEN,2013,2.57824
Senegal,SEN,2015,1.63811
Serbia,SRB,2013,0
Serbia,SRB,2015,0
Singapore,SGP,2013,0
Singapore,SGP,2015,0
Slovakia,SVK,2013,0.00683
Slovakia,SVK,2015,0.00666
Slovenia,SVN,2013,0.0198
Slovenia,SVN,2015,0.01928
South Africa,ZAF,2013,0.71913
South Africa,ZAF,2015,0.71294
South America,,2013,2.06712
South America,,2015,1.26906
South Eastern Asia,,2013,2.31672
South Eastern Asia,,2015,0.45424
South Korea,KOR,2013,0.01382
South Korea,KOR,2015,0.00001
Southern Africa,,2013,0.72513
Southern Africa,,2015,0.71733
Southern Asia,,2013,4.9104
Southern Asia,,2015,2.61817
Southern Europe,,2013,0.0208
Southern Europe,,2015,0.01737
Spain,ESP,2013,0.02956
Spain,ESP,2015,0.0291
Sri Lanka,LKA,2013,0.45677
Sri Lanka,LKA,2015,0.20939
Sub-Saharan Africa,,2013,1.44249
Sub-Saharan Africa,,2015,1.02277
Sudan,SDN,2013,1.33689
Sudan,SDN,2015,0.82466
Suriname,SUR,2013,1.7
Suriname,SUR,2015,1.62381
Sweden,SWE,2013,0
Sweden,SWE,2015,0
Switzerland,CHE,2013,0
Switzerland,CHE,2015,0
Tajikistan,TJK,2013,3.33526
Tajikistan,TJK,2015,3.30185
Tanzania,TZA,2013,1.96267
Tanzania,TZA,2015,1.86254
Thailand,THA,2013,0.27168
Thailand,THA,2015,0
Togo,TGO,2013,0
Trinidad and Tobago,TTO,2013,3.91263
Trinidad and Tobago,TTO,2015,2.61511
Tunisia,TUN,2013,2.57926
Tunisia,TUN,2015,2.07197
Turkey,TUR,2013,0.02294
Turkey,TUR,2015,0.02319
Turkmenistan,TKM,2013,16.23179
Turkmenistan,TKM,2015,10.69675
Uganda,UGA,2013,1.25612
Uganda,UGA,2015,1.20422
Ukraine,UKR,2013,4.96304
Ukraine,UKR,2015,5.86284
United Arab Emirates,ARE,2013,4.5163
United Arab Emirates,ARE,2015,2.8723
United Kingdom,GBR,2013,0.01822
United Kingdom,GBR,2015,0.01623
United States,USA,2013,0.06524
United States,USA,2015,0.07266
Uruguay,URY,2013,0
Uruguay,URY,2015,0
Uzbekistan,UZB,2013,18.20686
Uzbekistan,UZB,2015,11.91266
Venezuela,VEN,2013,16.06381
Venezuela,VEN,2015,10.45751
Vietnam,VNM,2013,0.67319
Vietnam,VNM,2015,0.54517
Western Africa,,2013,0.80778
Western Africa,,2015,0.35392
Western Asia,,2013,3.22081
Western Asia,,2015,1.64872
World,OWID_WRL,2013,0.7678
World,OWID_WRL,2015,0.42787
Yemen,YEM,2013,4.43782
Yemen,YEM,2015,0.21478
Zambia,ZMB,2013,7.15475
Zambia,ZMB,2015,7.1372
Zimbabwe,ZWE,2013,19.22213
Zimbabwe,ZWE,2015,18.78449
