Entity,Code,Year,Market Income,Disposable Income
Ireland,IRL,2004,0.513,0.325
Ireland,IRL,2007,0.514,0.303
Ireland,IRL,2010,0.578,0.296
Israel,ISR,1986,0.487,0.31
Israel,ISR,1992,0.48,0.305
Israel,ISR,1997,0.507,0.337
Israel,ISR,2001,0.55,0.35
Israel,ISR,2005,0.537,0.377
Israel,ISR,2007,0.525,0.369
Israel,ISR,2010,0.533,0.387
Italy,ITA,1986,0.43,0.31
Italy,ITA,1987,0.457,0.334
Italy,ITA,1989,0.431,0.304
Italy,ITA,1991,0.42,0.292
Italy,ITA,1993,0.478,0.343
Italy,ITA,1995,0.482,0.343
Italy,ITA,1998,0.496,0.356
Italy,ITA,2000,0.488,0.342
Italy,ITA,2004,0.517,0.347
Italy,ITA,2008,0.487,0.332
Italy,ITA,2010,0.501,0.331
Luxembourg,LUX,1985,0.379,0.238
Luxembourg,LUX,1991,0.374,0.239
Luxembourg,LUX,1994,0.391,0.235
Luxembourg,LUX,1997,0.436,0.261
Luxembourg,LUX,2000,0.432,0.262
Luxembourg,LUX,2004,0.458,0.27
Luxembourg,LUX,2007,0.463,0.277
Luxembourg,LUX,2010,0.468,0.269
Netherlands,NLD,1993,0.468,0.262
Netherlands,NLD,1999,0.432,0.232
Netherlands,NLD,2004,0.469,0.267
Netherlands,NLD,2007,0.48,0.277
Netherlands,NLD,2010,0.469,0.257
Norway,NOR,1979,0.38,0.226
Norway,NOR,1986,0.366,0.235
Norway,NOR,1991,0.397,0.233
Norway,NOR,1995,0.431,0.243
Norway,NOR,2000,0.443,0.261
Norway,NOR,2004,0.479,0.283
Norway,NOR,2007,0.445,0.247
Norway,NOR,2010,0.457,0.251
Poland,POL,1992,0.422,0.262
Poland,POL,1995,0.569,0.324
Poland,POL,1999,,0.292
Poland,POL,2004,,0.319
Poland,POL,2007,0.516,0.316
Poland,POL,2010,0.499,0.314
Slovakia,SVK,1992,0.404,0.189
Slovakia,SVK,1996,,0.249
Slovakia,SVK,2004,0.455,0.269
Slovakia,SVK,2007,0.419,0.248
Slovakia,SVK,2010,0.435,0.265
Slovenia,SVN,1997,0.369,0.229
Slovenia,SVN,1999,0.375,0.232
Slovenia,SVN,2004,0.399,0.231
Slovenia,SVN,2007,0.399,0.23
Slovenia,SVN,2010,0.419,0.253
Spain,ESP,1980,0.42,0.321
Spain,ESP,1985,,0.315
Spain,ESP,1990,0.43,0.305
Spain,ESP,1995,0.513,0.358
Spain,ESP,2000,0.482,0.337
Spain,ESP,2004,0.455,0.322
Spain,ESP,2007,0.451,0.309
Spain,ESP,2010,0.513,0.339
Sweden,SWE,1981,0.413,0.198
Sweden,SWE,1987,0.437,0.213
Sweden,SWE,1992,0.468,0.229
Sweden,SWE,1995,0.5,0.222
Sweden,SWE,2000,0.485,0.257
Sweden,SWE,2005,0.477,0.239
Switzerland,CHE,2000,,0.285
Switzerland,CHE,2002,,0.273
Switzerland,CHE,2004,,0.268
United Kingdom,GBR,1979,0.418,0.267
United Kingdom,GBR,1986,0.509,0.304
United Kingdom,GBR,1991,0.512,0.34
United Kingdom,GBR,1994,0.547,0.344
United Kingdom,GBR,1995,0.547,0.346
United Kingdom,GBR,1999,0.546,0.353
United Kingdom,GBR,2004,0.545,0.354
United Kingdom,GBR,2007,0.547,0.343
United Kingdom,GBR,2010,0.566,0.341
United States,USA,1979,0.433,0.311
United States,USA,1986,0.464,0.342
United States,USA,1991,0.474,0.347
United States,USA,1994,0.505,0.372
United States,USA,1997,0.502,0.374
United States,USA,2000,0.498,0.372
United States,USA,2004,0.508,0.377
United States,USA,2007,0.5,0.383
United States,USA,2010,0.525,0.373
United States,USA,2013,0.529,0.383
