Entity,Code,Year,Human capital ($),Net foreign assets ($),Produced capital (including urban land) ($),Natural capital ($)
Lower middle income,,2010,11420.69,-477.07,5937.41,6793.77
Lower middle income,,2014,13116.55,-649.63,6531.24,6949.44
Middle East & North Africa,,1995,35620.07,4852.76,24022.17,26707.87
Middle East & North Africa,,2000,39177.46,6797.48,20235.45,28865.28
Middle East & North Africa,,2005,44513.12,5703.62,19319.41,44194.83
Middle East & North Africa,,2010,50439.92,7531.51,22444.67,63548.44
Middle East & North Africa,,2014,54870.98,9900.49,23984.08,70136.75
Middle East & North Africa (developing countries),,1995,12622.3,-861.71,6412.34,6799.89
Middle East & North Africa (developing countries),,2000,14142.74,-690.75,6112.86,7697.89
Middle East & North Africa (developing countries),,2005,15670.33,-2112.65,7885.84,13346.72
Middle East & North Africa (developing countries),,2010,18075.14,-1046.01,9092.51,20426.05
Middle East & North Africa (developing countries),,2014,19384.03,-1425.36,9777.5,20758.78
North America,,1995,622124.35,-3413.79,144283.24,19376.08
North America,,2000,724656.13,-7082.63,165051.79,19264.07
North America,,2005,751681.57,-7742.59,196548.31,21841.29
North America,,2010,720484.94,-9834.78,206688.59,27665.01
North America,,2014,762896.49,-20360.34,217570.78,26513.6
South Asia,,1995,4453.81,-184.91,2105.94,2875.8
South Asia,,2000,5540.67,-173.51,2303.73,2852.3
South Asia,,2005,6884.54,-179.98,2876.16,2930.65
South Asia,,2010,8033.1,-321.37,3923.96,4074.2
South Asia,,2014,9393.06,-423.31,4796.74,4633.18
South Asia (developing countries),,1995,4453.81,-184.91,2105.94,2875.8
South Asia (developing countries),,2000,5540.67,-173.51,2303.73,2852.3
South Asia (developing countries),,2005,6884.54,-179.98,2876.16,2930.65
South Asia (developing countries),,2010,8033.1,-321.37,3923.96,4074.2
South Asia (developing countries),,2014,9393.06,-423.31,4796.74,4633.18
Sub-Saharan Africa,,1995,9397.06,-1028.43,4354.28,13679.89
Sub-Saharan Africa,,2000,8771.06,-670.27,3816.35,10046.38
Sub-Saharan Africa,,2005,8507.37,-385.15,4945.31,9601.05
Sub-Saharan Africa,,2010,11297.63,-118.61,3882.76,10299.73
Sub-Saharan Africa,,2014,12680.12,-360.16,4017.44,9224.91
Sub-Saharan Africa (developing countries),,1995,9397.06,-1028.43,4354.28,13679.89
Sub-Saharan Africa (developing countries),,2000,8771.06,-670.27,3816.35,10046.38
Sub-Saharan Africa (developing countries),,2005,8507.37,-385.15,4945.31,9601.05
Sub-Saharan Africa (developing countries),,2010,11297.63,-118.61,3882.76,10299.73
Sub-Saharan Africa (developing countries),,2014,12680.12,-360.16,4017.44,9224.91
Upper middle income,,1995,32898.72,-702.16,10809.87,9129.05
Upper middle income,,2000,37745.52,-803.74,12424.01,9286.67
Upper middle income,,2005,40420.3,-617.68,16144.81,12171.05
Upper middle income,,2010,56535.64,-199.41,22082.63,17187.67
Upper middle income,,2014,67389.66,-431.71,28526.93,18960
World,OWID_WRL,1995,89977.11,-540.04,30792.5,9802.66
World,OWID_WRL,2000,97444.82,-678.22,32801.35,9462.65
World,OWID_WRL,2005,98922.71,-539.11,37237.28,11486.58
World,OWID_WRL,2010,103210.91,-395.1,41569.86,15018.52
World,OWID_WRL,2014,109423.5,-675.55,44760.26,15840.88
