Entity,Code,Year,Female share of employment in senior and middle management (%) (%)
Hungary,HUN,2013,38.2599983215332
Hungary,HUN,2014,37.5900001525879
Hungary,HUN,2015,39.060001373291
Iceland,ISL,2004,38.1199989318848
Iceland,ISL,2005,30.0400009155273
Iceland,ISL,2006,33.9700012207031
Iceland,ISL,2007,33.060001373291
Iceland,ISL,2008,36.9599990844727
Iceland,ISL,2009,38.3499984741211
Iceland,ISL,2010,37.1399993896484
Iceland,ISL,2011,39.0900001525879
Iceland,ISL,2012,38.2000007629395
Iceland,ISL,2013,37.8699989318848
Iceland,ISL,2014,38.2400016784668
Iceland,ISL,2015,39.5099983215332
Indonesia,IDN,2009,18.0699996948242
Indonesia,IDN,2010,20.1100006103516
Indonesia,IDN,2013,20.0300006866455
Indonesia,IDN,2015,20.7600002288818
Ireland,IRL,2004,39.7200012207031
Ireland,IRL,2005,43.5900001525879
Ireland,IRL,2006,41.4199981689453
Ireland,IRL,2007,41.2400016784668
Ireland,IRL,2008,43.0499992370605
Ireland,IRL,2009,41.3600006103516
Ireland,IRL,2010,40.7999992370605
Ireland,IRL,2011,29.8999996185303
Ireland,IRL,2012,29.75
Ireland,IRL,2013,30.0200004577637
Ireland,IRL,2014,30.8099994659424
Ireland,IRL,2015,29.4899997711182
Israel,ISR,2009,30.6599998474121
Israel,ISR,2010,33.4500007629395
Israel,ISR,2011,34.9199981689453
Israel,ISR,2012,31.5900001525879
Israel,ISR,2013,32.3499984741211
Israel,ISR,2014,32.3899993896484
Israel,ISR,2015,31.8700008392334
Italy,ITA,2004,18.7700004577637
Italy,ITA,2005,19.6700000762939
Italy,ITA,2006,21.7700004577637
Italy,ITA,2007,22.0300006866455
Italy,ITA,2008,21.6200008392334
Italy,ITA,2009,21.5699996948242
Italy,ITA,2010,21.1599998474121
Italy,ITA,2011,21.5900001525879
Italy,ITA,2012,22.2099990844727
Italy,ITA,2013,22.0200004577637
Italy,ITA,2014,21.8999996185303
Italy,ITA,2015,21.75
Kosovo,OWID_KOS,2014,16.0499992370605
Latvia,LVA,2004,42.4700012207031
Latvia,LVA,2005,42
Latvia,LVA,2006,40.8600006103516
Latvia,LVA,2007,42.1100006103516
Latvia,LVA,2008,41.25
Latvia,LVA,2009,41.4599990844727
Latvia,LVA,2010,39.0800018310547
Latvia,LVA,2011,44.3400001525879
Latvia,LVA,2012,44.6399993896484
Latvia,LVA,2013,42.2200012207031
Latvia,LVA,2014,42.0499992370605
Latvia,LVA,2015,44.2599983215332
Liberia,LBR,2010,18.1800003051758
Lithuania,LTU,2004,46.7999992370605
Lithuania,LTU,2005,44.9599990844727
Lithuania,LTU,2006,42.7599983215332
Lithuania,LTU,2007,40.2799987792969
Lithuania,LTU,2008,41.4500007629395
Lithuania,LTU,2009,40.2900009155273
Lithuania,LTU,2010,41.9799995422363
Lithuania,LTU,2011,36.4700012207031
Lithuania,LTU,2012,35.2999992370605
Lithuania,LTU,2013,36.4599990844727
Lithuania,LTU,2014,35.3600006103516
Lithuania,LTU,2015,38.0999984741211
Luxembourg,LUX,2004,12.1700000762939
Luxembourg,LUX,2005,9.35000038146973
Luxembourg,LUX,2006,21.1599998474121
Luxembourg,LUX,2007,9.73999977111816
Luxembourg,LUX,2008,15.3100004196167
Luxembourg,LUX,2009,15.4300003051758
Luxembourg,LUX,2010,19.6399993896484
Luxembourg,LUX,2011,18.2800006866455
Luxembourg,LUX,2012,16.9699993133545
Luxembourg,LUX,2013,14.6199998855591
Luxembourg,LUX,2014,17.8999996185303
Luxembourg,LUX,2015,13.9899997711182
Macao,MAC,2014,32.5299987792969
Macao,MAC,2015,32.7999992370605
Macedonia,MKD,2006,23.5599994659424
Macedonia,MKD,2007,30.8199996948242
Macedonia,MKD,2008,30.2299995422363
Macedonia,MKD,2009,36.8899993896484
Macedonia,MKD,2010,30.6900005340576
Macedonia,MKD,2011,26.2900009155273
Macedonia,MKD,2012,23.2800006866455
Macedonia,MKD,2013,24.6700000762939
Macedonia,MKD,2014,25.9500007629395
Macedonia,MKD,2015,23
Madagascar,MDG,2012,24.4500007629395
Malaysia,MYS,2009,26.2999992370605
Malaysia,MYS,2010,29.3999996185303
Malaysia,MYS,2011,21.8400001525879
Malaysia,MYS,2012,20.7299995422363
Malaysia,MYS,2013,20.8700008392334
Malaysia,MYS,2014,21.5100002288818
Malaysia,MYS,2015,22.6499996185303
Malta,MLT,2004,12.8999996185303
Malta,MLT,2005,19.8199996948242
Malta,MLT,2006,19.9300003051758
Malta,MLT,2007,18.3500003814697
Malta,MLT,2008,15.8699998855591
Malta,MLT,2009,21.9300003051758
Malta,MLT,2010,23.6599998474121
Malta,MLT,2011,24.8099994659424
Malta,MLT,2012,26.6299991607666
Malta,MLT,2013,28.5799999237061
Malta,MLT,2014,26
Malta,MLT,2015,26.1800003051758
Mauritius,MUS,2011,21.5200004577637
Mauritius,MUS,2012,23.1900005340576
Mauritius,MUS,2015,27.6000003814697
Mexico,MEX,2009,32.9099998474121
Mexico,MEX,2010,33.4700012207031
Mexico,MEX,2011,29.3099994659424
Mexico,MEX,2012,32.2099990844727
Mexico,MEX,2013,31.5699996948242
Mexico,MEX,2014,32.189998626709
Mexico,MEX,2015,28.7999992370605
Moldova,MDA,2014,46.8300018310547
Moldova,MDA,2015,48.5299987792969
Mongolia,MNG,2014,34.1599998474121
Mongolia,MNG,2015,37.7700004577637
Netherlands,NLD,2004,22.3299999237061
Netherlands,NLD,2005,22.8299999237061
Netherlands,NLD,2006,25.1499996185303
Netherlands,NLD,2007,26.9899997711182
Netherlands,NLD,2008,26.7299995422363
Netherlands,NLD,2009,26.4899997711182
Netherlands,NLD,2010,27.0699996948242
Netherlands,NLD,2011,27.8999996185303
Netherlands,NLD,2012,28.2399997711182
Netherlands,NLD,2013,23.0799999237061
Netherlands,NLD,2014,24.1299991607666
Netherlands,NLD,2015,24.7600002288818
Norway,NOR,2004,29.7099990844727
Norway,NOR,2005,31.0400009155273
Norway,NOR,2006,33.9500007629395
Norway,NOR,2007,33.2900009155273
Norway,NOR,2008,32.6399993896484
Norway,NOR,2009,34.5499992370605
Norway,NOR,2010,35.0299987792969
Norway,NOR,2011,31.2000007629395
Norway,NOR,2012,31.1599998474121
Norway,NOR,2013,31.3500003814697
Norway,NOR,2014,33.3199996948242
Norway,NOR,2015,33.6599998474121
Palestine,PSE,2012,15.4200000762939
Panama,PAN,2009,31.4099998474121
Panama,PAN,2010,42.0099983215332
Panama,PAN,2011,45.0499992370605
Panama,PAN,2012,48.7299995422363
Panama,PAN,2014,43.5400009155273
Philippines,PHL,2009,40.5999984741211
Philippines,PHL,2010,40.7099990844727
Philippines,PHL,2011,40.5099983215332
Philippines,PHL,2012,41.0400009155273
Philippines,PHL,2014,41.2999992370605
Philippines,PHL,2015,41.3400001525879
Poland,POL,2004,35.3499984741211
Poland,POL,2005,34.060001373291
Poland,POL,2006,36.060001373291
Poland,POL,2007,37.1199989318848
Poland,POL,2008,36.2000007629395
Poland,POL,2009,36.0400009155273
Poland,POL,2010,37.4599990844727
Poland,POL,2011,35.9099998474121
Poland,POL,2012,35.0400009155273
Poland,POL,2013,35.4500007629395
Poland,POL,2014,36.3600006103516
Poland,POL,2015,37.4300003051758
Portugal,PRT,2004,30.0499992370605
Portugal,PRT,2005,29.1200008392334
Portugal,PRT,2006,31.4300003051758
Portugal,PRT,2007,30.8099994659424
Portugal,PRT,2008,31.3199996948242
Portugal,PRT,2009,34.4000015258789
Portugal,PRT,2010,35.7099990844727
Portugal,PRT,2011,26.1499996185303
Portugal,PRT,2012,27.8999996185303
Portugal,PRT,2013,27.6100006103516
Portugal,PRT,2014,31.8400001525879
Portugal,PRT,2015,30.3700008392334
Romania,ROU,2005,31.6900005340576
Romania,ROU,2006,33.689998626709
Romania,ROU,2007,32.5499992370605
Romania,ROU,2008,34.3400001525879
Romania,ROU,2009,36.4000015258789
Romania,ROU,2010,36.2799987792969
Romania,ROU,2011,31.8500003814697
Romania,ROU,2012,30.8299999237061
Romania,ROU,2013,30.5799999237061
Romania,ROU,2014,30.7299995422363
Romania,ROU,2015,31.5300006866455
Serbia,SRB,2013,32.6800003051758
Serbia,SRB,2015,30.8999996185303
Seychelles,SYC,2011,39.8499984741211
Slovakia,SVK,2004,30.0699996948242
Slovakia,SVK,2005,29.2199993133545
Slovakia,SVK,2006,27.3799991607666
Slovakia,SVK,2007,32.0099983215332
Slovakia,SVK,2008,28.8600006103516
Slovakia,SVK,2009,31.3999996185303
Slovakia,SVK,2010,35.5400009155273
Slovakia,SVK,2011,27.6800003051758
Slovakia,SVK,2012,30.3999996185303
Slovakia,SVK,2013,30.2700004577637
Slovakia,SVK,2014,28.2199993133545
Slovakia,SVK,2015,27.8199996948242
Slovenia,SVN,2004,40.2000007629395
Slovenia,SVN,2005,42.0200004577637
Slovenia,SVN,2006,41.9700012207031
Slovenia,SVN,2007,37.5499992370605
Slovenia,SVN,2008,43.2900009155273
Slovenia,SVN,2009,44.689998626709
Slovenia,SVN,2010,43.25
Slovenia,SVN,2011,38.9199981689453
Slovenia,SVN,2012,40.2599983215332
Slovenia,SVN,2013,38.5499992370605
Slovenia,SVN,2014,36.4700012207031
Slovenia,SVN,2015,36.9799995422363
South Africa,ZAF,2015,29.75
Spain,ESP,2004,18.9899997711182
Spain,ESP,2005,21.4799995422363
Spain,ESP,2006,23.1499996185303
Spain,ESP,2007,23.7800006866455
Spain,ESP,2008,23.7700004577637
Spain,ESP,2009,24.7000007629395
Spain,ESP,2010,27.1299991607666
Spain,ESP,2011,28.0900001525879
Spain,ESP,2012,28.7800006866455
Spain,ESP,2013,29.3400001525879
Spain,ESP,2014,29.4200000762939
Spain,ESP,2015,30.3500003814697
Sri Lanka,LKA,2009,19.9599990844727
Sri Lanka,LKA,2010,23.7299995422363
Sri Lanka,LKA,2013,23.4799995422363
Sri Lanka,LKA,2014,23.9699993133545
Sweden,SWE,2004,31.5900001525879
Sweden,SWE,2005,31.8799991607666
Sweden,SWE,2006,31.7399997711182
Sweden,SWE,2007,31.0200004577637
Sweden,SWE,2008,30.8199996948242
Sweden,SWE,2009,31.1299991607666
Sweden,SWE,2010,31.3400001525879
Sweden,SWE,2011,33.5200004577637
Sweden,SWE,2012,34.4900016784668
Sweden,SWE,2013,35.5099983215332
Sweden,SWE,2014,37.4500007629395
Sweden,SWE,2015,39.7900009155273
Switzerland,CHE,2011,30.8999996185303
Switzerland,CHE,2012,31.4200000762939
Switzerland,CHE,2013,31.2900009155273
Switzerland,CHE,2014,31.3400001525879
Switzerland,CHE,2015,33.4599990844727
Tanzania,TZA,2014,17.3400001525879
Thailand,THA,2011,22.1200008392334
Thailand,THA,2012,25.5900001525879
Thailand,THA,2013,28.9899997711182
Thailand,THA,2014,30.5300006866455
Turkey,TUR,2006,17.2600002288818
Turkey,TUR,2007,18
Turkey,TUR,2008,19.3799991607666
Turkey,TUR,2009,20.0799999237061
Turkey,TUR,2010,18.7600002288818
Turkey,TUR,2011,13
Turkey,TUR,2012,14.3400001525879
Turkey,TUR,2013,16.5699996948242
Turkey,TUR,2014,15.539999961853
Turkey,TUR,2015,14.4300003051758
Ukraine,UKR,2009,42.7200012207031
Ukraine,UKR,2010,42.4900016784668
Ukraine,UKR,2013,39.6599998474121
Ukraine,UKR,2014,39.0299987792969
Ukraine,UKR,2015,41.3699989318848
United Kingdom,GBR,2004,32.4599990844727
United Kingdom,GBR,2005,33.6100006103516
United Kingdom,GBR,2006,34.2599983215332
United Kingdom,GBR,2007,34.3499984741211
United Kingdom,GBR,2008,34.75
United Kingdom,GBR,2009,35.3800010681152
United Kingdom,GBR,2010,35.9799995422363
United Kingdom,GBR,2011,32.1199989318848
United Kingdom,GBR,2012,32.3899993896484
United Kingdom,GBR,2013,32.310001373291
United Kingdom,GBR,2014,32.8699989318848
United Kingdom,GBR,2015,32.4300003051758
Uruguay,URY,2011,25.1399993896484
Uruguay,URY,2013,34.1800003051758
Uruguay,URY,2014,31.7999992370605
