Entity,Code,Year,Pregnant women receiving prenatal care (%) (%)
Colombia,COL,2010,97
Colombia,COL,2015,97.2
Comoros,COM,1996,84.5
Comoros,COM,2000,74.3
Comoros,COM,2004,75
Comoros,COM,2012,92.1
Congo,COG,2005,85.8
Congo,COG,2012,92.6
Congo,COG,2015,93.2
Costa Rica,CRI,1990,95
Costa Rica,CRI,1992,95
Costa Rica,CRI,1998,70.6
Costa Rica,CRI,1999,69.6
Costa Rica,CRI,2004,91.7
Costa Rica,CRI,2006,91.7
Costa Rica,CRI,2008,89.9
Costa Rica,CRI,2011,98.1
Cote d'Ivoire,CIV,1994,83.2
Cote d'Ivoire,CIV,1999,84.3
Cote d'Ivoire,CIV,2000,87.6
Cote d'Ivoire,CIV,2005,87.3
Cote d'Ivoire,CIV,2006,84.8
Cote d'Ivoire,CIV,2012,90.6
Cote d'Ivoire,CIV,2016,93.2
Croatia,HRV,2000,100
Croatia,HRV,2001,100
Croatia,HRV,2002,100
Croatia,HRV,2003,100
Croatia,HRV,2004,100
Croatia,HRV,2005,100
Croatia,HRV,2006,100
Croatia,HRV,2007,100
Croatia,HRV,2008,100
Croatia,HRV,2009,100
Croatia,HRV,2010,100
Croatia,HRV,2011,100
Croatia,HRV,2012,100
Cuba,CUB,1998,100
Cuba,CUB,2000,100
Cuba,CUB,2004,100
Cuba,CUB,2005,100
Cuba,CUB,2007,100
Cuba,CUB,2009,100
Cuba,CUB,2010,100
Cuba,CUB,2011,100
Cuba,CUB,2012,100
Cuba,CUB,2014,98.5
Cyprus,CYP,2007,99.2
Czech Republic,CZE,1993,99
Democratic Republic of Congo,COD,2001,68.2
Democratic Republic of Congo,COD,2007,85.3
Democratic Republic of Congo,COD,2010,87.3
Democratic Republic of Congo,COD,2014,88.4
Djibouti,DJI,2003,67
Djibouti,DJI,2006,92.3
Djibouti,DJI,2012,87.7
Dominica,DMA,1990,90
Dominica,DMA,1999,99.9
Dominica,DMA,2000,100
Dominica,DMA,2001,100
Dominica,DMA,2002,100
Dominica,DMA,2003,100
Dominica,DMA,2004,100
Dominica,DMA,2005,100
Dominica,DMA,2007,100
Dominica,DMA,2008,100
Dominica,DMA,2009,100
Dominican Republic,DOM,1991,96.9
Dominican Republic,DOM,1996,98.3
Dominican Republic,DOM,2000,97.8
Dominican Republic,DOM,2002,98.5
Dominican Republic,DOM,2006,97
Dominican Republic,DOM,2007,98.9
Dominican Republic,DOM,2013,99.3
Dominican Republic,DOM,2014,98
Early-demographic dividend,,2000,63.166023879789
Early-demographic dividend,,2013,81.5572462493445
East Asia & Pacific,,1990,70.9678185371029
East Asia & Pacific,,2000,86.4020543835503
East Asia & Pacific,,2013,95.5267506862094
East Asia & Pacific (IDA & IBRD),,1990,70.7231354974645
East Asia & Pacific (IDA & IBRD),,2000,86.2402259417637
East Asia & Pacific (IDA & IBRD),,2013,95.4433429750569
East Asia & Pacific (excluding high income),,1990,70.7231354974645
East Asia & Pacific (excluding high income),,2000,86.4020543835503
East Asia & Pacific (excluding high income),,2013,95.4971683621556
Ecuador,ECU,1984,76.2
Ecuador,ECU,1994,74.7
Ecuador,ECU,1998,68.8
Ecuador,ECU,2004,84.2
Egypt,EGY,1988,52.8
Egypt,EGY,1991,52.1
Egypt,EGY,1992,52.9
Egypt,EGY,1995,39.1
Egypt,EGY,1997,52
Egypt,EGY,1998,47.2
Egypt,EGY,2000,52.9
Egypt,EGY,2003,68.7
Egypt,EGY,2005,69.6
Egypt,EGY,2008,73.6
Egypt,EGY,2014,90.3
El Salvador,SLV,1993,68.7
El Salvador,SLV,1998,76
El Salvador,SLV,2003,86
El Salvador,SLV,2008,94
El Salvador,SLV,2014,96
Equatorial Guinea,GNQ,1994,37
Equatorial Guinea,GNQ,2000,86.1
Equatorial Guinea,GNQ,2011,91.3
Eritrea,ERI,1995,48.9
Eritrea,ERI,2002,70.3
Eritrea,ERI,2010,88.5
Ethiopia,ETH,2000,26.7
Ethiopia,ETH,2005,27.6
Ethiopia,ETH,2011,33.9
Ethiopia,ETH,2014,41.2
Ethiopia,ETH,2016,62.4
Fiji,FJI,2008,100
Fiji,FJI,2009,100
Finland,FIN,1992,100
Finland,FIN,1993,100
Finland,FIN,2004,99.8
Finland,FIN,2008,99.8
Fragile and conflict affected situations,,2000,66.9867071221494
Fragile and conflict affected situations,,2013,79.1094975330404
France,FRA,1992,99
France,FRA,1993,99
France,FRA,2004,99.8
France,FRA,2008,99.8
Gabon,GAB,2000,94.4
Gabon,GAB,2012,94.7
Gambia,GMB,2000,90.7
Gambia,GMB,2006,97.8
Gambia,GMB,2010,98.1
Gambia,GMB,2013,86.2
Georgia,GEO,1997,74
Georgia,GEO,1999,95.3
Georgia,GEO,2005,96.3
Georgia,GEO,2010,97.6
Germany,DEU,2004,100
Germany,DEU,2008,100
Ghana,GHA,1988,82.4
Ghana,GHA,1993,85.7
Ghana,GHA,1998,87.5
Ghana,GHA,2003,91.9
Ghana,GHA,2006,92.1
Ghana,GHA,2007,96.1
Ghana,GHA,2008,90.1
Ghana,GHA,2011,96.4
Ghana,GHA,2014,90.5
Grenada,GRD,1990,100
Grenada,GRD,1999,98
Grenada,GRD,2000,85
Grenada,GRD,2002,99
Grenada,GRD,2003,99
Grenada,GRD,2005,100
Grenada,GRD,2007,100
Grenada,GRD,2009,100
Guatemala,GTM,1987,35.4
Guatemala,GTM,1995,52.5
Guatemala,GTM,1999,59.6
Guatemala,GTM,2002,84.3
Guatemala,GTM,2009,93.2
Guatemala,GTM,2015,91.3
Guinea,GIN,1992,57.6
Guinea,GIN,1999,70.7
Guinea,GIN,2003,84.3
Guinea,GIN,2005,82.2
Guinea,GIN,2007,88.4
Guinea,GIN,2012,85.2
Guinea,GIN,2016,84.3
Guinea-Bissau,GNB,2000,62.1
Guinea-Bissau,GNB,2006,77.9
Guinea-Bissau,GNB,2010,92.6
Guinea-Bissau,GNB,2014,92.4
Guyana,GUY,1998,90
Guyana,GUY,2000,80.9
Guyana,GUY,2001,95.3
Guyana,GUY,2003,90
Guyana,GUY,2005,98
Guyana,GUY,2007,81.4
Guyana,GUY,2009,92.1
Guyana,GUY,2014,90.7
Haiti,HTI,1989,71
Haiti,HTI,1995,67.7
Haiti,HTI,2000,78.8
Haiti,HTI,2006,84.5
Haiti,HTI,2012,90.3
Haiti,HTI,2017,91
Heavily indebted poor countries (HIPC),,2000,62.1607677796096
Heavily indebted poor countries (HIPC),,2013,82.8770513224983
Honduras,HND,1987,86.1
Honduras,HND,1992,87.8
Honduras,HND,1996,84.2
Honduras,HND,2001,82.6
Honduras,HND,2006,91.7
Honduras,HND,2012,96.6
IBRD only,,2000,75.0671853400476
IBRD only,,2013,88.3210095416209
IDA & IBRD total,,2000,68.8289180930846
IDA & IBRD total,,2013,84.4096195517338
IDA blend,,1990,48.0413331392296
IDA blend,,2000,60.8824268324983
IDA blend,,2013,74.530724939212
IDA only,,2000,56.951383708483
IDA only,,2013,80.0694599953445
IDA total,,2000,58.2313668173535
IDA total,,2013,78.1956495255969
India,IND,1993,61.9
India,IND,1999,65.1
India,IND,2000,61.8
India,IND,2006,74.2
India,IND,2008,75.2
Indonesia,IDN,1991,76.3
Indonesia,IDN,1994,82.3
Indonesia,IDN,1997,89.4
Indonesia,IDN,2000,88.3
Indonesia,IDN,2003,91.5
Indonesia,IDN,2005,88.6
Indonesia,IDN,2006,90.38
Indonesia,IDN,2007,93.3
Indonesia,IDN,2008,92.65
Indonesia,IDN,2009,94.51
Indonesia,IDN,2010,92.7
Indonesia,IDN,2012,95.7
Indonesia,IDN,2013,95.4
Indonesia,IDN,2014,95.4
Iran,IRN,1997,76.5
Iran,IRN,2005,98.3
Iran,IRN,2007,98.3
Iran,IRN,2010,96.9
Iran,IRN,2011,96.9
Iraq,IRQ,1996,78
Iraq,IRQ,2000,76.7
Iraq,IRQ,2006,83.8
Iraq,IRQ,2011,77.7
Ireland,IRL,2004,99.5
Ireland,IRL,2008,99.5
Isle of Man,IMN,2010,84.903397092
Italy,ITA,2004,99
Italy,ITA,2008,99
Jamaica,JAM,1989,98
Jamaica,JAM,1997,99
Jamaica,JAM,1998,93.8
Jamaica,JAM,1999,98.4
Jamaica,JAM,2000,66.6
Jamaica,JAM,2001,70.1
Jamaica,JAM,2002,98.1
Jamaica,JAM,2005,90.5
Jamaica,JAM,2008,99
Jamaica,JAM,2011,97.7
Jordan,JOR,1990,80.2
Jordan,JOR,1997,95.6
Jordan,JOR,2002,98.6
Jordan,JOR,2007,98.8
Jordan,JOR,2012,99.1
Kazakhstan,KAZ,1995,92.5
Kazakhstan,KAZ,1999,94.4
Kazakhstan,KAZ,2006,99.9
Kazakhstan,KAZ,2011,99.2
Kazakhstan,KAZ,2015,99.3
Kenya,KEN,1989,77.2
Kenya,KEN,1993,94.9
Kenya,KEN,1998,91.9
Kenya,KEN,2000,76.2
Kenya,KEN,2003,88.1
Kenya,KEN,2009,91.5
Kenya,KEN,2010,85.8
Kenya,KEN,2014,95.5
Kenya,KEN,2015,93.7
Kiribati,KIR,1994,88
Kiribati,KIR,2008,100
Kiribati,KIR,2009,88.4
Kuwait,KWT,1996,95
Kuwait,KWT,2007,100
Kuwait,KWT,2009,100
Kyrgyzstan,KGZ,1997,97.3
Kyrgyzstan,KGZ,2006,96.9
Kyrgyzstan,KGZ,2012,97
Kyrgyzstan,KGZ,2014,98.4
Laos,LAO,2000,26.5
Laos,LAO,2001,26.5
Laos,LAO,2005,28.7
Laos,LAO,2006,35.1
Laos,LAO,2010,71
Laos,LAO,2012,54.2
Late-demographic dividend,,2000,88.2547157629487
Late-demographic dividend,,2013,96.0542240957909
Latin America & Caribbean,,2013,96.9541209734875
Latin America & Caribbean (IDA & IBRD),,2013,96.9360211827643
Latin America & Caribbean (excluding high income),,2013,96.8948969139462
Latvia,LVA,2004,91.8
Latvia,LVA,2008,91.8
Least developed countries: UN classification,,2000,54.7344363225966
Least developed countries: UN classification,,2013,79.0830070188797
Lebanon,LBN,1995,87
Lebanon,LBN,2002,95.6
Lebanon,LBN,2004,95.6
Lesotho,LSO,1993,90.6
Lesotho,LSO,1995,87.6
Lesotho,LSO,2000,84.7
Lesotho,LSO,2004,90.4
Lesotho,LSO,2009,91.8
Lesotho,LSO,2014,95.2
Liberia,LBR,1986,82.9
Liberia,LBR,2000,84.4
Liberia,LBR,2007,79.3
Liberia,LBR,2013,95.9
Libya,LBY,1995,80.8
Libya,LBY,2007,93
Libya,LBY,2008,93
Lithuania,LTU,2004,100
Lithuania,LTU,2008,100
Low & middle income,,2000,68.7965235566018
Low & middle income,,2013,84.3842225121629
Low income,,2000,59.0514403801657
Low income,,2013,81.106403520654
Lower middle income,,2000,63.9401981300169
Lower middle income,,2013,79.4437940306835
Macedonia,MKD,1997,100
Macedonia,MKD,2000,81
Macedonia,MKD,2006,98.1
Macedonia,MKD,2011,98.6
Madagascar,MDG,1992,78.2
Madagascar,MDG,1997,76.8
Madagascar,MDG,2000,71.2
Madagascar,MDG,2004,79.9
Madagascar,MDG,2009,86.3
Madagascar,MDG,2013,82.1
Madagascar,MDG,2016,87
Malawi,MWI,1992,89.7
Malawi,MWI,2000,91.4
Malawi,MWI,2002,94.3
Malawi,MWI,2004,92.1
Malawi,MWI,2006,91.9
Malawi,MWI,2010,94.7
Malawi,MWI,2014,96.1
Malawi,MWI,2016,94.8
Malaysia,MYS,2003,73.6
Malaysia,MYS,2005,78.8
Malaysia,MYS,2009,90.7
Malaysia,MYS,2011,97.4
Malaysia,MYS,2012,97.4
Malaysia,MYS,2013,96.52
Malaysia,MYS,2014,98.03
Malaysia,MYS,2015,97.15
Maldives,MDV,2001,81
Maldives,MDV,2004,95
Maldives,MDV,2009,99.1
Mali,MLI,1987,31.4
Mali,MLI,1996,46.9
Mali,MLI,2001,56.8
Mali,MLI,2006,70.4
Mali,MLI,2010,33.3
Mali,MLI,2013,74.2
Mali,MLI,2015,47.9
Malta,MLT,2004,100
Malta,MLT,2008,100
Marshall Islands,MHL,2007,81.2
Mauritania,MRT,1991,48
Mauritania,MRT,2001,63.9
Mauritania,MRT,2007,75.4
Mauritania,MRT,2011,84.2
Mauritania,MRT,2015,86.9
Mexico,MEX,1987,77.5
Mexico,MEX,1995,86.1
Mexico,MEX,2006,97.7
Mexico,MEX,2009,95.8
Mexico,MEX,2012,97.58
Mexico,MEX,2014,97.2
Mexico,MEX,2015,98.5
Micronesia (country),FSM,2008,80
Micronesia (country),FSM,2009,80
Middle East & North Africa,,2013,87.0944983797729
Middle East & North Africa (IDA & IBRD),,2013,86.0505917005884
Middle East & North Africa (excluding high income),,2013,86.2737142351826
Middle income,,2000,70.8612694392282
Middle income,,2013,85.1564481607852
Moldova,MDA,1997,98.8
Moldova,MDA,2005,98
Moldova,MDA,2012,98.8
Mongolia,MNG,1998,89.8
Mongolia,MNG,2000,96.7
Mongolia,MNG,2003,98.2
Mongolia,MNG,2005,98.9
Mongolia,MNG,2008,99.5
Mongolia,MNG,2010,99
Mongolia,MNG,2013,98.7
Mongolia,MNG,2014,98.7
Montenegro,MNE,2006,97.4
Montenegro,MNE,2013,91.7
Morocco,MAR,1987,24.7
Morocco,MAR,1992,32.3
Morocco,MAR,1995,44.7
Morocco,MAR,1997,42
Morocco,MAR,2004,67.8
Morocco,MAR,2011,77.1
Mozambique,MOZ,1997,71.4
Mozambique,MOZ,2000,75.8
Mozambique,MOZ,2003,84.5
Mozambique,MOZ,2008,92.3
Mozambique,MOZ,2011,90.6
Myanmar,MMR,1997,75.8
Myanmar,MMR,2001,75.6
Myanmar,MMR,2007,79.8
Myanmar,MMR,2010,83.1
Myanmar,MMR,2016,80.7
Namibia,NAM,1992,87.2
Namibia,NAM,2000,90.6
Namibia,NAM,2007,94.6
Namibia,NAM,2013,96.6
Nauru,NRU,2007,94.5
Nepal,NPL,1991,15.4
Nepal,NPL,1996,23.6
Nepal,NPL,2000,27
Nepal,NPL,2001,27.9
Nepal,NPL,2006,43.7
Nepal,NPL,2011,58.3
Nepal,NPL,2014,68.3
Nepal,NPL,2016,83.6
New Zealand,NZL,1994,95
Nicaragua,NIC,1993,71.5
Nicaragua,NIC,1998,81.5
Nicaragua,NIC,2001,85.5
Nicaragua,NIC,2007,90.2
Nicaragua,NIC,2012,94.7
Niger,NER,1992,30.1
Niger,NER,1998,39.3
Niger,NER,2000,41
Niger,NER,2006,46.1
Niger,NER,2012,82.8
Nigeria,NGA,1986,78.8
Nigeria,NGA,1990,56.5
Nigeria,NGA,1999,63.6
Nigeria,NGA,2003,58
Nigeria,NGA,2008,57.7
Nigeria,NGA,2011,66.2
Nigeria,NGA,2013,60.6
Nigeria,NGA,2015,62.6
Nigeria,NGA,2017,65.8
North Korea,PRK,2000,97.1
North Korea,PRK,2009,100
Oman,OMN,1987,88
Oman,OMN,1995,98.2
Oman,OMN,1998,96
Oman,OMN,1999,96
Oman,OMN,2000,99.6
Oman,OMN,2008,97.8
Oman,OMN,2009,99
Oman,OMN,2012,99
Oman,OMN,2014,98.6
Oman,OMN,2015,99
Other small states,,2013,92.4378530207764
Pacific island small states,,2013,91.2257728786562
Pakistan,PAK,1991,25.6
Pakistan,PAK,1997,26.4
Pakistan,PAK,1999,24.8
Pakistan,PAK,2001,43.3
Pakistan,PAK,2005,36
Pakistan,PAK,2007,60.9
Pakistan,PAK,2008,56
Pakistan,PAK,2011,64
Pakistan,PAK,2012,68
Pakistan,PAK,2013,73.1
Palau,PLW,2007,100
Palau,PLW,2008,100
Palau,PLW,2009,100
Palau,PLW,2010,90.3
Palau,PLW,2011,90.3
Palestine,PSE,2000,95.6
Palestine,PSE,2006,98.8
Palestine,PSE,2010,98
Palestine,PSE,2014,99.4
Panama,PAN,1998,72.2
Panama,PAN,2009,95.8
Panama,PAN,2013,93.4
Papua New Guinea,PNG,1996,76.7
Papua New Guinea,PNG,2006,78.8
Paraguay,PRY,1990,83.9
Paraguay,PRY,1996,88.7
Paraguay,PRY,1998,89
Paraguay,PRY,2004,94.2
Paraguay,PRY,2008,96.3
Paraguay,PRY,2016,98.7
Peru,PER,1986,55.7
Peru,PER,1992,63.9
Peru,PER,1996,67.3
Peru,PER,2000,83.8
Peru,PER,2004,91.1
Peru,PER,2006,91
Peru,PER,2009,94.3
Peru,PER,2010,94.7
Peru,PER,2011,95.4
Peru,PER,2012,96
Peru,PER,2013,95.9
Peru,PER,2014,96.9
Peru,PER,2015,97
Philippines,PHL,1993,83.1
Philippines,PHL,1998,85.7
Philippines,PHL,1999,85.9
Philippines,PHL,2000,85.9
Philippines,PHL,2003,87.6
Philippines,PHL,2008,91.1
Philippines,PHL,2011,94.5
Philippines,PHL,2013,95.4
Portugal,PRT,2004,100
Portugal,PRT,2008,100
Pre-demographic dividend,,2000,66.3431779652673
Pre-demographic dividend,,2013,80.5065407493505
Qatar,QAT,1987,94
Qatar,QAT,2009,100
Qatar,QAT,2012,90.8
Romania,ROU,2004,93.5
Romania,ROU,2015,76.3
Romania,ROU,2016,76.3
Rwanda,RWA,1992,94.4
Rwanda,RWA,2000,91.5
Rwanda,RWA,2005,94.4
Rwanda,RWA,2008,95.8
Rwanda,RWA,2010,98
Rwanda,RWA,2015,99
Saint Kitts and Nevis,KNA,1990,100
Saint Kitts and Nevis,KNA,2002,78.4
Saint Kitts and Nevis,KNA,2003,71.3
Saint Kitts and Nevis,KNA,2004,100
Saint Kitts and Nevis,KNA,2005,100
Saint Kitts and Nevis,KNA,2007,100
Saint Kitts and Nevis,KNA,2009,100
Saint Lucia,LCA,1990,100
Saint Lucia,LCA,2000,47.8
Saint Lucia,LCA,2004,99.2
Saint Lucia,LCA,2005,99.2
Saint Lucia,LCA,2006,99.2
Saint Lucia,LCA,2007,99.2
Saint Lucia,LCA,2009,99.2
Saint Lucia,LCA,2012,96.9
Saint Vincent and the Grenadines,VCT,1999,91.8
Saint Vincent and the Grenadines,VCT,2000,99
Saint Vincent and the Grenadines,VCT,2001,99
Saint Vincent and the Grenadines,VCT,2002,99
Saint Vincent and the Grenadines,VCT,2004,99
Saint Vincent and the Grenadines,VCT,2005,95
Saint Vincent and the Grenadines,VCT,2008,99.5
Saint Vincent and the Grenadines,VCT,2009,99.5
Samoa,WSM,2009,93
Samoa,WSM,2014,93.3
Sao Tome and Principe,STP,2000,90.6
Sao Tome and Principe,STP,2006,97.3
Sao Tome and Principe,STP,2009,97.9
Sao Tome and Principe,STP,2014,97.5
Saudi Arabia,SAU,1996,90
Saudi Arabia,SAU,2008,97
Saudi Arabia,SAU,2009,97
Senegal,SEN,1986,62.5
Senegal,SEN,1993,73.6
Senegal,SEN,1997,82.1
Senegal,SEN,2000,79
Senegal,SEN,2005,87.4
Senegal,SEN,2011,93.3
Senegal,SEN,2013,94.5
Senegal,SEN,2014,94.5
Senegal,SEN,2015,95
Serbia,SRB,2006,98.2
Serbia,SRB,2010,99
Serbia,SRB,2014,98.3
Sierra Leone,SLE,2000,67.9
Sierra Leone,SLE,2005,81.1
Sierra Leone,SLE,2008,86.9
Sierra Leone,SLE,2010,93
Sierra Leone,SLE,2013,97.1
Slovakia,SVK,2004,96.9
Slovakia,SVK,2008,96.9
Slovenia,SVN,1992,98
Slovenia,SVN,2004,99.5
Slovenia,SVN,2008,99.5
Small states,,2000,80.7641345917571
Small states,,2013,92.8160035867149
Solomon Islands,SLB,2007,73.9
Solomon Islands,SLB,2015,88.5
Somalia,SOM,1999,32.3
Somalia,SOM,2006,26.1
South Africa,ZAF,1995,89
South Africa,ZAF,1998,94.2
South Africa,ZAF,2003,91.9
South Africa,ZAF,2008,97.1
South Africa,ZAF,2016,93.7
South Asia,,2000,55.8762876110459
South Asia,,2013,73.714922314247
South Asia (IDA & IBRD),,2000,55.8762876110459
South Asia (IDA & IBRD),,2013,73.714922314247
South Sudan,SSD,2006,26.2
South Sudan,SSD,2010,40.3
South Sudan,SSD,2013,61.9
Sri Lanka,LKA,1993,80.2
Sri Lanka,LKA,2000,94.5
Sri Lanka,LKA,2007,99.4
Sri Lanka,LKA,2014,95.5
Sub-Saharan Africa,,2000,65.4830384823508
Sub-Saharan Africa,,2013,80.8459599921153
Sub-Saharan Africa (IDA & IBRD),,2000,65.4830384823508
Sub-Saharan Africa (IDA & IBRD),,2013,80.8459599921152
Sub-Saharan Africa (excluding high income),,2000,65.4830384823508
Sub-Saharan Africa (excluding high income),,2013,80.8459599921152
Sudan,SDN,2000,60
Sudan,SDN,2006,74.1
Sudan,SDN,2010,74.3
Sudan,SDN,2014,79.1
Suriname,SUR,1996,91
Suriname,SUR,1998,91
Suriname,SUR,2000,90.6
Suriname,SUR,2002,90
Suriname,SUR,2004,90
Suriname,SUR,2006,89.9
Suriname,SUR,2010,90.9
Swaziland,SWZ,2000,86.6
Swaziland,SWZ,2002,89.8
Swaziland,SWZ,2007,84.8
Swaziland,SWZ,2010,96.8
Swaziland,SWZ,2014,98.5
Sweden,SWE,2004,100
Sweden,SWE,2008,100
Syrian Arab Republic,,1993,51
Syrian Arab Republic,,2000,71.2
Syrian Arab Republic,,2006,84
Syrian Arab Republic,,2009,87.7
Syrian Arab Republic,,2010,87.7
Tajikistan,TJK,2000,71.3
Tajikistan,TJK,2001,74.6
Tajikistan,TJK,2002,78.2
Tajikistan,TJK,2003,80.5
