Entity,Code,Year, (% of reported total deaths to estimated total deaths)
Colombia,COL,2008,71.2766302804042
Colombia,COL,2009,77.4409831540459
Costa Rica,CRI,2006,94.8356807511737
Costa Rica,CRI,2009,97.3818143659164
Costa Rica,CRI,2010,97.5805626598465
Croatia,HRV,2007,100
Croatia,HRV,2008,99.8812556259935
Croatia,HRV,2009,99.8913685654933
Croatia,HRV,2010,98.7208883667166
Cuba,CUB,2007,100
Cuba,CUB,2008,100
Cuba,CUB,2009,100
Cyprus,CYP,2007,74.823039555864
Cyprus,CYP,2008,71.1117196056955
Cyprus,CYP,2009,70.0459583671262
Cyprus,CYP,2010,71.9701014415376
Czech Republic,CZE,2007,99.4251289896523
Czech Republic,CZE,2008,99.667610021083
Czech Republic,CZE,2010,100
Denmark,DNK,2007,98.4769056389912
Denmark,DNK,2008,96.9438130416252
Denmark,DNK,2010,96.7092390337614
Dominican Republic,DOM,2005,61.9812681430632
Dominican Republic,DOM,2008,55.1586955383783
Dominican Republic,DOM,2009,54.355496652266
East Asia & Pacific,,2009,96.0984486613127
East Asia & Pacific (IDA & IBRD),,2009,95.8290466880889
East Asia & Pacific (excluding high income),,2009,95.7378811476905
Ecuador,ECU,2006,86.2420552818421
Ecuador,ECU,2008,85.9866771721223
Ecuador,ECU,2009,83.9493329209487
Egypt,EGY,2006,100
Egypt,EGY,2008,100
Egypt,EGY,2010,100
El Salvador,SLV,2006,79.9578005440171
El Salvador,SLV,2007,79.1521486643438
El Salvador,SLV,2008,79.2087647604483
Estonia,EST,2007,100
Estonia,EST,2009,97.0584711238917
Estonia,EST,2010,94.5225980245435
Ethiopia,ETH,2007,100
Euro area,,2009,98.1694601833068
Europe & Central Asia,,2009,97.4491236833311
Europe & Central Asia (IDA & IBRD),,2009,97.0426375008872
Europe & Central Asia (excluding high income),,2009,94.3506359730068
European Union,,2009,98.1424028605085
Fiji,FJI,2004,100
Finland,FIN,2007,98.2227559291504
Finland,FIN,2008,97.5926846237949
Finland,FIN,2010,98.8679392590858
France,FRA,2007,96.6243279834166
France,FRA,2008,99.185488027958
France,FRA,2009,99.2559254818777
France,FRA,2010,97.5978167277185
French Polynesia,PYF,2008,86.3003663004
Georgia,GEO,2007,85.2917417510719
Georgia,GEO,2008,88.3945086111225
Georgia,GEO,2010,97.1759212262714
Germany,DEU,2006,97.6250423293311
Germany,DEU,2008,99.2481512300843
Germany,DEU,2010,99.5148937545746
Ghana,GHA,2002,15.8167406989
Greece,GRC,2007,98.6206834661498
Greece,GRC,2008,95.4451437259131
Greece,GRC,2010,91.1106908940881
Grenada,GRD,2001,100
Guam,GUM,2007,83.8847385272
Guam,GUM,2008,80.7291666667
Guatemala,GTM,2006,93.4841459165349
Guatemala,GTM,2008,91.7263086406854
Guyana,GUY,2007,80.4637865311
Haiti,HTI,2003,9.10682415
High income,,2009,98.2869664286539
Honduras,HND,2006,99.9048045693807
Hong Kong,HKG,2007,92.5186219739292
Hong Kong,HKG,2009,94.0261697609098
Hungary,HUN,2007,99.8422807702707
Hungary,HUN,2009,98.1211327401653
Hungary,HUN,2010,98.4216323882241
IBRD only,,2009,94.7104746136711
Iceland,ISL,2008,100
Iran,IRN,2006,100
Iran,IRN,2007,100
Iran,IRN,2008,100
Iraq,IRQ,2005,68.9276401176429
Iraq,IRQ,2006,100
Ireland,IRL,2006,96.1140258831759
Ireland,IRL,2008,99.59725853176
Ireland,IRL,2010,97.9157894736842
Israel,ISR,2007,100
Israel,ISR,2008,98.7606214490422
Israel,ISR,2009,96.1058610511695
Israel,ISR,2010,96.4423100482689
Italy,ITA,2007,98.9236285543132
Italy,ITA,2008,99.4666812344861
Italy,ITA,2009,99.7533407741357
Italy,ITA,2010,97.7293067482009
Jamaica,JAM,2006,81.4343464590508
Jamaica,JAM,2007,85.2698444455559
Jamaica,JAM,2009,88.2592518101368
Japan,JPN,2006,100
Japan,JPN,2008,100
Japan,JPN,2009,100
Jordan,JOR,2006,89.9378279465585
Jordan,JOR,2008,82.0735163487162
Kazakhstan,KAZ,2007,96.8349126144698
Kazakhstan,KAZ,2008,93.6553593660879
Kazakhstan,KAZ,2009,87.986442766908
Kenya,KEN,2006,40.2728834717558
Kenya,KEN,2009,42.2184119055828
Kuwait,KWT,2006,71.030188168404
Kuwait,KWT,2008,72.5041332824622
Kyrgyzstan,KGZ,2007,97.6478035194328
Kyrgyzstan,KGZ,2008,95.2633573323229
Kyrgyzstan,KGZ,2009,90.8741108270258
Latin America & Caribbean,,2009,87.1463145635199
Latin America & Caribbean (IDA & IBRD),,2009,86.6938642776212
Latin America & Caribbean (excluding high income),,2009,86.5115205931464
Latvia,LVA,2007,100
Latvia,LVA,2008,97.4908816501069
Latvia,LVA,2009,94.5778368289519
Latvia,LVA,2010,95.6505126408967
Lebanon,LBN,2006,67.0246164823403
Lebanon,LBN,2008,73.4890541531371
Lebanon,LBN,2010,87.0752945193785
Libya,LBY,2002,85.9921833363
Lithuania,LTU,2007,100
Lithuania,LTU,2009,93.209739654943
Lithuania,LTU,2010,93.4256055363322
Luxembourg,LUX,2008,91.8028600613
Macao,MAC,2007,67.7334502411
Macao,MAC,2009,69.8279479648
Macedonia,MKD,2007,100
Macedonia,MKD,2009,99.5666649051419
Macedonia,MKD,2010,99.9111389890753
Malawi,MWI,2006,100
Malawi,MWI,2008,71.3906637521544
Malaysia,MYS,2007,92.9806389929089
Malaysia,MYS,2008,96.4554763711463
Malaysia,MYS,2009,99.1374803972817
Maldives,MDV,2007,80.2725968436
Maldives,MDV,2008,77.5232641374
Malta,MLT,2008,100
Malta,MLT,2009,98.6523736600306
Mauritius,MUS,2007,99.8120742306789
Mauritius,MUS,2009,100
Mauritius,MUS,2010,100
Mexico,MEX,2006,97.213824852099
Mexico,MEX,2008,100
Mexico,MEX,2009,100
Micronesia (country),FSM,2003,62.4269005848
Middle East & North Africa,,2009,88.6792339681773
Middle East & North Africa (IDA & IBRD),,2009,88.2088449430509
Middle East & North Africa (excluding high income),,2009,88.0434763569164
Moldova,MDA,2007,87.1792794799619
Moldova,MDA,2008,85.6011754142519
Moldova,MDA,2009,86.936518743166
Moldova,MDA,2010,91.2343433076135
Mongolia,MNG,2007,94.6832052177964
Mongolia,MNG,2008,89.0358731442436
Mongolia,MNG,2009,96.750386177699
Mongolia,MNG,2010,97.8034420289855
Montenegro,MNE,2008,89.918084436
Montenegro,MNE,2009,91.4794007490637
Morocco,MAR,2001,54.3772144844
Myanmar,MMR,2005,58.6303336781954
Myanmar,MMR,2007,64.0600447110745
Myanmar,MMR,2008,100
Namibia,NAM,2007,100
Netherlands,NLD,2007,97.8426685300283
Netherlands,NLD,2008,99.2814846378771
Netherlands,NLD,2010,98.5670404821931
New Caledonia,NCL,2007,91.0943396226
New Caledonia,NCL,2009,88.0256593015
New Zealand,NZL,2006,96.7493320545317
New Zealand,NZL,2008,97.8773347640924
New Zealand,NZL,2009,95.8850597543616
Nicaragua,NIC,2005,64.257797532378
Nicaragua,NIC,2008,68.4369913313397
Niger,NER,2007,3.2399075626815
North America,,2009,97.5760468888873
North Korea,PRK,2008,93.2367461659973
Norway,NOR,2007,99.4099945501505
Norway,NOR,2009,99.1895768587138
Norway,NOR,2010,99.4392926461074
OECD members,,2009,98.3530667175456
Oman,OMN,2007,69.4411543017121
Oman,OMN,2008,74.8205864260816
Oman,OMN,2009,69.6838798350677
Pakistan,PAK,2005,82.0506484987746
Pakistan,PAK,2007,80.4835805389976
Palestine,PSE,2007,72.6077696996402
Panama,PAN,2006,87.7413835248106
Panama,PAN,2008,89.1740412979351
Panama,PAN,2009,89.8226498203315
Papua New Guinea,PNG,2003,13.9509127227
Paraguay,PRY,2005,53.098427846088
Paraguay,PRY,2006,58.1562848446494
Paraguay,PRY,2008,71.3780402245089
Peru,PER,2008,59.1396108102506
Philippines,PHL,2005,83.7541478604117
Poland,POL,2007,100
Poland,POL,2009,99.894640141587
Poland,POL,2010,96.9857088312094
Portugal,PRT,2007,96.7356665576375
Portugal,PRT,2008,97.4588547556519
Portugal,PRT,2009,97.546258674961
Portugal,PRT,2010,98.7095932048521
Puerto Rico,PRI,2005,100
Puerto Rico,PRI,2006,99.7035642045058
Puerto Rico,PRI,2008,100
Qatar,QAT,2006,97.4387527839644
Qatar,QAT,2008,91.3452492944497
Qatar,QAT,2010,77.6384957541448
Romania,ROU,2007,97.9075189430736
Romania,ROU,2008,98.4800280035782
Romania,ROU,2009,100
Romania,ROU,2010,100
Russia,RUS,2007,99.4147729336185
Russia,RUS,2009,99.7278977600845
Russia,RUS,2010,100
Rwanda,RWA,2009,100
Saint Lucia,LCA,2005,98.487544484
Saint Vincent and the Grenadines,VCT,2005,97.2488038278
Samoa,WSM,2004,54.8645937813
Saudi Arabia,SAU,2006,97.7601668404588
Saudi Arabia,SAU,2008,97.5216202306831
Senegal,SEN,2010,100
Serbia,SRB,2007,90.1513557122312
Serbia,SRB,2008,89.4313402815871
Serbia,SRB,2009,89.940500899405
Serbia,SRB,2010,88.7058237073707
Singapore,SGP,2006,79.2161979317677
Singapore,SGP,2007,80.1571341720058
Singapore,SGP,2008,77.7201137235435
Singapore,SGP,2009,74.2585435754918
Slovakia,SVK,2007,100
Slovakia,SVK,2008,100
Slovakia,SVK,2009,99.2124950780942
Slovakia,SVK,2010,99.8188338127078
Slovenia,SVN,2007,99.4647827017769
Slovenia,SVN,2008,97.3933397169912
Slovenia,SVN,2009,98.8194371244861
Slovenia,SVN,2010,96.6628488129946
South Africa,ZAF,2005,83.0886310774441
South Africa,ZAF,2009,82.2684048586468
South Korea,KOR,2006,100
South Korea,KOR,2008,99.592908679624
South Korea,KOR,2009,97.5415340132561
Spain,ESP,2006,94.7252265009274
Spain,ESP,2008,98.2738855097494
Spain,ESP,2010,93.7721746827243
Sri Lanka,LKA,2005,100
Sri Lanka,LKA,2008,89.5829073034772
Sri Lanka,LKA,2010,93.7005005500951
Suriname,SUR,2007,87.4546397097
Suriname,SUR,2009,87.7197655833777
Swaziland,SWZ,2007,100
Sweden,SWE,2007,98.7841650692455
Sweden,SWE,2008,98.7740862352026
Sweden,SWE,2010,98.2966704687415
Switzerland,CHE,2007,99.4983468247634
Switzerland,CHE,2008,99.1820272765558
Switzerland,CHE,2009,100
Switzerland,CHE,2010,99.7510214504597
Syrian Arab Republic,,2006,100
Syrian Arab Republic,,2007,100
Syrian Arab Republic,,2010,100
Tajikistan,TJK,2006,74.2046192375475
Tajikistan,TJK,2007,70.7550910914647
Tajikistan,TJK,2008,71.9538454336938
Thailand,THA,2005,86.5590409135491
Thailand,THA,2008,81.047942117792
Thailand,THA,2009,78.7652415249323
Tonga,TON,2006,100
Trinidad and Tobago,TTO,2005,94.0890919474586
Tunisia,TUN,2007,92.4043614858621
Tunisia,TUN,2008,99.1309519875756
Turkey,TUR,2006,100
Turkey,TUR,2008,100
Turkey,TUR,2010,100
Ukraine,UKR,2007,99.3716303612995
Ukraine,UKR,2008,98.7418741402981
Ukraine,UKR,2010,92.9680925852941
United Arab Emirates,ARE,2006,91.2161223071577
United Kingdom,GBR,2006,97.6715525202231
United Kingdom,GBR,2008,99.6453864136414
United Kingdom,GBR,2010,96.2637068826633
United States,USA,2006,96.6034066295687
United States,USA,2007,96.3050795472063
United States,USA,2008,97.5426760892811
United States Virgin Islands,VIR,2007,100
Upper middle income,,2009,93.9351629258696
Uruguay,URY,2006,99.0906480329281
Uruguay,URY,2008,100
Uruguay,URY,2010,100
Uzbekistan,UZB,2001,82.1405552801
Venezuela,VEN,2006,84.1225504853448
Venezuela,VEN,2007,84.8518237625746
Venezuela,VEN,2008,87.0781627267112
Vietnam,VNM,2007,86.2404799953118
Yemen,YEM,2006,13.1653090560613
Yemen,YEM,2007,15.6575812690524
Zambia,ZMB,2006,73.2862530325959
