Entity,Code,Year,"Forest, timber ($)","Forest, non-timber ($)",Protected areas ($),Pastureland ($),Oil ($),Natural gas ($),Coal ($),Metals and minerals ($),Human capital ($),Net foreign assets ($),Produced capital (including urban land) ($),Cropland ($)
Latin America & Caribbean,,2014,733.45,3925.86,3675.96,3872.2,4171.41,178.46,141.13,4375.8,88699.98,-2372.41,32568.35,4278.32
Latin America & Caribbean (developing countries),,1995,745.11,5823.33,1617.32,4135.27,1376.56,46.67,13.82,551.7,72936.77,-1997.73,24221.28,3378.48
Latin America & Caribbean (developing countries),,2000,579.93,5243.19,1817.07,3526.04,1172.26,38.53,2.88,456.84,75472.27,-2798.63,24300.96,3165.9
Latin America & Caribbean (developing countries),,2005,637.31,4765.01,2702.27,3911.28,1939.09,73.44,49.9,1299.66,82396.61,-2680.78,26681.24,3672.78
Latin America & Caribbean (developing countries),,2010,619.08,4392.12,3595.45,4169.21,2706.48,119.55,175.85,3468.51,87687.93,-3284.37,29154.94,3860.26
Latin America & Caribbean (developing countries),,2014,752.13,4156.96,4187.04,4164.41,2925.67,125.03,162.94,3507.43,90191.28,-3102.52,29233.14,4359.31
Low income,,1995,730.23,194.8,1268.11,1767.04,22.7,0,15.76,111.76,3920.53,-473.05,1938.72,2114.68
Low income,,2000,696.52,164.53,964.53,1349.48,20.64,0,7.74,24.81,4015.66,-354,1730.46,1824.13
Low income,,2005,561.29,139.46,945.92,1261.68,156.12,2.92,11.6,59.07,4045.93,-328.91,1611.5,1843.21
Low income,,2010,585.7,117.93,1189.82,1471.3,210.98,11.87,15.93,191.85,4446.9,-210.66,1536.48,2333.86
Low income,,2014,564.82,103.39,1194.67,1517.88,213.57,20.37,15.6,416.03,5563.69,-322.37,1967,2472.21
Lower middle income,,1995,229.99,159.23,409.03,1452.7,730.44,35.16,75.48,67.12,7991.98,-561.4,4110.89,3022.28
Lower middle income,,2000,186.29,138.98,384.24,1292.81,665.6,31.13,53.37,66.13,7917.33,-517.24,4039.45,2492.43
Lower middle income,,2005,131.58,125.94,333.12,1215.55,914.23,89.18,147.24,144.98,9300.59,-375.82,5010.86,2396.41
Lower middle income,,2010,137.61,113.72,403,1377.27,1145.17,147.91,367.45,455.89,11420.69,-477.07,5937.41,2654.28
Lower middle income,,2014,137.64,105.35,500.38,1616.33,952.65,145.31,372.93,479.91,13116.55,-649.63,6531.24,2646.24
Middle East & North Africa,,1995,24.62,35.38,231.1,2581.31,21303.6,365.08,0.49,18.42,35620.07,4852.76,24022.17,2231.56
Middle East & North Africa,,2000,24.15,32.54,343.88,2333.51,24093.69,451.19,0.11,33.61,39177.46,6797.48,20235.45,2022.77
Middle East & North Africa,,2005,18.44,30.4,504.22,2215.46,39100.82,961.75,0.17,41.28,44513.12,5703.62,19319.41,2095.11
Middle East & North Africa,,2010,13.56,27.61,683.5,2699.37,56517.59,1991.42,0,452.1,50439.92,7531.51,22444.67,2292.06
Middle East & North Africa,,2014,19.15,25.05,879.58,2512.84,62278.07,3008.18,0,517.28,54870.98,9900.49,23984.08,2164.72
Middle East & North Africa (developing countries),,1995,28.37,32.51,107.6,2771.35,1509.42,52.24,0.57,21.31,12622.3,-861.71,6412.34,2276.53
Middle East & North Africa (developing countries),,2000,27.93,30.01,188.39,2530.29,2708.53,54.31,0.13,39.26,14142.74,-690.75,6112.86,2119.04
Middle East & North Africa (developing countries),,2005,21.57,28.73,364.5,2460.69,7962.61,189.58,0.21,44.66,15670.33,-2112.65,7885.84,2274.19
Middle East & North Africa (developing countries),,2010,15.88,26.93,634.41,3119.13,13029.26,518.64,0,543.54,18075.14,-1046.01,9092.51,2538.26
Middle East & North Africa (developing countries),,2014,22.62,24.57,889.14,2877.67,13470.08,483.09,0,605.23,19384.03,-1425.36,9777.5,2386.37
North America,,1995,1272.85,7340.6,1357.95,2234.45,1716.36,1005.81,1281.17,304.81,622124.35,-3413.79,144283.24,2862.08
North America,,2000,1118.61,6945.25,1383.74,2059.99,1329.52,1549.37,1703.96,223.33,724656.13,-7082.63,165051.79,2950.3
North America,,2005,837.93,6652.77,1205.97,1814.22,2739.49,2976.52,2725.72,258.96,751681.57,-7742.59,196548.31,2629.71
North America,,2010,720.43,6424.58,1583.86,2193.26,4348.93,2416.06,4908.96,1446.7,720484.94,-9834.78,206688.59,3622.24
North America,,2014,655.76,6242.69,2031.62,2611.28,4296.67,157.48,4558.74,1570.12,762896.49,-20360.34,217570.78,4389.25
South Asia,,1995,22.09,42.29,138.42,1055.25,59.47,6.9,80.08,27.16,4453.81,-184.91,2105.94,1444.15
South Asia,,2000,19.39,38.6,148.38,1099,71.3,11.42,69.4,27.16,5540.67,-173.51,2303.73,1367.67
South Asia,,2005,16.09,36.37,146.16,1101.6,112.48,35.72,148.1,67.68,6884.54,-179.98,2876.16,1266.48
South Asia,,2010,26.34,34.63,171.54,1260.84,154.36,53.86,351.02,279.97,8033.1,-321.37,3923.96,1741.68
South Asia,,2014,32.17,33.04,136.94,1601.89,179.92,55.32,376.73,276.2,9393.06,-423.31,4796.74,1941.03
South Asia (developing countries),,1995,22.09,42.29,138.42,1055.25,59.46,6.89,80.08,27.16,4453.81,-184.91,2105.94,1444.15
South Asia (developing countries),,2000,19.39,38.6,148.38,1099,71.29,11.41,69.4,27.16,5540.67,-173.51,2303.73,1367.67
South Asia (developing countries),,2005,16.09,36.37,146.16,1101.6,112.45,35.71,148.1,67.68,6884.54,-179.98,2876.16,1266.48
South Asia (developing countries),,2010,26.34,34.63,171.54,1260.84,154.32,53.85,351.02,279.97,8033.1,-321.37,3923.96,1741.68
South Asia (developing countries),,2014,32.17,33.04,136.94,1601.89,179.88,55.3,376.73,276.2,9393.06,-423.31,4796.74,1941.03
Sub-Saharan Africa,,1995,985.21,328.83,1261.49,2694.35,2871.51,20.22,162.53,175.26,9397.06,-1028.43,4354.28,5980.03
Sub-Saharan Africa,,2000,815.76,280.16,915.15,1857.47,2402.23,18.7,111.74,66.59,8771.06,-670.27,3816.35,4257.24
Sub-Saharan Africa,,2005,608.21,239.4,816.41,1538.94,2846.1,61.84,201.41,132.7,8507.37,-385.15,4945.31,3943.07
Sub-Saharan Africa,,2010,583.75,203.07,990.95,1703.23,3284.85,122.79,325.57,488.34,11297.63,-118.61,3882.76,3524.18
Sub-Saharan Africa,,2014,525.42,179.33,1138.23,1735.39,2480.06,107.71,233.39,656.28,12680.12,-360.16,4017.44,2824.35
Sub-Saharan Africa (developing countries),,1995,985.21,328.83,1261.49,2694.35,2082.82,12.42,159.48,175.26,9397.06,-1028.43,4354.28,5980.03
Sub-Saharan Africa (developing countries),,2000,815.76,280.16,915.15,1857.47,1730.87,11.4,111.74,66.59,8771.06,-670.27,3816.35,4257.24
Sub-Saharan Africa (developing countries),,2005,608.21,239.4,816.41,1538.94,2078.22,42.69,201.41,132.7,8507.37,-385.15,4945.31,3943.07
Sub-Saharan Africa (developing countries),,2010,583.75,203.07,990.95,1703.23,2396.71,83.94,325.57,488.34,11297.63,-118.61,3882.76,3524.18
Sub-Saharan Africa (developing countries),,2014,525.42,179.33,1138.23,1735.39,1855.3,77.22,233.39,656.28,12680.12,-360.16,4017.44,2824.35
Upper middle income,,1995,568.9,1507.35,533.09,1858.23,656.12,133.03,133.46,179.24,32898.72,-702.16,10809.87,3560.69
Upper middle income,,2000,424.86,1412.48,648.23,1842.77,721.65,69.44,63.4,142.37,37745.52,-803.74,12424.01,3962.5
Upper middle income,,2005,373.75,1342.02,1051.29,2163.87,1570.42,142.73,542.71,456.07,40420.3,-617.68,16144.81,4530.2
Upper middle income,,2010,460.94,1286.88,1340.91,2472.29,2562.31,203.82,1704.92,1869.78,56535.64,-199.41,22082.63,5289.01
Upper middle income,,2014,468.62,1247.63,1635.08,2809.76,2850.18,235.19,1568.65,1972.41,67389.66,-431.71,28526.93,6176
World,OWID_WRL,1995,489.68,1522.67,699.98,1771.78,1613.54,336.46,182.64,186.37,89977.11,-540.04,30792.5,3060.44
World,OWID_WRL,2000,405.68,1418.95,735.32,1625.21,1765.62,324.69,154.83,157.21,97444.82,-678.22,32801.35,2945.52
World,OWID_WRL,2005,341.82,1329.69,833.82,1658.71,2912.95,622.93,463.05,373.57,98922.71,-539.11,37237.28,3068.71
World,OWID_WRL,2010,360.37,1248.87,989.94,1838.48,4128.36,616.11,1135.72,1385.74,103210.91,-395.1,41569.86,3485.57
World,OWID_WRL,2014,353.5,1194.66,1148.77,2062.9,4408.47,507.72,1022.62,1497.25,109423.5,-675.55,44760.26,3819.11
