Entity,Code,Year,"Percentage of teachers in secondary education who are trained, both sexes (%) (%)"
Cayman Islands,CYM,2004,99.5815887451172
Cayman Islands,CYM,2005,99.636360168457
Cayman Islands,CYM,2006,99.6835403442383
Cayman Islands,CYM,2008,98.3379516601563
Cayman Islands,CYM,2011,99.7245178222656
Cayman Islands,CYM,2012,99.0415267944336
Chad,TCD,2013,53.0273094177246
Colombia,COL,2007,96.4469985961914
Colombia,COL,2009,96.4373168945313
Colombia,COL,2010,96.449951171875
Colombia,COL,2011,97.1904678344727
Colombia,COL,2012,97.4431228637695
Colombia,COL,2013,98.2514724731445
Colombia,COL,2014,99.0669708251953
Comoros,COM,2003,51.1915283203125
Congo,COG,2012,59.2127685546875
Costa Rica,CRI,1999,80.3650894165039
Costa Rica,CRI,2001,84.6331100463867
Costa Rica,CRI,2002,84.4776077270508
Costa Rica,CRI,2006,80.2490310668945
Costa Rica,CRI,2007,85.4908294677734
Costa Rica,CRI,2008,83.2792510986328
Costa Rica,CRI,2009,86.1053695678711
Costa Rica,CRI,2010,87.9254837036133
Costa Rica,CRI,2011,89.6801986694336
Costa Rica,CRI,2013,95.7555084228516
Costa Rica,CRI,2014,95.6694030761719
Cote d'Ivoire,CIV,2014,100
Croatia,HRV,1999,100
Croatia,HRV,2000,100
Croatia,HRV,2001,100
Croatia,HRV,2002,100
Croatia,HRV,2003,100
Cuba,CUB,1999,94.4442672729492
Cuba,CUB,2000,87.1585922241211
Cuba,CUB,2001,94.0918426513672
Cuba,CUB,2002,84.1240386962891
Cuba,CUB,2003,84.5605392456055
Cuba,CUB,2004,78.53955078125
Cuba,CUB,2005,100
Cuba,CUB,2006,100
Cuba,CUB,2007,100
Cuba,CUB,2008,100
Cuba,CUB,2009,100
Cuba,CUB,2010,100
Cuba,CUB,2011,100
Cuba,CUB,2012,100
Cuba,CUB,2014,100
Democratic Republic of Congo,COD,2010,32.5178604125977
Democratic Republic of Congo,COD,2013,21.6622104644775
Democratic Republic of Congo,COD,2014,23.522289276123
Djibouti,DJI,2011,100
Djibouti,DJI,2014,100
Djibouti,DJI,2015,100
Dominica,DMA,1999,30.5851097106934
Dominica,DMA,2000,30.9248600006104
Dominica,DMA,2001,31.5508003234863
Dominica,DMA,2002,37.9232482910156
Dominica,DMA,2003,29.7826099395752
Dominica,DMA,2004,35.9550590515137
Dominica,DMA,2005,31.25
Dominica,DMA,2006,34.2857093811035
Dominica,DMA,2007,40.5117301940918
Dominica,DMA,2008,31.0276699066162
Dominica,DMA,2009,36.4503784179688
Dominica,DMA,2010,38.7475509643555
Dominica,DMA,2011,40.9345817565918
Dominica,DMA,2013,41.0681381225586
Dominica,DMA,2014,46.3178291320801
Dominican Republic,DOM,2004,73.1415023803711
Dominican Republic,DOM,2005,84.8052825927734
Dominican Republic,DOM,2006,79.8776779174805
Dominican Republic,DOM,2007,84.8817367553711
Dominican Republic,DOM,2008,85.5101699829102
Dominican Republic,DOM,2009,84.5211029052734
Dominican Republic,DOM,2010,90.2474822998047
Dominican Republic,DOM,2011,79.4144897460938
Dominican Republic,DOM,2012,89.8517990112305
Ecuador,ECU,2000,84.2452774047852
Ecuador,ECU,2001,86.3013534545898
Ecuador,ECU,2002,67.3691635131836
Ecuador,ECU,2003,70.0766906738281
Ecuador,ECU,2004,69.4704437255859
Ecuador,ECU,2005,69.8585968017578
Ecuador,ECU,2006,70.2435684204102
Ecuador,ECU,2007,70.5226898193359
Ecuador,ECU,2010,71.8472213745117
Ecuador,ECU,2011,74.5677032470703
Ecuador,ECU,2012,74.5979080200195
Ecuador,ECU,2013,75.7361907958984
Ecuador,ECU,2014,81.2910079956055
Egypt,EGY,2014,63.295280456543
El Salvador,SLV,2003,89.9893112182617
El Salvador,SLV,2004,89.5400924682617
El Salvador,SLV,2005,89.0378494262695
El Salvador,SLV,2007,88.0525894165039
El Salvador,SLV,2008,87.5121994018555
El Salvador,SLV,2009,92.8179931640625
El Salvador,SLV,2011,91.4562606811523
Equatorial Guinea,GNQ,2005,24.7174091339111
Eritrea,ERI,1999,56.4530296325684
Eritrea,ERI,2000,60.6157493591309
Eritrea,ERI,2001,61.9557189941406
Eritrea,ERI,2002,49.660961151123
Eritrea,ERI,2004,50.0246391296387
Eritrea,ERI,2005,51.1005897521973
Eritrea,ERI,2006,48.9254989624023
Eritrea,ERI,2007,57.1073417663574
Eritrea,ERI,2009,64.1211929321289
Eritrea,ERI,2010,66.7862167358398
Eritrea,ERI,2011,71.1162414550781
Eritrea,ERI,2013,83.2115707397461
Ethiopia,ETH,2008,64.0967025756836
Ethiopia,ETH,2012,75.2388534545898
Fiji,FJI,2007,96.0711822509766
Fiji,FJI,2011,100
Fiji,FJI,2012,100
Gambia,GMB,2014,91.6487808227539
Georgia,GEO,2000,81.957763671875
Georgia,GEO,2008,95.0951919555664
Georgia,GEO,2009,94.7150421142578
Ghana,GHA,1999,74.2070236206055
Ghana,GHA,2000,73.0336685180664
Ghana,GHA,2001,73.8339080810547
Ghana,GHA,2008,68.6770782470703
Ghana,GHA,2009,70.036506652832
Ghana,GHA,2011,70.4125595092773
Ghana,GHA,2012,71.6922836303711
Ghana,GHA,2013,72.7792663574219
Ghana,GHA,2014,72.3086318969727
Ghana,GHA,2015,73.677360534668
Gibraltar,GIB,1999,99.1803283691406
Gibraltar,GIB,2000,98.3871002197266
Gibraltar,GIB,2001,100
Gibraltar,GIB,2008,91.205207824707
Gibraltar,GIB,2009,95.3900680541992
Grenada,GRD,2003,30.6756801605225
Grenada,GRD,2008,33.1325302124023
Grenada,GRD,2010,25.26881980896
Grenada,GRD,2013,40.6119613647461
Grenada,GRD,2014,39.9484481811523
Guinea,GIN,2008,90.8098602294922
Guyana,GUY,2003,57.0268898010254
Guyana,GUY,2005,54.9169883728027
Guyana,GUY,2008,54.8684883117676
Guyana,GUY,2009,55.1278381347656
Guyana,GUY,2010,57.355281829834
Heavily indebted poor countries (HIPC),,2009,54.5021591186523
Heavily indebted poor countries (HIPC),,2010,53.1996803283691
Heavily indebted poor countries (HIPC),,2011,52.1916313171387
Heavily indebted poor countries (HIPC),,2012,51.7016296386719
Heavily indebted poor countries (HIPC),,2013,57.0210304260254
Heavily indebted poor countries (HIPC),,2014,50.3510894775391
Honduras,HND,2004,64.4027099609375
Hong Kong,HKG,1999,80.4672088623047
Hong Kong,HKG,2000,82.2499923706055
Hong Kong,HKG,2001,84.2918701171875
Hong Kong,HKG,2002,86.6588516235352
Hong Kong,HKG,2003,87.7927627563477
Hong Kong,HKG,2004,90.6987762451172
Hong Kong,HKG,2005,92.8972778320313
Hong Kong,HKG,2006,95.0265197753906
Hong Kong,HKG,2007,94.3087463378906
Hong Kong,HKG,2008,93.9836273193359
Hong Kong,HKG,2009,93.3192596435547
Hong Kong,HKG,2010,94.1655197143555
Hong Kong,HKG,2011,94.5666275024414
Hong Kong,HKG,2012,93.7765502929688
Hong Kong,HKG,2013,95.0009689331055
Hong Kong,HKG,2014,96.1339721679688
Iran,IRN,2013,100
Iran,IRN,2014,100
Iraq,IRQ,2000,100
Iraq,IRQ,2004,100
Jamaica,JAM,2014,83.8231964111328
Kazakhstan,KAZ,2015,100
Kenya,KEN,2006,97.7874526977539
Kenya,KEN,2007,95.0399627685547
Kenya,KEN,2008,97.1966400146484
Kenya,KEN,2009,92.3426208496094
Kiribati,KIR,2005,66.76513671875
Kiribati,KIR,2006,50.866138458252
Kiribati,KIR,2007,60.6431884765625
Kiribati,KIR,2008,62.0481910705566
Kuwait,KWT,1999,100
Kuwait,KWT,2000,100
Kuwait,KWT,2001,100
Kuwait,KWT,2004,100
Kuwait,KWT,2007,100
Kuwait,KWT,2008,100
Kyrgyzstan,KGZ,2003,71.8070526123047
Kyrgyzstan,KGZ,2004,73.2645416259766
Kyrgyzstan,KGZ,2005,75.9329528808594
Kyrgyzstan,KGZ,2006,77.8613662719727
Kyrgyzstan,KGZ,2007,79.0949172973633
Kyrgyzstan,KGZ,2008,80.4789810180664
Kyrgyzstan,KGZ,2009,81.1286315917969
Kyrgyzstan,KGZ,2010,84.6492004394531
Laos,LAO,1999,97.508903503418
Laos,LAO,2000,97.5891036987305
Laos,LAO,2001,95.8300476074219
Laos,LAO,2002,96.4049301147461
Laos,LAO,2003,98.1410217285156
Laos,LAO,2004,96.7524719238281
Laos,LAO,2005,90.6299209594727
Laos,LAO,2006,94.8520736694336
Laos,LAO,2007,93.1151428222656
Laos,LAO,2008,89.5015716552734
Laos,LAO,2009,99.3332595825195
Laos,LAO,2010,99.3487777709961
Laos,LAO,2011,99.4077606201172
Laos,LAO,2012,99.4762725830078
Laos,LAO,2013,99.5969161987305
Laos,LAO,2014,99.627571105957
Latin America & Caribbean,,2007,82.9397735595703
Latin America & Caribbean,,2008,82.5800018310547
Latin America & Caribbean,,2009,82.6957702636719
Latin America & Caribbean,,2010,82.3242263793945
Latin America & Caribbean,,2011,81.8917083740234
Latin America & Caribbean (all income levels),,2007,82.658332824707
Latin America & Caribbean (all income levels),,2009,82.4253768920898
Latin America & Caribbean (all income levels),,2011,81.6723937988281
Least developed countries: UN classification,,1998,63.829418182373
Least developed countries: UN classification,,1999,63.4312896728516
Least developed countries: UN classification,,2000,63.1554183959961
Least developed countries: UN classification,,2001,61.3496284484863
Least developed countries: UN classification,,2002,59.340030670166
Least developed countries: UN classification,,2003,58.976188659668
Least developed countries: UN classification,,2004,59.4368209838867
Least developed countries: UN classification,,2005,57.8276901245117
Least developed countries: UN classification,,2006,59.4052581787109
Least developed countries: UN classification,,2007,57.949821472168
Least developed countries: UN classification,,2008,59.4115715026855
Least developed countries: UN classification,,2009,57.8579483032227
Least developed countries: UN classification,,2010,57.4645614624023
Least developed countries: UN classification,,2011,57.783561706543
Least developed countries: UN classification,,2012,56.7360305786133
Least developed countries: UN classification,,2013,61.8904800415039
Least developed countries: UN classification,,2014,55.9963188171387
Lebanon,LBN,2013,95.6913070678711
Lebanon,LBN,2014,98.7937164306641
Lesotho,LSO,1999,85.891242980957
Lesotho,LSO,2000,86.6686477661133
Lesotho,LSO,2001,87.9305419921875
Lesotho,LSO,2002,88.7760925292969
Lesotho,LSO,2005,82.0886993408203
Lesotho,LSO,2006,87.1140899658203
Lesotho,LSO,2007,81.2531204223633
Liberia,LBR,2014,54.6347007751465
Low income,,2009,57.5915908813477
Low income,,2010,56.927921295166
Low income,,2011,55.736400604248
Low income,,2012,54.6064414978027
Low income,,2013,53.023509979248
Low income,,2014,52.2540397644043
Macao,MAC,1999,58.8192901611328
Macao,MAC,2000,60.4996604919434
Macao,MAC,2001,59.3460807800293
Macao,MAC,2002,60.1254997253418
Macao,MAC,2003,62.9815711975098
Macao,MAC,2004,63.8680686950684
Macao,MAC,2005,66.5864181518555
Macao,MAC,2006,67.9665679931641
Macao,MAC,2007,69.4570083618164
Macao,MAC,2008,71.0151596069336
Macao,MAC,2009,71.4472503662109
Macao,MAC,2010,71.1677322387695
Macao,MAC,2011,72.0967102050781
Macao,MAC,2012,74.2741928100586
Macao,MAC,2013,76.9230804443359
Macao,MAC,2014,81.7593307495117
Madagascar,MDG,2014,20.6833591461182
Malawi,MWI,2007,50.2179298400879
Malawi,MWI,2008,52.8454818725586
Malawi,MWI,2010,59.7401809692383
Malawi,MWI,2011,59.3626594543457
Malawi,MWI,2012,64.6651382446289
Malawi,MWI,2013,65.6179809570313
Malaysia,MYS,2006,99.4015808105469
Malaysia,MYS,2007,99.9508819580078
Malaysia,MYS,2008,96.1766815185547
Malaysia,MYS,2009,94.2321166992188
Malaysia,MYS,2010,94.2297515869141
Malaysia,MYS,2011,97.9799118041992
Malaysia,MYS,2012,99.4157867431641
Malaysia,MYS,2013,98.4714736938477
Malaysia,MYS,2014,98.3811416625977
Maldives,MDV,1998,75.552490234375
Maldives,MDV,2002,81.4902420043945
Mali,MLI,2008,80.665641784668
Mauritania,MRT,2004,100
Mauritania,MRT,2006,100
Mauritania,MRT,2014,86.8712997436523
Mauritius,MUS,2012,44.3596000671387
Mexico,MEX,2004,88.7963714599609
Mexico,MEX,2005,89.3671112060547
Mexico,MEX,2006,85.318000793457
Mexico,MEX,2007,90.0062484741211
Mexico,MEX,2008,88.7864685058594
Mexico,MEX,2009,89.8532409667969
Mexico,MEX,2010,90.9956512451172
Middle East & North Africa,,2013,73.8134536743164
Middle East & North Africa,,2014,75.7545776367188
Middle East & North Africa (all income levels),,2013,78.6271514892578
Middle East & North Africa (all income levels),,2014,80.0275497436523
Mongolia,MNG,1998,100
Mongolia,MNG,1999,100
Mongolia,MNG,2000,100
Mongolia,MNG,2001,100
Mongolia,MNG,2002,100
Mongolia,MNG,2003,100
Mongolia,MNG,2004,100
Mongolia,MNG,2005,100
Mongolia,MNG,2006,100
Mongolia,MNG,2010,97.6054229736328
Mongolia,MNG,2014,100
Mozambique,MOZ,2006,64.4094161987305
Mozambique,MOZ,2007,62.4336891174316
Mozambique,MOZ,2008,65.0014266967773
Mozambique,MOZ,2009,72.8150482177734
Mozambique,MOZ,2010,75.2971115112305
Mozambique,MOZ,2011,79.7754364013672
Mozambique,MOZ,2012,84.1466674804688
Mozambique,MOZ,2013,86.869270324707
Myanmar,MMR,1999,69.4783325195313
Myanmar,MMR,2000,69.8896789550781
Myanmar,MMR,2001,65.0797882080078
Myanmar,MMR,2002,66.4202194213867
Myanmar,MMR,2003,67.6836090087891
Myanmar,MMR,2004,84.3047103881836
Myanmar,MMR,2005,83.7799377441406
Myanmar,MMR,2006,95.3918609619141
Myanmar,MMR,2007,97.0991973876953
Myanmar,MMR,2008,97.8488082885742
Myanmar,MMR,2009,96.0500717163086
Myanmar,MMR,2010,98.8184432983398
Myanmar,MMR,2014,93.8253631591797
Namibia,NAM,1998,87.7127304077148
Namibia,NAM,1999,92.0933990478516
Namibia,NAM,2000,93.3385009765625
Namibia,NAM,2001,93.6292724609375
Namibia,NAM,2002,93.9597320556641
Namibia,NAM,2003,95.4220275878906
Namibia,NAM,2004,96.1897430419922
Namibia,NAM,2005,96.5569915771484
Namibia,NAM,2006,95.8167266845703
Namibia,NAM,2007,97.4622497558594
Nauru,NRU,2007,36.363639831543
Nepal,NPL,2002,28.214469909668
Nepal,NPL,2008,58.2087707519531
Nepal,NPL,2010,65.0792694091797
Nepal,NPL,2011,69.1369934082031
Nepal,NPL,2012,67.7343292236328
Nepal,NPL,2013,79.7692718505859
Nepal,NPL,2014,80.1932525634766
Nepal,NPL,2015,81.8765716552734
Nicaragua,NIC,1999,47.8063812255859
Nicaragua,NIC,2000,44.6365089416504
Nicaragua,NIC,2001,44.6327705383301
Nicaragua,NIC,2004,45.9627799987793
Nicaragua,NIC,2005,52.503849029541
Nicaragua,NIC,2006,52.8227310180664
Nicaragua,NIC,2007,59.9299201965332
Nicaragua,NIC,2008,58.9458084106445
Nicaragua,NIC,2010,52.5680999755859
Niger,NER,2003,28.1661396026611
Niger,NER,2004,29.9941501617432
Niger,NER,2006,20.9295997619629
Niger,NER,2010,16.5811996459961
Niger,NER,2013,24.5032291412354
Niger,NER,2014,15.7296800613403
Nigeria,NGA,2006,70.0289993286133
Nigeria,NGA,2008,92.7887725830078
Oman,OMN,1999,99.9611282348633
Oman,OMN,2000,100
Oman,OMN,2001,100
Palestine,PSE,2007,100
Palestine,PSE,2008,100
Palestine,PSE,2009,100
Palestine,PSE,2010,100
Palestine,PSE,2011,100
Palestine,PSE,2012,100
Palestine,PSE,2013,100
Palestine,PSE,2014,100
Panama,PAN,1999,77.3018112182617
Panama,PAN,2000,81.9008636474609
Panama,PAN,2001,93.4786911010742
Panama,PAN,2002,81.1247024536133
Panama,PAN,2004,83.4378280639648
Panama,PAN,2005,82.9673004150391
Panama,PAN,2006,89.9613876342773
Panama,PAN,2007,90.591796875
Panama,PAN,2008,90.9326934814453
Panama,PAN,2009,89.8506698608398
Panama,PAN,2010,88.3465805053711
Panama,PAN,2011,87.283561706543
Panama,PAN,2012,88.4698104858398
Papua New Guinea,PNG,1998,100
Papua New Guinea,PNG,2012,100
Paraguay,PRY,2012,81.00390625
Peru,PER,2014,81.2000885009766
Philippines,PHL,2013,100
Qatar,QAT,2006,68.4193496704102
Qatar,QAT,2008,52.8014106750488
Qatar,QAT,2011,66.6202697753906
Rwanda,RWA,2007,53.3586692810059
Rwanda,RWA,2011,82.9646224975586
Rwanda,RWA,2012,83.475471496582
Rwanda,RWA,2013,89.1704483032227
Saint Kitts and Nevis,KNA,2000,28.1818199157715
Saint Kitts and Nevis,KNA,2001,34.5744705200195
Saint Kitts and Nevis,KNA,2002,40.4255294799805
Saint Kitts and Nevis,KNA,2003,40.5275802612305
Saint Kitts and Nevis,KNA,2004,35.391918182373
Saint Kitts and Nevis,KNA,2005,39.0428199768066
Saint Kitts and Nevis,KNA,2007,39.8210296630859
Saint Kitts and Nevis,KNA,2008,35.7314109802246
Saint Kitts and Nevis,KNA,2009,49.8866195678711
Saint Kitts and Nevis,KNA,2010,47.0967712402344
Saint Kitts and Nevis,KNA,2011,55.5555610656738
Saint Kitts and Nevis,KNA,2012,53.125
Saint Kitts and Nevis,KNA,2013,34.196891784668
Saint Kitts and Nevis,KNA,2014,50.6796112060547
Saint Lucia,LCA,2001,56.2670288085938
Saint Lucia,LCA,2005,57.5342483520508
Saint Lucia,LCA,2006,57.0414199829102
Saint Lucia,LCA,2008,56.5883598327637
Saint Lucia,LCA,2009,58.0838317871094
Saint Lucia,LCA,2011,65.0637893676758
Saint Lucia,LCA,2012,65.0438232421875
Saint Lucia,LCA,2013,60.2252998352051
Saint Lucia,LCA,2014,71.4957733154297
Saint Vincent and the Grenadines,VCT,2000,49.5073890686035
Saint Vincent and the Grenadines,VCT,2001,59.0123481750488
Saint Vincent and the Grenadines,VCT,2002,54.1567687988281
Saint Vincent and the Grenadines,VCT,2003,50.3432502746582
Saint Vincent and the Grenadines,VCT,2004,53.9130401611328
Saint Vincent and the Grenadines,VCT,2007,31.1072101593018
Saint Vincent and the Grenadines,VCT,2008,55.852840423584
Saint Vincent and the Grenadines,VCT,2009,47.9683990478516
Saint Vincent and the Grenadines,VCT,2010,62.9411811828613
Saint Vincent and the Grenadines,VCT,2011,59.8461494445801
Saint Vincent and the Grenadines,VCT,2012,58.2352905273438
Saint Vincent and the Grenadines,VCT,2013,57.3654403686523
Saint Vincent and the Grenadines,VCT,2014,50.1492500305176
Sao Tome and Principe,STP,2011,44.5923500061035
Sao Tome and Principe,STP,2014,48.171501159668
Sao Tome and Principe,STP,2015,36.3977508544922
Saudi Arabia,SAU,2013,100
Saudi Arabia,SAU,2014,100
Serbia,SRB,2007,100
Serbia,SRB,2009,84.9107971191406
Serbia,SRB,2011,43.9240188598633
Serbia,SRB,2012,39.9589614868164
Seychelles,SYC,1998,87.5675735473633
Seychelles,SYC,1999,85.5442199707031
Seychelles,SYC,2000,86.2676086425781
Seychelles,SYC,2001,84.3809509277344
Seychelles,SYC,2003,84.8739471435547
Seychelles,SYC,2008,98.537483215332
Seychelles,SYC,2009,93.2885894775391
Sierra Leone,SLE,2011,61.2074012756348
Sierra Leone,SLE,2012,62.6393203735352
Sierra Leone,SLE,2013,64.2503509521484
Singapore,SGP,2007,94.7391510009766
Singapore,SGP,2008,97.0413436889648
Singapore,SGP,2009,91.6323928833008
Solomon Islands,SLB,2010,70.8127212524414
Solomon Islands,SLB,2012,69.8195419311523
Sri Lanka,LKA,2011,82.1103210449219
Sub-Saharan Africa,,2006,71.2145233154297
Sub-Saharan Africa,,2007,61.7935409545898
Sub-Saharan Africa,,2008,69.1109466552734
Sub-Saharan Africa,,2009,63.8143081665039
Sub-Saharan Africa,,2010,59.669849395752
Sub-Saharan Africa,,2011,58.322151184082
Sub-Saharan Africa,,2012,57.3462295532227
Sub-Saharan Africa,,2013,60.7104187011719
Sub-Saharan Africa,,2014,55.2353210449219
Sub-Saharan Africa (all income levels),,2006,71.2224273681641
Sub-Saharan Africa (all income levels),,2007,61.8052101135254
Sub-Saharan Africa (all income levels),,2008,69.1208190917969
Sub-Saharan Africa (all income levels),,2009,63.8244705200195
Sub-Saharan Africa (all income levels),,2010,59.6811218261719
Sub-Saharan Africa (all income levels),,2011,58.3328018188477
Sub-Saharan Africa (all income levels),,2012,57.355598449707
Sub-Saharan Africa (all income levels),,2013,60.7194404602051
Sub-Saharan Africa (all income levels),,2014,55.2462882995605
Sudan,SDN,2012,65.7018203735352
Suriname,SUR,2009,100
Suriname,SUR,2013,18.7789306640625
Swaziland,SWZ,1998,99.1803283691406
Swaziland,SWZ,2002,82.6267929077148
Swaziland,SWZ,2003,92.0195388793945
Swaziland,SWZ,2004,99.3059310913086
Swaziland,SWZ,2005,98.7031402587891
Swaziland,SWZ,2006,99.2209091186523
Swaziland,SWZ,2009,78.757682800293
Swaziland,SWZ,2010,72.9652404785156
Swaziland,SWZ,2011,74.2666702270508
Swaziland,SWZ,2012,75.8639297485352
Swaziland,SWZ,2013,76.3135375976563
Syria,SYR,1999,89.7839965820313
Tajikistan,TJK,2002,93.648811340332
Tajikistan,TJK,2003,94.0796813964844
Tajikistan,TJK,2004,92.1158676147461
Togo,TGO,2004,56.5871810913086
Togo,TGO,2005,48.4651908874512
Togo,TGO,2006,50.2665596008301
Tonga,TON,1998,59.3437881469727
Tonga,TON,2013,65.0537567138672
Tonga,TON,2014,47.8723411560059
Turks and Caicos Islands,TCA,1999,100
Turks and Caicos Islands,TCA,2000,46.1538505554199
Turks and Caicos Islands,TCA,2003,97.2602691650391
Turks and Caicos Islands,TCA,2015,97.6190490722656
Uganda,UGA,2004,82.1487121582031
United Arab Emirates,ARE,1999,51.6869087219238
United Arab Emirates,ARE,2000,50.192081451416
United Arab Emirates,ARE,2001,52.3067817687988
United Arab Emirates,ARE,2002,51.6487197875977
United Arab Emirates,ARE,2004,47.0627899169922
United Arab Emirates,ARE,2005,46.4326705932617
United Arab Emirates,ARE,2012,100
United Arab Emirates,ARE,2013,100
United Arab Emirates,ARE,2014,100
Uzbekistan,UZB,2006,100
Uzbekistan,UZB,2007,100
Uzbekistan,UZB,2008,100
Uzbekistan,UZB,2009,100
Uzbekistan,UZB,2010,100
Uzbekistan,UZB,2011,100
Zimbabwe,ZWE,2012,71.0912628173828
Zimbabwe,ZWE,2013,72.950569152832
