Entity,Code,Year,"Mortality caused by road traffic injury (per 100,000 people) (per 100,000 people)"
El Salvador,SLV,2005,29.6
El Salvador,SLV,2010,22.2
El Salvador,SLV,2015,19
Equatorial Guinea,GNQ,2000,19.7
Equatorial Guinea,GNQ,2005,17.1
Equatorial Guinea,GNQ,2010,19.2
Equatorial Guinea,GNQ,2015,20.8
Eritrea,ERI,2000,24.6
Eritrea,ERI,2005,26.9
Eritrea,ERI,2010,27.9
Eritrea,ERI,2015,24.9
Estonia,EST,2000,17.4
Estonia,EST,2005,14.1
Estonia,EST,2010,6.7
Estonia,EST,2015,6.3
Ethiopia,ETH,2000,23
Ethiopia,ETH,2005,23.3
Ethiopia,ETH,2010,23.2
Ethiopia,ETH,2015,27.3
Euro area,,2000,12.9188663438803
Euro area,,2005,9.61362633090147
Euro area,,2010,6.36284089059208
Euro area,,2015,5.09085965320757
Europe & Central Asia,,2000,13.8590140393599
Europe & Central Asia,,2005,13.8372887501594
Europe & Central Asia,,2010,10.2427059847035
Europe & Central Asia,,2015,8.86559627544384
Europe & Central Asia (IDA & IBRD),,2000,15.8634631817237
Europe & Central Asia (IDA & IBRD),,2005,18.6034975672308
Europe & Central Asia (IDA & IBRD),,2010,14.6282929175987
Europe & Central Asia (IDA & IBRD),,2015,13.0123280004222
Europe & Central Asia (excluding high income),,2000,15.6099728664183
Europe & Central Asia (excluding high income),,2005,18.9142116821772
Europe & Central Asia (excluding high income),,2010,14.9365700038948
Europe & Central Asia (excluding high income),,2015,13.3870382891332
European Union,,2000,12.4955815351699
European Union,,2005,9.97290805833839
European Union,,2010,6.72456334035462
European Union,,2015,5.36406941892032
Fiji,FJI,2000,9.8
Fiji,FJI,2005,9.7
Fiji,FJI,2010,8.1
Fiji,FJI,2015,5.8
Finland,FIN,2000,8.1
Finland,FIN,2005,7.3
Finland,FIN,2010,5.2
Finland,FIN,2015,4.4
Fragile and conflict affected situations,,2000,24.1175040136121
Fragile and conflict affected situations,,2005,24.3493626003458
Fragile and conflict affected situations,,2010,25.2194788365954
Fragile and conflict affected situations,,2015,25.2464817105131
France,FRA,2000,12.9
France,FRA,2005,8.7
France,FRA,2010,6.3
France,FRA,2015,5.1
Gabon,GAB,2000,23.2
Gabon,GAB,2005,24.6
Gabon,GAB,2010,24.2
Gabon,GAB,2015,22.7
Gambia,GMB,2000,30.2
Gambia,GMB,2005,30.9
Gambia,GMB,2010,31.3
Gambia,GMB,2015,30.4
Georgia,GEO,2000,10.8
Georgia,GEO,2005,12.5
Georgia,GEO,2010,16.6
Georgia,GEO,2015,11.6
Germany,DEU,2000,9.4
Germany,DEU,2005,6.7
Germany,DEU,2010,4.7
Germany,DEU,2015,4.2
Ghana,GHA,2000,26.8
Ghana,GHA,2005,28.1
Ghana,GHA,2010,27.6
Ghana,GHA,2015,26.1
Greece,GRC,2000,20
Greece,GRC,2005,16.8
Greece,GRC,2010,12.8
Greece,GRC,2015,8.1
Grenada,GRD,2000,4.9
Grenada,GRD,2005,11.9
Grenada,GRD,2010,5.6
Grenada,GRD,2015,6.6
Guatemala,GTM,2000,7.8
Guatemala,GTM,2005,4.8
Guatemala,GTM,2010,13.8
Guatemala,GTM,2015,19.9
Guinea,GIN,2000,26
Guinea,GIN,2005,27.9
Guinea,GIN,2010,29.1
Guinea,GIN,2015,28.1
Guinea-Bissau,GNB,2000,25.7
Guinea-Bissau,GNB,2005,27.1
Guinea-Bissau,GNB,2010,27.3
Guinea-Bissau,GNB,2015,26.8
Guyana,GUY,2000,26.2
Guyana,GUY,2005,27.7
Guyana,GUY,2010,16.9
Guyana,GUY,2015,15.3
Haiti,HTI,2000,14.4
Haiti,HTI,2005,14.9
Haiti,HTI,2010,15.8
Haiti,HTI,2015,15.3
Heavily indebted poor countries (HIPC),,2000,25.9301220469162
Heavily indebted poor countries (HIPC),,2005,26.7649926486793
Heavily indebted poor countries (HIPC),,2010,27.4471092304573
Heavily indebted poor countries (HIPC),,2015,27.8652062430613
High income,,2000,13.8773984385972
High income,,2005,12.0680384922012
High income,,2010,8.96883311275652
High income,,2015,8.20015387527804
Honduras,HND,2000,15.4
Honduras,HND,2005,16.4
Honduras,HND,2010,16.9
Honduras,HND,2015,16.5
Hungary,HUN,2000,12.6
Hungary,HUN,2005,14.8
Hungary,HUN,2010,9.1
Hungary,HUN,2015,7.5
IBRD only,,2000,18.4389869930935
IBRD only,,2005,19.2166979916588
IBRD only,,2010,19.5640354070883
IBRD only,,2015,19.3338006837353
IDA & IBRD total,,2000,19.1461575215992
IDA & IBRD total,,2005,19.9160901677187
IDA & IBRD total,,2010,20.3488524399406
IDA & IBRD total,,2015,20.1561810176886
IDA blend,,2000,19.6949017594679
IDA blend,,2005,20.256443910854
IDA blend,,2010,20.8074874112169
IDA blend,,2015,19.564002682493
IDA only,,2000,22.7678934423295
IDA only,,2005,23.3483948803325
IDA only,,2010,23.9068884291751
IDA only,,2015,24.1728522338695
IDA total,,2000,21.7451088454192
IDA total,,2005,22.3270401182935
IDA total,,2010,22.8835540937527
IDA total,,2015,22.6460016873556
Iceland,ISL,2000,10.9
Iceland,ISL,2005,6.3
Iceland,ISL,2010,2.5
Iceland,ISL,2015,3.6
India,IND,2000,15
India,IND,2005,16.9
India,IND,2010,19.7
India,IND,2015,21.2
Indonesia,IDN,2000,15.7
Indonesia,IDN,2005,16.1
Indonesia,IDN,2010,17.5
Indonesia,IDN,2015,15.5
Iran,IRN,2000,31.6
Iran,IRN,2005,39.2
Iran,IRN,2010,32.3
Iran,IRN,2015,28
Iraq,IRQ,2000,17.5
Iraq,IRQ,2005,16.8
Iraq,IRQ,2010,18.4
Iraq,IRQ,2015,17.8
Ireland,IRL,2000,11
Ireland,IRL,2005,9.6
Ireland,IRL,2010,4.7
Ireland,IRL,2015,4
Israel,ISR,2000,7.6
Israel,ISR,2005,6.7
Israel,ISR,2010,4.7
Israel,ISR,2015,3.2
Italy,ITA,2000,13.8
Italy,ITA,2005,10.6
Italy,ITA,2010,7.2
Italy,ITA,2015,5.6
Jamaica,JAM,2000,11.2
Jamaica,JAM,2005,11.4
Jamaica,JAM,2010,9.8
Jamaica,JAM,2015,10
Japan,JPN,2000,12.3
Japan,JPN,2005,9.2
Japan,JPN,2010,5.4
Japan,JPN,2015,4.7
Jordan,JOR,2000,24.3
Jordan,JOR,2005,25.3
Jordan,JOR,2010,23.8
Jordan,JOR,2015,23.6
Kazakhstan,KAZ,2000,14
Kazakhstan,KAZ,2005,31.3
Kazakhstan,KAZ,2010,26.3
Kazakhstan,KAZ,2015,23.2
Kenya,KEN,2000,29
Kenya,KEN,2005,28.9
Kenya,KEN,2010,29
Kenya,KEN,2015,30.5
Kiribati,KIR,2000,8.8
Kiribati,KIR,2005,11.4
Kiribati,KIR,2010,6.5
Kiribati,KIR,2015,2.4
Kuwait,KWT,2000,26.4
Kuwait,KWT,2005,28
Kuwait,KWT,2010,20.1
Kuwait,KWT,2015,17.7
Kyrgyzstan,KGZ,2000,12
Kyrgyzstan,KGZ,2005,17.2
Kyrgyzstan,KGZ,2010,18.2
Kyrgyzstan,KGZ,2015,20.1
Laos,LAO,2000,17.6
Laos,LAO,2005,17.1
Laos,LAO,2010,16
Laos,LAO,2015,15
Late-demographic dividend,,2000,20.7472766509389
Late-demographic dividend,,2005,20.9789605776844
Late-demographic dividend,,2010,20.4443298312666
Late-demographic dividend,,2015,19.5570361347854
Latin America & Caribbean,,2000,16.1558432481071
Latin America & Caribbean,,2005,16.7942023334919
Latin America & Caribbean,,2010,18.4248161785365
Latin America & Caribbean,,2015,18.7876646960632
Latin America & Caribbean (IDA & IBRD),,2000,16.1722499555052
Latin America & Caribbean (IDA & IBRD),,2005,16.942939074576
Latin America & Caribbean (IDA & IBRD),,2010,18.6877753306397
Latin America & Caribbean (IDA & IBRD),,2015,19.0671028080266
Latin America & Caribbean (excluding high income),,2000,16.5237839578341
Latin America & Caribbean (excluding high income),,2005,17.3140766014763
Latin America & Caribbean (excluding high income),,2010,19.191772551474
Latin America & Caribbean (excluding high income),,2015,19.5419929260225
Latvia,LVA,2000,28.8
Latvia,LVA,2005,21.3
Latvia,LVA,2010,11.8
Latvia,LVA,2015,9.9
Least developed countries: UN classification,,2000,22.7431938835047
Least developed countries: UN classification,,2005,23.3216048454966
Least developed countries: UN classification,,2010,23.9619358912436
Least developed countries: UN classification,,2015,24.4445306996877
Lebanon,LBN,2000,20.2
Lebanon,LBN,2005,20
Lebanon,LBN,2010,19.6
Lebanon,LBN,2015,19.3
Lesotho,LSO,2000,27.1
Lesotho,LSO,2005,25.2
Lesotho,LSO,2010,26.2
Lesotho,LSO,2015,26.1
Liberia,LBR,2000,30.3
Liberia,LBR,2005,33.4
Liberia,LBR,2010,32.3
Liberia,LBR,2015,35.1
Libya,LBY,2000,23.2
Libya,LBY,2005,23.8
Libya,LBY,2010,23.8
Libya,LBY,2015,25.3
Lithuania,LTU,2000,23.7
Lithuania,LTU,2005,27
Lithuania,LTU,2010,13.2
Lithuania,LTU,2015,13
Low & middle income,,2000,19.21574399605
Low & middle income,,2005,20.0047077447506
Low & middle income,,2010,20.4663405500733
Low & middle income,,2015,20.2758031813857
Low income,,2000,25.4710229580127
Low income,,2005,26.3780994470538
Low income,,2010,27.1657911209712
Low income,,2015,27.8684275004415
Lower middle income,,2000,16.4075475782771
Lower middle income,,2005,17.5548416995515
Lower middle income,,2010,18.8292014789331
Lower middle income,,2015,19.0846019433181
Luxembourg,LUX,2000,17.1
Luxembourg,LUX,2005,10.2
Luxembourg,LUX,2010,5.8
Luxembourg,LUX,2015,7.7
Macedonia,MKD,2000,7.8
Macedonia,MKD,2005,6.8
Macedonia,MKD,2010,7.6
Macedonia,MKD,2015,8.1
Madagascar,MDG,2000,29.7
Madagascar,MDG,2005,30.2
Madagascar,MDG,2010,31.5
Madagascar,MDG,2015,31.4
Malawi,MWI,2000,31
Malawi,MWI,2005,31.3
Malawi,MWI,2010,30.3
Malawi,MWI,2015,34.2
Malaysia,MYS,2000,24.8
Malaysia,MYS,2005,22.6
Malaysia,MYS,2010,23
Malaysia,MYS,2015,22.3
Maldives,MDV,2000,2.5
Maldives,MDV,2005,3
Maldives,MDV,2010,3.2
Maldives,MDV,2015,3.3
Mali,MLI,2000,23.1
Mali,MLI,2005,25
Mali,MLI,2010,26.1
Mali,MLI,2015,25.3
Malta,MLT,2000,4.7
Malta,MLT,2005,4.1
Malta,MLT,2010,3.9
Malta,MLT,2015,5.5
Mauritania,MRT,2000,24.2
Mauritania,MRT,2005,25
Mauritania,MRT,2010,25.2
Mauritania,MRT,2015,24.2
Mauritius,MUS,2000,15.7
Mauritius,MUS,2005,10.3
Mauritius,MUS,2010,12.5
Mauritius,MUS,2015,12.9
Mexico,MEX,2000,13.6
Mexico,MEX,2005,15
Mexico,MEX,2010,14.4
Mexico,MEX,2015,11.8
Micronesia (country),FSM,2000,16.4
Micronesia (country),FSM,2005,0
Micronesia (country),FSM,2010,2.9
Micronesia (country),FSM,2015,2
Middle East & North Africa,,2000,20.9442455346445
Middle East & North Africa,,2005,22.8151435171019
Middle East & North Africa,,2010,21.8685974638718
Middle East & North Africa,,2015,20.2420509991933
Middle East & North Africa (IDA & IBRD),,2000,21.4381546034925
Middle East & North Africa (IDA & IBRD),,2005,23.2026344844761
Middle East & North Africa (IDA & IBRD),,2010,22.5697807467515
Middle East & North Africa (IDA & IBRD),,2015,20.5397629904074
Middle East & North Africa (excluding high income),,2000,21.2786258952448
Middle East & North Africa (excluding high income),,2005,23.0130826751914
Middle East & North Africa (excluding high income),,2010,22.3657031807621
Middle East & North Africa (excluding high income),,2015,20.357560450257
Middle income,,2000,18.5740690681594
Middle income,,2005,19.2998532066578
Middle income,,2010,19.6651611495643
Middle income,,2015,19.3015866508726
Moldova,MDA,2000,13.8
Moldova,MDA,2005,16.3
Moldova,MDA,2010,14.5
Moldova,MDA,2015,10.7
Mongolia,MNG,2000,17.8
Mongolia,MNG,2005,21.5
Mongolia,MNG,2010,19.7
Mongolia,MNG,2015,20.8
Montenegro,MNE,2000,16.9
Montenegro,MNE,2005,15.1
Montenegro,MNE,2010,14.6
Montenegro,MNE,2015,10.3
Morocco,MAR,2000,22.8
Morocco,MAR,2005,23.4
Morocco,MAR,2010,22.3
Morocco,MAR,2015,18.6
Mozambique,MOZ,2000,31.7
Mozambique,MOZ,2005,31.9
Mozambique,MOZ,2010,32.4
Mozambique,MOZ,2015,33.1
Myanmar,MMR,2000,22.1
Myanmar,MMR,2005,19.2
Myanmar,MMR,2010,18.4
Myanmar,MMR,2015,19.5
Namibia,NAM,2000,20.4
Namibia,NAM,2005,20.2
Namibia,NAM,2010,21.5
Namibia,NAM,2015,23.6
Nepal,NPL,2000,17.9
Nepal,NPL,2005,18.6
Nepal,NPL,2010,18.7
Nepal,NPL,2015,17.3
Netherlands,NLD,2000,7.3
Netherlands,NLD,2005,5
Netherlands,NLD,2010,3.8
Netherlands,NLD,2015,3.6
New Zealand,NZL,2000,12
New Zealand,NZL,2005,10.3
New Zealand,NZL,2010,9.3
New Zealand,NZL,2015,6.1
Nicaragua,NIC,2000,16.9
Nicaragua,NIC,2005,17.3
Nicaragua,NIC,2010,16.2
Nicaragua,NIC,2015,14.9
Niger,NER,2000,24.8
Niger,NER,2005,27.3
Niger,NER,2010,29.1
Niger,NER,2015,28.4
Nigeria,NGA,2000,21.6
Nigeria,NGA,2005,22.4
Nigeria,NGA,2010,22.8
Nigeria,NGA,2015,20.6
North America,,2000,14.9002048258959
North America,,2005,14.8086177942029
North America,,2010,11.0840257069523
North America,,2015,10.2979645691354
North Korea,PRK,2000,20.8
North Korea,PRK,2005,20.2
North Korea,PRK,2010,20.8
North Korea,PRK,2015,20.7
Norway,NOR,2000,8
Norway,NOR,2005,5.3
Norway,NOR,2010,4.3
Norway,NOR,2015,3.3
OECD members,,2000,13.691596659375
OECD members,,2005,11.798225260272
OECD members,,2010,8.77159358929005
OECD members,,2015,7.74739486798694
Oman,OMN,2000,32.2
Oman,OMN,2005,32.8
Oman,OMN,2010,29.2
Oman,OMN,2015,25
Other small states,,2000,21.0289647012422
Other small states,,2005,20.6774904283566
Other small states,,2010,19.7834767669681
Other small states,,2015,18.901112610968
Pacific island small states,,2000,14.1687779868423
Pacific island small states,,2005,12.8641769032341
Pacific island small states,,2010,11.3925176066716
Pacific island small states,,2015,10.6436731076505
Pakistan,PAK,2000,15.2
Pakistan,PAK,2005,14.8
Pakistan,PAK,2010,15.9
Pakistan,PAK,2015,14.3
Palestine,PSE,2000,6.1
Palestine,PSE,2005,5.7
Palestine,PSE,2010,4.6
Palestine,PSE,2015,5.4
Panama,PAN,2000,15.1
Panama,PAN,2005,13.6
Panama,PAN,2010,13
Panama,PAN,2015,10.7
Papua New Guinea,PNG,2000,20.1
Papua New Guinea,PNG,2005,18.1
Papua New Guinea,PNG,2010,16.3
Papua New Guinea,PNG,2015,16.9
Paraguay,PRY,2000,9.4
Paraguay,PRY,2005,14.3
Paraguay,PRY,2010,24.1
Paraguay,PRY,2015,23.4
Peru,PER,2000,15.2
Peru,PER,2005,15
Peru,PER,2010,14.5
Peru,PER,2015,13.3
Philippines,PHL,2000,10.4
Philippines,PHL,2005,10
Philippines,PHL,2010,4.6
Philippines,PHL,2015,10.7
Poland,POL,2000,18.6
Poland,POL,2005,16
Poland,POL,2010,11.9
Poland,POL,2015,9.4
Portugal,PRT,2000,19.3
Portugal,PRT,2005,16.3
Portugal,PRT,2010,11.2
Portugal,PRT,2015,7.7
Post-demographic dividend,,2000,13.6078144791308
Post-demographic dividend,,2005,12.107063349869
Post-demographic dividend,,2010,8.55207372750183
Post-demographic dividend,,2015,7.26449979221652
Pre-demographic dividend,,2000,25.4079591652788
Pre-demographic dividend,,2005,26.1243045101407
Pre-demographic dividend,,2010,26.8610977564256
Pre-demographic dividend,,2015,26.4184703056829
Puerto Rico,PRI,2000,15.2
Puerto Rico,PRI,2005,12.1
Puerto Rico,PRI,2010,9.8
Puerto Rico,PRI,2015,8.2
Qatar,QAT,2000,27.8
Qatar,QAT,2005,31.3
Qatar,QAT,2010,16.9
Qatar,QAT,2015,12.8
Romania,ROU,2000,12.3
Romania,ROU,2005,12.9
Romania,ROU,2010,10.8
Romania,ROU,2015,8.9
Russia,RUS,2000,20.1
Russia,RUS,2005,23.6
Russia,RUS,2010,18.5
Russia,RUS,2015,17.4
Rwanda,RWA,2000,29.6
Rwanda,RWA,2005,30.7
Rwanda,RWA,2010,31
Rwanda,RWA,2015,32.9
Saint Lucia,LCA,2000,19.5
Saint Lucia,LCA,2005,16
Saint Lucia,LCA,2010,8.9
Saint Lucia,LCA,2015,18.8
Saint Vincent and the Grenadines,VCT,2000,4.6
Saint Vincent and the Grenadines,VCT,2005,8
Saint Vincent and the Grenadines,VCT,2010,3.6
Saint Vincent and the Grenadines,VCT,2015,14.7
Samoa,WSM,2000,16.4
Samoa,WSM,2005,14
Samoa,WSM,2010,14.6
Samoa,WSM,2015,15.5
Sao Tome and Principe,STP,2000,14.2
Sao Tome and Principe,STP,2005,33.1
Sao Tome and Principe,STP,2010,31.5
Sao Tome and Principe,STP,2015,33.1
Saudi Arabia,SAU,2000,20.8
Saudi Arabia,SAU,2005,24.1
Saudi Arabia,SAU,2010,24.1
Saudi Arabia,SAU,2015,27.5
Senegal,SEN,2000,26.1
Senegal,SEN,2005,27.8
Senegal,SEN,2010,28.6
Senegal,SEN,2015,28
Serbia,SRB,2000,10.2
Serbia,SRB,2005,8.7
Serbia,SRB,2010,7.9
Serbia,SRB,2015,7.4
Seychelles,SYC,2000,13.5
Seychelles,SYC,2005,10.2
Seychelles,SYC,2010,13.5
Seychelles,SYC,2015,7.9
Sierra Leone,SLE,2000,26.4
Sierra Leone,SLE,2005,28.6
Sierra Leone,SLE,2010,28
Sierra Leone,SLE,2015,28.5
Singapore,SGP,2000,6.7
Singapore,SGP,2005,4.8
Singapore,SGP,2010,5.1
Singapore,SGP,2015,3.7
Slovakia,SVK,2000,15.3
Slovakia,SVK,2005,13.8
Slovakia,SVK,2010,8.7
Slovakia,SVK,2015,8.2
Slovenia,SVN,2000,15.8
Slovenia,SVN,2005,13.3
Slovenia,SVN,2010,7.1
Slovenia,SVN,2015,6.5
Small states,,2000,19.416699122154
Small states,,2005,19.4003125953463
Small states,,2010,17.9919925007238
Small states,,2015,17.2734394300402
Solomon Islands,SLB,2000,22.5
Solomon Islands,SLB,2005,20.6
Solomon Islands,SLB,2010,18.1
Solomon Islands,SLB,2015,18.3
Somalia,SOM,2000,25.4
Somalia,SOM,2005,25.7
Somalia,SOM,2010,29.3
Somalia,SOM,2015,26.9
South Africa,ZAF,2000,37.3
South Africa,ZAF,2005,33.2
South Africa,ZAF,2010,25.5
South Africa,ZAF,2015,21.3
South Asia,,2000,15.0259648129521
South Asia,,2005,16.4664465465633
South Asia,,2010,18.6737703813722
South Asia,,2015,19.4391774157745
South Asia (IDA & IBRD),,2000,15.0259648129521
South Asia (IDA & IBRD),,2005,16.4664465465633
South Asia (IDA & IBRD),,2010,18.6737703813722
South Asia (IDA & IBRD),,2015,19.4391774157745
South Korea,KOR,2000,26.3
South Korea,KOR,2005,16.6
South Korea,KOR,2010,14
South Korea,KOR,2015,12
South Sudan,SSD,2000,24
South Sudan,SSD,2005,24.7
South Sudan,SSD,2010,24.7
South Sudan,SSD,2015,29.3
Spain,ESP,2000,15.6
Spain,ESP,2005,10.7
Spain,ESP,2010,5.4
Spain,ESP,2015,3.6
Sri Lanka,LKA,2000,18.4
Sri Lanka,LKA,2005,19
Sri Lanka,LKA,2010,19.1
Sri Lanka,LKA,2015,17.2
Sub-Saharan Africa,,2000,26.834410730719
Sub-Saharan Africa,,2005,27.2670904295702
