Entity,Code,Year,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal) (Rate)"
Austria,AUT,1997,83.3224772242872
Austria,AUT,2002,94.4864313211196
Austria,AUT,2010,112.225872435478
Azerbaijan,AZE,1997,0.800650686483927
Azerbaijan,AZE,2002,1.58684592799112
Azerbaijan,AZE,2005,2.02713199966524
Azerbaijan,AZE,2012,4.51981663532541
Bahrain,BHR,1990,47.58905861782
Bahrain,BHR,2003,71.9623026726753
Bangladesh,BGD,2008,2.89797929722515
Barbados,BRB,1996,44.9173520819617
Barbados,BRB,2005,61.4565886463663
Belarus,BLR,1995,10.4241101716115
Belarus,BLR,2000,15.2583944942339
Belarus,BLR,2005,23.5897072205701
Belarus,BLR,2010,36.965433313123
Belarus,BLR,2013,40.9970615190362
Belgium,BEL,1980,29.9474332568642
Belgium,BEL,1997,48.9277485367001
Belgium,BEL,2002,62.7365247104986
Belgium,BEL,2007,76.8812278488077
Belgium,BEL,2009,78.4126727330146
Belize,BLZ,1987,19.5489093303529
Belize,BLZ,2000,9.40015540309322
Benin,BEN,1985,25.0326332831458
Benin,BEN,2001,38.6209634435656
Bhutan,BTN,2008,3.93737823580269
Bolivia,BOL,1987,6.7196964200433
Bolivia,BOL,2009,9.03777890237019
Bosnia and Herzegovina,BIH,2005,44.6636686997977
Bosnia and Herzegovina,BIH,2012,52.2749048389544
Bosnia and Herzegovina,BIH,2013,53.6825322851186
Botswana,BWA,1985,33.8637671726315
Botswana,BWA,1992,52.0547476545556
Botswana,BWA,1995,46.3677923583248
Botswana,BWA,2000,44.1419309085617
Brazil,BRA,1987,34.0528145362045
Brazil,BRA,1996,25.8636928928497
Brazil,BRA,2006,31.7738564386677
Brazil,BRA,2010,29.5382675341377
Brunei,BRN,1991,130.202872831143
Brunei,BRN,1994,116.575295355623
Bulgaria,BGR,1980,2.01466122966375
Bulgaria,BGR,1985,2.39011940778321
Bulgaria,BGR,1990,4.84289169524329
Bulgaria,BGR,2002,5.39151700771412
Bulgaria,BGR,2007,7.87875167191708
Bulgaria,BGR,2012,9.02802575426007
Bulgaria,BGR,2015,9.70670243776891
Burkina Faso,BFA,1985,8.96468087422924
Burkina Faso,BFA,1992,8.74494326634467
Burkina Faso,BFA,2001,7.51776785864545
Burkina Faso,BFA,2005,8.40048063745485
Burundi,BDI,1987,16.1792000419458
Burundi,BDI,2000,5.07272771722393
Cambodia,KHM,2006,4.12771185041422
Cameroon,CMR,1987,46.9877897050516
Cameroon,CMR,1992,36.843931952134
Cameroon,CMR,2000,18.3883729326805
Canada,CAN,1986,21.5700370245909
Canada,CAN,1991,22.0119123076518
Canada,CAN,1996,26.5477620636742
Canada,CAN,2007,38.6446656447111
Canada,CAN,2009,40.340237644432
Cape Verde,CPV,2001,47.7651273422872
Caribbean small states,,1987,5.1668216148579
Caribbean small states,,1990,407.25000631762
Caribbean small states,,1992,0.861364159972146
Caribbean small states,,1993,13.0424095153803
Caribbean small states,,1995,44.9701266580621
Caribbean small states,,1996,40.9517191264295
Caribbean small states,,1997,33.4381832431171
Caribbean small states,,2000,6.6366904548949
Caribbean small states,,2004,25.5278160398291
Caribbean small states,,2005,62.2939507348357
Caribbean small states,,2006,5.98064514256689
Caribbean small states,,2007,18.0517859518234
Caribbean small states,,2010,1.88877095520108
Caribbean small states,,2011,65.7130442994096
Caribbean small states,,2012,112.914454571464
Caribbean small states,,2013,88.650172554217
Caribbean small states,,2014,59.8381982978202
Central African Republic,CAF,1987,69.9777702186677
Central African Republic,CAF,2000,23.3659048881614
Central African Republic,CAF,2005,23.367674632061
Central Europe and the Baltics,,1992,14.8693303728988
Central Europe and the Baltics,,1995,6.97036139222779
Central Europe and the Baltics,,1996,15.3874192331308
Central Europe and the Baltics,,1997,20.383696060526
Central Europe and the Baltics,,2001,9.33795175978504
Central Europe and the Baltics,,2002,23.2955947924098
Central Europe and the Baltics,,2007,31.7425969271319
Central Europe and the Baltics,,2011,62.8412501600675
Central Europe and the Baltics,,2012,38.1154972024694
Central Europe and the Baltics,,2013,51.3229154243936
Central Europe and the Baltics,,2014,52.8662757623264
Central Europe and the Baltics,,2015,9.70670243776891
Chad,TCD,1987,14.6639628644666
Chad,TCD,2002,5.50443583587472
Chad,TCD,2005,9.55880063061148
Chile,CHL,1992,4.6520122891311
Chile,CHL,2006,5.46175439723875
China,CHN,1980,0.769347094275164
China,CHN,1985,1.17685638555378
China,CHN,1990,1.65912393595269
China,CHN,1993,2.2443109651426
China,CHN,2000,4.06889878789564
China,CHN,2007,8.04582463996343
China,CHN,2012,12.0163216990958
China,CHN,2015,14.9920915154761
Colombia,COL,2000,24.8504045382732
Colombia,COL,2008,23.0729636965137
Comoros,COM,1999,39.4569477216427
Congo,COG,1987,156.965829613752
Congo,COG,2002,180.009107403031
Costa Rica,CRI,2013,17.7515762634262
Cote d'Ivoire,CIV,1987,24.3308583088707
Cote d'Ivoire,CIV,1990,16.1492004047621
Cote d'Ivoire,CIV,1994,14.4783590324929
Cote d'Ivoire,CIV,2000,15.8271215058117
Cote d'Ivoire,CIV,2005,14.3968799478242
Croatia,HRV,2012,87.0998597272571
Croatia,HRV,2013,91.3823891563553
Cuba,CUB,1995,5.95242772554338
Cuba,CUB,2007,12.0475660561438
Cuba,CUB,2013,10.058374257741
Cyprus,CYP,1975,24.6625536106803
Cyprus,CYP,1980,37.8610535279218
Cyprus,CYP,1985,43.8612768180306
Cyprus,CYP,1990,55.0173711703276
Cyprus,CYP,1993,65.4618010182941
Cyprus,CYP,2002,118.977665212226
Cyprus,CYP,2007,150.697711910528
Cyprus,CYP,2012,124.114238093194
Cyprus,CYP,2013,105.432348785488
Czech Republic,CZE,1997,57.7798585584753
Czech Republic,CZE,2002,83.2501885799024
Czech Republic,CZE,2007,105.400465956769
Czech Republic,CZE,2012,113.784609023781
Czech Republic,CZE,2013,126.341989925303
Democratic Republic of Congo,COD,2000,23.3864862773925
Democratic Republic of Congo,COD,2005,24.0880420414825
Denmark,DNK,1970,209.074628074641
Denmark,DNK,1975,135.640783934907
Denmark,DNK,1980,154.660970251208
Denmark,DNK,1985,125.1299415376
Denmark,DNK,1990,183.889701027276
Denmark,DNK,1997,297.722007473684
Denmark,DNK,2002,462.671070157711
Denmark,DNK,2007,601.1172822875
Denmark,DNK,2012,513.404503266963
Dominica,DMA,1996,21.6013414518442
Dominica,DMA,2000,23.2589685862496
Dominica,DMA,2004,25.5278160398291
Dominica,DMA,2010,24.6912203703704
Dominican Republic,DOM,2000,7.07086218113077
Dominican Republic,DOM,2005,7.48158466632685
Dominican Republic,DOM,2010,7.56380639739673
Early-demographic dividend,,1970,32.443838047547
Early-demographic dividend,,1975,1.12145751772467
Early-demographic dividend,,1976,6.99518722422986
Early-demographic dividend,,1980,1.90566146683627
Early-demographic dividend,,1985,24.1847602727744
Early-demographic dividend,,1986,0.899344472185702
Early-demographic dividend,,1987,1.53269409834089
Early-demographic dividend,,1990,2.02831750881831
Early-demographic dividend,,1991,0.572922266820017
Early-demographic dividend,,1992,15.48880071351
Early-demographic dividend,,1994,0.325778132051673
Early-demographic dividend,,1995,5.56001488371656
Early-demographic dividend,,2000,2.55059693341321
Early-demographic dividend,,2001,3.09977185758735
Early-demographic dividend,,2002,13.440497455047
Early-demographic dividend,,2003,13.833962146225
Early-demographic dividend,,2004,4.76883558700438
Early-demographic dividend,,2005,3.26983550514501
Early-demographic dividend,,2006,5.50349648655084
Early-demographic dividend,,2007,13.9436834585172
Early-demographic dividend,,2008,4.21105385313018
Early-demographic dividend,,2009,2.48321205557771
Early-demographic dividend,,2010,2.68539875511353
Early-demographic dividend,,2011,11.6827751964003
Early-demographic dividend,,2012,14.3778774051833
Early-demographic dividend,,2013,26.196735867327
Early-demographic dividend,,2014,59.8381982978202
Early-demographic dividend,,2015,14.4484102451304
Early-demographic dividend,,2016,4.9618223914913
East Asia & Pacific,,1985,1.27022578788681
East Asia & Pacific,,1987,0.365326688829156
East Asia & Pacific,,1990,2.6182535846201
East Asia & Pacific,,1991,130.202872831143
East Asia & Pacific,,1992,53.6718121222907
East Asia & Pacific,,1993,2.24835345705079
East Asia & Pacific,,1994,116.575295355623
East Asia & Pacific,,1996,31.1334041534412
East Asia & Pacific,,1997,51.4393792200997
East Asia & Pacific,,1999,34.79854735854
East Asia & Pacific,,2000,4.08125209921513
East Asia & Pacific,,2001,40.2390646486487
East Asia & Pacific,,2002,54.3419682333838
East Asia & Pacific,,2004,1.6498556636231
East Asia & Pacific,,2005,15.2023358410262
East Asia & Pacific,,2006,3.68956512645405
East Asia & Pacific,,2007,15.1240587158786
East Asia & Pacific,,2009,34.6717666362308
East Asia & Pacific,,2010,28.1837784153683
East Asia & Pacific,,2012,13.6941452080208
East Asia & Pacific,,2015,16.7285997076578
East Asia & Pacific (IDA & IBRD),,1985,1.11994824250054
East Asia & Pacific (IDA & IBRD),,1987,0.365326688829156
East Asia & Pacific (IDA & IBRD),,1990,2.08949390741971
East Asia & Pacific (IDA & IBRD),,1993,2.24835345705079
East Asia & Pacific (IDA & IBRD),,1996,25.7983264883779
East Asia & Pacific (IDA & IBRD),,2000,4.08125209921513
East Asia & Pacific (IDA & IBRD),,2004,1.6498556636231
East Asia & Pacific (IDA & IBRD),,2005,3.18239321420519
East Asia & Pacific (IDA & IBRD),,2006,2.20297624694076
East Asia & Pacific (IDA & IBRD),,2007,7.81189238568207
East Asia & Pacific (IDA & IBRD),,2009,2.34069643983321
East Asia & Pacific (IDA & IBRD),,2012,12.0163216990958
East Asia & Pacific (IDA & IBRD),,2015,14.9920915154761
East Asia & Pacific (excluding high income),,1985,1.11994824250054
East Asia & Pacific (excluding high income),,1987,0.365326688829156
East Asia & Pacific (excluding high income),,1990,2.0894939074197
East Asia & Pacific (excluding high income),,1993,2.24835345705079
East Asia & Pacific (excluding high income),,1996,25.7983264883779
East Asia & Pacific (excluding high income),,2000,4.08125209921513
East Asia & Pacific (excluding high income),,2004,1.6498556636231
East Asia & Pacific (excluding high income),,2005,3.18239321420519
East Asia & Pacific (excluding high income),,2006,2.20297624694076
East Asia & Pacific (excluding high income),,2007,7.81189238568207
East Asia & Pacific (excluding high income),,2009,2.34069643983321
East Asia & Pacific (excluding high income),,2012,12.0163216990958
East Asia & Pacific (excluding high income),,2015,14.9920915154761
Ecuador,ECU,2000,4.9598986952454
Ecuador,ECU,2005,5.93750359711322
Egypt,EGY,1975,0.683639344736519
Egypt,EGY,1995,1.80509436126944
Egypt,EGY,2000,2.3910066332983
Egypt,EGY,2010,2.96596645670397
El Salvador,SLV,1992,16.9022052495263
El Salvador,SLV,2000,11.4556244129983
El Salvador,SLV,2005,8.02606053212235
Equatorial Guinea,GNQ,1987,21.7641261247788
Equatorial Guinea,GNQ,2000,193.628283913148
Eritrea,ERI,2000,4.69118532260193
Eritrea,ERI,2004,3.68648094294485
Estonia,EST,1995,7.73723773942265
Estonia,EST,2002,11.2717911238793
Estonia,EST,2007,12.8856086181595
Estonia,EST,2012,13.4120341187339
Estonia,EST,2014,13.3390909871139
Ethiopia,ETH,2002,2.58632498888644
Ethiopia,ETH,2005,2.2720742810535
Ethiopia,ETH,2016,4.9618223914913
Euro area,,1970,23.6748059166577
Euro area,,1975,19.6443307521115
Euro area,,1980,33.5530447537127
Euro area,,1985,45.8636860299646
Euro area,,1986,15.780766633809
Euro area,,1990,68.9542509411478
Euro area,,1991,43.2766315788339
Euro area,,1992,45.7261155008348
Euro area,,1993,65.4618010182941
Euro area,,1994,81.0654404805163
Euro area,,1995,57.1126075201807
Euro area,,1996,94.5775409515321
Euro area,,1997,47.1977699529659
Euro area,,1998,18.4299787067235
Euro area,,1999,98.7583659165856
Euro area,,2000,45.7011931539097
Euro area,,2001,76.477392968073
Euro area,,2002,55.8464978992849
Euro area,,2006,37.7287394141066
Euro area,,2007,70.7192052661913
Euro area,,2008,41.135302883418
Euro area,,2009,101.887281679142
Euro area,,2010,104.40730522432
Euro area,,2011,62.8412501600675
Euro area,,2012,64.1454302637648
Euro area,,2013,96.882215305187
Euro area,,2014,52.8662757623264
Europe & Central Asia,,1990,50.8398661260013
Europe & Central Asia,,1991,43.2766315788339
Europe & Central Asia,,1992,28.7231665468987
Europe & Central Asia,,1993,65.4618010182941
Europe & Central Asia,,1994,5.89198429854968
Europe & Central Asia,,1995,47.9562798251928
Europe & Central Asia,,1996,62.85532648833
Europe & Central Asia,,1997,42.866538639757
Europe & Central Asia,,1998,18.4299787067235
Europe & Central Asia,,1999,98.7583659165856
Europe & Central Asia,,2000,17.4862065656139
Europe & Central Asia,,2001,26.1010495832215
Europe & Central Asia,,2002,53.8830006145897
Europe & Central Asia,,2003,13.7485325374097
Europe & Central Asia,,2004,0.858967365464908
Europe & Central Asia,,2005,3.04344420316892
Europe & Central Asia,,2006,9.93909277933464
Europe & Central Asia,,2007,68.9070759560787
Europe & Central Asia,,2008,30.4412849419734
Europe & Central Asia,,2009,101.887281679142
Europe & Central Asia,,2010,61.3233828828981
Europe & Central Asia,,2011,62.8412501600675
Europe & Central Asia,,2012,67.9872692674398
Europe & Central Asia,,2013,31.1826666973965
Europe & Central Asia,,2014,52.8662757623264
Europe & Central Asia,,2015,8.86875657515973
Europe & Central Asia (IDA & IBRD),,1990,5.73708427699522
Europe & Central Asia (IDA & IBRD),,1992,10.88623719436
Europe & Central Asia (IDA & IBRD),,1994,5.38931764437334
Europe & Central Asia (IDA & IBRD),,1995,2.24809758804746
Europe & Central Asia (IDA & IBRD),,1996,3.94511919076953
Europe & Central Asia (IDA & IBRD),,1997,10.7352239075643
Europe & Central Asia (IDA & IBRD),,2000,5.98644077382896
Europe & Central Asia (IDA & IBRD),,2001,8.51175069818895
Europe & Central Asia (IDA & IBRD),,2002,10.3481624994007
Europe & Central Asia (IDA & IBRD),,2003,13.7485325374097
Europe & Central Asia (IDA & IBRD),,2004,0.437686919905545
Europe & Central Asia (IDA & IBRD),,2005,3.04344420316892
Europe & Central Asia (IDA & IBRD),,2006,0.915158633581794
Europe & Central Asia (IDA & IBRD),,2007,15.8010535452897
Europe & Central Asia (IDA & IBRD),,2008,17.3128226540386
Europe & Central Asia (IDA & IBRD),,2010,9.45354641128697
Europe & Central Asia (IDA & IBRD),,2012,21.0564294390574
Europe & Central Asia (IDA & IBRD),,2013,27.6911582612153
Europe & Central Asia (IDA & IBRD),,2015,7.42816184776317
Europe & Central Asia (excluding high income),,1990,5.73708427699522
Europe & Central Asia (excluding high income),,1992,9.66395598617574
Europe & Central Asia (excluding high income),,1994,5.38931764437334
Europe & Central Asia (excluding high income),,1995,2.24809758804746
Europe & Central Asia (excluding high income),,1996,3.94511919076953
Europe & Central Asia (excluding high income),,1997,4.82078029318606
Europe & Central Asia (excluding high income),,2000,5.98644077382896
Europe & Central Asia (excluding high income),,2001,8.51175069818895
Europe & Central Asia (excluding high income),,2002,5.74697316145759
Europe & Central Asia (excluding high income),,2003,13.7485325374097
Europe & Central Asia (excluding high income),,2004,0.437686919905545
Europe & Central Asia (excluding high income),,2005,3.04344420316892
Europe & Central Asia (excluding high income),,2006,0.915158633581794
Europe & Central Asia (excluding high income),,2007,9.95478063146047
Europe & Central Asia (excluding high income),,2008,17.3128226540386
Europe & Central Asia (excluding high income),,2010,9.45354641128697
Europe & Central Asia (excluding high income),,2012,11.0216281283044
Europe & Central Asia (excluding high income),,2013,27.141266459955
Europe & Central Asia (excluding high income),,2015,7.42816184776317
European Union,,1970,28.3042879526588
European Union,,1975,25.7193489176873
European Union,,1980,37.9706058981586
European Union,,1985,51.880840722547
European Union,,1986,15.780766633809
European Union,,1990,51.9883788669783
European Union,,1991,43.2766315788339
European Union,,1992,39.2884847498937
European Union,,1993,65.4618010182941
European Union,,1994,81.0654404805163
European Union,,1995,73.5976488761772
European Union,,1996,56.5546415724803
European Union,,1997,44.4698358668531
European Union,,1998,18.4299787067235
European Union,,1999,98.7583659165856
European Union,,2000,45.7011931539097
European Union,,2001,76.477392968073
European Union,,2002,60.0777896791785
European Union,,2006,37.7287394141066
European Union,,2007,77.1948686958661
European Union,,2008,41.135302883418
European Union,,2009,101.887281679142
European Union,,2010,109.707819528696
European Union,,2011,62.8412501600675
European Union,,2012,75.8577645172664
European Union,,2013,58.5008150358664
European Union,,2014,52.8662757623264
European Union,,2015,9.70670243776891
Fiji,FJI,1987,61.9346772999986
Fiji,FJI,2000,32.9162666094363
Fiji,FJI,2005,35.7095204757258
Finland,FIN,1970,25.6470668167503
Finland,FIN,1975,29.5610252642401
Finland,FIN,1980,33.1474805200403
Finland,FIN,1985,35.2829986211982
Finland,FIN,1990,71.2057312167705
Finland,FIN,1995,63.1995274183897
Finland,FIN,1999,85.14205982678
Finland,FIN,2006,37.7287394141066
Fragile and conflict affected situations,,1980,1.11970588144904
Fragile and conflict affected situations,,1982,16.9782369420171
Fragile and conflict affected situations,,1985,0.993524168030992
Fragile and conflict affected situations,,1987,1.75577021383839
Fragile and conflict affected situations,,1990,2.17267254469816
Fragile and conflict affected situations,,1991,39.381316649195
Fragile and conflict affected situations,,1994,14.6347997863757
Fragile and conflict affected situations,,1995,0.863054481111617
Fragile and conflict affected situations,,1996,4.63640707133212
Fragile and conflict affected situations,,1999,39.4569477216427
Fragile and conflict affected situations,,2000,2.33631200063243
Fragile and conflict affected situations,,2001,10.1143855443686
Fragile and conflict affected situations,,2002,5.63622201593623
Fragile and conflict affected situations,,2004,2.32563440510842
Fragile and conflict affected situations,,2005,13.4643131166903
Fragile and conflict affected situations,,2006,1.72094694110562
Fragile and conflict affected situations,,2007,2.73606644315642
Fragile and conflict affected situations,,2009,4.83297706229578
Fragile and conflict affected situations,,2011,2.38925391196996
Fragile and conflict affected situations,,2012,10.985416504606
Fragile and conflict affected situations,,2015,9.71329357260169
France,FRA,1980,48.1178702836075
France,FRA,1985,46.2308896049909
France,FRA,1992,49.8546940395829
France,FRA,1997,69.4404961299663
France,FRA,2002,74.6365421714032
France,FRA,2007,85.9955318070252
France,FRA,2012,90.6569508067664
Gabon,GAB,1987,136.930704979908
Gabon,GAB,2000,103.746799337718
Gabon,GAB,2005,96.6300237788012
Gambia,GMB,1982,16.9782369420171
Gambia,GMB,2000,7.21550795279964
Georgia,GEO,2005,4.98754334960535
Georgia,GEO,2008,6.23639900894522
Germany,DEU,1991,58.3498253565297
Germany,DEU,1995,62.8533719931114
Germany,DEU,2001,81.2291693235969
Germany,DEU,2007,106.67563358157
Germany,DEU,2010,103.579707870535
Ghana,GHA,1970,31.342566027358
Ghana,GHA,2000,18.6925878656142
Greece,GRC,1970,27.6812335051867
Greece,GRC,1975,35.1928107051053
Greece,GRC,1980,36.6973498918901
Greece,GRC,1985,33.8765225210014
Greece,GRC,1992,25.5614961056785
Greece,GRC,1997,26.0225443410742
Greece,GRC,2002,29.5009164672397
Greece,GRC,2007,34.6148893907546
Grenada,GRD,2005,80.6847560795381
Grenada,GRD,2014,59.8381982978202
Guatemala,GTM,2006,10.9536399858311
Guinea,GIN,1987,4.11403539944656
Guinea,GIN,2001,9.65147621220139
Guinea-Bissau,GNB,1991,39.381316649195
Guinea-Bissau,GNB,1996,4.63640707133212
Guinea-Bissau,GNB,2000,3.78131751191568
Guyana,GUY,1992,0.861364159972147
Guyana,GUY,2000,1.08150667940788
Guyana,GUY,2010,1.57316611900496
Haiti,HTI,2009,4.83297706229578
Heavily indebted poor countries (HIPC),,1970,31.342566027358
Heavily indebted poor countries (HIPC),,1980,2.40380611408306
Heavily indebted poor countries (HIPC),,1982,16.9782369420171
Heavily indebted poor countries (HIPC),,1984,0.302517144983303
Heavily indebted poor countries (HIPC),,1985,13.3833677866813
Heavily indebted poor countries (HIPC),,1987,11.1738615178962
Heavily indebted poor countries (HIPC),,1988,6.15190924742113
Heavily indebted poor countries (HIPC),,1990,11.7623360180398
Heavily indebted poor countries (HIPC),,1991,39.381316649195
Heavily indebted poor countries (HIPC),,1992,6.91020188374153
Heavily indebted poor countries (HIPC),,1994,7.47899091401517
Heavily indebted poor countries (HIPC),,1996,4.63640707133212
Heavily indebted poor countries (HIPC),,1999,39.4569477216427
Heavily indebted poor countries (HIPC),,2000,4.29652198506823
Heavily indebted poor countries (HIPC),,2001,7.55917247014696
Heavily indebted poor countries (HIPC),,2002,4.88041165018999
Heavily indebted poor countries (HIPC),,2003,7.32881027901244
Heavily indebted poor countries (HIPC),,2004,3.68648094294485
Heavily indebted poor countries (HIPC),,2005,5.60131165650783
Heavily indebted poor countries (HIPC),,2006,0.901257292453338
Heavily indebted poor countries (HIPC),,2008,28.0883075145856
Heavily indebted poor countries (HIPC),,2009,7.31449945971674
Heavily indebted poor countries (HIPC),,2010,1.57316611900496
Heavily indebted poor countries (HIPC),,2011,2.58663686769847
Heavily indebted poor countries (HIPC),,2015,9.71329357260169
Heavily indebted poor countries (HIPC),,2016,4.9618223914913
High income,,1975,26.38689698908
High income,,1976,6.99518722422986
High income,,1980,21.0292694375116
High income,,1985,63.5926236260699
High income,,1986,19.1220915566865
High income,,1989,41.1750968861724
High income,,1990,23.4462027135866
High income,,1991,36.5966242055437
High income,,1992,42.5291262597143
High income,,1993,65.4618010182941
High income,,1994,111.465535874806
High income,,1995,55.3333543778715
High income,,1996,36.2085995829536
High income,,1997,51.5381542668765
High income,,1998,18.4299787067235
High income,,1999,62.4313639680891
High income,,2000,28.8013421168506
High income,,2001,64.1841041475419
High income,,2002,63.3652469827737
High income,,2003,41.9940317937827
High income,,2004,123.338361897246
High income,,2005,31.5473801119362
High income,,2006,15.181033340009
High income,,2007,73.3795147071276
High income,,2008,41.135302883418
High income,,2009,60.929923319827
High income,,2010,42.001828291467
High income,,2011,13.2078642178309
High income,,2012,83.0909484771384
High income,,2013,108.267958362405
High income,,2014,52.8662757623264
High income,,2015,77.9124330196152
Honduras,HND,2003,7.32881027901244
Hungary,HUN,1992,12.4720190568609
Hungary,HUN,1996,15.3874192331308
Hungary,HUN,2002,20.3264397027914
Hungary,HUN,2007,24.721182184481
Hungary,HUN,2012,25.9177624506756
IBRD only,,1965,22.3652825921971
IBRD only,,1970,33.641378818531
IBRD only,,1975,1.26952326373678
IBRD only,,1976,6.99518722422986
IBRD only,,1980,1.3286178787083
IBRD only,,1985,1.36582834028365
IBRD only,,1986,0.736016016307733
IBRD only,,1987,33.0487221724597
IBRD only,,1989,41.1750968861724
IBRD only,,1990,1.92375006821544
IBRD only,,1991,21.5924927668834
IBRD only,,1992,9.0415611968065
IBRD only,,1993,2.26333949092806
IBRD only,,1994,9.25304512371417
IBRD only,,1995,3.78716209888418
IBRD only,,1996,25.3070029274574
IBRD only,,1997,10.9123996944802
IBRD only,,2000,3.59086232390948
IBRD only,,2001,8.89639509511178
IBRD only,,2002,10.9358051885219
IBRD only,,2003,13.6797959398044
IBRD only,,2004,3.30799263491513
IBRD only,,2005,5.18042714838821
IBRD only,,2006,12.6902945361888
IBRD only,,2007,9.21978196491409
IBRD only,,2008,16.84605816866
IBRD only,,2009,2.44247994889565
IBRD only,,2010,5.41206318154035
IBRD only,,2011,12.4714117222863
IBRD only,,2012,12.862166095008
IBRD only,,2013,27.1852121093841
IBRD only,,2015,14.8261191879735
IDA & IBRD total,,1970,33.5336219689448
IDA & IBRD total,,1975,1.03048492628085
IDA & IBRD total,,1976,6.99518722422986
IDA & IBRD total,,1980,1.32939513193889
IDA & IBRD total,,1982,16.9782369420171
IDA & IBRD total,,1984,0.302517144983303
IDA & IBRD total,,1985,1.37384632736778
IDA & IBRD total,,1986,0.736016016307733
IDA & IBRD total,,1987,18.3281887622726
IDA & IBRD total,,1988,6.15190924742113
IDA & IBRD total,,1989,41.1750968861724
IDA & IBRD total,,1990,1.95783575707024
IDA & IBRD total,,1991,0.577055446859111
IDA & IBRD total,,1992,8.96300974963163
IDA & IBRD total,,1993,2.26735940382136
IDA & IBRD total,,1994,5.50103110696732
IDA & IBRD total,,1995,3.78858411691188
IDA & IBRD total,,1996,25.2477242827888
IDA & IBRD total,,1997,10.9123996944802
IDA & IBRD total,,1999,39.4569477216427
IDA & IBRD total,,2000,3.29370732519776
IDA & IBRD total,,2001,6.81691460125724
IDA & IBRD total,,2002,10.1263564462596
IDA & IBRD total,,2003,13.3709981624408
IDA & IBRD total,,2004,3.29695955159503
IDA & IBRD total,,2005,5.10498672918839
IDA & IBRD total,,2006,10.1424297887282
IDA & IBRD total,,2007,9.18593350066791
IDA & IBRD total,,2008,5.04330884447628
IDA & IBRD total,,2009,2.5461549400416
IDA & IBRD total,,2010,5.77944540989545
IDA & IBRD total,,2011,8.43417375595341
IDA & IBRD total,,2012,12.862166095008
IDA & IBRD total,,2013,27.1904959024725
IDA & IBRD total,,2014,59.8381982978202
IDA & IBRD total,,2015,14.8152255409709
IDA & IBRD total,,2016,4.9618223914913
IDA blend,,1975,0.209618860809065
IDA blend,,1987,18.9073361917685
IDA blend,,1990,10.6223127647245
IDA blend,,1991,0.539326076695559
IDA blend,,1992,36.843931952134
IDA blend,,1993,7.21079562659194
IDA blend,,1994,0.311449599264232
IDA blend,,1995,44.9701266580621
IDA blend,,1996,21.6013414518442
IDA blend,,2000,1.6441504013221
IDA blend,,2001,0.4065705327254
IDA blend,,2002,5.29896333156003
IDA blend,,2003,12.1290009885898
IDA blend,,2004,1.98333550734262
IDA blend,,2005,4.87632640085111
IDA blend,,2006,10.5596371303801
IDA blend,,2007,3.51372061091308
IDA blend,,2008,0.925305566171392
IDA blend,,2009,12.2672322215439
IDA blend,,2010,26.07310780014
IDA blend,,2013,88.650172554217
IDA blend,,2014,59.8381982978202
IDA only,,1970,31.342566027358
IDA only,,1980,2.40380611408306
IDA only,,1982,16.9782369420171
IDA only,,1984,0.302517144983303
IDA only,,1985,13.3833677866813
