Entity,Code,Year,Pri_adj_Enroll_% – Lee-Lee (2016) (%)
Australia,AUS,1990,98
Australia,AUS,1995,99.8
Australia,AUS,2000,95
Australia,AUS,2005,95
Australia,AUS,2010,96
Austria,AUT,1820,27.4
Austria,AUT,1825,29.1
Austria,AUT,1830,30.9
Austria,AUT,1835,32.7
Austria,AUT,1840,34.6
Austria,AUT,1845,36.5
Austria,AUT,1850,38.5
Austria,AUT,1855,40.5
Austria,AUT,1860,42.6
Austria,AUT,1865,44.7
Austria,AUT,1870,46.8
Austria,AUT,1875,54.2
Austria,AUT,1880,61.7
Austria,AUT,1885,67.8
Austria,AUT,1890,74
Austria,AUT,1895,76.1
Austria,AUT,1900,78.3
Austria,AUT,1905,80.3
Austria,AUT,1910,82.3
Austria,AUT,1915,90.1
Austria,AUT,1920,97.9
Austria,AUT,1925,99
Austria,AUT,1930,100
Austria,AUT,1935,100
Austria,AUT,1940,100
Austria,AUT,1945,100
Austria,AUT,1950,100
Austria,AUT,1955,100
Austria,AUT,1960,91
Austria,AUT,1965,92
Austria,AUT,1970,92
Austria,AUT,1975,89
Austria,AUT,1980,87
Austria,AUT,1985,86
Austria,AUT,1990,91
Austria,AUT,1995,97
Austria,AUT,2000,100
Austria,AUT,2005,98.8
Austria,AUT,2010,97.5
Bangladesh,BGD,1820,0
Bangladesh,BGD,1825,0
Bangladesh,BGD,1830,0.1
Bangladesh,BGD,1835,0.1
Bangladesh,BGD,1840,0.1
Bangladesh,BGD,1845,0.1
Bangladesh,BGD,1850,0.2
Bangladesh,BGD,1855,0.3
Bangladesh,BGD,1860,0.3
Bangladesh,BGD,1865,0.5
Bangladesh,BGD,1870,0.6
Bangladesh,BGD,1875,0.8
Bangladesh,BGD,1880,1.1
Bangladesh,BGD,1885,1.4
Bangladesh,BGD,1890,1.9
Bangladesh,BGD,1895,2.5
Bangladesh,BGD,1900,3.2
Bangladesh,BGD,1905,4.2
Bangladesh,BGD,1910,5.6
Bangladesh,BGD,1915,7.2
Bangladesh,BGD,1920,9.4
Bangladesh,BGD,1925,12.1
Bangladesh,BGD,1930,15.4
Bangladesh,BGD,1935,19.5
Bangladesh,BGD,1940,24.3
Bangladesh,BGD,1945,29.9
Bangladesh,BGD,1950,33.5
Bangladesh,BGD,1955,37.2
Bangladesh,BGD,1960,40.9
Bangladesh,BGD,1965,42.6
Bangladesh,BGD,1970,47
Bangladesh,BGD,1975,61
Bangladesh,BGD,1980,53.8
Bangladesh,BGD,1985,54
Bangladesh,BGD,1990,69
Bangladesh,BGD,1995,69
Bangladesh,BGD,2000,95.9
Bangladesh,BGD,2005,88.9
Bangladesh,BGD,2010,91
Barbados,BRB,1820,9.5
Barbados,BRB,1825,11.2
Barbados,BRB,1830,13.3
Barbados,BRB,1835,15.6
Barbados,BRB,1840,18.2
Barbados,BRB,1845,21.2
Barbados,BRB,1850,24.6
Barbados,BRB,1855,28.3
Barbados,BRB,1860,37.6
Barbados,BRB,1865,36.9
Barbados,BRB,1870,42.8
Barbados,BRB,1875,35.6
Barbados,BRB,1880,38.1
Barbados,BRB,1885,34.4
Barbados,BRB,1890,43
Barbados,BRB,1895,42.4
Barbados,BRB,1900,71.6
Barbados,BRB,1905,73.9
Barbados,BRB,1910,82.1
Barbados,BRB,1915,66.9
Barbados,BRB,1920,54.8
Barbados,BRB,1925,63
Barbados,BRB,1930,65.4
Barbados,BRB,1935,70.6
Barbados,BRB,1940,81
Barbados,BRB,1945,86.6
Barbados,BRB,1950,68.8
Barbados,BRB,1955,69
Barbados,BRB,1960,96.4
Barbados,BRB,1965,98.1
Barbados,BRB,1970,91
Barbados,BRB,1975,100
Barbados,BRB,1980,96
Barbados,BRB,1985,94.8
Barbados,BRB,1990,96
Barbados,BRB,1995,96
Barbados,BRB,2000,94
Barbados,BRB,2005,91
Barbados,BRB,2010,96
Belgium,BEL,1820,36.4
Belgium,BEL,1825,38.8
Belgium,BEL,1830,41.3
Belgium,BEL,1835,57.4
Belgium,BEL,1840,63.8
Belgium,BEL,1845,59
Belgium,BEL,1850,68.4
Belgium,BEL,1855,73.1
Belgium,BEL,1860,69.8
Belgium,BEL,1865,73.7
Belgium,BEL,1870,72
Belgium,BEL,1875,76.3
Belgium,BEL,1880,36.3
Belgium,BEL,1885,59.4
Belgium,BEL,1890,60.2
Belgium,BEL,1895,68.4
Belgium,BEL,1900,74.2
Belgium,BEL,1905,75.9
Belgium,BEL,1910,77.7
Belgium,BEL,1915,76.2
Belgium,BEL,1920,93.3
Belgium,BEL,1925,78.1
Belgium,BEL,1930,87.9
Belgium,BEL,1935,94.2
Belgium,BEL,1940,88.7
Belgium,BEL,1945,100
Belgium,BEL,1950,92
Belgium,BEL,1955,81.3
Belgium,BEL,1960,100
Belgium,BEL,1965,100
Belgium,BEL,1970,96
Belgium,BEL,1975,96.5
Belgium,BEL,1980,97
Belgium,BEL,1985,94
Belgium,BEL,1990,96
Belgium,BEL,1995,86.5
Belgium,BEL,2000,97.2
Belgium,BEL,2005,97.8
Belgium,BEL,2010,100
Belize,BLZ,1820,2
Belize,BLZ,1825,2.6
Belize,BLZ,1830,3.4
Belize,BLZ,1835,4.3
Belize,BLZ,1840,5.5
Belize,BLZ,1845,7.1
Belize,BLZ,1850,9
Belize,BLZ,1855,11.3
Belize,BLZ,1860,14.2
Belize,BLZ,1865,17.7
Belize,BLZ,1870,21.9
Belize,BLZ,1875,26.6
Belize,BLZ,1880,32.1
Belize,BLZ,1885,38
Belize,BLZ,1890,44.3
Belize,BLZ,1895,47.1
Belize,BLZ,1900,49.9
Belize,BLZ,1905,60.8
Belize,BLZ,1910,71.7
Belize,BLZ,1915,69.7
Belize,BLZ,1920,67.6
Belize,BLZ,1925,75.9
Belize,BLZ,1930,84.2
Belize,BLZ,1935,92.1
Belize,BLZ,1940,100
Belize,BLZ,1945,100
Belize,BLZ,1950,100
Belize,BLZ,1955,100
Belize,BLZ,1960,100
Belize,BLZ,1965,100
Belize,BLZ,1970,100
Belize,BLZ,1975,100
Belize,BLZ,1980,100
Belize,BLZ,1985,100
Belize,BLZ,1990,100
Belize,BLZ,1995,99
Belize,BLZ,2000,100
Belize,BLZ,2005,100
Belize,BLZ,2010,100
Benin,BEN,1820,0
Benin,BEN,1825,0
Benin,BEN,1830,0
Benin,BEN,1835,0
Benin,BEN,1840,0
Benin,BEN,1845,0
Benin,BEN,1850,0
Benin,BEN,1855,0.1
Benin,BEN,1860,0.1
Benin,BEN,1865,0.1
Benin,BEN,1870,0.1
Benin,BEN,1875,0.2
Benin,BEN,1880,0.2
Benin,BEN,1885,0.3
Benin,BEN,1890,0.4
Benin,BEN,1895,0.5
Benin,BEN,1900,0.7
Benin,BEN,1905,1
Benin,BEN,1910,1.3
Benin,BEN,1915,1.7
Benin,BEN,1920,2.2
Benin,BEN,1925,2.9
Benin,BEN,1930,3.8
Benin,BEN,1935,5
Benin,BEN,1940,5
Benin,BEN,1945,8.9
Benin,BEN,1950,12.8
Benin,BEN,1955,16.7
Benin,BEN,1960,20.6
Benin,BEN,1965,26
Benin,BEN,1970,28.2
Benin,BEN,1975,39.2
Benin,BEN,1980,50.2
Benin,BEN,1985,51
Benin,BEN,1990,45
Benin,BEN,1995,53.3
Benin,BEN,2000,64.9
Benin,BEN,2005,82.4
Benin,BEN,2010,100
Bolivia,BOL,1820,0.3
Bolivia,BOL,1825,0.4
Bolivia,BOL,1830,0.5
Bolivia,BOL,1835,0.7
Bolivia,BOL,1840,0.8
Bolivia,BOL,1845,1.1
Bolivia,BOL,1850,1.3
Bolivia,BOL,1855,1.7
Bolivia,BOL,1860,2.1
Bolivia,BOL,1865,2.6
Bolivia,BOL,1870,3.3
Bolivia,BOL,1875,4.2
Bolivia,BOL,1880,5.2
Bolivia,BOL,1885,6.4
Bolivia,BOL,1890,7.7
Bolivia,BOL,1895,9.3
Bolivia,BOL,1900,12.4
Bolivia,BOL,1905,17.7
Bolivia,BOL,1910,21.6
Bolivia,BOL,1915,22
Bolivia,BOL,1920,22.3
Bolivia,BOL,1925,22.7
Bolivia,BOL,1930,23.3
Bolivia,BOL,1935,23.9
Bolivia,BOL,1940,31.5
Bolivia,BOL,1945,35.1
Bolivia,BOL,1950,38.1
Bolivia,BOL,1955,53.3
Bolivia,BOL,1960,55
Bolivia,BOL,1965,62.7
Bolivia,BOL,1970,65.3
Bolivia,BOL,1975,73
Bolivia,BOL,1980,77
Bolivia,BOL,1985,79
Bolivia,BOL,1990,81
Bolivia,BOL,1995,81
Bolivia,BOL,2000,100
Bolivia,BOL,2005,100
Bolivia,BOL,2010,92.3
Brazil,BRA,1820,0.9
Brazil,BRA,1825,1.1
Brazil,BRA,1830,1.4
Brazil,BRA,1835,1.7
Brazil,BRA,1840,2.2
Brazil,BRA,1845,2.7
Brazil,BRA,1850,3.4
Brazil,BRA,1855,4.3
Brazil,BRA,1860,5.3
Brazil,BRA,1865,6.6
Brazil,BRA,1870,8.2
Brazil,BRA,1875,9.3
Brazil,BRA,1880,9.9
Brazil,BRA,1885,9.8
Brazil,BRA,1890,9.6
Brazil,BRA,1895,11.7
Brazil,BRA,1900,13.7
Brazil,BRA,1905,15.7
Brazil,BRA,1910,17.1
Brazil,BRA,1915,18.5
Brazil,BRA,1920,19.9
Brazil,BRA,1925,28.9
Brazil,BRA,1930,29.5
Brazil,BRA,1935,32.9
Brazil,BRA,1940,38
Brazil,BRA,1945,54.6
Brazil,BRA,1950,37.8
Brazil,BRA,1955,44.5
Brazil,BRA,1960,76.6
Brazil,BRA,1965,87.1
Brazil,BRA,1970,62
Brazil,BRA,1975,71
Brazil,BRA,1980,81
Brazil,BRA,1985,82
Brazil,BRA,1990,88
Brazil,BRA,1995,94.8
Brazil,BRA,2000,100
Brazil,BRA,2005,100
Brazil,BRA,2010,100
Bulgaria,BGR,1820,18.7
Bulgaria,BGR,1825,20
Bulgaria,BGR,1830,21.3
Bulgaria,BGR,1835,22.7
Bulgaria,BGR,1840,24.2
Bulgaria,BGR,1845,25.7
Bulgaria,BGR,1850,27.3
Bulgaria,BGR,1855,28.9
Bulgaria,BGR,1860,30.7
Bulgaria,BGR,1865,32.4
Bulgaria,BGR,1870,34.2
Bulgaria,BGR,1875,36.1
Bulgaria,BGR,1880,38
Bulgaria,BGR,1885,39.9
Bulgaria,BGR,1890,41.9
Bulgaria,BGR,1895,60.6
Bulgaria,BGR,1900,54
Bulgaria,BGR,1905,94.7
Bulgaria,BGR,1910,98.1
Bulgaria,BGR,1915,89.5
Bulgaria,BGR,1920,100
Bulgaria,BGR,1925,99.8
Bulgaria,BGR,1930,100
Bulgaria,BGR,1935,100
Bulgaria,BGR,1940,100
Bulgaria,BGR,1945,100
Bulgaria,BGR,1950,100
Bulgaria,BGR,1955,100
Bulgaria,BGR,1960,93
Bulgaria,BGR,1965,100
Bulgaria,BGR,1970,100
Bulgaria,BGR,1975,96
Bulgaria,BGR,1980,96
Bulgaria,BGR,1985,97
Bulgaria,BGR,1990,84
Bulgaria,BGR,1995,92.2
Bulgaria,BGR,2000,100
Bulgaria,BGR,2005,98.6
Bulgaria,BGR,2010,100
Cambodia,KHM,1820,0
Cambodia,KHM,1825,0
Cambodia,KHM,1830,0
Cambodia,KHM,1835,0
Cambodia,KHM,1840,0
Cambodia,KHM,1845,0
Cambodia,KHM,1850,0
Cambodia,KHM,1855,0
Cambodia,KHM,1860,0
Cambodia,KHM,1865,0
Cambodia,KHM,1870,0
Cambodia,KHM,1875,0
Cambodia,KHM,1880,0
Cambodia,KHM,1885,0
Cambodia,KHM,1890,0.1
Cambodia,KHM,1895,0.1
Cambodia,KHM,1900,0.2
Cambodia,KHM,1905,0.2
Cambodia,KHM,1910,0.4
Cambodia,KHM,1915,0.6
Cambodia,KHM,1920,1
Cambodia,KHM,1925,1.5
Cambodia,KHM,1930,2.3
Cambodia,KHM,1935,7.9
Cambodia,KHM,1940,9.4
Cambodia,KHM,1945,13
Cambodia,KHM,1950,21.2
Cambodia,KHM,1955,51.9
Cambodia,KHM,1960,54.2
Cambodia,KHM,1965,56.5
Cambodia,KHM,1970,58.9
Cambodia,KHM,1975,61.2
Cambodia,KHM,1980,63.5
Cambodia,KHM,1985,65.9
Cambodia,KHM,1990,68.2
Cambodia,KHM,1995,74.3
Cambodia,KHM,2000,80.3
Cambodia,KHM,2005,100
Cambodia,KHM,2010,100
Cameroon,CMR,1820,0
Cameroon,CMR,1825,0
Cameroon,CMR,1830,0.1
Cameroon,CMR,1835,0.1
Cameroon,CMR,1840,0.1
Cameroon,CMR,1845,0.1
Cameroon,CMR,1850,0.2
Cameroon,CMR,1855,0.2
Cameroon,CMR,1860,0.3
Cameroon,CMR,1865,0.3
Cameroon,CMR,1870,0.4
Cameroon,CMR,1875,0.6
Cameroon,CMR,1880,0.7
Cameroon,CMR,1885,2.5
Cameroon,CMR,1890,4.2
Cameroon,CMR,1895,2.6
Cameroon,CMR,1900,1
Cameroon,CMR,1905,2
Cameroon,CMR,1910,3
Cameroon,CMR,1915,3
Cameroon,CMR,1920,3.1
Cameroon,CMR,1925,4
Cameroon,CMR,1930,4.8
Cameroon,CMR,1935,11
Cameroon,CMR,1940,17.1
Cameroon,CMR,1945,25.7
Cameroon,CMR,1950,30.6
Cameroon,CMR,1955,45.2
Cameroon,CMR,1960,44.3
Cameroon,CMR,1965,64
Cameroon,CMR,1970,64
Cameroon,CMR,1975,69
Cameroon,CMR,1980,75.4
Cameroon,CMR,1985,79
Cameroon,CMR,1990,76
Cameroon,CMR,1995,62.5
Cameroon,CMR,2000,60.9
Cameroon,CMR,2005,74
Cameroon,CMR,2010,92.1
Canada,CAN,1820,56.8
Canada,CAN,1825,59.5
Canada,CAN,1830,62.2
Canada,CAN,1835,64.8
Canada,CAN,1840,67.3
Canada,CAN,1845,69.7
Canada,CAN,1850,72
Canada,CAN,1855,74.2
Canada,CAN,1860,76.3
Canada,CAN,1865,78.3
Canada,CAN,1870,81.9
Canada,CAN,1875,84.6
Canada,CAN,1880,83.6
Canada,CAN,1885,87.3
Canada,CAN,1890,90.5
Canada,CAN,1895,92.4
Canada,CAN,1900,95.8
Canada,CAN,1905,90.4
Canada,CAN,1910,92.4
Canada,CAN,1915,88.2
Canada,CAN,1920,98.4
Canada,CAN,1925,100
Canada,CAN,1930,100
Canada,CAN,1935,100
Canada,CAN,1940,99
Canada,CAN,1945,90
Canada,CAN,1950,93.1
Canada,CAN,1955,96.3
Canada,CAN,1960,73
Canada,CAN,1965,69
Canada,CAN,1970,92
Canada,CAN,1975,90.6
Canada,CAN,1980,93.8
Canada,CAN,1985,97
Canada,CAN,1990,98
Canada,CAN,1995,93.4
Canada,CAN,2000,99
Canada,CAN,2005,99.2
Canada,CAN,2010,99.4
Chile,CHL,1820,2.7
Chile,CHL,1825,3.4
Chile,CHL,1830,4.2
Chile,CHL,1835,5.2
Chile,CHL,1840,6.4
Chile,CHL,1845,7.8
Chile,CHL,1850,9.6
Chile,CHL,1855,11.1
Chile,CHL,1860,14.1
Chile,CHL,1865,16.7
Chile,CHL,1870,16.9
Chile,CHL,1875,17.1
Chile,CHL,1880,17.3
Chile,CHL,1885,15.7
Chile,CHL,1890,27.2
Chile,CHL,1895,31.1
Chile,CHL,1900,34.1
Chile,CHL,1905,43.1
Chile,CHL,1910,62.3
Chile,CHL,1915,65.8
Chile,CHL,1920,62
Chile,CHL,1925,76.9
Chile,CHL,1930,80.2
Chile,CHL,1935,70.7
Chile,CHL,1940,75.7
Chile,CHL,1945,74.4
Chile,CHL,1950,96
Chile,CHL,1955,100
Chile,CHL,1960,94.7
Chile,CHL,1965,100
Chile,CHL,1970,93
Chile,CHL,1975,96
Chile,CHL,1980,98.1
Chile,CHL,1985,94.1
Chile,CHL,1990,87
Chile,CHL,1995,92.1
Chile,CHL,2000,98
Chile,CHL,2005,100
Chile,CHL,2010,98
China,CHN,1820,0
China,CHN,1825,0
China,CHN,1830,0
China,CHN,1835,0
China,CHN,1840,0
China,CHN,1845,0
China,CHN,1850,0
China,CHN,1855,0
China,CHN,1860,0
China,CHN,1865,0
China,CHN,1870,0.1
China,CHN,1875,0.1
China,CHN,1880,0.2
China,CHN,1885,0.4
China,CHN,1890,0.6
China,CHN,1895,0.9
China,CHN,1900,1.4
China,CHN,1905,2.2
China,CHN,1910,3.3
China,CHN,1915,5
China,CHN,1920,7.4
China,CHN,1925,11.1
China,CHN,1930,17.7
China,CHN,1935,22.2
China,CHN,1940,19.6
China,CHN,1945,31
China,CHN,1950,32.9
China,CHN,1955,56.4
China,CHN,1960,68.2
China,CHN,1965,68.2
China,CHN,1970,68.2
China,CHN,1975,96.5
China,CHN,1980,80.4
China,CHN,1985,95
China,CHN,1990,98
China,CHN,1995,99
China,CHN,2000,100
China,CHN,2005,100
China,CHN,2010,100
Colombia,COL,1820,4.6
Colombia,COL,1825,5.6
Colombia,COL,1830,6.7
Colombia,COL,1835,7.9
Colombia,COL,1840,10.2
Colombia,COL,1845,8.8
Colombia,COL,1850,8.6
Colombia,COL,1855,10.9
Colombia,COL,1860,13.2
Colombia,COL,1865,15.5
Colombia,COL,1870,17.8
Colombia,COL,1875,20
Colombia,COL,1880,17.4
Colombia,COL,1885,15.1
Colombia,COL,1890,17.4
Colombia,COL,1895,19.5
Colombia,COL,1900,21.7
Colombia,COL,1905,23.9
Colombia,COL,1910,26.1
Colombia,COL,1915,38.2
Colombia,COL,1920,39.1
Colombia,COL,1925,37.6
Colombia,COL,1930,36.1
Colombia,COL,1935,39.4
Colombia,COL,1940,41.1
Colombia,COL,1945,39.6
Colombia,COL,1950,43.1
Colombia,COL,1955,55.7
Colombia,COL,1960,59
Colombia,COL,1965,64
Colombia,COL,1970,69.2
Colombia,COL,1975,75.6
Colombia,COL,1980,82.1
Colombia,COL,1985,75
Colombia,COL,1990,74
Colombia,COL,1995,85
Colombia,COL,2000,100
Colombia,COL,2005,100
Colombia,COL,2010,100
Costa Rica,CRI,1820,2.1
Costa Rica,CRI,1825,2.7
Costa Rica,CRI,1830,3.4
Costa Rica,CRI,1835,4.2
Costa Rica,CRI,1840,5.3
Costa Rica,CRI,1845,6.7
Costa Rica,CRI,1850,8.4
Costa Rica,CRI,1855,10.5
Costa Rica,CRI,1860,13
Costa Rica,CRI,1865,16
Costa Rica,CRI,1870,19.5
Costa Rica,CRI,1875,23.6
Costa Rica,CRI,1880,28.3
Costa Rica,CRI,1885,33.5
Costa Rica,CRI,1890,39.1
Costa Rica,CRI,1895,45
Costa Rica,CRI,1900,34.8
Costa Rica,CRI,1905,35.3
Costa Rica,CRI,1910,40.6
Costa Rica,CRI,1915,49
Costa Rica,CRI,1920,45.5
Costa Rica,CRI,1925,46.8
Costa Rica,CRI,1930,55
Costa Rica,CRI,1935,61.8
Costa Rica,CRI,1940,63.3
Costa Rica,CRI,1945,70
Costa Rica,CRI,1950,68.5
Costa Rica,CRI,1955,88.1
Costa Rica,CRI,1960,81
Costa Rica,CRI,1965,89
Costa Rica,CRI,1970,89
Costa Rica,CRI,1975,92
Costa Rica,CRI,1980,90
Costa Rica,CRI,1985,87
Costa Rica,CRI,1990,87
Costa Rica,CRI,1995,95.2
Costa Rica,CRI,2000,100
Costa Rica,CRI,2005,100
Costa Rica,CRI,2010,100
Cote d'Ivoire,CIV,1820,0
Cote d'Ivoire,CIV,1825,0
Cote d'Ivoire,CIV,1830,0
Cote d'Ivoire,CIV,1835,0
Cote d'Ivoire,CIV,1840,0
Cote d'Ivoire,CIV,1845,0.1
Cote d'Ivoire,CIV,1850,0.1
Cote d'Ivoire,CIV,1855,0.1
Cote d'Ivoire,CIV,1860,0.1
Cote d'Ivoire,CIV,1865,0.2
Cote d'Ivoire,CIV,1870,0.2
Cote d'Ivoire,CIV,1875,0.3
Cote d'Ivoire,CIV,1880,0.3
Cote d'Ivoire,CIV,1885,0.4
Cote d'Ivoire,CIV,1890,0.6
Cote d'Ivoire,CIV,1895,0.7
Cote d'Ivoire,CIV,1900,1
Cote d'Ivoire,CIV,1905,1.2
Cote d'Ivoire,CIV,1910,1.6
Cote d'Ivoire,CIV,1915,2.1
Cote d'Ivoire,CIV,1920,2.6
Cote d'Ivoire,CIV,1925,3.4
Cote d'Ivoire,CIV,1930,4.3
Cote d'Ivoire,CIV,1935,5.5
Cote d'Ivoire,CIV,1940,7.1
Cote d'Ivoire,CIV,1945,8.9
Cote d'Ivoire,CIV,1950,11.3
Cote d'Ivoire,CIV,1955,14.1
Cote d'Ivoire,CIV,1960,17.5
Cote d'Ivoire,CIV,1965,21.6
Cote d'Ivoire,CIV,1970,26.2
Cote d'Ivoire,CIV,1975,31.5
Cote d'Ivoire,CIV,1980,37.3
Cote d'Ivoire,CIV,1985,43.6
Cote d'Ivoire,CIV,1990,50
Cote d'Ivoire,CIV,1995,52.4
Cote d'Ivoire,CIV,2000,58.4
Cote d'Ivoire,CIV,2005,56.6
Cote d'Ivoire,CIV,2010,65
Cuba,CUB,1820,0.7
Cuba,CUB,1825,0.9
Cuba,CUB,1830,1.1
Cuba,CUB,1835,1.5
Cuba,CUB,1840,1.9
Cuba,CUB,1845,2.4
Cuba,CUB,1850,3.1
Cuba,CUB,1855,4
Cuba,CUB,1860,5.1
Cuba,CUB,1865,6.5
Cuba,CUB,1870,8.3
Cuba,CUB,1875,10.5
Cuba,CUB,1880,13.1
Cuba,CUB,1885,20.2
Cuba,CUB,1890,27.2
Cuba,CUB,1895,36.4
Cuba,CUB,1900,45.5
Cuba,CUB,1905,42
Cuba,CUB,1910,38.4
Cuba,CUB,1915,46.7
Cuba,CUB,1920,55
Cuba,CUB,1925,53.3
Cuba,CUB,1930,51.7
Cuba,CUB,1935,53.5
Cuba,CUB,1940,55.2
Cuba,CUB,1945,62.7
Cuba,CUB,1950,70.1
Cuba,CUB,1955,71.7
Cuba,CUB,1960,66.2
Cuba,CUB,1965,100
Cuba,CUB,1970,100
Cuba,CUB,1975,100
