Entity,Code,Year,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no) (1=yes; 0=no)
Mauritania,MRT,2015,1
Mauritius,MUS,2009,1
Mauritius,MUS,2011,1
Mauritius,MUS,2013,1
Mauritius,MUS,2015,1
Mexico,MEX,2009,1
Mexico,MEX,2011,1
Mexico,MEX,2013,1
Mexico,MEX,2015,1
Micronesia (country),FSM,2015,0
Moldova,MDA,2009,1
Moldova,MDA,2011,1
Moldova,MDA,2013,1
Moldova,MDA,2015,1
Mongolia,MNG,2009,0
Mongolia,MNG,2011,0
Mongolia,MNG,2013,0
Mongolia,MNG,2015,0
Montenegro,MNE,2009,1
Montenegro,MNE,2011,1
Montenegro,MNE,2013,1
Montenegro,MNE,2015,1
Morocco,MAR,2009,1
Morocco,MAR,2011,1
Morocco,MAR,2013,1
Morocco,MAR,2015,1
Mozambique,MOZ,2009,0
Mozambique,MOZ,2011,0
Mozambique,MOZ,2013,0
Mozambique,MOZ,2015,0
Myanmar,MMR,2015,0
Namibia,NAM,2009,1
Namibia,NAM,2011,1
Namibia,NAM,2013,1
Namibia,NAM,2015,1
Nepal,NPL,2009,0
Nepal,NPL,2011,0
Nepal,NPL,2013,0
Nepal,NPL,2015,0
Netherlands,NLD,2009,1
Netherlands,NLD,2011,1
Netherlands,NLD,2013,1
Netherlands,NLD,2015,1
New Zealand,NZL,2009,1
New Zealand,NZL,2011,1
New Zealand,NZL,2013,1
New Zealand,NZL,2015,1
Nicaragua,NIC,2009,0
Nicaragua,NIC,2011,0
Nicaragua,NIC,2013,0
Nicaragua,NIC,2015,0
Niger,NER,2009,1
Niger,NER,2011,1
Niger,NER,2013,1
Niger,NER,2015,1
Nigeria,NGA,2009,0
Nigeria,NGA,2011,0
Nigeria,NGA,2013,0
Nigeria,NGA,2015,0
Norway,NOR,2009,1
Norway,NOR,2011,1
Norway,NOR,2013,1
Norway,NOR,2015,1
Oman,OMN,2009,0
Oman,OMN,2011,0
Oman,OMN,2013,0
Oman,OMN,2015,0
Pakistan,PAK,2009,0
Pakistan,PAK,2011,0
Pakistan,PAK,2013,0
Pakistan,PAK,2015,0
Palau,PLW,2015,0
Palestine,PSE,2009,0
Palestine,PSE,2011,0
Palestine,PSE,2013,0
Palestine,PSE,2015,0
Panama,PAN,2009,0
Panama,PAN,2011,0
Panama,PAN,2013,0
Panama,PAN,2015,0
Papua New Guinea,PNG,2009,0
Papua New Guinea,PNG,2011,0
Papua New Guinea,PNG,2013,0
Papua New Guinea,PNG,2015,0
Paraguay,PRY,2009,0
Paraguay,PRY,2011,0
Paraguay,PRY,2013,0
Paraguay,PRY,2015,0
Peru,PER,2009,0
Peru,PER,2011,0
Peru,PER,2013,0
Peru,PER,2015,0
Philippines,PHL,2009,0
Philippines,PHL,2011,0
Philippines,PHL,2013,0
Philippines,PHL,2015,0
Poland,POL,2009,0
Poland,POL,2011,0
Poland,POL,2013,0
Poland,POL,2015,0
Portugal,PRT,2009,1
Portugal,PRT,2011,1
Portugal,PRT,2013,1
Portugal,PRT,2015,1
Puerto Rico,PRI,2009,1
Puerto Rico,PRI,2011,1
Puerto Rico,PRI,2013,1
Puerto Rico,PRI,2015,1
Qatar,QAT,2015,0
Romania,ROU,2009,1
Romania,ROU,2011,1
Romania,ROU,2013,1
Romania,ROU,2015,1
Russia,RUS,2009,0
Russia,RUS,2011,0
Russia,RUS,2013,0
Russia,RUS,2015,0
Rwanda,RWA,2009,0
Rwanda,RWA,2011,0
Rwanda,RWA,2013,0
Rwanda,RWA,2015,0
Saint Kitts and Nevis,KNA,2015,0
Saint Lucia,LCA,2015,1
Saint Vincent and the Grenadines,VCT,2015,0
Samoa,WSM,2015,0
San Marino,SMR,2015,0
Sao Tome and Principe,STP,2015,0
Saudi Arabia,SAU,2009,0
Saudi Arabia,SAU,2011,0
Saudi Arabia,SAU,2013,0
Saudi Arabia,SAU,2015,0
Senegal,SEN,2009,0
Senegal,SEN,2011,0
Senegal,SEN,2013,0
Senegal,SEN,2015,0
Serbia,SRB,2009,1
Serbia,SRB,2011,1
Serbia,SRB,2013,1
Serbia,SRB,2015,1
Seychelles,SYC,2015,0
Sierra Leone,SLE,2011,0
Sierra Leone,SLE,2013,0
Sierra Leone,SLE,2015,0
Singapore,SGP,2009,0
Singapore,SGP,2011,0
Singapore,SGP,2013,0
Singapore,SGP,2015,0
Slovakia,SVK,2009,1
Slovakia,SVK,2011,1
Slovakia,SVK,2013,1
Slovakia,SVK,2015,1
Slovenia,SVN,2009,1
Slovenia,SVN,2011,1
Slovenia,SVN,2013,1
Slovenia,SVN,2015,1
Solomon Islands,SLB,2015,0
South Africa,ZAF,2009,0
South Africa,ZAF,2011,0
South Africa,ZAF,2013,0
South Africa,ZAF,2015,0
South Korea,KOR,2009,1
South Korea,KOR,2011,1
South Korea,KOR,2013,1
South Korea,KOR,2015,1
South Sudan,SSD,2015,0
Spain,ESP,2009,1
Spain,ESP,2011,1
Spain,ESP,2013,1
Spain,ESP,2015,1
Sri Lanka,LKA,2009,0
Sri Lanka,LKA,2011,0
Sri Lanka,LKA,2013,0
Sri Lanka,LKA,2015,0
Sudan,SDN,2009,0
Sudan,SDN,2011,0
Sudan,SDN,2013,0
Sudan,SDN,2015,0
Suriname,SUR,2015,0
Swaziland,SWZ,2015,0
Sweden,SWE,2009,1
Sweden,SWE,2011,1
Sweden,SWE,2013,1
Sweden,SWE,2015,1
Switzerland,CHE,2009,1
Switzerland,CHE,2011,1
Switzerland,CHE,2013,1
Switzerland,CHE,2015,1
Syria,SYR,2009,0
Syria,SYR,2011,0
Syria,SYR,2013,0
Syria,SYR,2015,0
Tajikistan,TJK,2009,1
Tajikistan,TJK,2011,1
Tajikistan,TJK,2013,1
Tajikistan,TJK,2015,1
Tanzania,TZA,2009,1
Tanzania,TZA,2011,1
Tanzania,TZA,2013,1
Tanzania,TZA,2015,1
Thailand,THA,2009,0
Thailand,THA,2011,0
Thailand,THA,2013,0
Thailand,THA,2015,0
Timor,TLS,2015,1
Togo,TGO,2009,0
Togo,TGO,2011,0
Togo,TGO,2013,0
Togo,TGO,2015,0
Tonga,TON,2015,0
Trinidad and Tobago,TTO,2015,1
Tunisia,TUN,2009,0
Tunisia,TUN,2011,0
Tunisia,TUN,2013,0
Tunisia,TUN,2015,0
Turkey,TUR,2009,0
Turkey,TUR,2011,0
Turkey,TUR,2013,0
Turkey,TUR,2015,0
Uganda,UGA,2009,0
Uganda,UGA,2011,0
Uganda,UGA,2013,0
Uganda,UGA,2015,0
Ukraine,UKR,2009,1
Ukraine,UKR,2011,1
Ukraine,UKR,2013,1
Ukraine,UKR,2015,1
United Arab Emirates,ARE,2009,0
United Arab Emirates,ARE,2011,0
United Arab Emirates,ARE,2013,0
United Arab Emirates,ARE,2015,0
United Kingdom,GBR,2009,1
United Kingdom,GBR,2011,1
United Kingdom,GBR,2013,1
United Kingdom,GBR,2015,1
United States,USA,2009,1
United States,USA,2011,1
United States,USA,2013,1
United States,USA,2015,1
Uruguay,URY,2009,0
Uruguay,URY,2011,0
Uruguay,URY,2013,1
Uruguay,URY,2015,1
Uzbekistan,UZB,2009,0
Uzbekistan,UZB,2011,0
Uzbekistan,UZB,2013,0
Uzbekistan,UZB,2015,0
Vanuatu,VUT,2015,0
Venezuela,VEN,2009,1
Venezuela,VEN,2011,1
Venezuela,VEN,2013,1
Venezuela,VEN,2015,1
Vietnam,VNM,2009,1
Vietnam,VNM,2011,1
Vietnam,VNM,2013,1
Vietnam,VNM,2015,1
Yemen,YEM,2009,0
Yemen,YEM,2011,0
Yemen,YEM,2013,0
Yemen,YEM,2015,0
Zambia,ZMB,2009,0
Zambia,ZMB,2011,0
Zambia,ZMB,2013,0
Zambia,ZMB,2015,0
Zimbabwe,ZWE,2009,1
Zimbabwe,ZWE,2011,1
Zimbabwe,ZWE,2013,1
Zimbabwe,ZWE,2015,1
