Entity,Code,Year,Deaths (deaths)
Czech Republic,CZE,2004,1382
Czech Republic,CZE,2005,1286
Czech Republic,CZE,2006,1063
Czech Republic,CZE,2007,1222
Czech Republic,CZE,2008,1076
Czech Republic,CZE,2009,901
Czech Republic,CZE,2010,802
Czech Republic,CZE,2011,773
Czech Republic,CZE,2012,742
Czech Republic,CZE,2013,654
Czech Republic,CZE,2014,688
Czech Republic,CZE,2015,738
Czech Republic,CZE,2016,611
Denmark,DNK,1970,1208
Denmark,DNK,1971,1213
Denmark,DNK,1972,1116
Denmark,DNK,1973,1132
Denmark,DNK,1974,766
Denmark,DNK,1975,827
Denmark,DNK,1976,857
Denmark,DNK,1977,828
Denmark,DNK,1978,849
Denmark,DNK,1979,730
Denmark,DNK,1980,690
Denmark,DNK,1981,622
Denmark,DNK,1982,658
Denmark,DNK,1983,669
Denmark,DNK,1984,665
Denmark,DNK,1985,772
Denmark,DNK,1986,723
Denmark,DNK,1987,698
Denmark,DNK,1988,713
Denmark,DNK,1989,670
Denmark,DNK,1990,634
Denmark,DNK,1991,606
Denmark,DNK,1992,577
Denmark,DNK,1993,559
Denmark,DNK,1994,546
Denmark,DNK,1995,582
Denmark,DNK,1996,514
Denmark,DNK,1997,489
Denmark,DNK,1998,499
Denmark,DNK,1999,514
Denmark,DNK,2000,498
Denmark,DNK,2001,431
Denmark,DNK,2002,463
Denmark,DNK,2003,432
Denmark,DNK,2004,369
Denmark,DNK,2005,331
Denmark,DNK,2006,306
Denmark,DNK,2007,406
Denmark,DNK,2008,406
Denmark,DNK,2009,303
Denmark,DNK,2010,255
Denmark,DNK,2011,220
Denmark,DNK,2012,167
Denmark,DNK,2013,191
Denmark,DNK,2014,182
Denmark,DNK,2015,178
Denmark,DNK,2016,211
Estonia,EST,1970,252
Estonia,EST,1971,251
Estonia,EST,1972,271
Estonia,EST,1973,249
Estonia,EST,1974,250
Estonia,EST,1975,266
Estonia,EST,1976,264
Estonia,EST,1977,276
Estonia,EST,1978,271
Estonia,EST,1979,304
Estonia,EST,1980,303
Estonia,EST,1981,266
Estonia,EST,1982,265
Estonia,EST,1983,291
Estonia,EST,1984,253
Estonia,EST,1985,191
Estonia,EST,1986,223
Estonia,EST,1987,233
Estonia,EST,1988,268
Estonia,EST,1989,343
Estonia,EST,1990,436
Estonia,EST,1991,491
Estonia,EST,1992,287
Estonia,EST,1993,321
Estonia,EST,1994,364
Estonia,EST,1995,332
Estonia,EST,1996,213
Estonia,EST,1997,279
Estonia,EST,1998,284
Estonia,EST,1999,232
Estonia,EST,2000,204
Estonia,EST,2001,199
Estonia,EST,2002,223
Estonia,EST,2003,164
Estonia,EST,2004,170
Estonia,EST,2005,170
Estonia,EST,2006,204
Estonia,EST,2007,196
Estonia,EST,2008,132
Estonia,EST,2009,100
Estonia,EST,2010,79
Estonia,EST,2011,101
Estonia,EST,2012,87
Estonia,EST,2013,81
Estonia,EST,2014,72
Estonia,EST,2015,61
Estonia,EST,2016,63
Finland,FIN,1970,1055
Finland,FIN,1971,1143
Finland,FIN,1972,1156
Finland,FIN,1973,1086
Finland,FIN,1974,865
Finland,FIN,1975,910
Finland,FIN,1976,804
Finland,FIN,1977,709
Finland,FIN,1978,610
Finland,FIN,1979,650
Finland,FIN,1980,551
Finland,FIN,1981,555
Finland,FIN,1982,569
Finland,FIN,1983,604
Finland,FIN,1984,541
Finland,FIN,1985,541
Finland,FIN,1986,612
Finland,FIN,1987,581
Finland,FIN,1988,653
Finland,FIN,1989,734
Finland,FIN,1990,649
Finland,FIN,1991,632
Finland,FIN,1992,601
Finland,FIN,1993,484
Finland,FIN,1994,480
Finland,FIN,1995,441
Finland,FIN,1996,404
Finland,FIN,1997,438
Finland,FIN,1998,400
Finland,FIN,1999,431
Finland,FIN,2000,396
Finland,FIN,2001,433
Finland,FIN,2002,415
Finland,FIN,2003,379
Finland,FIN,2004,375
Finland,FIN,2005,379
Finland,FIN,2006,336
Finland,FIN,2007,380
Finland,FIN,2008,344
Finland,FIN,2009,279
Finland,FIN,2010,272
Finland,FIN,2011,292
Finland,FIN,2012,255
Finland,FIN,2013,258
Finland,FIN,2014,229
Finland,FIN,2015,270
Finland,FIN,2016,256
France,FRA,1970,16445
France,FRA,1971,17671
France,FRA,1972,18113
France,FRA,1973,17043
France,FRA,1974,14738
France,FRA,1975,14355
France,FRA,1976,15028
France,FRA,1977,14283
France,FRA,1978,13229
France,FRA,1979,13603
France,FRA,1980,13672
France,FRA,1981,13547
France,FRA,1982,13527
France,FRA,1983,13021
France,FRA,1984,12737
France,FRA,1985,11388
France,FRA,1986,11947
France,FRA,1987,10742
France,FRA,1988,11497
France,FRA,1989,11476
France,FRA,1990,11215
France,FRA,1991,10483
France,FRA,1992,9900
France,FRA,1993,9568
France,FRA,1994,9019
France,FRA,1995,8891
France,FRA,1996,8541
France,FRA,1997,8444
France,FRA,1998,8918
France,FRA,1999,8487
France,FRA,2000,8079
France,FRA,2001,8160
France,FRA,2002,7655
France,FRA,2003,6058
France,FRA,2004,5593
France,FRA,2005,5318
France,FRA,2006,4709
France,FRA,2007,4620
France,FRA,2008,4275
France,FRA,2009,4273
France,FRA,2010,3992
France,FRA,2011,3963
France,FRA,2012,3653
France,FRA,2013,3268
France,FRA,2014,3384
France,FRA,2015,3461
France,FRA,2016,3477
Georgia,GEO,1970,795
Georgia,GEO,1971,745
Georgia,GEO,1972,672
Georgia,GEO,1973,719
Georgia,GEO,1974,700
Georgia,GEO,1975,845
Georgia,GEO,1976,817
Georgia,GEO,1977,925
Georgia,GEO,1978,969
Georgia,GEO,1979,985
Georgia,GEO,1980,902
Georgia,GEO,1981,897
Georgia,GEO,1982,894
Georgia,GEO,1983,822
Georgia,GEO,1984,719
Georgia,GEO,1985,660
Georgia,GEO,1986,645
Georgia,GEO,1987,622
Georgia,GEO,1988,658
Georgia,GEO,1989,797
Georgia,GEO,1990,1067
Georgia,GEO,1991,1145
Georgia,GEO,1992,883
Georgia,GEO,1993,542
Georgia,GEO,1994,494
Georgia,GEO,1995,450
Georgia,GEO,1996,437
Georgia,GEO,1997,449
Georgia,GEO,1998,466
Georgia,GEO,1999,539
Georgia,GEO,2000,500
Georgia,GEO,2001,558
Georgia,GEO,2002,515
Georgia,GEO,2003,572
Georgia,GEO,2004,637
Georgia,GEO,2005,581
Georgia,GEO,2006,675
Georgia,GEO,2007,737
Georgia,GEO,2008,867
Georgia,GEO,2009,738
Georgia,GEO,2010,685
Georgia,GEO,2011,526
Georgia,GEO,2012,605
Georgia,GEO,2013,514
Georgia,GEO,2014,511
Georgia,GEO,2015,602
Georgia,GEO,2016,581
Germany,DEU,1950,6428
Germany,DEU,1951,7760
Germany,DEU,1952,7775
Germany,DEU,1953,11449
Germany,DEU,1954,12071
Germany,DEU,1955,12791
Germany,DEU,1956,13427
Germany,DEU,1957,13004
Germany,DEU,1958,12169
Germany,DEU,1959,13822
Germany,DEU,1960,14406
Germany,DEU,1961,14543
Germany,DEU,1962,14445
Germany,DEU,1963,14513
Germany,DEU,1964,16494
Germany,DEU,1965,15753
Germany,DEU,1966,16868
Germany,DEU,1967,17084
Germany,DEU,1968,16636
Germany,DEU,1969,16646
Germany,DEU,1970,19193
Germany,DEU,1971,18753
Germany,DEU,1972,18811
Germany,DEU,1973,16302
Germany,DEU,1974,14614
Germany,DEU,1975,14870
Germany,DEU,1976,14820
Germany,DEU,1977,14978
Germany,DEU,1978,14662
Germany,DEU,1979,13222
Germany,DEU,1980,13041
Germany,DEU,1981,11674
Germany,DEU,1982,11608
Germany,DEU,1983,11732
Germany,DEU,1984,10199
Germany,DEU,1985,8400
Germany,DEU,1986,8948
Germany,DEU,1987,7967
Germany,DEU,1988,8213
Germany,DEU,1989,7995
Germany,DEU,1990,7906
Germany,DEU,1991,11300
Germany,DEU,1992,10631
Germany,DEU,1993,9949
Germany,DEU,1994,9814
Germany,DEU,1995,9454
Germany,DEU,1996,8758
Germany,DEU,1997,8549
Germany,DEU,1998,7792
Germany,DEU,1999,7772
Germany,DEU,2000,7503
Germany,DEU,2001,6977
Germany,DEU,2002,6842
Germany,DEU,2003,6613
Germany,DEU,2004,5842
Germany,DEU,2005,5361
Germany,DEU,2006,5091
Germany,DEU,2007,4949
Germany,DEU,2008,4477
Germany,DEU,2009,4152
Germany,DEU,2010,3648
Germany,DEU,2011,4009
Germany,DEU,2012,3600
Germany,DEU,2013,3339
Germany,DEU,2014,3377
Germany,DEU,2015,3459
Germany,DEU,2016,3206
Greece,GRC,1970,931
Greece,GRC,1971,940
Greece,GRC,1972,968
Greece,GRC,1973,1057
Greece,GRC,1974,943
Greece,GRC,1975,1060
Greece,GRC,1976,1063
Greece,GRC,1977,1181
Greece,GRC,1978,1173
Greece,GRC,1979,1257
Greece,GRC,1980,1225
Greece,GRC,1981,1354
Greece,GRC,1982,1557
Greece,GRC,1983,1586
Greece,GRC,1984,1704
Greece,GRC,1985,1704
Greece,GRC,1986,1451
Greece,GRC,1987,1502
Greece,GRC,1988,1511
Greece,GRC,1989,1699
Greece,GRC,1990,1737
Greece,GRC,1991,1790
Greece,GRC,1992,1829
Greece,GRC,1993,1830
Greece,GRC,1994,1909
Greece,GRC,1995,2043
Greece,GRC,1996,2157
Greece,GRC,1997,2105
Greece,GRC,1998,2182
Greece,GRC,1999,2116
Greece,GRC,2000,2037
Greece,GRC,2001,1880
Greece,GRC,2002,1634
Greece,GRC,2003,1605
Greece,GRC,2004,1670
Greece,GRC,2005,1658
Greece,GRC,2006,1657
Greece,GRC,2007,1612
Greece,GRC,2008,1553
Greece,GRC,2009,1456
Greece,GRC,2010,1258
Greece,GRC,2011,1141
Greece,GRC,2012,988
Greece,GRC,2013,879
Greece,GRC,2014,795
Greece,GRC,2015,793
Greece,GRC,2016,816
Hungary,HUN,1970,1707
Hungary,HUN,1971,1934
Hungary,HUN,1972,1923
Hungary,HUN,1973,1831
Hungary,HUN,1974,1764
Hungary,HUN,1975,1904
Hungary,HUN,1976,1622
Hungary,HUN,1977,1803
Hungary,HUN,1978,2018
Hungary,HUN,1979,1750
Hungary,HUN,1980,1630
Hungary,HUN,1981,1603
Hungary,HUN,1982,1548
Hungary,HUN,1983,1591
Hungary,HUN,1984,1590
Hungary,HUN,1985,1756
Hungary,HUN,1986,1632
Hungary,HUN,1987,1573
Hungary,HUN,1988,1706
Hungary,HUN,1989,2162
Hungary,HUN,1990,2432
Hungary,HUN,1991,2120
Hungary,HUN,1992,2101
Hungary,HUN,1993,1678
Hungary,HUN,1994,1562
Hungary,HUN,1995,1589
Hungary,HUN,1996,1370
Hungary,HUN,1997,1391
Hungary,HUN,1998,1371
Hungary,HUN,1999,1306
Hungary,HUN,2000,1200
Hungary,HUN,2001,1239
Hungary,HUN,2002,1429
Hungary,HUN,2003,1326
Hungary,HUN,2004,1296
Hungary,HUN,2005,1278
Hungary,HUN,2006,1303
Hungary,HUN,2007,1232
Hungary,HUN,2008,996
Hungary,HUN,2009,822
Hungary,HUN,2010,740
Hungary,HUN,2011,638
Hungary,HUN,2012,605
Hungary,HUN,2013,591
Hungary,HUN,2014,626
Hungary,HUN,2015,644
Hungary,HUN,2016,607
Iceland,ISL,1970,21
Iceland,ISL,1971,24
Iceland,ISL,1972,23
Iceland,ISL,1973,25
Iceland,ISL,1974,20
Iceland,ISL,1975,33
Iceland,ISL,1976,19
Iceland,ISL,1977,37
Iceland,ISL,1978,27
Iceland,ISL,1979,27
Iceland,ISL,1980,25
Iceland,ISL,1981,24
Iceland,ISL,1982,24
Iceland,ISL,1983,18
Iceland,ISL,1984,27
Iceland,ISL,1985,24
Iceland,ISL,1986,24
Iceland,ISL,1987,24
Iceland,ISL,1988,29
Iceland,ISL,1989,28
Iceland,ISL,1990,24
Iceland,ISL,1991,27
Iceland,ISL,1992,21
Iceland,ISL,1993,17
Iceland,ISL,1994,12
Iceland,ISL,1995,24
Iceland,ISL,1996,10
Iceland,ISL,1997,15
Iceland,ISL,1998,27
Iceland,ISL,1999,21
Iceland,ISL,2000,32
Iceland,ISL,2001,24
Iceland,ISL,2002,29
Iceland,ISL,2003,23
Iceland,ISL,2004,23
Iceland,ISL,2005,19
Iceland,ISL,2006,31
Iceland,ISL,2007,15
Iceland,ISL,2008,12
Iceland,ISL,2009,17
Iceland,ISL,2010,8
Iceland,ISL,2011,12
Iceland,ISL,2012,9
Iceland,ISL,2013,15
Iceland,ISL,2014,4
Iceland,ISL,2015,16
Iceland,ISL,2016,18
India,IND,1990,54100
India,IND,1991,56278
India,IND,1992,60113
India,IND,1993,60380
India,IND,1994,64463
India,IND,1995,70781
India,IND,1996,74665
India,IND,1997,76977
India,IND,1998,79919
India,IND,1999,81966
India,IND,2000,78911
India,IND,2001,80888
India,IND,2002,84674
India,IND,2003,85998
India,IND,2004,92618
India,IND,2005,94968
India,IND,2006,105749
India,IND,2007,114444
India,IND,2008,119860
India,IND,2009,125660
India,IND,2010,134513
India,IND,2011,142485
India,IND,2012,138258
India,IND,2013,137572
India,IND,2014,139671
India,IND,2015,146133
India,IND,2016,150785
Ireland,IRL,1970,540
Ireland,IRL,1971,576
Ireland,IRL,1972,640
Ireland,IRL,1973,592
Ireland,IRL,1974,594
Ireland,IRL,1975,586
Ireland,IRL,1976,525
Ireland,IRL,1977,583
Ireland,IRL,1978,628
Ireland,IRL,1979,614
Ireland,IRL,1980,564
Ireland,IRL,1981,572
Ireland,IRL,1982,533
Ireland,IRL,1983,535
Ireland,IRL,1984,465
Ireland,IRL,1985,410
Ireland,IRL,1986,387
Ireland,IRL,1987,462
Ireland,IRL,1988,463
Ireland,IRL,1989,460
Ireland,IRL,1990,478
Ireland,IRL,1991,445
Ireland,IRL,1992,415
Ireland,IRL,1993,431
Ireland,IRL,1994,404
Ireland,IRL,1995,437
Ireland,IRL,1996,453
Ireland,IRL,1997,472
Ireland,IRL,1998,458
Ireland,IRL,1999,413
Ireland,IRL,2000,415
Ireland,IRL,2001,411
Ireland,IRL,2002,376
Ireland,IRL,2003,335
Ireland,IRL,2004,374
Ireland,IRL,2005,396
Ireland,IRL,2006,365
Ireland,IRL,2007,338
Ireland,IRL,2008,279
Ireland,IRL,2009,238
Ireland,IRL,2010,212
Ireland,IRL,2011,186
Ireland,IRL,2012,163
Ireland,IRL,2013,188
Ireland,IRL,2014,193
Ireland,IRL,2015,162
Ireland,IRL,2016,186
Israel,ISR,1970,529
Israel,ISR,1971,623
Israel,ISR,1972,651
Israel,ISR,1973,683
Israel,ISR,1974,716
Israel,ISR,1975,648
Israel,ISR,1976,602
Israel,ISR,1977,636
Israel,ISR,1978,619
Israel,ISR,1979,566
Israel,ISR,1980,434
Israel,ISR,1981,436
Israel,ISR,1982,385
Israel,ISR,1983,436
Israel,ISR,1984,399
Israel,ISR,1985,387
Israel,ISR,1986,415
Israel,ISR,1987,493
Israel,ISR,1988,511
Israel,ISR,1989,475
Israel,ISR,1990,427
Israel,ISR,1991,444
Israel,ISR,1992,507
Israel,ISR,1993,505
Israel,ISR,1994,539
Israel,ISR,1995,550
Israel,ISR,1996,517
Israel,ISR,1997,530
Israel,ISR,1998,548
Israel,ISR,1999,476
Israel,ISR,2000,461
Israel,ISR,2001,542
Israel,ISR,2002,525
Israel,ISR,2003,445
Israel,ISR,2004,467
Israel,ISR,2005,437
Israel,ISR,2006,405
Israel,ISR,2007,382
Israel,ISR,2008,412
Israel,ISR,2009,314
Israel,ISR,2010,352
Israel,ISR,2011,341
Israel,ISR,2012,263
Israel,ISR,2013,277
Israel,ISR,2014,279
Israel,ISR,2015,322
Israel,ISR,2016,335
Italy,ITA,1970,11025
Italy,ITA,1971,10912
Italy,ITA,1972,11964
Italy,ITA,1973,11586
