Entity,Code,Year,"Informal employment, female (% of total non-agricultural employment) (% of total non-agricultural employment)"
Paraguay,PRY,2016,68.3199996948242
Paraguay,PRY,2017,68.0699996948242
Peru,PER,2004,90.8499984741211
Peru,PER,2005,83.9499969482422
Peru,PER,2006,82.5199966430664
Peru,PER,2007,79.2399978637695
Peru,PER,2008,79.6900024414063
Peru,PER,2009,77.9899978637695
Peru,PER,2010,78.2200012207031
Peru,PER,2011,75.4100036621094
Peru,PER,2012,69.7900009155273
Peru,PER,2013,68.8899993896484
Peru,PER,2014,66.7600021362305
Peru,PER,2015,66.9000015258789
Peru,PER,2016,65.3600006103516
Peru,PER,2017,66.0800018310547
Samoa,WSM,2012,48
Senegal,SEN,2015,93.4800033569336
Serbia,SRB,2010,6.1399998664856
Serbia,SRB,2011,6.26000022888184
Serbia,SRB,2012,5.8899998664856
Serbia,SRB,2013,8.21000003814697
Serbia,SRB,2014,11.289999961853
Serbia,SRB,2015,11.6700000762939
Serbia,SRB,2016,14.2200002670288
Serbia,SRB,2017,14.4799995422363
South Africa,ZAF,2008,39.3199996948242
South Africa,ZAF,2009,37.5800018310547
South Africa,ZAF,2010,37.2900009155273
South Africa,ZAF,2011,35.6199989318848
South Africa,ZAF,2012,34.5200004577637
South Africa,ZAF,2013,35.5999984741211
South Africa,ZAF,2014,35.5200004577637
South Africa,ZAF,2015,36.939998626709
South Africa,ZAF,2016,36.1500015258789
South Africa,ZAF,2017,36.8600006103516
Swaziland,SWZ,2016,56.8800010681152
Tanzania,TZA,2014,76.1100006103516
Timor,TLS,2010,69.8199996948242
Timor,TLS,2013,57.1699981689453
Uganda,UGA,2012,86.1699981689453
Uruguay,URY,2006,42.5900001525879
Uruguay,URY,2007,42.2700004577637
Uruguay,URY,2008,41.1300010681152
Uruguay,URY,2009,40.2400016784668
Uruguay,URY,2010,39.6199989318848
Uruguay,URY,2011,36.0900001525879
Uruguay,URY,2012,33.9199981689453
Uruguay,URY,2013,32.5099983215332
Uruguay,URY,2014,23.2000007629395
Uruguay,URY,2015,23.2700004577637
Uruguay,URY,2016,23.5900001525879
Uruguay,URY,2017,22.6100006103516
Vietnam,VNM,2007,64.6800003051758
Vietnam,VNM,2009,63.9500007629395
Vietnam,VNM,2011,96.6500015258789
Vietnam,VNM,2012,93.0400009155273
Vietnam,VNM,2013,59.6699981689453
Vietnam,VNM,2014,57.9599990844727
Vietnam,VNM,2015,53.4300003051758
Vietnam,VNM,2016,52.4799995422363
Vietnam,VNM,2017,51.5
Yemen,YEM,2014,63.3499984741211
Zimbabwe,ZWE,2011,72.9100036621094
