Entity,Code,Year,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) (%)"
Botswana,BWA,2000,23.1
Botswana,BWA,2005,23.7
Botswana,BWA,2010,22.2
Botswana,BWA,2015,20.7
Botswana,BWA,2016,20.3
Brazil,BRA,2000,24.4
Brazil,BRA,2005,20.8
Brazil,BRA,2010,19
Brazil,BRA,2015,17
Brazil,BRA,2016,16.6
Brunei,BRN,2000,20.5
Brunei,BRN,2005,17.5
Brunei,BRN,2010,17.4
Brunei,BRN,2015,17
Brunei,BRN,2016,16.6
Bulgaria,BGR,2000,28.5
Bulgaria,BGR,2005,27.5
Bulgaria,BGR,2010,25.1
Bulgaria,BGR,2015,23.8
Bulgaria,BGR,2016,23.6
Burkina Faso,BFA,2000,22.6
Burkina Faso,BFA,2005,22.5
Burkina Faso,BFA,2010,22.4
Burkina Faso,BFA,2015,21.9
Burkina Faso,BFA,2016,21.7
Burundi,BDI,2000,23.5
Burundi,BDI,2005,22.8
Burundi,BDI,2010,22.8
Burundi,BDI,2015,22.8
Burundi,BDI,2016,22.9
Cambodia,KHM,2000,25.5
Cambodia,KHM,2005,24
Cambodia,KHM,2010,22.2
Cambodia,KHM,2015,21.3
Cambodia,KHM,2016,21.1
Cameroon,CMR,2000,24.5
Cameroon,CMR,2005,22.8
Cameroon,CMR,2010,21.8
Cameroon,CMR,2015,21.8
Cameroon,CMR,2016,21.6
Canada,CAN,2000,14.4
Canada,CAN,2005,12.6
Canada,CAN,2010,11.1
Canada,CAN,2015,10
Canada,CAN,2016,9.8
Cape Verde,CPV,2000,20.9
Cape Verde,CPV,2005,19.4
Cape Verde,CPV,2010,18.3
Cape Verde,CPV,2015,17.4
Cape Verde,CPV,2016,17.2
Caribbean small states,,2000,23.735527392489
Caribbean small states,,2005,21.6572243872569
Caribbean small states,,2010,20.2157583239785
Caribbean small states,,2015,19.2219850404056
Caribbean small states,,2016,19.0913487641136
Central African Republic,CAF,2000,24.9
Central African Republic,CAF,2005,24.3
Central African Republic,CAF,2010,24.9
Central African Republic,CAF,2015,23.7
Central African Republic,CAF,2016,23.1
Central Europe and the Baltics,,2000,25.4217233587842
Central Europe and the Baltics,,2005,23.5916849518811
Central Europe and the Baltics,,2010,21.3921198824698
Central Europe and the Baltics,,2015,19.8259640801553
Central Europe and the Baltics,,2016,19.3844768958298
Chad,TCD,2000,24.3
Chad,TCD,2005,24.5
Chad,TCD,2010,24.5
Chad,TCD,2015,24.1
Chad,TCD,2016,23.9
Chile,CHL,2000,14.6
Chile,CHL,2005,13.9
Chile,CHL,2010,13.3
Chile,CHL,2015,12.5
Chile,CHL,2016,12.4
China,CHN,2000,21.5
China,CHN,2005,19
China,CHN,2010,18.1
China,CHN,2015,17.4
China,CHN,2016,17
Colombia,COL,2000,20.6
Colombia,COL,2005,18.8
Colombia,COL,2010,17.3
Colombia,COL,2015,15.9
Colombia,COL,2016,15.8
Comoros,COM,2000,25.9
Comoros,COM,2005,24.6
Comoros,COM,2010,23.5
Comoros,COM,2015,23
Comoros,COM,2016,22.9
Congo,COG,2000,24.8
Congo,COG,2005,22.1
Congo,COG,2010,19
Congo,COG,2015,17
Congo,COG,2016,16.7
Costa Rica,CRI,2000,14.2
Costa Rica,CRI,2005,12.6
Costa Rica,CRI,2010,13
Costa Rica,CRI,2015,11.6
Costa Rica,CRI,2016,11.5
Cote d'Ivoire,CIV,2000,26.2
Cote d'Ivoire,CIV,2005,28.1
Cote d'Ivoire,CIV,2010,28.6
Cote d'Ivoire,CIV,2015,29.3
Cote d'Ivoire,CIV,2016,29.1
Croatia,HRV,2000,22.9
Croatia,HRV,2005,20.7
Croatia,HRV,2010,18.8
Croatia,HRV,2015,17.2
Croatia,HRV,2016,16.7
Cuba,CUB,2000,18.1
Cuba,CUB,2005,17.6
Cuba,CUB,2010,17.6
Cuba,CUB,2015,16.6
Cuba,CUB,2016,16.4
Cyprus,CYP,2000,14.1
Cyprus,CYP,2005,13.8
Cyprus,CYP,2010,11.8
Cyprus,CYP,2015,11.5
Cyprus,CYP,2016,11.3
Czech Republic,CZE,2000,22.6
Czech Republic,CZE,2005,19.9
Czech Republic,CZE,2010,17.7
Czech Republic,CZE,2015,15.5
Czech Republic,CZE,2016,15
Democratic Republic of Congo,COD,2000,22.7
Democratic Republic of Congo,COD,2005,21.3
Democratic Republic of Congo,COD,2010,20.1
Democratic Republic of Congo,COD,2015,19.4
Democratic Republic of Congo,COD,2016,19.4
Denmark,DNK,2000,18.3
Denmark,DNK,2005,15.1
Denmark,DNK,2010,13.4
Denmark,DNK,2015,11.7
Denmark,DNK,2016,11.3
Djibouti,DJI,2000,21.6
Djibouti,DJI,2005,20.9
Djibouti,DJI,2010,19.1
Djibouti,DJI,2015,19.5
Djibouti,DJI,2016,19.6
Dominican Republic,DOM,2000,21.9
Dominican Republic,DOM,2005,20.4
Dominican Republic,DOM,2010,19.6
Dominican Republic,DOM,2015,19.1
Dominican Republic,DOM,2016,19
Early-demographic dividend,,2000,24.9925473109781
Early-demographic dividend,,2005,24.1082010186267
Early-demographic dividend,,2010,23.2275980107969
Early-demographic dividend,,2015,22.4357480672941
Early-demographic dividend,,2016,22.2407880515247
East Asia & Pacific,,2000,21.0420704719644
East Asia & Pacific,,2005,19.3513891090666
East Asia & Pacific,,2010,18.5975750451551
East Asia & Pacific,,2015,17.9525364868342
East Asia & Pacific,,2016,17.6562437964519
East Asia & Pacific (IDA & IBRD),,2000,22.104644656485
East Asia & Pacific (IDA & IBRD),,2005,20.2659727600751
East Asia & Pacific (IDA & IBRD),,2010,19.5324042145893
East Asia & Pacific (IDA & IBRD),,2015,18.9042817862866
East Asia & Pacific (IDA & IBRD),,2016,18.5888307605435
East Asia & Pacific (excluding high income),,2000,22.1245316278027
East Asia & Pacific (excluding high income),,2005,20.3481065061687
East Asia & Pacific (excluding high income),,2010,19.6297355391319
East Asia & Pacific (excluding high income),,2015,18.9878947606244
East Asia & Pacific (excluding high income),,2016,18.6730183226821
Ecuador,ECU,2000,16.6
Ecuador,ECU,2005,15
Ecuador,ECU,2010,13.8
Ecuador,ECU,2015,13.4
Ecuador,ECU,2016,13
Egypt,EGY,2000,25.3
Egypt,EGY,2005,27.1
Egypt,EGY,2010,28
Egypt,EGY,2015,28.2
Egypt,EGY,2016,27.7
El Salvador,SLV,2000,17.1
El Salvador,SLV,2005,15.7
El Salvador,SLV,2010,14.7
El Salvador,SLV,2015,14.1
El Salvador,SLV,2016,14
Equatorial Guinea,GNQ,2000,26.4
Equatorial Guinea,GNQ,2005,23.6
Equatorial Guinea,GNQ,2010,23
Equatorial Guinea,GNQ,2015,22
Equatorial Guinea,GNQ,2016,22
Eritrea,ERI,2000,25.7
Eritrea,ERI,2005,25.2
Eritrea,ERI,2010,24.8
Eritrea,ERI,2015,24.2
Eritrea,ERI,2016,23.9
Estonia,EST,2000,26.9
Estonia,EST,2005,23.8
Estonia,EST,2010,19.6
Estonia,EST,2015,16.9
Estonia,EST,2016,17
Ethiopia,ETH,2000,21.7
Ethiopia,ETH,2005,20.4
Ethiopia,ETH,2010,18.9
Ethiopia,ETH,2015,18.4
Ethiopia,ETH,2016,18.3
Euro area,,2000,15.1568918879293
Euro area,,2005,13.3997749990437
Euro area,,2010,12.1693535072282
Euro area,,2015,11.3576351737381
Euro area,,2016,11.0979221709863
Europe & Central Asia,,2000,23.2400198911894
Europe & Central Asia,,2005,21.9074399342295
Europe & Central Asia,,2010,19.0015368577822
Europe & Central Asia,,2015,17.2148914026909
Europe & Central Asia,,2016,16.8139780853818
Europe & Central Asia (IDA & IBRD),,2000,31.5639094687857
Europe & Central Asia (IDA & IBRD),,2005,30.9367431002297
Europe & Central Asia (IDA & IBRD),,2010,26.2845583083129
Europe & Central Asia (IDA & IBRD),,2015,23.2038251239327
Europe & Central Asia (IDA & IBRD),,2016,22.6036125313493
Europe & Central Asia (excluding high income),,2000,32.377363664001
Europe & Central Asia (excluding high income),,2005,31.9632643321701
Europe & Central Asia (excluding high income),,2010,26.995323688522
Europe & Central Asia (excluding high income),,2015,23.6757479218076
Europe & Central Asia (excluding high income),,2016,23.0702444206441
European Union,,2000,17.2178052987887
European Union,,2005,15.3195340768005
European Union,,2010,13.8405292066501
European Union,,2015,12.8808560386003
European Union,,2016,12.585541798733
Fiji,FJI,2000,36.4
Fiji,FJI,2005,35.6
Fiji,FJI,2010,32.9
Fiji,FJI,2015,30.8
Fiji,FJI,2016,30.6
Finland,FIN,2000,14.6
Finland,FIN,2005,12.9
Finland,FIN,2010,11.8
Finland,FIN,2015,10.5
Finland,FIN,2016,10.2
Fragile and conflict affected situations,,2000,25.8987387164624
Fragile and conflict affected situations,,2005,25.1519658545027
Fragile and conflict affected situations,,2010,24.0755362611214
Fragile and conflict affected situations,,2015,23.462646885658
Fragile and conflict affected situations,,2016,23.3996924521379
France,FRA,2000,13.8
France,FRA,2005,12.6
France,FRA,2010,11.8
France,FRA,2015,10.8
France,FRA,2016,10.6
Gabon,GAB,2000,17.1
Gabon,GAB,2005,15.1
Gabon,GAB,2010,15.1
Gabon,GAB,2015,14.8
Gabon,GAB,2016,14.4
Gambia,GMB,2000,23.1
Gambia,GMB,2005,22.1
Gambia,GMB,2010,21.1
Gambia,GMB,2015,20.6
Gambia,GMB,2016,20.4
Georgia,GEO,2000,24.7
Georgia,GEO,2005,23
Georgia,GEO,2010,25
Georgia,GEO,2015,24.9
Georgia,GEO,2016,24.9
Germany,DEU,2000,16.1
Germany,DEU,2005,14.1
Germany,DEU,2010,13.1
Germany,DEU,2015,12.5
Germany,DEU,2016,12.1
Ghana,GHA,2000,21.6
Ghana,GHA,2005,20.3
Ghana,GHA,2010,20.4
Ghana,GHA,2015,20.9
Ghana,GHA,2016,20.8
Greece,GRC,2000,14.9
Greece,GRC,2005,13.6
Greece,GRC,2010,12.9
Greece,GRC,2015,12.3
Greece,GRC,2016,12.4
Grenada,GRD,2000,26.8
Grenada,GRD,2005,25.4
Grenada,GRD,2010,23.9
Grenada,GRD,2015,21.7
Grenada,GRD,2016,21.4
Guatemala,GTM,2000,15
Guatemala,GTM,2005,15.1
Guatemala,GTM,2010,14.9
Guatemala,GTM,2015,14.9
Guatemala,GTM,2016,14.9
Guinea,GIN,2000,22.4
Guinea,GIN,2005,23.3
Guinea,GIN,2010,23.1
Guinea,GIN,2015,22.6
Guinea,GIN,2016,22.4
Guinea-Bissau,GNB,2000,23.4
Guinea-Bissau,GNB,2005,22.3
Guinea-Bissau,GNB,2010,21.5
Guinea-Bissau,GNB,2015,19.8
Guinea-Bissau,GNB,2016,20
Guyana,GUY,2000,32.7
Guyana,GUY,2005,31.3
Guyana,GUY,2010,31.2
Guyana,GUY,2015,30.6
Guyana,GUY,2016,30.5
Haiti,HTI,2000,29.1
Haiti,HTI,2005,23.4
Haiti,HTI,2010,22.3
Haiti,HTI,2015,26.7
Haiti,HTI,2016,26.5
Heavily indebted poor countries (HIPC),,2000,24.2722364976819
Heavily indebted poor countries (HIPC),,2005,22.9486612923764
Heavily indebted poor countries (HIPC),,2010,21.6963955404408
Heavily indebted poor countries (HIPC),,2015,21.1133578878136
Heavily indebted poor countries (HIPC),,2016,21.0317322475176
High income,,2000,16.2929747886642
High income,,2005,14.4931991519343
High income,,2010,13.1422228105534
High income,,2015,12.3765134102332
High income,,2016,12.2591446428712
Honduras,HND,2000,16.6
Honduras,HND,2005,15.7
Honduras,HND,2010,14.3
Honduras,HND,2015,14
Honduras,HND,2016,14
Hungary,HUN,2000,28.1
Hungary,HUN,2005,26.7
Hungary,HUN,2010,24.2
Hungary,HUN,2015,23.3
Hungary,HUN,2016,23
IBRD only,,2000,24.210759947324
IBRD only,,2005,22.4556739116969
IBRD only,,2010,21.1138525477988
IBRD only,,2015,20.1045853715765
IBRD only,,2016,19.793557905465
IDA & IBRD total,,2000,24.2918091182215
IDA & IBRD total,,2005,22.7222348654411
IDA & IBRD total,,2010,21.4204053209907
IDA & IBRD total,,2015,20.4861536124805
IDA & IBRD total,,2016,20.2160216111101
IDA blend,,2000,25.8209777352802
IDA blend,,2005,25.380157471665
IDA blend,,2010,23.6305301047358
IDA blend,,2015,22.8914676269949
IDA blend,,2016,22.7823064819377
IDA only,,2000,24.1574863130732
IDA only,,2005,23.438795987299
IDA only,,2010,22.5476143516865
IDA only,,2015,21.9054345565722
IDA only,,2016,21.804503085381
IDA total,,2000,24.7189823904716
IDA total,,2005,24.090437916948
IDA total,,2010,22.9112662187986
IDA total,,2015,22.2379527416998
IDA total,,2016,22.134658648243
Iceland,ISL,2000,13.4
Iceland,ISL,2005,11.8
Iceland,ISL,2010,9.8
Iceland,ISL,2015,9.3
Iceland,ISL,2016,9.1
India,IND,2000,26.6
India,IND,2005,25.1
India,IND,2010,24.2
India,IND,2015,23.5
India,IND,2016,23.3
Indonesia,IDN,2000,26.3
Indonesia,IDN,2005,26.8
Indonesia,IDN,2010,27
Indonesia,IDN,2015,26.5
Indonesia,IDN,2016,26.4
Iran,IRN,2000,23.9
Iran,IRN,2005,21.5
Iran,IRN,2010,18
Iran,IRN,2015,15.1
Iran,IRN,2016,14.8
Iraq,IRQ,2000,24.2
Iraq,IRQ,2005,22.9
Iraq,IRQ,2010,22.5
Iraq,IRQ,2015,21.6
Iraq,IRQ,2016,21.3
Ireland,IRL,2000,17.9
Ireland,IRL,2005,13.6
Ireland,IRL,2010,11.2
Ireland,IRL,2015,10.5
Ireland,IRL,2016,10.3
Israel,ISR,2000,14.6
Israel,ISR,2005,12.6
Israel,ISR,2010,10.1
Israel,ISR,2015,9.7
Israel,ISR,2016,9.6
Italy,ITA,2000,13.5
Italy,ITA,2005,11.6
Italy,ITA,2010,10.3
Italy,ITA,2015,9.8
Italy,ITA,2016,9.5
Jamaica,JAM,2000,18.1
Jamaica,JAM,2005,16.1
Jamaica,JAM,2010,15.3
Jamaica,JAM,2015,14.8
Jamaica,JAM,2016,14.7
Japan,JPN,2000,11.4
Japan,JPN,2005,10.4
Japan,JPN,2010,9.5
Japan,JPN,2015,8.6
Japan,JPN,2016,8.4
Jordan,JOR,2000,23.5
Jordan,JOR,2005,22.3
Jordan,JOR,2010,20.7
Jordan,JOR,2015,19.4
Jordan,JOR,2016,19.2
Kazakhstan,KAZ,2000,39.1
Kazakhstan,KAZ,2005,39
Kazakhstan,KAZ,2010,32.9
Kazakhstan,KAZ,2015,28.6
Kazakhstan,KAZ,2016,26.8
Kenya,KEN,2000,17.3
Kenya,KEN,2005,15.4
Kenya,KEN,2010,13.4
Kenya,KEN,2015,13.3
Kenya,KEN,2016,13.4
Kiribati,KIR,2000,29.5
Kiribati,KIR,2005,29.3
Kiribati,KIR,2010,28.8
Kiribati,KIR,2015,28.5
Kiribati,KIR,2016,28.4
Kuwait,KWT,2000,21.7
Kuwait,KWT,2005,20.5
Kuwait,KWT,2010,19.3
Kuwait,KWT,2015,17.6
Kuwait,KWT,2016,17.4
Kyrgyzstan,KGZ,2000,31.4
Kyrgyzstan,KGZ,2005,32.3
Kyrgyzstan,KGZ,2010,27.8
Kyrgyzstan,KGZ,2015,26.2
Kyrgyzstan,KGZ,2016,24.9
Laos,LAO,2000,29.2
Laos,LAO,2005,28.9
Laos,LAO,2010,27.9
Laos,LAO,2015,27.1
Laos,LAO,2016,27
Late-demographic dividend,,2000,23.1692057803025
Late-demographic dividend,,2005,20.853666508615
Late-demographic dividend,,2010,19.2330539026631
Late-demographic dividend,,2015,18.0304202015747
Late-demographic dividend,,2016,17.6443118028308
Latin America & Caribbean,,2000,20.6714566774034
Latin America & Caribbean,,2005,18.6746429957207
Latin America & Caribbean,,2010,17.4218696105526
Latin America & Caribbean,,2015,16.2720543779299
Latin America & Caribbean,,2016,16.0140499701769
Latin America & Caribbean (IDA & IBRD),,2000,20.7478623107522
Latin America & Caribbean (IDA & IBRD),,2005,18.7054451434654
Latin America & Caribbean (IDA & IBRD),,2010,17.4173067934025
Latin America & Caribbean (IDA & IBRD),,2015,16.2648732865195
Latin America & Caribbean (IDA & IBRD),,2016,16.0054615564627
Latin America & Caribbean (excluding high income),,2000,20.933392723663
Latin America & Caribbean (excluding high income),,2005,18.8418130891781
Latin America & Caribbean (excluding high income),,2010,17.5517893541311
Latin America & Caribbean (excluding high income),,2015,16.4210282708004
Latin America & Caribbean (excluding high income),,2016,16.1600738488105
Latvia,LVA,2000,27.9
Latvia,LVA,2005,28.4
Latvia,LVA,2010,25.8
Latvia,LVA,2015,22.2
Latvia,LVA,2016,21.9
Least developed countries: UN classification,,2000,24.2132418689491
Least developed countries: UN classification,,2005,23.4019884986315
Least developed countries: UN classification,,2010,22.4364360421463
Least developed countries: UN classification,,2015,21.7175259944078
Least developed countries: UN classification,,2016,21.6193163648444
Lebanon,LBN,2000,21.2
Lebanon,LBN,2005,19.6
Lebanon,LBN,2010,18.1
Lebanon,LBN,2015,17.9
Lebanon,LBN,2016,17.9
Lesotho,LSO,2000,26.6
Lesotho,LSO,2005,26.5
Lesotho,LSO,2010,27
Lesotho,LSO,2015,26.6
Lesotho,LSO,2016,26.6
Liberia,LBR,2000,18.1
Liberia,LBR,2005,19
Liberia,LBR,2010,18
Liberia,LBR,2015,17.2
Liberia,LBR,2016,17.6
Libya,LBY,2000,22.7
Libya,LBY,2005,21.9
Libya,LBY,2010,20.7
Libya,LBY,2015,19.7
Libya,LBY,2016,20.1
Lithuania,LTU,2000,24.2
Lithuania,LTU,2005,25.9
Lithuania,LTU,2010,23.6
Lithuania,LTU,2015,22.2
Lithuania,LTU,2016,20.7
Low & middle income,,2000,24.3373791929976
Low & middle income,,2005,22.8012042192355
Low & middle income,,2010,21.5143905685891
Low & middle income,,2015,20.5805093579091
Low & middle income,,2016,20.3125290140595
Low income,,2000,24.5335682525771
Low income,,2005,23.6057673239231
Low income,,2010,22.4473048233504
Low income,,2015,21.652611539688
Low income,,2016,21.5592023863821
Lower middle income,,2000,25.876313927594
Lower middle income,,2005,25.0979282452768
Lower middle income,,2010,24.1079552744566
Lower middle income,,2015,23.3861579013506
Lower middle income,,2016,23.1868030320925
Luxembourg,LUX,2000,15
Luxembourg,LUX,2005,13.1
Luxembourg,LUX,2010,11.5
Luxembourg,LUX,2015,9.6
Luxembourg,LUX,2016,10
Macedonia,MKD,2000,26
Macedonia,MKD,2005,24.3
Macedonia,MKD,2010,23
Macedonia,MKD,2015,20.7
Macedonia,MKD,2016,20.3
Madagascar,MDG,2000,27.2
Madagascar,MDG,2005,25.4
Madagascar,MDG,2010,24.5
Madagascar,MDG,2015,23.1
Madagascar,MDG,2016,22.9
Malawi,MWI,2000,21
Malawi,MWI,2005,19.4
Malawi,MWI,2010,17.5
Malawi,MWI,2015,16.3
Malawi,MWI,2016,16.4
Malaysia,MYS,2000,20.3
Malaysia,MYS,2005,19.3
Malaysia,MYS,2010,18.2
Malaysia,MYS,2015,17.3
Malaysia,MYS,2016,17.2
Maldives,MDV,2000,26.8
Maldives,MDV,2005,20.5
Maldives,MDV,2010,16.7
Maldives,MDV,2015,13.9
Maldives,MDV,2016,13.4
Mali,MLI,2000,27.5
Mali,MLI,2005,25.4
Mali,MLI,2010,25
Mali,MLI,2015,24.8
Mali,MLI,2016,24.6
Malta,MLT,2000,15.5
Malta,MLT,2005,13
Malta,MLT,2010,11.2
Malta,MLT,2015,10.8
Malta,MLT,2016,10.8
Mauritania,MRT,2000,18.1
Mauritania,MRT,2005,17.8
Mauritania,MRT,2010,17.9
Mauritania,MRT,2015,18
Mauritania,MRT,2016,18.1
Mauritius,MUS,2000,29.7
Mauritius,MUS,2005,27.2
Mauritius,MUS,2010,24.1
Mauritius,MUS,2015,22.8
Mauritius,MUS,2016,22.6
Mexico,MEX,2000,16.8
Mexico,MEX,2005,17.1
Mexico,MEX,2010,16.3
Mexico,MEX,2015,15.9
Mexico,MEX,2016,15.7
Micronesia (country),FSM,2000,27.4
Micronesia (country),FSM,2005,27.2
Micronesia (country),FSM,2010,26.4
Micronesia (country),FSM,2015,26.5
Micronesia (country),FSM,2016,26.1
Middle East & North Africa,,2000,23.4352031805922
Middle East & North Africa,,2005,21.9773491375097
Middle East & North Africa,,2010,20.4000910044384
Middle East & North Africa,,2015,19.1635397860167
Middle East & North Africa,,2016,18.9066181919542
Middle East & North Africa (IDA & IBRD),,2000,24.1385330071194
Middle East & North Africa (IDA & IBRD),,2005,22.6906966680935
Middle East & North Africa (IDA & IBRD),,2010,21.1095804684715
Middle East & North Africa (IDA & IBRD),,2015,19.9049561025169
Middle East & North Africa (IDA & IBRD),,2016,19.620605961878
Middle East & North Africa (excluding high income),,2000,24.1385330071194
Middle East & North Africa (excluding high income),,2005,22.6906966680935
Middle East & North Africa (excluding high income),,2010,21.1095804684715
Middle East & North Africa (excluding high income),,2015,19.9049561025169
Middle East & North Africa (excluding high income),,2016,19.620605961878
Middle income,,2000,24.3234150310749
Middle income,,2005,22.7425177516773
Middle income,,2010,21.4427495539313
Middle income,,2015,20.4940308706639
Middle income,,2016,20.2109596035613
Moldova,MDA,2000,31.9
Moldova,MDA,2005,31.6
Moldova,MDA,2010,29.5
Moldova,MDA,2015,27.5
Moldova,MDA,2016,24.9
Mongolia,MNG,2000,38.9
Mongolia,MNG,2005,35.6
Mongolia,MNG,2010,32.3
Mongolia,MNG,2015,30.4
Mongolia,MNG,2016,30.2
Montenegro,MNE,2000,25.7
Montenegro,MNE,2005,25.5
Montenegro,MNE,2010,22.1
Montenegro,MNE,2015,20.9
Montenegro,MNE,2016,20.6
Morocco,MAR,2000,24.4
Morocco,MAR,2005,18.6
Morocco,MAR,2010,13.8
Morocco,MAR,2015,12.5
Morocco,MAR,2016,12.4
Mozambique,MOZ,2000,27.3
Mozambique,MOZ,2005,22.7
Mozambique,MOZ,2010,20.3
Mozambique,MOZ,2015,18.4
Mozambique,MOZ,2016,18.4
Myanmar,MMR,2000,25
Myanmar,MMR,2005,25.8
Myanmar,MMR,2010,25.1
Myanmar,MMR,2015,24.3
Myanmar,MMR,2016,24.2
Namibia,NAM,2000,25.6
Namibia,NAM,2005,24.3
Namibia,NAM,2010,23.2
Namibia,NAM,2015,21.6
Namibia,NAM,2016,21.3
Nepal,NPL,2000,27.3
Nepal,NPL,2005,25.8
Nepal,NPL,2010,23.8
Nepal,NPL,2015,22.2
Nepal,NPL,2016,21.8
Netherlands,NLD,2000,16.2
Netherlands,NLD,2005,13.9
Netherlands,NLD,2010,12.5
Netherlands,NLD,2015,11.3
Netherlands,NLD,2016,11.2
New Zealand,NZL,2000,15.9
New Zealand,NZL,2005,13.3
New Zealand,NZL,2010,11.8
New Zealand,NZL,2015,10.4
New Zealand,NZL,2016,10.1
Nicaragua,NIC,2000,19.5
Nicaragua,NIC,2005,17.2
Nicaragua,NIC,2010,15.4
Nicaragua,NIC,2015,14.4
Nicaragua,NIC,2016,14.2
Niger,NER,2000,20.1
Niger,NER,2005,21
Niger,NER,2010,20.8
Niger,NER,2015,20.2
Niger,NER,2016,20
Nigeria,NGA,2000,25.5
Nigeria,NGA,2005,24.9
Nigeria,NGA,2010,22.9
Nigeria,NGA,2015,22.5
Nigeria,NGA,2016,22.5
North America,,2000,17.6263015336365
North America,,2005,15.6457774117421
North America,,2010,14.1433731385958
North America,,2015,13.8423573056745
North America,,2016,14.0874620661883
North Korea,PRK,2000,23.6
North Korea,PRK,2005,26.5
North Korea,PRK,2010,27.3
North Korea,PRK,2015,25.8
North Korea,PRK,2016,25.6
Norway,NOR,2000,14.2
Norway,NOR,2005,12.2
Norway,NOR,2010,11.3
Norway,NOR,2015,9.3
Norway,NOR,2016,9.2
OECD members,,2000,16.3447587176931
OECD members,,2005,14.6614240841536
OECD members,,2010,13.2970444525033
OECD members,,2015,12.5585983497196
OECD members,,2016,12.440071192536
Oman,OMN,2000,23.4
Oman,OMN,2005,21.8
Oman,OMN,2010,20.2
Oman,OMN,2015,18.1
Oman,OMN,2016,17.8
Other small states,,2000,23.611811281884
Other small states,,2005,21.8235533540084
Other small states,,2010,19.8225414650545
