Entity,Code,Year,Borrowed from an employer (% age 15+) (Percent),Borrowed from family or friends (% age 15+) (Percent),Borrowed from a financial institution (% age 15+) (Percent),Borrowed from a private informal lender (% age 15+) (Percent),Borrowed from a store by buying on credit (% age 15+) (Percent)
Comoros,COM,2011,1.63877,25.33675,7.206213,1.668321,6.927277
Congo,COG,2011,3.120142,28.74496,3.174149,4.58177,0.3267831
Costa Rica,CRI,2011,3.251349,7.027575,10.01993,1.528928,3.937425
Croatia,HRV,2011,1.806925,19.64181,14.43678,0.9680791,17.69604
Cyprus,CYP,2011,1.828623,11.95367,26.97043,0.5965451,6.919979
Czech Republic,CZE,2011,0.7499605,18.05994,9.466052,1.284006,7.571547
Democratic Republic of Congo,COD,2011,3.213531,30.05693,1.516516,6.703769,1.184721
Denmark,DNK,2011,0.8844843,12.15988,18.79764,0.1532192,5.549408
Djibouti,DJI,2011,2.501964,18.2538,4.481201,4.845829,3.278434
Dominican Republic,DOM,2011,5.738593,15.43753,13.88594,13.50324,5.850093
East Asia & Pacific,,2011,2.321887,27.18074,8.572721,1.886801,3.882021
Ecuador,ECU,2011,3.175219,15.36073,10.61396,4.608962,4.830113
Egypt,EGY,2011,0.9993846,25.25978,3.652792,1.695467,2.943339
El Salvador,SLV,2011,1.342758,6.278349,3.896487,2.011661,1.46574
Estonia,EST,2011,1.419451,24.76438,7.681091,1.291679,11.93819
Euro area,,2011,0.5971574,7.901162,11.8401,0.9253023,6.980408
Europe & Central Asia,,2011,2.531461,30.24482,7.762309,1.429497,15.92425
Finland,FIN,2011,0.835652,15.08941,23.87921,0.9757386,28.11711
France,FRA,2011,0.0987853,4.765294,18.64621,0.169667,4.089437
Gabon,GAB,2011,1.635492,27.38094,2.339258,5.441667,0.9559456
Georgia,GEO,2011,0.8169739,14.02816,11.01036,6.04579,4.451541
Germany,DEU,2011,0.6785626,8.566638,12.54911,0.8600765,11.54876
Ghana,GHA,2011,3.040695,28.76263,5.751857,3.384355,5.331756
Greece,GRC,2011,0.9191332,20.06394,7.932692,0.9593718,6.501509
Guatemala,GTM,2011,1.743936,10.03318,13.72167,3.126961,3.696155
Guinea,GIN,2011,2.342779,35.00917,2.445635,10.20636,3.824607
Haiti,HTI,2011,11.14198,36.03462,8.341124,3.473557,2.207474
High income,,2011,1.564548,13.2665,13.25029,2.056754,10.69426
High income: OECD,,2011,1.376456,11.92309,14.19488,2.148248,11.42729
High income: nonOECD,,2011,2.544829,20.26794,8.327335,1.579911,6.873946
Honduras,HND,2011,2.60319,10.82656,7.098495,2.676787,4.48978
Hong Kong,HKG,2011,0.8992924,12.0663,7.926506,2.056717,15.00681
Hungary,HUN,2011,0.6959265,9.549017,9.395558,1.135895,2.976916
India,IND,2011,5.357101,19.68996,7.697093,6.627483,6.643654
Indonesia,IDN,2011,3.913738,42.30019,8.547714,1.970006,3.468236
Iran,IRN,2011,12.2514,50.09325,30.65371,6.617787,34.38928
Iraq,IRQ,2011,8.538862,41.47291,7.964867,8.520622,21.03066
Ireland,IRL,2011,1.664374,11.26362,15.71657,1.854815,7.584555
Israel,ISR,2011,7.054052,19.86193,16.72003,2.02313,18.17844
Italy,ITA,2011,0.4490658,3.281787,4.585943,2.281901,1.954459
Jamaica,JAM,2011,3.170107,20.73754,7.922607,2.227869,4.195961
Japan,JPN,2011,0,5.055371,6.096314,0.4692358,9.959011
Jordan,JOR,2011,1.940673,26.07769,4.470353,1.441427,2.989134
Kazakhstan,KAZ,2011,5.060816,31.31436,13.06675,3.281798,8.226638
Kenya,KEN,2011,6.192551,58.21931,9.73918,6.593191,10.16089
Kosovo,OWID_KOS,2011,2.303279,16.99169,6.092337,2.164621,3.44485
Kuwait,KWT,2011,5.818496,18.29938,20.7953,2.500522,1.134509
Kyrgyzstan,KGZ,2011,2.670897,25.50367,11.29781,1.492508,0.595748
Laos,LAO,2011,1.572046,15.63104,18.13394,4.885876,0
Latin America & Caribbean,,2011,3.068135,14.41622,7.905896,2.566581,4.979092
Latvia,LVA,2011,3.073613,19.16456,6.809615,2.405293,3.970636
Lebanon,LBN,2011,3.127523,11.95632,11.27412,2.169602,5.915457
Lesotho,LSO,2011,3.040355,50.78459,3.040511,5.723884,4.089395
Liberia,LBR,2011,5.39397,41.5074,6.474833,11.02181,4.592546
Lithuania,LTU,2011,1.64819,25.38597,5.647512,3.65733,12.5253
Low & middle income,,2011,3.422508,25.18018,7.98702,3.754997,6.636839
Low income,,2011,3.339643,30.14124,11.73351,7.180645,8.721403
Lower middle income,,2011,4.875007,26.37244,7.327724,5.248172,8.18093
Luxembourg,LUX,2011,0.9662031,5.747144,17.43712,1.50827,6.421011
Macedonia,MKD,2011,4.042446,23.61299,10.57057,2.662822,6.285347
Madagascar,MDG,2011,3.466489,57.71335,2.29112,0.5909206,17.3645
Malawi,MWI,2011,3.709865,43.97172,9.187471,5.305513,3.198242
Malaysia,MYS,2011,4.817101,19.86079,11.19655,2.169108,6.786963
Mali,MLI,2011,1.117883,24.12444,3.676569,2.515282,3.073075
Malta,MLT,2011,0.2199485,4.982624,10.0126,0.1244466,7.875489
Mauritania,MRT,2011,11.12868,34.49976,7.85146,10.89907,7.189818
Mauritius,MUS,2011,1.647877,6.038668,14.27377,0.2492843,14.0455
Mexico,MEX,2011,7.327786,14.76345,7.558856,2.905448,9.048071
Middle East (developing only),,2011,2.940097,31.15703,4.417061,4.028289,11.41517
Middle income,,2011,3.430804,24.68345,7.611907,3.412008,6.428125
Moldova,MDA,2011,2.599909,42.05988,6.416824,3.787712,5.026247
Mongolia,MNG,2011,4.417119,15.62585,24.78785,4.96218,14.25473
Montenegro,MNE,2011,7.197288,35.27841,21.80487,2.705108,14.58558
Morocco,MAR,2011,1.620193,40.85828,4.302135,1.877082,2.205748
Nepal,NPL,2011,2.008808,33.19687,10.76375,19.21926,15.78942
Netherlands,NLD,2011,0.5608379,7.119242,12.56149,0.7683268,2.451401
New Zealand,NZL,2011,3.091881,17.14856,26.62319,3.28856,20.84978
Nicaragua,NIC,2011,1.453431,4.270072,7.628711,2.807285,1.714984
Niger,NER,2011,3.317112,42.99219,1.301017,8.403292,3.0556
Nigeria,NGA,2011,2.958893,44.08322,2.064914,2.434094,10.44477
Oman,OMN,2011,11.32999,33.05372,9.159539,6.563794,9.119924
Pakistan,PAK,2011,5.897869,23.14802,1.569748,2.261489,11.56396
Palestine,PSE,2011,7.568231,41.77243,4.102308,7.474808,33.81613
Panama,PAN,2011,4.011603,17.32302,9.756288,10.04324,4.253242
Paraguay,PRY,2011,2.128993,14.94172,12.87786,3.34454,3.796826
Peru,PER,2011,2.053888,14.4884,12.74634,3.319614,4.490721
Philippines,PHL,2011,11.74582,38.96992,10.5146,12.6639,26.60853
Poland,POL,2011,1.136578,13.41909,9.605915,0.9317619,5.986424
Portugal,PRT,2011,0.6905981,6.90266,8.259142,0.8296819,2.316488
Qatar,QAT,2011,16.1436,30.56841,12.55436,8.86436,12.89921
Romania,ROU,2011,0.2680022,18.34502,8.369553,0.1508087,2.549495
Russia,RUS,2011,2.913991,23.46452,7.689795,1.523878,4.796883
Rwanda,RWA,2011,4.736271,27.79573,8.400661,4.072051,0.943651
Saudi Arabia,SAU,2011,6.557336,26.2094,2.143191,10.43279,9.570848
Senegal,SEN,2011,1.665286,26.16131,3.503186,1.413669,1.683478
Serbia,SRB,2011,2.397506,28.93835,12.25202,1.555481,17.96438
Sierra Leone,SLE,2011,5.04955,43.22002,6.145066,5.419266,1.643883
Singapore,SGP,2011,0.3044028,15.55632,9.991625,1.702686,12.87234
Slovakia,SVK,2011,1.006988,17.88528,11.42801,0.789537,13.55515
Slovenia,SVN,2011,1.677267,12.85956,12.82957,0.3970435,14.48091
South Africa,ZAF,2011,2.850035,34.33691,8.865002,6.814754,10.82477
South Asia,,2011,4.930108,19.43512,8.717892,6.339902,8.039588
South Korea,KOR,2011,1.142004,16.99719,16.57813,0.5971738,12.72788
Spain,ESP,2011,0.8923072,11.86405,11.43223,0.4089626,9.47881
Sri Lanka,LKA,2011,2.935801,12.71699,17.74433,3.227746,7.69084
Sub-Saharan Africa,,2011,4.040085,40.06374,4.800735,5.477716,8.165541
Sudan,SDN,2011,11.23844,47.36155,1.763955,11.10362,31.83453
Swaziland,SWZ,2011,6.52,50.69001,11.51201,11.4048,8.714122
Sweden,SWE,2011,0.2553991,12.24837,23.39814,1.451686,17.71219
Syria,SYR,2011,12.06756,20.08515,13.14007,16.8874,27.11094
Taiwan,TWN,2011,1.647478,6.91243,9.587192,1.735868,13.35256
Tajikistan,TJK,2011,4.489056,25.43167,4.758938,3.335758,4.833088
Tanzania,TZA,2011,5.899271,46.01327,6.608147,6.014401,6.472851
Thailand,THA,2011,0.981229,7.654822,19.39599,2.3035,1.242175
Togo,TGO,2011,1.062137,19.30481,3.765319,1.934374,1.102754
Trinidad and Tobago,TTO,2011,1.108806,11.22501,8.430674,1.329776,5.325295
Turkey,TUR,2011,2.926321,43.00706,4.553034,0.4496818,42.80825
Turkmenistan,TKM,2011,4.868197,26.01933,0.8362995,2.802617,20.08101
Uganda,UGA,2011,4.168918,46.45603,8.869852,4.58562,9.449573
Ukraine,UKR,2011,2.909148,37.32281,8.1459,1.533781,5.328006
United Arab Emirates,ARE,2011,3.254193,23.52538,10.78139,2.303174,7.263603
United Kingdom,GBR,2011,0.5139325,13.87461,11.84745,2.225823,7.806623
United States,USA,2011,2.913172,17.23961,20.13618,4.856001,16.93536
Upper middle income,,2011,2.049258,23.06774,7.883759,1.655505,4.751364
Uruguay,URY,2011,2.565994,6.409504,14.8035,0.5537781,6.434961
Uzbekistan,UZB,2011,0.6030304,11.65052,1.463084,1.00392,0.8684098
Venezuela,VEN,2011,2.074688,9.791342,1.72652,1.540097,1.056508
Vietnam,VNM,2011,3.417899,30.99015,16.17792,2.966962,13.29372
World,OWID_WRL,2011,3.025265,22.63296,9.112336,3.391903,7.50434
Yemen,YEM,2011,2.474624,45.49056,0.9277796,7.766827,32.37918
Zambia,ZMB,2011,3.290174,41.57547,6.130939,4.268121,6.701752
Zimbabwe,ZWE,2011,5.038994,57.40453,4.875517,4.162011,11.89139
