Entity,Code,Year,"16.a.1 - Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) - SG_NHR_IMPLN"
Ukraine,UKR,2017,1
Ukraine,UKR,2018,1
United Kingdom,GBR,2010,1
United Kingdom,GBR,2015,1
United Kingdom,GBR,2016,1
United Kingdom,GBR,2017,1
United Kingdom,GBR,2018,1
Uruguay,URY,2016,1
Uruguay,URY,2017,1
Uruguay,URY,2018,1
Venezuela,VEN,2005,1
Venezuela,VEN,2010,1
Venezuela,VEN,2015,1
Zambia,ZMB,2005,1
Zambia,ZMB,2010,1
Zambia,ZMB,2015,1
Zambia,ZMB,2016,1
Zambia,ZMB,2017,1
Zambia,ZMB,2018,1
Zimbabwe,ZWE,2016,1
Zimbabwe,ZWE,2017,1
Zimbabwe,ZWE,2018,1
