Entity,Code,Year,12.c.1 - Fossil-fuel pre-tax subsidies (consumption and production) per capita (current United States dollars) - ER_FFS_PRTSPC (USD)
Tunisia,TUN,2013,111.34141
Tunisia,TUN,2015,93.29523
Turkey,TUR,2013,2.47338
Turkey,TUR,2015,2.56813
Turkmenistan,TKM,2013,1161.71505
Turkmenistan,TKM,2015,985.28614
Uganda,UGA,2013,7.82039
Uganda,UGA,2015,8.27148
Ukraine,UKR,2013,206.27136
Ukraine,UKR,2015,186.88963
United Arab Emirates,ARE,2013,2012.09984
United Arab Emirates,ARE,2015,1319.65298
United Kingdom,GBR,2013,7.17275
United Kingdom,GBR,2015,7.50385
United States,USA,2013,34.53889
United States,USA,2015,41.36338
Uruguay,URY,2013,0
Uruguay,URY,2015,0
Uzbekistan,UZB,2013,341.99988
Uzbekistan,UZB,2015,261.12368
Venezuela,VEN,2013,1217.03842
Venezuela,VEN,2015,765.0985
Vietnam,VNM,2013,12.80194
Vietnam,VNM,2015,12.17639
Western Africa,,2013,18.33492
Western Africa,,2015,8.41577
Western Asia,,2013,519.53612
Western Asia,,2015,274.29344
World,OWID_WRL,2013,77.96483
World,OWID_WRL,2015,46.7585
Yemen,YEM,2013,67.27502
Yemen,YEM,2015,3.87028
Zambia,ZMB,2013,132.03515
Zambia,ZMB,2015,132.73905
Zimbabwe,ZWE,2013,193.53316
Zimbabwe,ZWE,2015,201.48478
