Entity,Code,Year,"Acute care beds per 1,000 people (beds per 1,000 people)"
France,FRA,2014,3.27
France,FRA,2015,3.21
France,FRA,2016,3.15
France,FRA,2017,3.09
Germany,DEU,2005,6.3500000000000005
Germany,DEU,2006,6.2
Germany,DEU,2007,6.16
Germany,DEU,2008,6.13
Germany,DEU,2009,6.15
Germany,DEU,2010,6.15
Germany,DEU,2011,6.25
Germany,DEU,2012,6.24
Germany,DEU,2013,6.21
Germany,DEU,2014,6.18
Germany,DEU,2015,6.11
Germany,DEU,2016,6.0600000000000005
Germany,DEU,2017,6.0200000000000005
Greece,GRC,2005,3.9
Greece,GRC,2006,3.99
Greece,GRC,2007,4
Greece,GRC,2008,4.01
Greece,GRC,2009,4.12
Greece,GRC,2010,3.66
Greece,GRC,2011,3.67
Greece,GRC,2012,3.66
Greece,GRC,2013,3.52
Greece,GRC,2014,3.5
Greece,GRC,2015,3.6
Greece,GRC,2016,3.5700000000000003
Greece,GRC,2017,3.6
Hong Kong,HKG,2017,2.634
Hungary,HUN,2005,5.94
Hungary,HUN,2006,5.94
Hungary,HUN,2007,4.47
Hungary,HUN,2008,4.43
Hungary,HUN,2009,4.44
Hungary,HUN,2010,4.45
Hungary,HUN,2011,4.46
Hungary,HUN,2012,4.29
Hungary,HUN,2013,4.3
Hungary,HUN,2014,4.28
Hungary,HUN,2015,4.26
Hungary,HUN,2016,4.28
Hungary,HUN,2017,4.2700000000000005
Iceland,ISL,2007,3.35
Iceland,ISL,2008,3.09
Iceland,ISL,2009,2.99
Iceland,ISL,2010,2.95
Iceland,ISL,2011,2.67
Iceland,ISL,2012,2.71
Iceland,ISL,2013,2.67
Iceland,ISL,2014,2.64
Iceland,ISL,2015,2.62
Iceland,ISL,2016,2.61
Iceland,ISL,2017,2.5100000000000002
Iceland,ISL,2018,2.37
India,IND,2017,0.625
Indonesia,IDN,2017,1.171
Iran,IRN,2014,1.575
Ireland,IRL,2005,2.7600000000000002
Ireland,IRL,2006,2.69
Ireland,IRL,2007,2.62
Ireland,IRL,2008,2.5300000000000002
Ireland,IRL,2009,2.59
Ireland,IRL,2010,2.5
Ireland,IRL,2011,2.43
Ireland,IRL,2012,2.37
Ireland,IRL,2013,2.38
Ireland,IRL,2014,2.41
Ireland,IRL,2015,2.75
Ireland,IRL,2016,2.79
Ireland,IRL,2017,2.77
Israel,ISR,2005,2.71
Israel,ISR,2006,2.52
Israel,ISR,2007,2.48
Israel,ISR,2008,2.44
Israel,ISR,2009,2.38
Israel,ISR,2010,2.36
Israel,ISR,2011,2.32
Israel,ISR,2012,2.3000000000000003
Israel,ISR,2013,2.31
Israel,ISR,2014,2.29
Israel,ISR,2015,2.25
Israel,ISR,2016,2.22
Israel,ISR,2017,2.2
Israel,ISR,2018,2.19
Italy,ITA,2005,3.48
Italy,ITA,2006,3.41
Italy,ITA,2007,3.29
Italy,ITA,2008,3.18
Italy,ITA,2009,3.08
Italy,ITA,2010,3.0300000000000002
Italy,ITA,2011,2.93
Italy,ITA,2012,2.84
Italy,ITA,2013,2.75
Italy,ITA,2014,2.65
Italy,ITA,2015,2.64
Italy,ITA,2016,2.62
Italy,ITA,2017,2.62
Japan,JPN,2005,8.3
Japan,JPN,2006,8.31
Japan,JPN,2007,8.290000000000001
Japan,JPN,2008,8.2
Japan,JPN,2009,8.14
Japan,JPN,2010,8.09
Japan,JPN,2011,8.01
Japan,JPN,2012,7.99
Japan,JPN,2013,7.96
Japan,JPN,2014,7.88
Japan,JPN,2015,7.8500000000000005
Japan,JPN,2016,7.82
Japan,JPN,2017,7.79
Kazakhstan,KAZ,2016,5.393
Latvia,LVA,2005,5.39
Latvia,LVA,2006,5.33
Latvia,LVA,2007,5.3100000000000005
Latvia,LVA,2008,5.28
Latvia,LVA,2009,4.5
Latvia,LVA,2010,3.54
Latvia,LVA,2011,3.58
Latvia,LVA,2012,3.56
Latvia,LVA,2013,3.5
Latvia,LVA,2014,3.38
Latvia,LVA,2015,3.39
Latvia,LVA,2016,3.41
Latvia,LVA,2017,3.3000000000000003
Liechtenstein,LIE,2017,2.397
Lithuania,LTU,2005,6.2700000000000005
Lithuania,LTU,2006,6.140000000000001
Lithuania,LTU,2007,6.17
Lithuania,LTU,2008,6.16
Lithuania,LTU,2009,6.16
Lithuania,LTU,2010,6.13
Lithuania,LTU,2011,6.25
Lithuania,LTU,2012,6.2700000000000005
Lithuania,LTU,2013,6.19
Lithuania,LTU,2014,6.1000000000000005
Lithuania,LTU,2015,5.86
Lithuania,LTU,2016,5.59
Lithuania,LTU,2017,5.47
Luxembourg,LUX,2005,4.54
Luxembourg,LUX,2006,4.47
Luxembourg,LUX,2007,4.4
Luxembourg,LUX,2008,4.32
Luxembourg,LUX,2009,4.21
Luxembourg,LUX,2010,4.14
Luxembourg,LUX,2011,4.0600000000000005
Luxembourg,LUX,2012,3.96
Luxembourg,LUX,2013,4.23
Luxembourg,LUX,2014,4.13
Luxembourg,LUX,2015,4.03
Luxembourg,LUX,2016,3.9
Luxembourg,LUX,2017,3.77
Luxembourg,LUX,2018,3.7
Macedonia,MKD,2017,2.862
Malaysia,MYS,2016,2.037
Malta,MLT,2017,3.1750000000000003
Mexico,MEX,2005,1.69
Mexico,MEX,2006,1.6300000000000001
Mexico,MEX,2007,1.6400000000000001
Mexico,MEX,2008,1.6300000000000001
Mexico,MEX,2009,1.59
Mexico,MEX,2010,1.59
Mexico,MEX,2011,1.41
Mexico,MEX,2012,1.41
Mexico,MEX,2013,1.44
Mexico,MEX,2014,1.43
Mexico,MEX,2015,1.3900000000000001
Mexico,MEX,2016,1.3900000000000001
Mexico,MEX,2017,1.3800000000000001
Mongolia,MNG,2017,3.5360000000000005
Myanmar,MMR,2018,1.0290000000000001
Netherlands,NLD,2005,2.86
Netherlands,NLD,2006,3.18
Netherlands,NLD,2007,3.17
Netherlands,NLD,2008,3.1
Netherlands,NLD,2009,3.06
Netherlands,NLD,2010,2.85
Netherlands,NLD,2011,2.79
Netherlands,NLD,2012,3.65
Netherlands,NLD,2013,3.61
Netherlands,NLD,2015,3.04
Netherlands,NLD,2016,3
Netherlands,NLD,2017,2.92
New Zealand,NZL,2009,2.41
New Zealand,NZL,2010,2.75
New Zealand,NZL,2011,2.82
New Zealand,NZL,2012,2.83
New Zealand,NZL,2013,2.7800000000000002
New Zealand,NZL,2014,2.72
New Zealand,NZL,2015,2.69
New Zealand,NZL,2016,2.72
New Zealand,NZL,2017,2.69
New Zealand,NZL,2018,2.59
Norway,NOR,2005,4.58
Norway,NOR,2006,4.5
Norway,NOR,2007,4.36
Norway,NOR,2008,4.12
Norway,NOR,2009,4
Norway,NOR,2010,3.81
Norway,NOR,2011,3.79
Norway,NOR,2012,3.5500000000000003
Norway,NOR,2013,3.45
Norway,NOR,2014,3.43
Norway,NOR,2015,3.36
Norway,NOR,2016,3.29
Norway,NOR,2017,3.2
Oman,OMN,2017,1.6769999999999998
Pakistan,PAK,2016,0.6020000000000001
Philippines,PHL,2016,0.605
Poland,POL,2005,4.69
Poland,POL,2006,4.65
Poland,POL,2007,4.62
Poland,POL,2008,4.41
Poland,POL,2009,4.39
Poland,POL,2010,4.98
Poland,POL,2011,4.95
Poland,POL,2012,4.96
Poland,POL,2013,4.94
Poland,POL,2014,4.95
Poland,POL,2015,4.91
Poland,POL,2016,4.92
Poland,POL,2017,4.8500000000000005
Portugal,PRT,2005,3.49
Portugal,PRT,2006,3.41
Portugal,PRT,2007,3.36
Portugal,PRT,2008,3.33
Portugal,PRT,2009,3.3000000000000003
Portugal,PRT,2010,3.29
Portugal,PRT,2011,3.3000000000000003
Portugal,PRT,2012,3.34
Portugal,PRT,2013,3.3200000000000003
Portugal,PRT,2014,3.25
Portugal,PRT,2015,3.23
Portugal,PRT,2016,3.25
Portugal,PRT,2017,3.25
Romania,ROU,2011,5.07
Romania,ROU,2017,5.252999999999999
Saudi Arabia,SAU,2016,2.48
Serbia,SRB,2017,4.641
Singapore,SGP,2017,1.735
Slovakia,SVK,2005,5.67
Slovakia,SVK,2006,5.55
Slovakia,SVK,2007,5.6000000000000005
Slovakia,SVK,2008,5.54
Slovakia,SVK,2009,5.46
Slovakia,SVK,2010,5.4
Slovakia,SVK,2011,5.13
Slovakia,SVK,2012,5.03
Slovakia,SVK,2013,4.92
Slovakia,SVK,2014,4.92
Slovakia,SVK,2015,4.87
Slovakia,SVK,2016,4.88
Slovakia,SVK,2017,4.91
Slovenia,SVN,2005,4.61
Slovenia,SVN,2006,4.55
Slovenia,SVN,2007,4.45
Slovenia,SVN,2008,4.5200000000000005
Slovenia,SVN,2009,4.37
Slovenia,SVN,2010,4.33
Slovenia,SVN,2011,4.34
Slovenia,SVN,2012,4.28
Slovenia,SVN,2013,4.25
Slovenia,SVN,2014,4.24
Slovenia,SVN,2015,4.22
Slovenia,SVN,2016,4.19
Slovenia,SVN,2017,4.2
South Korea,KOR,2005,5.32
South Korea,KOR,2006,5.54
South Korea,KOR,2007,5.82
South Korea,KOR,2008,6.11
South Korea,KOR,2009,6.33
South Korea,KOR,2010,6.41
South Korea,KOR,2011,6.7700000000000005
South Korea,KOR,2012,7
South Korea,KOR,2013,7.0600000000000005
South Korea,KOR,2014,7.29
South Korea,KOR,2015,7.0200000000000005
South Korea,KOR,2016,7.1000000000000005
Spain,ESP,2005,2.65
Spain,ESP,2006,2.61
Spain,ESP,2007,2.6
Spain,ESP,2008,2.56
Spain,ESP,2009,2.5300000000000002
Spain,ESP,2010,2.49
Spain,ESP,2011,2.43
Spain,ESP,2012,2.38
Spain,ESP,2013,2.36
Spain,ESP,2014,2.37
Spain,ESP,2015,2.41
Spain,ESP,2016,2.39
Spain,ESP,2017,2.43
Sri Lanka,LKA,2015,3.596
Sweden,SWE,2005,2.66
Sweden,SWE,2006,2.61
Sweden,SWE,2007,2.6
Sweden,SWE,2008,2.5500000000000003
Sweden,SWE,2009,2.52
Sweden,SWE,2010,2.5
Sweden,SWE,2011,2.48
Sweden,SWE,2012,2.46
Sweden,SWE,2013,2.4
Sweden,SWE,2014,2.35
Sweden,SWE,2015,2.2600000000000002
Sweden,SWE,2016,2.15
Sweden,SWE,2017,2.04
Switzerland,CHE,2005,4.71
Switzerland,CHE,2006,4.54
Switzerland,CHE,2007,4.48
Switzerland,CHE,2008,4.3500000000000005
Switzerland,CHE,2009,4.2700000000000005
Switzerland,CHE,2010,3.9
Switzerland,CHE,2011,3.79
Switzerland,CHE,2012,3.73
Switzerland,CHE,2013,3.66
Switzerland,CHE,2014,3.62
Switzerland,CHE,2015,3.58
Switzerland,CHE,2016,3.49
Switzerland,CHE,2017,3.56
Taiwan,TWN,2017,3.116
Thailand,THA,2017,2.0540000000000003
Turkey,TUR,2005,2.47
Turkey,TUR,2006,2.49
Turkey,TUR,2007,2.5100000000000002
Turkey,TUR,2008,2.5500000000000003
Turkey,TUR,2009,2.6
Turkey,TUR,2010,2.71
Turkey,TUR,2011,2.6
Turkey,TUR,2012,2.63
Turkey,TUR,2013,2.63
Turkey,TUR,2014,2.65
Turkey,TUR,2015,2.65
Turkey,TUR,2016,2.71
Turkey,TUR,2017,2.7800000000000002
United Kingdom,GBR,2011,2.37
United Kingdom,GBR,2017,2.114
United States,USA,2005,2.8000000000000003
United States,USA,2006,2.77
United States,USA,2007,2.74
United States,USA,2008,2.72
United States,USA,2009,2.69
United States,USA,2010,2.66
United States,USA,2011,2.6
United States,USA,2012,2.57
United States,USA,2013,2.54
United States,USA,2014,2.49
United States,USA,2015,2.46
United States,USA,2016,2.44
