Entity,Code,Year,"Spirits, recorded per capita (15+) consumption (in litres of pure alcohol)  (litres of pure alcohol)"
Andorra,AND,2010,2.68
Andorra,AND,2011,2.78
Andorra,AND,2012,2.6
Andorra,AND,2013,2.59
Angola,AGO,1961,1.3
Angola,AGO,1962,1.2
Angola,AGO,1963,0.76
Angola,AGO,1964,0.47
Angola,AGO,1965,0.36
Angola,AGO,1966,0.3
Angola,AGO,1967,0.29
Angola,AGO,1968,0.55
Angola,AGO,1969,0.51
Angola,AGO,1970,0.75
Angola,AGO,1971,0.89
Angola,AGO,1972,0.68
Angola,AGO,1973,1.18
Angola,AGO,1974,0.29
Angola,AGO,1975,0.34
Angola,AGO,1976,0.42
Angola,AGO,1977,0.36
Angola,AGO,1978,0.27
Angola,AGO,1979,0.21
Angola,AGO,1980,0.21
Angola,AGO,1981,0.49
Angola,AGO,1982,0.38
Angola,AGO,1983,0.37
Angola,AGO,1984,0.35
Angola,AGO,1985,0.39
Angola,AGO,1986,0.48
Angola,AGO,1987,0.48
Angola,AGO,1988,0.58
Angola,AGO,1989,0.59
Angola,AGO,1990,0.54
Angola,AGO,1991,0.6
Angola,AGO,1992,0.55
Angola,AGO,1993,0.32
Angola,AGO,1994,0.38
Angola,AGO,1995,0.48
Angola,AGO,1996,0.49
Angola,AGO,1997,0.44
Angola,AGO,1998,0.42
Angola,AGO,1999,0.42
Angola,AGO,2000,0.38
Angola,AGO,2001,0.45
Angola,AGO,2002,0.47
Angola,AGO,2003,0.49
Angola,AGO,2004,0.22
Angola,AGO,2005,0.08
Angola,AGO,2006,0.09
Angola,AGO,2007,0.3
Angola,AGO,2008,0.32
Angola,AGO,2009,0.36
Angola,AGO,2010,0.64
Angola,AGO,2011,0.59
Angola,AGO,2012,0.53
Angola,AGO,2013,1.18
Angola,AGO,2014,1.47
Antigua and Barbuda,ATG,1962,2.84
Antigua and Barbuda,ATG,1963,3.18
Antigua and Barbuda,ATG,1964,3.24
Antigua and Barbuda,ATG,1965,3.14
Antigua and Barbuda,ATG,1966,4.15
Antigua and Barbuda,ATG,1967,4.03
Antigua and Barbuda,ATG,1968,3.89
Antigua and Barbuda,ATG,1969,3.9
Antigua and Barbuda,ATG,1970,4.68
Antigua and Barbuda,ATG,1971,4.6
Antigua and Barbuda,ATG,1972,1.72
Antigua and Barbuda,ATG,1973,4.36
Antigua and Barbuda,ATG,1974,1.29
Antigua and Barbuda,ATG,1975,1.14
Antigua and Barbuda,ATG,1976,2.38
Antigua and Barbuda,ATG,1977,0.34
Antigua and Barbuda,ATG,1978,0.11
Antigua and Barbuda,ATG,1979,0.44
Antigua and Barbuda,ATG,1980,0.17
Antigua and Barbuda,ATG,1981,1.74
Antigua and Barbuda,ATG,1982,1.9
Antigua and Barbuda,ATG,1983,2.76
Antigua and Barbuda,ATG,1984,3.05
Antigua and Barbuda,ATG,1985,1.63
Antigua and Barbuda,ATG,1986,1.55
Antigua and Barbuda,ATG,1987,1.55
Antigua and Barbuda,ATG,1988,1.73
Antigua and Barbuda,ATG,1989,1.56
Antigua and Barbuda,ATG,1990,2.1
Antigua and Barbuda,ATG,1991,1.42
Antigua and Barbuda,ATG,1992,1.39
Antigua and Barbuda,ATG,1993,1.27
Antigua and Barbuda,ATG,1994,2.9
Antigua and Barbuda,ATG,1995,3.6
Antigua and Barbuda,ATG,1996,3.98
Antigua and Barbuda,ATG,1997,3.98
Antigua and Barbuda,ATG,1998,4.07
Antigua and Barbuda,ATG,1999,4.18
Antigua and Barbuda,ATG,2000,4.18
Antigua and Barbuda,ATG,2001,4.17
Antigua and Barbuda,ATG,2002,4.02
Antigua and Barbuda,ATG,2003,4
Antigua and Barbuda,ATG,2004,3.48
Antigua and Barbuda,ATG,2005,3.58
Antigua and Barbuda,ATG,2006,3.61
Antigua and Barbuda,ATG,2007,3.6
Antigua and Barbuda,ATG,2008,3.61
Antigua and Barbuda,ATG,2009,3.29
Antigua and Barbuda,ATG,2010,3.25
Antigua and Barbuda,ATG,2011,3.29
Antigua and Barbuda,ATG,2012,3.57
Antigua and Barbuda,ATG,2013,3.84
Antigua and Barbuda,ATG,2014,3.7
Argentina,ARG,1961,2.03
Argentina,ARG,1962,2.11
Argentina,ARG,1963,2.38
Argentina,ARG,1964,2.3
Argentina,ARG,1965,2.3
Argentina,ARG,1966,2.13
Argentina,ARG,1967,2.14
Argentina,ARG,1968,1.98
Argentina,ARG,1969,1.97
Argentina,ARG,1970,1.89
Argentina,ARG,1971,1.82
Argentina,ARG,1972,2.02
Argentina,ARG,1973,2.04
Argentina,ARG,1974,1.99
Argentina,ARG,1975,2.49
Argentina,ARG,1976,2.41
Argentina,ARG,1977,1.42
Argentina,ARG,1978,1.29
Argentina,ARG,1979,2.44
Argentina,ARG,1980,2.88
Argentina,ARG,1981,1.88
Argentina,ARG,1982,1.3
Argentina,ARG,1983,1.45
Argentina,ARG,1984,1.45
Argentina,ARG,1985,1.45
Argentina,ARG,1986,1.45
Argentina,ARG,1987,1.45
Argentina,ARG,1988,0.72
Argentina,ARG,1989,0.29
Argentina,ARG,1990,0.86
Argentina,ARG,1991,1.22
Argentina,ARG,1992,1.3
Argentina,ARG,1993,1.38
Argentina,ARG,1994,1.38
Argentina,ARG,1995,1.08
Argentina,ARG,1996,1.15
Argentina,ARG,1997,1.3
Argentina,ARG,1998,0.9
Argentina,ARG,1999,1.13
Argentina,ARG,2000,0.52
Argentina,ARG,2001,0.49
Argentina,ARG,2002,0.41
Argentina,ARG,2003,0.46
Argentina,ARG,2004,0.52
Argentina,ARG,2005,0.32
Argentina,ARG,2006,0.3
Argentina,ARG,2007,0.44
Argentina,ARG,2008,0.44
Argentina,ARG,2009,0.4
Argentina,ARG,2010,0.45
Argentina,ARG,2011,0.24
Argentina,ARG,2012,0.25
Argentina,ARG,2013,0.52
Argentina,ARG,2014,0.56
Armenia,ARM,1990,1
Armenia,ARM,1991,0.85
Armenia,ARM,1992,1.23
Armenia,ARM,1993,1.26
Armenia,ARM,1994,3.03
Armenia,ARM,1995,2.43
Armenia,ARM,1996,2.42
Armenia,ARM,1997,2.45
Armenia,ARM,1998,1.43
Armenia,ARM,1999,1.67
Armenia,ARM,2000,2.52
Armenia,ARM,2001,2.34
Armenia,ARM,2002,2.48
Armenia,ARM,2003,2.7
Armenia,ARM,2004,3.16
Armenia,ARM,2005,3.51
Armenia,ARM,2006,3.37
Armenia,ARM,2007,3.38
Armenia,ARM,2008,3.31
Armenia,ARM,2009,3.36
Armenia,ARM,2010,3.52
Armenia,ARM,2011,3.36
Armenia,ARM,2012,3.31
Armenia,ARM,2013,3.23
Armenia,ARM,2014,3.25
Australia,AUS,1961,1.19
Australia,AUS,1962,1.16
Australia,AUS,1963,1.26
Australia,AUS,1964,1.36
Australia,AUS,1965,1.19
Australia,AUS,1966,1.19
Australia,AUS,1967,1.32
Australia,AUS,1968,1.3
Australia,AUS,1969,1.45
Australia,AUS,1970,1.49
Australia,AUS,1971,1.54
Australia,AUS,1972,1.74
Australia,AUS,1973,1.76
Australia,AUS,1974,1.68
Australia,AUS,1975,1.61
Australia,AUS,1976,1.76
Australia,AUS,1977,1.83
Australia,AUS,1978,1.47
Australia,AUS,1979,1.38
Australia,AUS,1980,1.5
Australia,AUS,1981,1.58
Australia,AUS,1982,1.59
Australia,AUS,1983,1.51
Australia,AUS,1984,1.61
Australia,AUS,1985,1.7
Australia,AUS,1986,1.57
Australia,AUS,1987,1.65
Australia,AUS,1988,1.7
Australia,AUS,1989,1.68
Australia,AUS,1990,1.18
Australia,AUS,1991,1.12
Australia,AUS,1992,1.17
Australia,AUS,1993,1.48
Australia,AUS,1994,1.73
Australia,AUS,1995,1.63
Australia,AUS,1996,1.7
Australia,AUS,1997,1.81
Australia,AUS,1998,1.77
Australia,AUS,1999,1.88
Australia,AUS,2000,2.07
Australia,AUS,2001,1.81
Australia,AUS,2002,1.86
Australia,AUS,2003,2.01
Australia,AUS,2004,1.2
Australia,AUS,2005,1.21
Australia,AUS,2006,1.16
Australia,AUS,2007,1.15
Australia,AUS,2008,1.19
Australia,AUS,2009,1.32
Australia,AUS,2010,1.3
Australia,AUS,2011,1.34
Australia,AUS,2012,1.26
Australia,AUS,2013,1.29
Australia,AUS,2014,1.23
Austria,AUT,1960,1.4
Austria,AUT,1961,1.4
Austria,AUT,1962,1.6
Austria,AUT,1963,1.3
Austria,AUT,1964,1.6
Austria,AUT,1965,1.6
Austria,AUT,1966,1.2
Austria,AUT,1967,1.8
Austria,AUT,1968,1.4
Austria,AUT,1969,1.6
Austria,AUT,1970,1.7
Austria,AUT,1971,1.6
Austria,AUT,1972,1.8
Austria,AUT,1973,2.1
Austria,AUT,1974,2.1
Austria,AUT,1975,2.2
Austria,AUT,1976,2.1
Austria,AUT,1977,2.1
Austria,AUT,1978,2.2
Austria,AUT,1979,1.7
Austria,AUT,1980,2
Austria,AUT,1981,2
Austria,AUT,1982,1.9
Austria,AUT,1983,1.9
Austria,AUT,1984,1.9
Austria,AUT,1985,1.8
Austria,AUT,1986,1.8
Austria,AUT,1987,1.9
Austria,AUT,1988,1.9
Austria,AUT,1989,1.9
Austria,AUT,1990,1.8
Austria,AUT,1991,2.1
Austria,AUT,1992,1.5
Austria,AUT,1993,1.8
Austria,AUT,1994,1.3
Austria,AUT,1995,2
Austria,AUT,1996,2.3
Austria,AUT,1997,2
Austria,AUT,1998,1.8
Austria,AUT,1999,1.8
Austria,AUT,2000,2.1
Austria,AUT,2001,1.5
Austria,AUT,2002,1.7
Austria,AUT,2003,1.7
Austria,AUT,2004,1.6
Austria,AUT,2005,1.6
Austria,AUT,2006,1.5
Austria,AUT,2007,1.7
Austria,AUT,2008,1.7
Austria,AUT,2009,1.7
Austria,AUT,2010,1.7
Austria,AUT,2011,1.7
Austria,AUT,2012,1.7
Austria,AUT,2013,1.7
Austria,AUT,2014,1.7
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,3.94
Azerbaijan,AZE,1993,2.26
Azerbaijan,AZE,1994,0.96
Azerbaijan,AZE,1995,0.98
Azerbaijan,AZE,1996,1.21
Azerbaijan,AZE,1997,0.47
Azerbaijan,AZE,1998,0.27
Azerbaijan,AZE,1999,0.18
Azerbaijan,AZE,2000,0.43
Azerbaijan,AZE,2001,0.25
Azerbaijan,AZE,2002,0.25
Azerbaijan,AZE,2003,0.28
Azerbaijan,AZE,2004,0.35
Azerbaijan,AZE,2005,0.4
Azerbaijan,AZE,2006,0.47
Azerbaijan,AZE,2007,0.51
Azerbaijan,AZE,2008,0.53
Azerbaijan,AZE,2009,1.45
Azerbaijan,AZE,2010,1.46
Azerbaijan,AZE,2011,1.51
Azerbaijan,AZE,2013,1.63
Bahamas,BHS,1961,8.04
Bahamas,BHS,1962,6.68
Bahamas,BHS,1963,8.35
Bahamas,BHS,1964,8.92
Bahamas,BHS,1965,10.33
Bahamas,BHS,1966,12.48
Bahamas,BHS,1967,9.08
Bahamas,BHS,1968,9.52
Bahamas,BHS,1969,9.54
Bahamas,BHS,1970,9.84
Bahamas,BHS,1971,10.53
Bahamas,BHS,1972,9.8
Bahamas,BHS,1973,10.22
Bahamas,BHS,1974,9.87
Bahamas,BHS,1975,8.73
Bahamas,BHS,1976,9.25
Bahamas,BHS,1977,9.75
Bahamas,BHS,1978,9.54
Bahamas,BHS,1979,9.28
Bahamas,BHS,1980,9.22
Bahamas,BHS,1981,8.97
Bahamas,BHS,1982,8.34
Bahamas,BHS,1983,8.6
Bahamas,BHS,1984,8.55
Bahamas,BHS,1985,8.31
Bahamas,BHS,1986,8.1
Bahamas,BHS,1987,7.86
Bahamas,BHS,1988,7.52
Bahamas,BHS,1989,7.45
Bahamas,BHS,1990,7.49
Bahamas,BHS,1991,8.54
Bahamas,BHS,1992,9.41
Bahamas,BHS,1993,9.33
Bahamas,BHS,1994,9.84
Bahamas,BHS,1995,7.83
Bahamas,BHS,1996,8.48
Bahamas,BHS,1997,8.32
Bahamas,BHS,1998,8
Bahamas,BHS,1999,6.63
Bahamas,BHS,2000,6.29
Bahamas,BHS,2001,6.08
Bahamas,BHS,2002,5.75
Bahamas,BHS,2003,5.53
Bahamas,BHS,2004,4.54
Bahamas,BHS,2005,4.64
Bahamas,BHS,2006,4.64
Bahamas,BHS,2007,4.54
Bahamas,BHS,2008,4.41
Bahamas,BHS,2009,4.15
Bahamas,BHS,2010,4.12
Bahamas,BHS,2011,4.1
Bahamas,BHS,2012,4.09
Bahamas,BHS,2013,3.99
Bahamas,BHS,2014,3.96
Bahrain,BHR,1970,3.27
Bahrain,BHR,1971,2.37
Bahrain,BHR,1972,1.91
Bahrain,BHR,1973,3.07
Bahrain,BHR,1974,2.59
Bahrain,BHR,1975,3.03
Bahrain,BHR,1977,4.1
Bahrain,BHR,1979,3.89
Bahrain,BHR,1980,2.67
Bahrain,BHR,1981,2.89
Bahrain,BHR,1982,3.72
Bahrain,BHR,1983,4.74
Bahrain,BHR,1984,3.75
Bahrain,BHR,1985,3.7
Bahrain,BHR,1986,3.64
Bahrain,BHR,1987,3.08
Bahrain,BHR,1988,3.57
Bahrain,BHR,1989,3.56
Bahrain,BHR,1990,3.99
Bahrain,BHR,1991,3.69
Bahrain,BHR,1992,3.57
Bahrain,BHR,1993,3.44
Bahrain,BHR,1994,3.33
Bahrain,BHR,1995,3.22
Bahrain,BHR,1996,3.11
Bahrain,BHR,1997,3.63
Bahrain,BHR,1998,1.57
Bahrain,BHR,1999,1.7
Bahrain,BHR,2000,1.31
Bahrain,BHR,2001,1.25
Bahrain,BHR,2002,1.24
Bahrain,BHR,2003,1.46
Bahrain,BHR,2004,1.38
Bahrain,BHR,2005,1.31
Bahrain,BHR,2006,1.34
Bahrain,BHR,2007,1.24
Bahrain,BHR,2008,1.39
Bahrain,BHR,2009,1.34
Bahrain,BHR,2010,1.36
Bahrain,BHR,2011,1.19
Bahrain,BHR,2012,1.23
Bahrain,BHR,2013,1.14
Bahrain,BHR,2014,1.04
Bangladesh,BGD,1961,0
Bangladesh,BGD,1962,0
Bangladesh,BGD,1963,0
Bangladesh,BGD,1964,0
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0.01
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0
Bangladesh,BGD,2007,0
Bangladesh,BGD,2008,0
Bangladesh,BGD,2009,0
Bangladesh,BGD,2010,0
Bangladesh,BGD,2011,0
Bangladesh,BGD,2012,0
Bangladesh,BGD,2013,0
Barbados,BRB,1990,3.93
Barbados,BRB,1991,4.23
Barbados,BRB,1992,4.47
Barbados,BRB,1993,4.49
Barbados,BRB,1994,4.14
Barbados,BRB,1995,3.43
Barbados,BRB,1996,3.56
Barbados,BRB,1997,3.43
Barbados,BRB,1998,3.25
Barbados,BRB,1999,4.03
Barbados,BRB,2000,4.03
Barbados,BRB,2001,3.96
Barbados,BRB,2002,4.09
Barbados,BRB,2003,4
Barbados,BRB,2004,3.8
Barbados,BRB,2005,3.81
Barbados,BRB,2006,3.94
Barbados,BRB,2007,3.95
Barbados,BRB,2008,4.21
Barbados,BRB,2009,4.25
Barbados,BRB,2010,3.97
Barbados,BRB,2011,4.08
Barbados,BRB,2012,4.23
Barbados,BRB,2013,4.28
Barbados,BRB,2014,4.39
Belarus,BLR,1988,2.9
Belarus,BLR,1989,4.81
Belarus,BLR,1990,4.7
Belarus,BLR,1991,5.69
Belarus,BLR,1992,6.54
Belarus,BLR,1993,7.87
Belarus,BLR,1994,7.55
Belarus,BLR,1995,7.43
Belarus,BLR,1996,8.16
Belarus,BLR,1997,7.97
Belarus,BLR,1998,7.57
Belarus,BLR,1999,7.85
Belarus,BLR,2000,5.02
Belarus,BLR,2001,4.75
Belarus,BLR,2002,4.75
Belarus,BLR,2003,3.8
Belarus,BLR,2004,3.63
Belarus,BLR,2005,4.21
Belarus,BLR,2006,5.22
Belarus,BLR,2007,6.06
Belarus,BLR,2008,6.92
Belarus,BLR,2009,6.82
Belarus,BLR,2010,6.73
Belarus,BLR,2011,8.16
Belarus,BLR,2012,8.32
Belarus,BLR,2013,6.45
Belarus,BLR,2014,5.97
Belgium,BEL,1963,1.23
Belgium,BEL,1964,1.22
Belgium,BEL,1965,1.47
Belgium,BEL,1966,1.25
Belgium,BEL,1967,1.26
Belgium,BEL,1968,1.44
Belgium,BEL,1969,1.42
Belgium,BEL,1970,1.73
Belgium,BEL,1971,2.05
Belgium,BEL,1972,2.07
Belgium,BEL,1973,2.31
Belgium,BEL,1974,2.45
Belgium,BEL,1975,2.56
Belgium,BEL,1976,2.49
Belgium,BEL,1977,2.67
Belgium,BEL,1978,3.01
Belgium,BEL,1979,2.84
Belgium,BEL,1980,2.96
Belgium,BEL,1981,2.65
Belgium,BEL,1982,2.53
Belgium,BEL,1983,2.68
Belgium,BEL,1984,2.36
Belgium,BEL,1985,2.61
Belgium,BEL,1986,2.43
Belgium,BEL,1987,2.64
Belgium,BEL,1988,1.86
Belgium,BEL,1989,1.51
Belgium,BEL,1990,1.47
Belgium,BEL,1991,1.43
Belgium,BEL,1992,1.47
Belgium,BEL,1993,1.54
Belgium,BEL,1994,1.43
Belgium,BEL,1995,1.35
Belgium,BEL,1996,1.39
Belgium,BEL,1997,1.47
Belgium,BEL,1998,1.37
Belgium,BEL,1999,1.37
Belgium,BEL,2000,1
Belgium,BEL,2001,0.93
Belgium,BEL,2002,0.95
Belgium,BEL,2003,1.07
Belgium,BEL,2004,1.84
Belgium,BEL,2005,1.98
Belgium,BEL,2006,0.99
Belgium,BEL,2007,0.77
Belgium,BEL,2008,1.59
Belgium,BEL,2009,1.45
Belgium,BEL,2010,1.47
Belgium,BEL,2011,1.49
Belgium,BEL,2012,1.55
Belgium,BEL,2013,1.68
Belgium,BEL,2014,1.8
Belize,BLZ,1961,4.44
Belize,BLZ,1962,4.81
Belize,BLZ,1963,4.69
Belize,BLZ,1964,4.31
Belize,BLZ,1965,4.54
Belize,BLZ,1966,3.74
Belize,BLZ,1967,3.63
Belize,BLZ,1968,3.62
Belize,BLZ,1969,3.71
Belize,BLZ,1970,3.89
Belize,BLZ,1971,3.83
Belize,BLZ,1972,4
Belize,BLZ,1973,4.13
Belize,BLZ,1974,4.33
Belize,BLZ,1975,4.34
Belize,BLZ,1976,4.45
Belize,BLZ,1977,4.71
Belize,BLZ,1978,4.97
Belize,BLZ,1979,4.96
Belize,BLZ,1980,5.06
Belize,BLZ,1981,5.2
Belize,BLZ,1982,5.34
Belize,BLZ,1983,4.65
Belize,BLZ,1984,4.38
Belize,BLZ,1985,4.49
Belize,BLZ,1986,4.16
Belize,BLZ,1987,3.04
Belize,BLZ,1988,2.61
Belize,BLZ,1990,3.37
Belize,BLZ,1991,3.08
Belize,BLZ,1992,3.48
Belize,BLZ,1993,2.56
Belize,BLZ,1994,2.63
Belize,BLZ,1995,3.1
Belize,BLZ,1996,2.98
Belize,BLZ,1997,2.91
Belize,BLZ,1998,2.94
Belize,BLZ,1999,2.93
Belize,BLZ,2000,1.82
Belize,BLZ,2001,1.8
Belize,BLZ,2002,1.79
Belize,BLZ,2003,1.82
Belize,BLZ,2004,2.08
Belize,BLZ,2005,2.1
Belize,BLZ,2006,2.14
Belize,BLZ,2007,2.08
Belize,BLZ,2008,2.07
Belize,BLZ,2009,1.96
Belize,BLZ,2010,1.96
Belize,BLZ,2011,1.92
Belize,BLZ,2012,1.93
Belize,BLZ,2013,1.89
Belize,BLZ,2014,1.89
Benin,BEN,1961,0.13
Benin,BEN,1962,0.15
Benin,BEN,1963,0.11
Benin,BEN,1964,0.13
Benin,BEN,1965,0.24
Benin,BEN,1966,0.42
Benin,BEN,1967,0.11
Benin,BEN,1968,0.15
Benin,BEN,1969,0.15
Benin,BEN,1970,0.18
Benin,BEN,1971,0.22
Benin,BEN,1972,0.22
Benin,BEN,1973,0.23
Benin,BEN,1974,0.42
Benin,BEN,1975,1.34
Benin,BEN,1976,1.35
Benin,BEN,1977,2.4
Benin,BEN,1978,1.49
Benin,BEN,1979,1.09
Benin,BEN,1980,0.96
Benin,BEN,1981,1.18
Benin,BEN,1982,1.47
Benin,BEN,1983,0.76
Benin,BEN,1984,0.5
Benin,BEN,1985,0.34
Benin,BEN,1986,0.33
Benin,BEN,1987,0.54
Benin,BEN,1988,0.45
Benin,BEN,1989,0.3
Benin,BEN,1990,0.26
Benin,BEN,1991,0.28
Benin,BEN,1992,0.29
Benin,BEN,1993,0.34
Benin,BEN,1994,0.2
Benin,BEN,1995,0.31
Benin,BEN,1996,0.54
Benin,BEN,1997,0.49
Benin,BEN,1998,0.6
Benin,BEN,1999,0.68
Benin,BEN,2000,0.31
Benin,BEN,2001,0.13
Benin,BEN,2002,0.02
Benin,BEN,2003,0.19
Benin,BEN,2004,0.15
Benin,BEN,2005,0.16
Benin,BEN,2006,0.19
Benin,BEN,2007,0.1
Benin,BEN,2008,0.25
Benin,BEN,2009,0.15
Benin,BEN,2010,0.16
Benin,BEN,2011,0.16
Bhutan,BTN,1961,0
Bhutan,BTN,1962,0
Bhutan,BTN,1963,0
Bhutan,BTN,1964,0
Bhutan,BTN,1965,0
Bhutan,BTN,1966,0
Bhutan,BTN,1967,0
Bhutan,BTN,1968,0
