Entity,Code,Year,Gini index (SEDLAC)
Dominican Republic,DOM,2001,0.48624098
Dominican Republic,DOM,2002,0.48239247
Dominican Republic,DOM,2003,0.50167035
Dominican Republic,DOM,2004,0.50072729
Dominican Republic,DOM,2005,0.47863358
Dominican Republic,DOM,2006,0.50223978
Dominican Republic,DOM,2007,0.46624419
Dominican Republic,DOM,2008,0.45411868
Dominican Republic,DOM,2009,0.46437505
Dominican Republic,DOM,2010,0.45138746
Dominican Republic,DOM,2011,0.45344701
Dominican Republic,DOM,2012,0.43465003
Dominican Republic,DOM,2013,0.44834449
Dominican Republic,DOM,2014,0.42188592
Dominican Republic,DOM,2015,0.42815433
Dominican Republic,DOM,2016,0.43460218
Ecuador,ECU,1995,0.55891139
Ecuador,ECU,1998,0.55740754
Ecuador,ECU,1999,0.56733783
Ecuador,ECU,2000,0.5466864
Ecuador,ECU,2003,0.51244505
Ecuador,ECU,2004,0.51988423
Ecuador,ECU,2005,0.50944563
Ecuador,ECU,2006,0.49903782
Ecuador,ECU,2007,0.51050734
Ecuador,ECU,2008,0.47526512
Ecuador,ECU,2009,0.45989773
Ecuador,ECU,2010,0.46394457
Ecuador,ECU,2011,0.43627046
Ecuador,ECU,2012,0.43829174
Ecuador,ECU,2013,0.44546314
Ecuador,ECU,2014,0.42583877
Ecuador,ECU,2015,0.4353211
Ecuador,ECU,2016,0.42812152
El Salvador,SLV,2000,0.49254175
El Salvador,SLV,2001,0.49385167
El Salvador,SLV,2002,0.49766747
El Salvador,SLV,2004,0.45739872
El Salvador,SLV,2005,0.46391589
El Salvador,SLV,2006,0.43570865
El Salvador,SLV,2007,0.43061156
El Salvador,SLV,2008,0.44829849
El Salvador,SLV,2009,0.43770091
El Salvador,SLV,2010,0.41382307
El Salvador,SLV,2011,0.40042347
El Salvador,SLV,2012,0.39605307
El Salvador,SLV,2013,0.4138841
El Salvador,SLV,2014,0.39537475
El Salvador,SLV,2015,0.38359633
El Salvador,SLV,2016,0.37957119
Guatemala,GTM,2000,0.51628112
Guatemala,GTM,2002,0.54236489
Guatemala,GTM,2003,0.51689407
Guatemala,GTM,2004,0.48089283
Guatemala,GTM,2006,0.51853563
Guatemala,GTM,2011,0.49896697
Guatemala,GTM,2014,0.45752781
Honduras,HND,1991,0.51813819
Honduras,HND,1992,0.52590608
Honduras,HND,1993,0.52067876
Honduras,HND,1994,0.53891017
Honduras,HND,1995,0.54247131
Honduras,HND,1996,0.54990209
Honduras,HND,1997,0.495364
Honduras,HND,1998,0.50049877
Honduras,HND,1999,0.48077293
Honduras,HND,2001,0.53180022
Honduras,HND,2002,0.53743566
Honduras,HND,2003,0.56157332
Honduras,HND,2004,0.56615942
Honduras,HND,2005,0.5773912
Honduras,HND,2006,0.55648661
Honduras,HND,2007,0.53880681
Honduras,HND,2008,0.53616822
Honduras,HND,2009,0.49337037
Honduras,HND,2010,0.51205174
Honduras,HND,2011,0.54686148
Honduras,HND,2012,0.54309668
Honduras,HND,2013,0.50398645
Honduras,HND,2014,0.48340111
Honduras,HND,2015,0.47593638
Honduras,HND,2016,0.48111002
Mexico,MEX,1989,0.48634231
Mexico,MEX,1992,0.50319677
Mexico,MEX,1994,0.50428908
Mexico,MEX,1996,0.51369854
Mexico,MEX,1998,0.49445189
Mexico,MEX,2000,0.50459705
Mexico,MEX,2002,0.48000489
Mexico,MEX,2004,0.47845336
Mexico,MEX,2005,0.48091063
Mexico,MEX,2006,0.46539448
Mexico,MEX,2008,0.4768016
Mexico,MEX,2010,0.44882933
Mexico,MEX,2012,0.46331329
Mexico,MEX,2014,0.46375218
Mexico,MEX,2016,0.46088826
Nicaragua,NIC,1993,0.55378388
Nicaragua,NIC,1998,0.52417103
Nicaragua,NIC,2001,0.50339829
Nicaragua,NIC,2005,0.46407107
Nicaragua,NIC,2009,0.41718387
Nicaragua,NIC,2014,0.44247905
Panama,PAN,1989,0.57319111
Panama,PAN,1991,0.56390091
Panama,PAN,1995,0.55851419
Panama,PAN,1997,0.56178526
Panama,PAN,1998,0.5531047
Panama,PAN,1999,0.54232447
Panama,PAN,2000,0.54635689
Panama,PAN,2001,0.54738049
Panama,PAN,2002,0.5398599
Panama,PAN,2003,0.53745956
Panama,PAN,2004,0.52781744
Panama,PAN,2005,0.51705153
Panama,PAN,2006,0.52560902
Panama,PAN,2007,0.50537503
Panama,PAN,2008,0.50736258
Panama,PAN,2009,0.49254593
Panama,PAN,2010,0.49134794
Panama,PAN,2011,0.49414229
Panama,PAN,2012,0.49738159
Panama,PAN,2013,0.49293896
Panama,PAN,2014,0.4812824
Panama,PAN,2015,0.48754367
Panama,PAN,2016,0.48372021
Paraguay,PRY,1990,0.3890067
Paraguay,PRY,1995,0.56348661
Paraguay,PRY,1997,0.52934404
Paraguay,PRY,1999,0.52317722
Paraguay,PRY,2001,0.52384551
Paraguay,PRY,2002,0.55567458
Paraguay,PRY,2003,0.53394349
Paraguay,PRY,2004,0.50257191
Paraguay,PRY,2005,0.49232875
Paraguay,PRY,2006,0.51102787
Paraguay,PRY,2007,0.50053721
Paraguay,PRY,2008,0.48608733
Paraguay,PRY,2009,0.47538733
Paraguay,PRY,2010,0.49832953
Paraguay,PRY,2011,0.51014636
Paraguay,PRY,2012,0.46062873
Paraguay,PRY,2013,0.4635716
Paraguay,PRY,2014,0.49708509
Paraguay,PRY,2015,0.46283894
Paraguay,PRY,2016,0.46087562
Paraguay,PRY,2017,0.47084162
Peru,PER,1997,0.51187898
Peru,PER,1998,0.52737882
Peru,PER,1999,0.52656492
Peru,PER,2000,0.47046411
Peru,PER,2001,0.49445664
Peru,PER,2002,0.51560959
Peru,PER,2003,0.51020572
Peru,PER,2004,0.48026415
Peru,PER,2005,0.48502278
Peru,PER,2006,0.48198969
Peru,PER,2007,0.4818123
Peru,PER,2008,0.4565373
Peru,PER,2009,0.45165601
Peru,PER,2010,0.43787548
Peru,PER,2011,0.42834535
Peru,PER,2012,0.42782959
Peru,PER,2013,0.42099513
Peru,PER,2014,0.4132215
Peru,PER,2015,0.41502203
Peru,PER,2016,0.41924994
Uruguay,URY,1989,0.40426993
Uruguay,URY,1992,0.39263905
Uruguay,URY,1995,0.38561101
Uruguay,URY,1996,0.38392398
Uruguay,URY,1997,0.39040002
Uruguay,URY,1998,0.3997152
Uruguay,URY,2000,0.4024572
Uruguay,URY,2001,0.42723905
Uruguay,URY,2002,0.43110026
Uruguay,URY,2003,0.42512322
Uruguay,URY,2004,0.43541041
Uruguay,URY,2005,0.42406096
Uruguay,URY,2006,0.43621376
Uruguay,URY,2007,0.43992983
Uruguay,URY,2008,0.42952952
Uruguay,URY,2009,0.4336777
Uruguay,URY,2010,0.42134382
Uruguay,URY,2011,0.39835924
Uruguay,URY,2012,0.37350379
Uruguay,URY,2013,0.38132101
Uruguay,URY,2014,0.37744866
Uruguay,URY,2015,0.37814466
Uruguay,URY,2016,0.37390662
Venezuela,VEN,1989,0.40918107
Venezuela,VEN,1992,0.3948014
Venezuela,VEN,1995,0.44378367
Venezuela,VEN,1997,0.46024958
Venezuela,VEN,1998,0.45385194
Venezuela,VEN,1999,0.45226588
Venezuela,VEN,2000,0.42408563
Venezuela,VEN,2001,0.44688217
Venezuela,VEN,2002,0.4597117
Venezuela,VEN,2003,0.44826046
Venezuela,VEN,2004,0.44109288
Venezuela,VEN,2005,0.46249678
Venezuela,VEN,2006,0.41616481
