Entity,Code,Year,Government expenditure on pre-primary education as % of GDP (%) (%)
Australia,AUS,2011,0.111230000853539
Australia,AUS,2012,0.12262000143528
Australia,AUS,2013,0.144179999828339
Austria,AUT,1998,0.482829988002777
Austria,AUT,1999,0.448669999837875
Austria,AUT,2000,0.426990002393723
Austria,AUT,2001,0.418509989976883
Austria,AUT,2002,0.429390013217926
Austria,AUT,2003,0.405719995498657
Austria,AUT,2004,0.388740003108978
Austria,AUT,2005,0.39096999168396
Austria,AUT,2006,0.385960012674332
Austria,AUT,2007,0.392450004816055
Austria,AUT,2008,0.442209988832474
Austria,AUT,2009,0.529359996318817
Austria,AUT,2010,0.59127002954483
Austria,AUT,2011,0.574750006198883
Austria,AUT,2012,0.420459985733032
Austria,AUT,2013,0.467249989509583
Azerbaijan,AZE,1998,0.314220011234283
Azerbaijan,AZE,1999,0.36243000626564
Azerbaijan,AZE,2000,0.296750009059906
Azerbaijan,AZE,2001,0.285769999027252
Azerbaijan,AZE,2002,0.255400002002716
Azerbaijan,AZE,2003,0.258799999952316
Azerbaijan,AZE,2004,0.250629991292953
Azerbaijan,AZE,2005,0.204040005803108
Azerbaijan,AZE,2006,0.170640006661415
Azerbaijan,AZE,2007,0.162829995155334
Azerbaijan,AZE,2008,0.168099999427795
Azerbaijan,AZE,2009,0.218020007014275
Azerbaijan,AZE,2010,0.196070000529289
Azerbaijan,AZE,2011,0.169430002570152
Barbados,BRB,1999,0.227009996771812
Barbados,BRB,2000,0.285270005464554
Barbados,BRB,2001,0.391420006752014
Barbados,BRB,2002,0.391400009393692
Barbados,BRB,2003,0.418489992618561
Barbados,BRB,2004,0.35122999548912
Barbados,BRB,2005,0.347429990768433
Barbados,BRB,2008,0.0192200001329184
Belarus,BLR,2004,1.03533005714417
Belarus,BLR,2005,1.01986002922058
Belarus,BLR,2006,1.00571000576019
Belarus,BLR,2007,0.974969983100891
Belarus,BLR,2009,0.943260014057159
Belarus,BLR,2010,1.02745997905731
Belarus,BLR,2011,1.01944005489349
Belgium,BEL,2001,0.534030020236969
Belgium,BEL,2002,0.549570024013519
Belgium,BEL,2003,0.565119981765747
Belgium,BEL,2004,0.559170007705688
Belgium,BEL,2005,0.552089989185333
Belgium,BEL,2006,0.556389987468719
Belgium,BEL,2007,0.555970013141632
Belgium,BEL,2008,0.578180015087128
Belgium,BEL,2009,0.585590004920959
Belgium,BEL,2010,0.607219994068146
Belgium,BEL,2011,0.609709978103638
Belgium,BEL,2012,0.669690012931824
Belize,BLZ,1999,0.0557500012218952
Belize,BLZ,2000,0.00523999985307455
Belize,BLZ,2004,0.0293199997395277
Belize,BLZ,2005,0.0280900001525879
Belize,BLZ,2008,0.0919099971652031
Belize,BLZ,2009,0.106009997427464
Belize,BLZ,2010,0.100349999964237
Belize,BLZ,2013,0.08941999822855
Benin,BEN,2000,0.034000001847744
Benin,BEN,2001,0.0388900004327297
Benin,BEN,2006,0.0522399991750717
Benin,BEN,2007,0.0538400001823902
Benin,BEN,2008,0.0483799986541271
Benin,BEN,2009,0.0579200014472008
Benin,BEN,2010,0.12831999361515
Benin,BEN,2012,0.104979999363422
Benin,BEN,2013,0.112980000674725
Benin,BEN,2014,0.185790002346039
Bermuda,BMU,1998,0.115790002048016
Bermuda,BMU,2004,0.135969996452332
Bermuda,BMU,2005,0.138569995760918
Bermuda,BMU,2010,0.234730005264282
Bermuda,BMU,2014,0.1336600035429
Bolivia,BOL,1998,0.241909995675087
Bolivia,BOL,1999,0.289750009775162
Bolivia,BOL,2000,0.346370011568069
Bolivia,BOL,2001,0.165279999375343
Bolivia,BOL,2002,0.195120006799698
Bolivia,BOL,2003,0.210179999470711
Bolivia,BOL,2006,0.15956999361515
Bolivia,BOL,2008,0.173079997301102
Bolivia,BOL,2009,0.210400000214577
Bolivia,BOL,2010,0.210610002279282
Bolivia,BOL,2011,0.284729987382889
Bolivia,BOL,2012,0.284750014543533
Bolivia,BOL,2013,0.276410013437271
Bolivia,BOL,2014,0.366860002279282
Botswana,BWA,2009,0.000230000005103648
Brazil,BRA,1998,0.38238999247551
Brazil,BRA,1999,0.352090001106262
Brazil,BRA,2000,0.338759988546371
Brazil,BRA,2001,0.320030003786087
Brazil,BRA,2002,0.293660014867783
Brazil,BRA,2004,0.348960012197495
Brazil,BRA,2005,0.367130011320114
Brazil,BRA,2006,0.366369992494583
Brazil,BRA,2007,0.39699000120163
Brazil,BRA,2008,0.40106999874115
Brazil,BRA,2009,0.384319990873337
Brazil,BRA,2010,0.429820001125336
Brazil,BRA,2011,0.506980001926422
Brazil,BRA,2012,0.59867000579834
Bulgaria,BGR,1998,0.529240012168884
Bulgaria,BGR,2001,0.557139992713928
Bulgaria,BGR,2002,0.595669984817505
Bulgaria,BGR,2003,0.660369992256165
Bulgaria,BGR,2004,0.439599990844727
Bulgaria,BGR,2005,0.693499982357025
Bulgaria,BGR,2006,0.71398001909256
Bulgaria,BGR,2007,0.697269976139069
Bulgaria,BGR,2008,0.801720023155212
Bulgaria,BGR,2009,0.856649994850159
Bulgaria,BGR,2010,0.882149994373322
Bulgaria,BGR,2011,0.823729991912842
Bulgaria,BGR,2012,0.85683000087738
Burkina Faso,BFA,2005,0.00887000001966953
Burkina Faso,BFA,2006,0.0083600003272295
Burkina Faso,BFA,2007,0.0285700000822544
Burkina Faso,BFA,2011,0.000190000006114133
Burkina Faso,BFA,2012,0.000269999989541247
Burkina Faso,BFA,2013,0.000490000005811453
Burkina Faso,BFA,2014,0.00155000004451722
Burundi,BDI,1999,0.00789999961853027
Burundi,BDI,2000,0.00681000016629696
Burundi,BDI,2001,0.00707999989390373
Burundi,BDI,2002,0.00659999996423721
Burundi,BDI,2004,0.000620000006165355
Burundi,BDI,2008,0.0011399999493733
Burundi,BDI,2009,0.00176999997347593
Burundi,BDI,2010,0.00158000004012138
Burundi,BDI,2011,0.0013899999903515
Burundi,BDI,2012,0.00153999996837229
Burundi,BDI,2013,0.00150000001303852
Cambodia,KHM,1998,0.024550000205636
Cambodia,KHM,2000,0.0431500002741814
Cambodia,KHM,2001,0.0188900008797646
Cambodia,KHM,2002,0.0178800001740456
Cambodia,KHM,2010,0.0566500015556812
Cambodia,KHM,2012,0.0319500006735325
Cambodia,KHM,2013,0.0537000000476837
Cameroon,CMR,2008,0.133289992809296
Cameroon,CMR,2009,0.113669998943806
Cameroon,CMR,2010,0.129030004143715
Cameroon,CMR,2011,0.101839996874332
Cameroon,CMR,2012,0.103330001235008
Cameroon,CMR,2013,0.121310003101826
Canada,CAN,1998,0.220320001244545
Canada,CAN,1999,0.224419996142387
Canada,CAN,2000,0.212650001049042
Cape Verde,CPV,2006,0.01570999994874
Cape Verde,CPV,2007,0.0174800008535385
Cape Verde,CPV,2008,0.0170499999076128
Cape Verde,CPV,2013,0.0349400006234646
Central African Republic,CAF,2006,0.0142700001597404
Central African Republic,CAF,2007,0.0223600007593632
Central African Republic,CAF,2009,0.0310500003397465
Central African Republic,CAF,2010,0.0273100007325411
Chad,TCD,2009,0.00110999995376915
Chad,TCD,2010,0.00734000001102686
Chad,TCD,2011,0.0072400001809001
Chile,CHL,1998,0.296909987926483
Chile,CHL,2000,0.303050011396408
Chile,CHL,2002,0.34595999121666
Chile,CHL,2003,0.334080010652542
Chile,CHL,2004,0.317360013723373
Chile,CHL,2005,0.310579985380173
Chile,CHL,2006,0.323329985141754
Chile,CHL,2007,0.3505499958992
Chile,CHL,2008,0.425269991159439
Chile,CHL,2009,0.541999995708466
Chile,CHL,2010,0.560370028018951
Chile,CHL,2011,0.528310000896454
Chile,CHL,2012,0.64122998714447
Chile,CHL,2013,0.707660019397736
China,CHN,1998,0.0245699994266033
China,CHN,1999,0.0268200002610683
Colombia,COL,1998,0.0961299985647202
Colombia,COL,1999,0.110059998929501
Colombia,COL,2000,0.0859199985861778
Colombia,COL,2001,0.0910300016403198
Colombia,COL,2002,0.0939299985766411
Colombia,COL,2004,0.108929999172688
Colombia,COL,2005,0.104719996452332
Colombia,COL,2009,0.270399987697601
Colombia,COL,2010,0.281960010528564
Colombia,COL,2011,0.270379990339279
Colombia,COL,2012,0.26120999455452
Colombia,COL,2014,0.264039993286133
Comoros,COM,2002,0.0171499997377396
Comoros,COM,2011,0.372750014066696
Comoros,COM,2012,0.373070001602173
Congo,COG,2002,0.0244800001382828
Congo,COG,2005,0.0535699985921383
Congo,COG,2010,0.283950001001358
Costa Rica,CRI,1999,0.273589998483658
Costa Rica,CRI,2000,0.230719998478889
Costa Rica,CRI,2001,0.34672999382019
Costa Rica,CRI,2002,0.349139988422394
Costa Rica,CRI,2004,0.388550013303757
Costa Rica,CRI,2006,0.290609985589981
Costa Rica,CRI,2007,0.266570001840591
Costa Rica,CRI,2008,0.289889991283417
Costa Rica,CRI,2009,0.358999997377396
Costa Rica,CRI,2010,0.368999987840652
Costa Rica,CRI,2011,0.371230006217957
Costa Rica,CRI,2012,0.366769999265671
Costa Rica,CRI,2013,0.431930005550385
Costa Rica,CRI,2014,0.425929993391037
Cote d'Ivoire,CIV,1998,0.0021100000012666
Cote d'Ivoire,CIV,1999,0.00044000000343658
Cote d'Ivoire,CIV,2000,0.000509999983478338
Cote d'Ivoire,CIV,2012,0.109209999442101
Cote d'Ivoire,CIV,2014,0.127470001578331
Croatia,HRV,2002,0.361039996147156
Croatia,HRV,2003,0.357490003108978
Croatia,HRV,2004,0.353219985961914
Croatia,HRV,2007,0.489439994096756
Croatia,HRV,2008,0.509230017662048
Croatia,HRV,2009,0.58228999376297
Croatia,HRV,2010,0.587279975414276
Croatia,HRV,2011,0.586549997329712
Cuba,CUB,1998,0.646160006523132
Cuba,CUB,1999,0.684360027313232
Cuba,CUB,2000,0.744570016860962
Cuba,CUB,2001,0.691959977149963
Cuba,CUB,2002,0.886539995670319
Cuba,CUB,2004,0.85180002450943
Cuba,CUB,2005,0.875349998474121
Cuba,CUB,2006,0.714659988880157
Cuba,CUB,2007,0.967119991779327
Cuba,CUB,2008,0.972909986972809
Cuba,CUB,2009,0.851329982280731
Cuba,CUB,2010,0.879130005836487
Curacao,CUW,2013,0.455630004405975
Cyprus,CYP,1999,0.165900006890297
Cyprus,CYP,2000,0.251379996538162
Cyprus,CYP,2001,0.296339988708496
Cyprus,CYP,2002,0.318560004234314
Cyprus,CYP,2003,0.330799996852875
Cyprus,CYP,2004,0.30715999007225
Cyprus,CYP,2005,0.313890010118485
Cyprus,CYP,2006,0.309749990701675
Cyprus,CYP,2007,0.301239997148514
Cyprus,CYP,2008,0.323659986257553
Cyprus,CYP,2009,0.375820010900497
Cyprus,CYP,2010,0.368000000715256
Cyprus,CYP,2011,0.374029994010925
Czech Republic,CZE,1998,0.384350001811981
Czech Republic,CZE,1999,0.402139991521835
Czech Republic,CZE,2000,0.3887600004673
Czech Republic,CZE,2001,0.363189995288849
Czech Republic,CZE,2002,0.387120008468628
Czech Republic,CZE,2003,0.378600001335144
Czech Republic,CZE,2004,0.369309991598129
Czech Republic,CZE,2005,0.382829993963242
Czech Republic,CZE,2006,0.379029989242554
Czech Republic,CZE,2007,0.364809989929199
Czech Republic,CZE,2008,0.386979997158051
Czech Republic,CZE,2009,0.466740012168884
Czech Republic,CZE,2010,0.466340005397797
Czech Republic,CZE,2011,0.472380012273788
Czech Republic,CZE,2012,0.516030013561249
Democratic Republic of Congo,COD,2010,0.0102599998936057
Democratic Republic of Congo,COD,2013,0.023089999333024
Denmark,DNK,1998,0.914849996566772
Denmark,DNK,1999,0.703490018844604
Denmark,DNK,2000,0.690999984741211
Denmark,DNK,2001,0.717960000038147
Denmark,DNK,2002,0.705179989337921
Denmark,DNK,2003,0.726499974727631
Denmark,DNK,2004,0.760089993476868
Denmark,DNK,2005,0.698880016803741
Denmark,DNK,2006,0.598280012607574
Denmark,DNK,2007,0.642799973487854
Denmark,DNK,2008,0.645439982414246
Denmark,DNK,2009,0.954249978065491
Denmark,DNK,2010,0.992910027503967
Denmark,DNK,2011,1.34372997283936
Dominica,DMA,1998,0.0069599999114871
Dominica,DMA,2007,0.00461999978870153
Dominica,DMA,2008,0.00565000018104911
Dominica,DMA,2009,0.00610999995842576
Dominica,DMA,2010,0.00581000000238419
Dominica,DMA,2012,0.0613499991595745
Dominican Republic,DOM,2001,0.00187999999616295
Dominican Republic,DOM,2002,0.0413599982857704
Dominican Republic,DOM,2004,0.00497000012546778
Dominican Republic,DOM,2005,0.0204799994826317
Dominican Republic,DOM,2007,0.0862200036644936
Dominican Republic,DOM,2008,0.0989099964499474
Dominican Republic,DOM,2009,0.110950000584126
Dominican Republic,DOM,2010,0.096730001270771
Dominican Republic,DOM,2011,0.101899996399879
Dominican Republic,DOM,2012,0.115539997816086
Dominican Republic,DOM,2013,0.24422000348568
Dominican Republic,DOM,2014,0.258929997682571
Ecuador,ECU,2010,0.120930001139641
Ecuador,ECU,2011,0.231509998440742
Ecuador,ECU,2012,0.199349999427795
Ecuador,ECU,2013,0.234180003404617
Ecuador,ECU,2014,0.560739994049072
El Salvador,SLV,1998,0.216830000281334
El Salvador,SLV,2000,0.198579996824265
El Salvador,SLV,2002,0.234809994697571
El Salvador,SLV,2003,0.238340005278587
El Salvador,SLV,2005,0.233390003442764
El Salvador,SLV,2006,0.247250005602837
El Salvador,SLV,2007,0.283109992742538
El Salvador,SLV,2008,0.339569985866547
El Salvador,SLV,2009,0.350650012493134
El Salvador,SLV,2010,0.275480002164841
El Salvador,SLV,2011,0.259070008993149
Equatorial Guinea,GNQ,1998,0.0921899974346161
Estonia,EST,1998,0.982060015201569
Estonia,EST,1999,1.05852997303009
Estonia,EST,2001,0.300429999828339
Estonia,EST,2002,0.282759994268417
Estonia,EST,2003,0.306699991226196
Estonia,EST,2004,0.315959990024567
Estonia,EST,2005,0.356880009174347
Estonia,EST,2007,0.363429993391037
Estonia,EST,2008,0.517239987850189
Estonia,EST,2009,0.472499996423721
Estonia,EST,2010,0.433710008859634
Estonia,EST,2011,0.403569996356964
Estonia,EST,2012,0.428209990262985
Ethiopia,ETH,2009,0.00271999998949468
Ethiopia,ETH,2010,0.00182999996468425
Ethiopia,ETH,2011,0.00155000004451722
Ethiopia,ETH,2012,0.0197899993509054
Ethiopia,ETH,2013,0.0195799991488457
Fiji,FJI,2004,0.011850000359118
Fiji,FJI,2011,0.0180200003087521
Finland,FIN,1999,0.32124000787735
Finland,FIN,2000,0.330729991197586
Finland,FIN,2001,0.31470999121666
Finland,FIN,2002,0.323599994182587
Finland,FIN,2003,0.329189985990524
Finland,FIN,2004,0.331640005111694
Finland,FIN,2005,0.331719994544983
Finland,FIN,2006,0.328619986772537
Finland,FIN,2007,0.323720008134842
Finland,FIN,2008,0.340999990701675
Finland,FIN,2009,0.385250002145767
Finland,FIN,2010,0.37924998998642
Finland,FIN,2011,0.385699987411499
Finland,FIN,2012,0.747569978237152
Finland,FIN,2013,0.772109985351563
France,FRA,1999,0.619679987430573
France,FRA,2000,0.607020020484924
France,FRA,2001,0.598940014839172
France,FRA,2002,0.601419985294342
France,FRA,2003,0.645600020885468
France,FRA,2004,0.660120010375977
France,FRA,2005,0.625140011310577
France,FRA,2006,0.617229998111725
France,FRA,2007,0.627730011940002
France,FRA,2008,0.616060018539429
France,FRA,2009,0.661059975624084
France,FRA,2010,0.657480001449585
France,FRA,2011,0.646210014820099
France,FRA,2012,0.681720018386841
Gabon,GAB,1998,0.198109999299049
Georgia,GEO,2008,0.311599999666214
Georgia,GEO,2009,0.395639985799789
Georgia,GEO,2011,0.26486998796463
Georgia,GEO,2012,0.284830003976822
Germany,DEU,1998,0.344700008630753
Germany,DEU,2006,0.358399987220764
Germany,DEU,2007,0.364360004663467
Germany,DEU,2008,0.385650008916855
Germany,DEU,2009,0.429239988327026
Germany,DEU,2010,0.448249995708466
Germany,DEU,2011,0.456649988889694
Germany,DEU,2012,0.425839990377426
Ghana,GHA,2004,0.498180001974106
Ghana,GHA,2005,0.441410005092621
Ghana,GHA,2006,0.290890008211136
Ghana,GHA,2007,0.27131000161171
Ghana,GHA,2008,0.32234001159668
Ghana,GHA,2009,0.263880014419556
Ghana,GHA,2010,0.335399985313416
Ghana,GHA,2011,0.298970013856888
Ghana,GHA,2012,0.66456001996994
Ghana,GHA,2013,0.397790014743805
Grenada,GRD,2003,0.22333000600338
Guatemala,GTM,2000,0.11225999891758
Guatemala,GTM,2001,0.151930004358292
Guatemala,GTM,2002,0.153160005807877
Guatemala,GTM,2004,0.15769000351429
Guatemala,GTM,2005,0.145569995045662
Guatemala,GTM,2006,0.24295000731945
Guatemala,GTM,2007,0.267879992723465
Guatemala,GTM,2008,0.317539989948273
Guatemala,GTM,2010,0.314190000295639
Guatemala,GTM,2011,0.330009996891022
Guatemala,GTM,2012,0.325349986553192
Guatemala,GTM,2013,0.300049990415573
Guinea,GIN,2012,0.00175000005401671
Guinea,GIN,2013,0.00264999992214143
Guinea-Bissau,GNB,2010,0.0124899996444583
Guinea-Bissau,GNB,2011,0.0139699997380376
Guinea-Bissau,GNB,2012,0.0174800008535385
Guinea-Bissau,GNB,2013,0.0176899991929531
Guyana,GUY,2002,0.976530015468597
Guyana,GUY,2004,0.639909982681274
Guyana,GUY,2006,0.494150012731552
Guyana,GUY,2007,0.444090008735657
Guyana,GUY,2009,0.387730002403259
Guyana,GUY,2010,0.420459985733032
Guyana,GUY,2011,0.377550005912781
Guyana,GUY,2012,0.369470000267029
Honduras,HND,2010,0.473109990358353
Honduras,HND,2013,0.430029988288879
Hong Kong,HKG,2001,0.0847100019454956
Hong Kong,HKG,2002,0.0897699967026711
Hong Kong,HKG,2003,0.100479997694492
Hong Kong,HKG,2004,0.103529997169971
Hong Kong,HKG,2005,0.0946099981665611
Hong Kong,HKG,2006,0.0872400030493736
Hong Kong,HKG,2007,0.0856800004839897
Hong Kong,HKG,2008,0.103529997169971
Hong Kong,HKG,2009,0.126269996166229
Hong Kong,HKG,2010,0.134159997105598
Hong Kong,HKG,2011,0.136739999055862
Hong Kong,HKG,2012,0.136419996619225
Hong Kong,HKG,2013,0.138679996132851
Hong Kong,HKG,2014,0.150609999895096
Hungary,HUN,1998,0.66812002658844
Hungary,HUN,1999,0.692359983921051
Hungary,HUN,2000,0.64452999830246
Hungary,HUN,2001,0.647119998931885
Hungary,HUN,2002,0.698329985141754
Hungary,HUN,2003,0.777679979801178
Hungary,HUN,2004,0.754369974136353
Hungary,HUN,2005,0.758340001106262
Hungary,HUN,2006,0.735719978809357
Hungary,HUN,2007,0.679229974746704
Hungary,HUN,2008,0.686580002307892
Hungary,HUN,2009,0.70033997297287
Hungary,HUN,2010,0.69174998998642
Hungary,HUN,2011,0.616219997406006
Hungary,HUN,2012,0.635900020599365
Iceland,ISL,1999,0.431699991226196
Iceland,ISL,2000,0.458079993724823
Iceland,ISL,2001,0.503859996795654
Iceland,ISL,2002,0.481550008058548
Iceland,ISL,2003,0.482820004224777
Iceland,ISL,2004,0.456140011548996
Iceland,ISL,2005,0.493090003728867
Iceland,ISL,2006,0.60369998216629
Iceland,ISL,2007,0.643459975719452
Iceland,ISL,2008,0.719359993934631
Iceland,ISL,2009,0.740289986133575
Iceland,ISL,2010,0.689920008182526
Iceland,ISL,2011,0.700950026512146
India,IND,1999,0.0427899993956089
India,IND,2000,0.0364100001752377
India,IND,2001,0.0552700012922287
India,IND,2003,0.0532400012016296
India,IND,2004,0.0437799990177155
India,IND,2005,0.0400899983942509
India,IND,2006,0.0350899994373322
India,IND,2009,0.0392999984323978
India,IND,2010,0.0352800004184246
India,IND,2011,0.0440500006079674
India,IND,2012,0.046229999512434
Indonesia,IDN,2007,0.0202799998223782
Indonesia,IDN,2008,0.0200200006365776
Indonesia,IDN,2009,0.0231299996376038
Indonesia,IDN,2010,0.0199299994856119
Indonesia,IDN,2011,0.0300900004804134
Indonesia,IDN,2012,0.0750499963760376
Indonesia,IDN,2013,0.0621899999678135
Indonesia,IDN,2014,0.0578599981963634
Iran,IRN,2001,0.0355000011622906
Iran,IRN,2002,0.0393400005996227
Iran,IRN,2003,0.0401399992406368
Iran,IRN,2004,0.033950001001358
Iran,IRN,2005,0.0434399992227554
Iran,IRN,2006,0.0706799998879433
Iran,IRN,2007,0.0401800014078617
Iran,IRN,2008,0.0387200005352497
Iran,IRN,2009,0.0332099981606007
Iran,IRN,2010,0.0371100008487701
Iran,IRN,2011,0.060979999601841
Iran,IRN,2012,0.032990001142025
Iran,IRN,2013,0.00276999990455806
Iran,IRN,2014,0.00591999990865588
Ireland,IRL,1998,0.00236999988555908
Ireland,IRL,1999,0.00233000004664063
Ireland,IRL,2000,0.00233999988995492
Ireland,IRL,2001,0.00227999989874661
Ireland,IRL,2002,0.00249000010080636
Ireland,IRL,2003,0.00258999993093312
Ireland,IRL,2004,0.00273999990895391
Ireland,IRL,2005,0.00274999998509884
Ireland,IRL,2006,0.00271999998949468
Ireland,IRL,2007,0.00273999990895391
Ireland,IRL,2008,0.00317999999970198
Ireland,IRL,2009,0.0486100018024445
Ireland,IRL,2010,0.0955300033092499
Ireland,IRL,2011,0.0965299978852272
Ireland,IRL,2012,0.107009999454021
Israel,ISR,1998,0.580649971961975
Israel,ISR,1999,0.563660025596619
Israel,ISR,2000,0.524060010910034
Israel,ISR,2001,0.561739981174469
Israel,ISR,2002,0.623660027980804
Israel,ISR,2003,0.628170013427734
Israel,ISR,2004,0.626579999923706
Israel,ISR,2005,0.614650011062622
Israel,ISR,2006,0.621959984302521
Israel,ISR,2007,0.584270000457764
Israel,ISR,2008,0.613699972629547
Israel,ISR,2009,0.638119995594025
Israel,ISR,2010,0.610180020332336
Israel,ISR,2011,0.592880010604858
Israel,ISR,2012,0.590690016746521
Israel,ISR,2013,0.73922997713089
Italy,ITA,1998,0.393640011548996
Italy,ITA,1999,0.386810004711151
Italy,ITA,2000,0.36761999130249
Italy,ITA,2001,0.455060005187988
Italy,ITA,2002,0.380279988050461
Italy,ITA,2003,0.427929997444153
Italy,ITA,2004,0.434130012989044
Italy,ITA,2005,0.438930004835129
Italy,ITA,2006,0.48335999250412
Italy,ITA,2007,0.452840000391006
Italy,ITA,2008,0.474799990653992
Italy,ITA,2009,0.462879985570908
Italy,ITA,2010,0.435250014066696
Italy,ITA,2011,0.425969988107681
Italy,ITA,2012,0.447279989719391
Jamaica,JAM,2001,0.26868000626564
Jamaica,JAM,2002,0.297199994325638
Jamaica,JAM,2003,0.30799001455307
Jamaica,JAM,2004,0.218400001525879
Jamaica,JAM,2005,0.223920002579689
Jamaica,JAM,2007,0.375360012054443
Jamaica,JAM,2008,0.341159999370575
Jamaica,JAM,2009,0.510320007801056
Jamaica,JAM,2010,0.251850008964539
Jamaica,JAM,2011,0.213249996304512
Jamaica,JAM,2012,0.199509993195534
Jamaica,JAM,2013,0.212579995393753
Jamaica,JAM,2014,0.203250005841255
Japan,JPN,1998,0.0837699994444847
Japan,JPN,1999,0.086669996380806
Japan,JPN,2000,0.0950499996542931
Japan,JPN,2001,0.0923800021409988
Japan,JPN,2002,0.09307000041008
Japan,JPN,2003,0.094879999756813
Japan,JPN,2004,0.0935999974608421
Japan,JPN,2005,0.0927200019359589
Japan,JPN,2006,0.0919099971652031
Japan,JPN,2007,0.0908100008964539
Japan,JPN,2008,0.090159997344017
Japan,JPN,2010,0.101499997079372
Japan,JPN,2011,0.0998499989509583
Japan,JPN,2012,0.103110000491142
Japan,JPN,2013,0.103210002183914
Japan,JPN,2014,0.10504999756813
Jordan,JOR,1998,0.000230000005103648
Jordan,JOR,1999,0.00400999980047345
Jordan,JOR,2001,0.004250000230968
Jordan,JOR,2002,0.00736999977380037
Jordan,JOR,2003,0.0169099997729063
Jordan,JOR,2004,0.0189399998635054
Jordan,JOR,2005,0.0238499995321035
Jordan,JOR,2006,0.0216700006276369
Jordan,JOR,2007,0.0195000004023314
Jordan,JOR,2008,0.0364000014960766
Jordan,JOR,2009,0.0243900008499622
Jordan,JOR,2011,0.0276800002902746
Kazakhstan,KAZ,2002,0.11014000326395
Kazakhstan,KAZ,2004,0.0821499973535538
Kazakhstan,KAZ,2005,0.0868199989199638
Kazakhstan,KAZ,2006,0.122800000011921
Kazakhstan,KAZ,2007,0.154090002179146
Kazakhstan,KAZ,2008,0.16601000726223
Kazakhstan,KAZ,2009,0.208069995045662
Kazakhstan,KAZ,2013,0.27063000202179
Kazakhstan,KAZ,2014,0.283069998025894
Kenya,KEN,1999,0.0126700000837445
Kenya,KEN,2000,0.0300200004130602
Kenya,KEN,2001,0.0693800002336502
Kenya,KEN,2003,0.145710006356239
Kenya,KEN,2004,0.106250002980232
Kenya,KEN,2006,0.00356000009924173
Kuwait,KWT,2002,0.619480013847351
Kuwait,KWT,2003,0.603110015392303
Kuwait,KWT,2004,0.513069987297058
Kuwait,KWT,2005,0.463550001382828
Kuwait,KWT,2006,0.360260009765625
Kuwait,KWT,2008,0.391240000724792
Kuwait,KWT,2011,0.543820023536682
Kyrgyzstan,KGZ,1998,0.319759994745255
Kyrgyzstan,KGZ,1999,0.274699985980988
Kyrgyzstan,KGZ,2000,0.223389998078346
Kyrgyzstan,KGZ,2001,0.257160007953644
Kyrgyzstan,KGZ,2002,0.291240006685257
Kyrgyzstan,KGZ,2003,0.276730000972748
Kyrgyzstan,KGZ,2004,0.272599995136261
Kyrgyzstan,KGZ,2005,0.301360011100769
Kyrgyzstan,KGZ,2006,0.335290014743805
Kyrgyzstan,KGZ,2007,0.378060013055801
Kyrgyzstan,KGZ,2008,0.388469994068146
Kyrgyzstan,KGZ,2009,0.432819992303848
Kyrgyzstan,KGZ,2010,0.471069991588593
Kyrgyzstan,KGZ,2011,0.577180027961731
Kyrgyzstan,KGZ,2012,0.693530023097992
Kyrgyzstan,KGZ,2013,0.725170016288757
Laos,LAO,2002,0.0534599982202053
